leadI,leadII,leadIII,leadaVR,leadaVL,leadaVF,leadV1,leadV2,leadV3,leadV4,leadV5,leadV6
-1,2,3,0,-2,2,2,3,3,2,5,5
-2,5,8,-1,-5,6,4,7,9,6,12,12
-2,6,9,-2,-6,8,5,10,12,8,17,16
-3,7,11,-2,-7,9,6,12,15,9,20,19
-4,8,12,-2,-8,10,7,14,16,11,22,21
-3,8,11,-2,-7,10,7,15,17,12,23,22
-1,9,10,-4,-6,9,7,16,18,12,24,22
-1,9,10,-4,-6,10,8,17,19,13,25,24
-1,10,11,-4,-6,10,8,19,20,14,26,25
-1,10,10,-4,-6,10,8,19,20,14,26,25
-2,9,10,-3,-7,9,7,19,20,13,25,24
-3,8,10,-2,-7,9,6,19,19,13,25,23
-3,8,10,-2,-7,8,6,19,19,13,25,23
-2,8,9,-3,-6,8,6,19,19,13,25,23
-1,8,9,-3,-6,8,6,19,19,13,25,23
-1,8,10,-3,-6,9,6,19,19,13,25,23
-1,7,9,-3,-6,8,6,19,19,12,25,23
0,6,6,-2,-4,6,6,18,18,11,24,22
-1,4,5,-1,-4,4,5,17,17,10,23,21
-2,4,5,-1,-4,5,4,16,16,9,23,21
-1,6,6,-2,-4,6,5,16,16,9,23,21
1,7,5,-4,-3,6,6,16,17,9,23,21
1,6,5,-3,-2,6,6,16,16,9,23,21
0,3,4,-1,-2,4,5,14,14,7,22,20
0,1,3,0,-2,2,4,13,12,5,21,19
-1,0,3,0,-2,2,3,12,12,5,20,19
-1,1,3,0,-2,2,3,11,11,4,20,19
1,4,3,-2,-1,3,3,11,11,4,20,19
2,5,2,-4,0,3,3,10,10,4,20,19
1,5,3,-3,-1,4,3,9,10,4,20,18
0,3,2,-1,-1,3,3,8,9,3,20,18
0,1,1,0,-1,1,3,7,8,3,19,17
0,0,1,0,-1,1,3,6,7,2,19,17
0,0,1,0,-1,1,2,5,6,2,19,17
0,1,2,0,-1,1,2,4,5,1,18,17
0,2,2,-1,-2,2,2,3,5,1,18,17
0,4,3,-2,-2,3,2,3,6,1,19,17
0,6,4,-3,-2,5,3,3,6,1,19,18
0,6,6,-3,-3,6,3,3,6,1,19,18
-1,5,6,-2,-4,6,3,2,6,1,19,18
-1,4,6,-1,-4,5,4,2,6,1,19,18
-1,4,5,-2,-3,5,4,2,6,1,19,18
-1,4,4,-2,-2,4,5,1,5,1,19,18
-1,3,4,-1,-2,3,5,0,5,0,18,18
-2,3,4,-1,-2,2,5,0,4,0,18,17
-2,3,4,-1,-2,3,5,0,4,0,18,17
-1,4,4,-2,-3,4,5,0,4,0,18,17
0,5,4,-3,-2,5,5,-1,4,0,18,17
1,5,3,-3,-2,5,4,-1,4,0,18,17
2,5,3,-3,-1,5,5,-2,4,0,18,18
2,5,3,-4,-1,5,5,-2,4,0,19,18
1,5,3,-3,-2,4,4,-2,4,0,19,18
1,4,4,-3,-2,4,3,-3,4,0,19,18
0,3,4,-2,-2,3,2,-3,3,0,18,18
0,2,4,-1,-2,3,1,-3,3,0,18,18
0,2,4,0,-2,3,0,-4,2,-1,18,18
0,2,4,0,-2,3,0,-4,2,-1,18,18
-1,2,5,0,-3,4,0,-5,1,-2,17,18
0,2,4,0,-2,3,-2,-7,0,-4,16,17
0,1,1,0,0,1,-3,-10,-2,-6,15,16
0,0,0,0,0,0,-4,-12,-4,-7,14,16
0,0,0,0,0,-1,-5,-13,-6,-8,14,16
0,-1,-1,1,1,-2,-6,-15,-7,-9,13,15
0,-2,-2,1,1,-3,-8,-16,-8,-10,12,15
1,-3,-3,1,2,-3,-9,-16,-9,-10,12,15
1,-4,-4,1,2,-4,-10,-16,-9,-11,11,15
1,-5,-5,2,2,-5,-10,-16,-9,-11,11,15
1,-6,-6,2,3,-6,-10,-15,-9,-11,12,15
1,-5,-6,1,3,-6,-10,-15,-9,-11,12,15
2,-3,-6,0,4,-5,-10,-15,-9,-11,13,15
3,-2,-6,0,4,-5,-10,-15,-9,-10,13,15
3,-2,-6,0,4,-5,-11,-15,-8,-10,13,15
3,-3,-6,0,4,-5,-10,-14,-7,-9,13,16
3,-2,-5,0,3,-4,-8,-13,-6,-8,14,16
3,-1,-4,0,3,-3,-7,-12,-5,-8,14,17
4,0,-4,-1,3,-2,-6,-10,-3,-7,15,18
5,1,-4,-3,4,-2,-4,-8,-1,-5,17,19
5,3,-3,-4,4,-1,-2,-6,0,-3,19,21
4,3,-2,-3,3,0,-1,-5,1,-2,19,21
2,1,-2,-2,2,-1,-1,-5,1,-3,19,21
1,0,-2,0,1,-1,-1,-5,1,-3,18,21
0,-2,-2,1,0,-2,-1,-5,1,-4,18,21
-1,-3,-2,2,0,-2,-1,-6,0,-4,17,20
-1,-3,-1,2,0,-2,-1,-7,-1,-5,17,19
-1,-3,-1,2,-1,-2,0,-8,-1,-6,16,18
-1,-3,-2,2,0,-3,0,-8,-2,-6,16,17
-1,-4,-2,3,0,-4,0,-8,-2,-6,15,17
-3,-5,-2,4,-1,-4,1,-8,-2,-6,15,17
-4,-5,-2,5,-1,-4,1,-8,-2,-7,14,17
-4,-6,-2,5,-1,-4,1,-8,-2,-7,14,16
-4,-6,-2,5,-1,-4,1,-8,-2,-7,13,16
-4,-7,-2,6,-1,-5,1,-8,-2,-7,13,15
-4,-8,-3,6,-1,-6,1,-9,-2,-8,13,15
-4,-8,-3,7,-1,-6,0,-9,-3,-8,12,14
-5,-8,-3,7,-1,-6,0,-10,-3,-9,12,14
-5,-8,-3,7,0,-6,0,-10,-2,-9,12,14
-5,-9,-3,7,0,-6,0,-9,-2,-8,13,14
-6,-9,-3,8,-1,-6,1,-8,-1,-8,13,14
-5,-8,-3,7,-1,-5,1,-8,-1,-8,13,15
-3,-7,-4,5,1,-6,1,-8,-2,-8,13,14
-1,-8,-6,4,2,-7,1,-9,-2,-8,13,14
0,-8,-7,4,3,-7,0,-9,-3,-9,12,13
0,-7,-7,4,3,-7,0,-9,-3,-9,12,13
0,-7,-7,4,3,-7,0,-9,-2,-9,12,13
0,-7,-8,4,3,-8,0,-9,-2,-9,12,13
0,-7,-8,4,3,-7,0,-10,-3,-9,12,12
0,-7,-8,3,4,-7,-1,-10,-3,-10,11,12
1,-7,-9,3,5,-8,-1,-10,-4,-10,11,11
2,-7,-10,3,6,-9,-1,-10,-4,-10,11,11
3,-8,-11,2,7,-10,-1,-10,-4,-10,11,11
4,-8,-12,2,8,-10,-2,-10,-4,-10,11,10
4,-8,-12,2,8,-11,-2,-10,-4,-11,11,10
3,-9,-12,3,7,-11,-3,-11,-4,-11,10,10
3,-10,-13,4,8,-12,-4,-12,-5,-12,9,9
4,-10,-15,3,9,-13,-4,-12,-6,-13,8,8
7,-9,-16,1,11,-13,-4,-12,-5,-12,8,8
9,-7,-16,0,12,-12,-3,-11,-5,-12,9,8
8,-7,-14,0,11,-11,-3,-10,-4,-11,10,9
6,-7,-14,0,10,-11,-2,-10,-4,-11,10,9
6,-7,-14,0,10,-11,-2,-11,-4,-12,10,9
7,-7,-14,0,10,-11,-2,-11,-4,-12,10,9
8,-6,-15,-1,11,-11,-3,-11,-5,-12,10,9
8,-7,-16,-1,12,-11,-3,-11,-5,-12,9,8
8,-7,-16,0,12,-11,-3,-12,-5,-12,9,8
8,-8,-16,0,12,-12,-3,-12,-5,-12,9,7
8,-9,-17,0,12,-13,-3,-12,-5,-12,9,7
8,-9,-17,0,12,-13,-3,-11,-5,-12,9,7
8,-8,-17,0,12,-13,-3,-11,-5,-12,9,8
9,-8,-17,0,13,-14,-3,-11,-5,-12,9,8
9,-8,-18,-1,14,-14,-3,-11,-5,-12,9,8
10,-8,-18,-1,14,-13,-3,-11,-4,-11,10,8
10,-7,-17,-2,14,-12,-2,-11,-4,-11,10,8
11,-6,-18,-2,14,-12,-2,-10,-4,-11,11,8
11,-7,-18,-2,15,-12,-2,-10,-4,-11,11,8
11,-7,-19,-1,15,-13,-2,-11,-5,-11,10,8
10,-8,-19,-1,14,-14,-3,-11,-5,-11,10,7
9,-10,-19,0,14,-15,-3,-12,-5,-12,9,7
9,-10,-19,0,14,-15,-4,-12,-5,-12,9,7
9,-10,-19,0,14,-15,-3,-12,-5,-12,10,7
9,-9,-18,-1,14,-13,-3,-12,-5,-12,10,7
10,-8,-18,-1,14,-13,-3,-12,-4,-12,10,7
11,-8,-18,-1,15,-13,-3,-12,-4,-11,10,7
11,-8,-19,-1,14,-13,-3,-12,-4,-11,10,6
10,-8,-18,-1,14,-13,-3,-12,-4,-11,10,6
10,-7,-17,-2,13,-12,-3,-11,-4,-11,11,7
12,-5,-17,-3,14,-11,-2,-10,-3,-10,12,7
13,-5,-17,-4,15,-11,-1,-10,-3,-10,12,7
12,-6,-17,-3,15,-12,-2,-11,-3,-10,11,6
10,-6,-17,-2,14,-12,-2,-11,-4,-11,10,5
9,-7,-17,-1,13,-12,-2,-12,-4,-11,10,5
9,-7,-18,-1,14,-13,-3,-12,-4,-11,10,4
9,-7,-18,-1,14,-13,-3,-13,-4,-11,10,4
9,-8,-18,-1,14,-13,-3,-13,-4,-11,10,4
10,-8,-18,-1,14,-14,-3,-13,-4,-11,10,4
12,-7,-19,-2,15,-13,-3,-13,-4,-12,10,4
12,-7,-19,-3,16,-13,-3,-14,-5,-12,9,4
10,-6,-17,-2,14,-12,-3,-14,-4,-12,9,4
8,-7,-16,-1,12,-12,-3,-13,-4,-11,9,4
8,-8,-16,0,12,-12,-3,-14,-4,-11,9,4
8,-8,-17,0,13,-13,-3,-14,-4,-11,9,4
10,-6,-17,-2,14,-12,-3,-14,-4,-11,9,4
11,-6,-17,-2,14,-12,-3,-14,-3,-11,10,4
11,-6,-17,-2,14,-12,-3,-15,-3,-11,9,3
11,-6,-17,-3,14,-12,-2,-15,-3,-10,9,3
12,-5,-17,-3,14,-11,-2,-14,-2,-10,9,3
12,-4,-17,-4,14,-11,-1,-14,-2,-9,9,3
12,-3,-17,-4,14,-10,-1,-14,-2,-9,9,3
11,-3,-16,-3,13,-10,-1,-14,-2,-9,10,3
10,-4,-15,-3,12,-10,-2,-14,-2,-9,10,3
9,-4,-14,-2,11,-10,-2,-15,-2,-9,10,3
9,-3,-12,-2,10,-8,-2,-17,-2,-9,11,4
8,-2,-10,-3,9,-7,-2,-20,-3,-8,11,5
7,-2,-9,-2,8,-6,-2,-23,-4,-8,11,5
6,-2,-8,-1,7,-5,-2,-26,-5,-9,10,4
5,-1,-7,-1,6,-4,-1,-28,-5,-8,11,4
5,1,-5,-3,5,-2,0,-28,-2,-5,13,6
6,3,-4,-4,5,-1,2,-27,2,-1,16,8
7,4,-3,-5,5,-1,4,-22,8,4,20,10
9,5,-4,-7,6,0,7,-12,18,12,25,13
12,5,-5,-9,9,0,10,2,31,22,31,17
14,6,-8,-11,11,-1,12,18,44,32,37,21
17,6,-10,-12,14,-1,13,36,59,43,44,26
20,7,-12,-13,17,-2,12,57,74,54,51,30
25,9,-16,-17,21,-3,8,80,88,63,57,34
