leadI,leadII,leadIII,leadaVR,leadaVL,leadaVF,leadV1,leadV2,leadV3,leadV4,leadV5,leadV6
0,1,0,0,0,0,-3,0,-2,-2,-1,0
1,2,1,-2,0,1,-8,-1,-5,-4,-2,0
2,3,0,-2,0,1,-11,-1,-6,-6,-3,0
2,2,0,-2,1,0,-13,-2,-8,-7,-4,0
1,1,0,-1,1,0,-15,-2,-9,-8,-4,0
1,0,0,-1,1,0,-16,-3,-10,-9,-5,1
1,0,-1,-1,1,0,-16,-4,-11,-9,-5,1
1,0,0,-1,1,0,-16,-4,-11,-10,-4,2
1,1,0,-1,0,0,-17,-5,-12,-10,-4,2
1,1,0,-1,0,0,-18,-7,-13,-10,-4,2
1,1,1,-1,0,0,-18,-10,-14,-11,-4,2
1,2,1,-1,-1,1,-19,-12,-15,-11,-4,3
2,3,2,-2,-1,1,-19,-14,-15,-11,-3,5
2,4,2,-3,-1,3,-20,-16,-16,-11,-1,6
2,5,3,-3,-1,3,-22,-18,-16,-11,0,8
1,4,3,-2,-1,3,-24,-21,-17,-10,1,9
1,4,3,-3,-1,3,-26,-23,-17,-9,2,12
3,5,3,-5,0,4,-27,-25,-16,-9,4,14
6,7,3,-7,1,5,-28,-27,-16,-9,5,15
7,9,3,-8,1,5,-29,-29,-17,-9,5,15
7,9,2,-8,2,5,-30,-30,-17,-11,3,14
8,8,0,-8,3,4,-31,-30,-18,-13,1,13
9,7,-1,-8,5,3,-31,-30,-19,-16,-2,11
11,8,-3,-9,6,3,-32,-30,-20,-20,-6,8
11,6,-5,-8,8,1,-32,-29,-22,-24,-10,4
10,1,-9,-5,10,-3,-31,-27,-24,-28,-15,0
10,-2,-12,-4,11,-7,-30,-25,-25,-30,-18,-4
10,-3,-13,-3,11,-8,-30,-22,-25,-33,-21,-7
10,-4,-14,-3,12,-9,-29,-18,-26,-36,-25,-10
9,-5,-15,-2,11,-10,-26,-14,-27,-39,-29,-15
8,-4,-14,-2,11,-9,-23,-10,-28,-43,-34,-19
8,-2,-11,-3,9,-6,-19,-6,-30,-46,-39,-24
7,0,-7,-4,7,-3,-16,-3,-34,-50,-45,-29
6,0,-5,-3,5,-2,-13,0,-38,-55,-51,-34
5,1,-3,-2,4,-1,-11,2,-42,-60,-56,-40
4,0,-3,-2,3,-1,-8,5,-46,-65,-62,-46
2,-1,-3,0,2,-2,-5,8,-51,-70,-68,-52
-1,-4,-3,3,0,-3,-2,10,-55,-74,-73,-57
-6,-9,-2,7,-2,-5,2,14,-57,-76,-76,-61
-12,-13,0,13,-6,-6,6,17,-58,-78,-79,-65
-18,-16,3,17,-10,-6,10,21,-57,-77,-80,-67
-22,-16,7,19,-15,-4,14,26,-55,-75,-80,-68
-25,-14,11,20,-18,-1,18,32,-53,-73,-79,-68
-25,-13,13,19,-19,0,22,39,-48,-69,-77,-68
-25,-12,13,19,-19,0,27,47,-42,-63,-73,-67
-24,-12,13,18,-19,0,30,54,-35,-57,-68,-64
-23,-13,11,18,-17,-1,32,60,-26,-50,-62,-60
-22,-16,6,19,-14,-5,34,67,-16,-41,-55,-55
-21,-19,2,20,-11,-8,36,73,-7,-34,-49,-50
-21,-20,0,20,-10,-10,36,78,0,-27,-43,-46
-20,-20,0,20,-10,-10,36,81,5,-22,-39,-42
-19,-20,0,19,-9,-10,36,85,10,-17,-34,-39
-18,-18,0,18,-9,-10,36,89,15,-11,-29,-35
-16,-17,0,17,-8,-9,37,92,21,-6,-24,-31
-15,-15,1,16,-8,-8,38,96,26,-1,-19,-26
-15,-13,2,14,-8,-6,39,99,30,3,-14,-22
-15,-11,3,13,-8,-4,39,103,35,8,-9,-17
-14,-9,4,12,-9,-2,40,108,41,13,-5,-13
-12,-8,4,10,-7,-2,43,117,50,20,0,-9
-9,-6,3,8,-5,-2,47,128,58,26,6,-5
-7,-5,3,7,-5,-1,51,136,63,30,9,-2
-7,-5,3,7,-6,-1,53,136,61,30,10,-1
-8,-6,3,7,-6,-2,53,132,56,27,9,0
-9,-6,3,8,-7,-2,52,123,48,23,8,0
-10,-7,3,9,-7,-2,50,112,40,19,6,0
-11,-7,3,9,-7,-2,49,102,32,15,4,-1
-12,-8,3,10,-7,-2,49,94,26,12,3,-1
-12,-8,4,10,-8,-2,47,87,21,9,2,-2
-13,-10,4,11,-8,-3,45,81,17,8,1,-3
-14,-13,3,13,-9,-5,42,76,15,7,1,-3
-15,-14,2,14,-8,-6,40,73,13,6,1,-3
-14,-14,0,14,-7,-6,39,69,11,5,1,-2
-14,-15,-1,14,-6,-7,37,65,9,4,1,-1
-14,-16,-3,15,-5,-9,33,57,6,3,1,-1
-13,-18,-5,15,-3,-11,27,48,3,1,1,-1
-12,-19,-7,15,-2,-12,21,37,1,1,1,0
-10,-19,-8,14,-1,-13,13,28,0,2,3,2
-9,-19,-9,14,0,-15,6,19,1,4,5,4
-7,-19,-10,13,2,-15,-1,12,3,8,9,8
-4,-16,-10,11,3,-13,-7,7,6,13,14,13
-3,-13,-9,8,3,-11,-12,4,11,18,19,17
-2,-10,-9,6,4,-10,-16,2,15,22,23,20
0,-8,-9,4,5,-8,-18,2,19,26,27,23
3,-6,-9,1,6,-8,-19,2,22,30,30,26
5,-5,-10,0,7,-8,-19,3,25,33,33,28
6,-5,-10,0,7,-7,-20,3,27,35,34,29
5,-4,-9,0,7,-6,-21,2,29,36,36,30
4,-4,-8,0,6,-6,-22,2,30,38,37,31
4,-3,-7,0,5,-5,-23,1,31,40,38,32
4,-2,-7,0,6,-5,-23,1,33,42,40,34
5,-1,-7,-1,6,-5,-23,1,35,44,42,35
6,0,-7,-2,7,-4,-24,1,37,46,44,36
7,0,-7,-3,8,-4,-24,1,38,47,45,37
7,1,-6,-4,7,-3,-24,1,40,49,47,38
8,2,-5,-5,7,-2,-24,2,42,50,48,39
9,4,-5,-7,8,0,-24,2,44,52,49,41
10,5,-4,-8,7,0,-24,3,45,54,51,43
9,4,-4,-7,6,0,-25,3,47,56,52,44
8,3,-4,-6,6,0,-25,3,48,57,53,45
8,3,-5,-6,7,-1,-25,3,49,59,55,46
9,3,-6,-6,8,-1,-25,4,51,60,57,47
9,3,-5,-6,7,-1,-26,4,52,61,58,47
9,3,-5,-6,7,-1,-26,4,53,62,58,48
10,5,-5,-8,8,0,-26,4,54,63,59,49
13,8,-5,-11,9,1,-26,5,56,65,61,51
13,10,-4,-12,9,2,-26,6,58,67,62,52
12,10,-2,-11,7,3,-26,6,59,68,63,53
11,9,-2,-10,6,3,-26,6,60,68,64,54
10,8,-2,-9,6,3,-26,7,61,69,65,54
10,8,-2,-9,7,3,-26,7,61,69,66,55
12,9,-2,-10,7,4,-26,7,62,70,66,55
12,10,-1,-11,7,5,-27,7,62,70,66,55
12,11,0,-12,6,5,-28,8,63,71,67,56
13,13,0,-14,6,7,-28,8,64,72,68,57
14,15,1,-15,6,8,-28,8,65,73,69,58
13,15,2,-14,6,8,-28,8,66,74,69,59
13,14,2,-13,6,8,-28,7,66,74,70,59
13,15,3,-14,6,9,-28,7,66,75,70,60
14,16,3,-15,6,9,-27,7,67,76,71,60
16,18,3,-17,7,10,-27,8,68,76,72,61
17,20,3,-19,7,11,-27,8,68,77,72,62
17,21,3,-19,6,12,-28,7,68,77,73,63
17,22,4,-19,6,12,-28,7,68,77,73,63
17,22,4,-20,7,13,-28,7,68,77,73,64
17,22,4,-20,7,13,-29,7,68,77,73,64
17,21,5,-19,7,13,-29,6,68,77,73,64
16,22,6,-19,6,14,-30,6,67,77,74,64
16,23,7,-19,5,15,-30,5,66,77,74,65
17,24,7,-20,5,16,-30,5,66,77,74,66
17,25,8,-21,5,16,-31,4,66,77,74,67
17,26,8,-22,4,17,-31,4,65,76,74,67
17,27,10,-22,4,18,-32,3,64,76,73,67
16,27,11,-22,3,19,-32,1,63,75,73,67
16,27,12,-22,2,20,-33,0,62,74,73,66
16,27,12,-21,2,20,-33,-1,61,73,73,66
17,28,12,-22,2,20,-34,-1,60,73,72,66
16,28,12,-22,2,21,-34,-2,59,72,72,66
15,28,13,-21,1,21,-35,-3,57,70,70,66
14,28,13,-21,0,21,-36,-5,56,69,69,65
15,30,14,-23,1,21,-37,-5,54,68,68,65
17,32,14,-25,2,23,-36,-6,53,67,68,65
18,33,14,-25,2,24,-36,-7,52,66,67,65
17,33,15,-25,1,24,-37,-8,50,65,66,64
18,34,16,-25,1,26,-37,-9,49,64,65,63
19,36,17,-27,1,26,-37,-9,47,63,65,63
18,36,17,-27,0,26,-38,-10,45,61,64,63
17,36,18,-27,0,27,-38,-11,44,60,62,62
17,36,19,-27,0,27,-38,-12,42,58,61,62
17,36,19,-27,0,27,-37,-13,41,57,60,61
17,36,19,-27,0,28,-37,-14,39,55,58,60
17,36,19,-27,-1,28,-38,-15,37,53,57,58
15,35,20,-25,-2,28,-39,-16,34,51,55,56
13,34,21,-23,-4,27,-40,-18,31,48,53,54
12,33,21,-22,-4,27,-40,-18,29,46,51,53
12,33,21,-23,-5,27,-40,-18,28,45,49,52
12,34,22,-24,-5,28,-40,-18,27,43,48,51
12,34,21,-24,-4,27,-39,-18,25,42,47,50
12,33,21,-23,-4,27,-39,-19,24,40,45,49
11,32,21,-21,-4,26,-38,-19,22,38,43,47
9,31,22,-20,-5,27,-38,-19,20,36,41,45
9,31,22,-20,-6,27,-37,-19,18,34,39,43
9,30,22,-19,-6,26,-36,-19,17,33,38,41
8,29,21,-19,-6,25,-35,-18,16,31,36,40
8,29,21,-18,-6,25,-35,-18,15,29,34,38
7,28,21,-18,-6,25,-34,-18,14,28,32,37
6,27,21,-17,-7,24,-34,-18,13,26,30,35
4,25,21,-14,-8,23,-34,-18,11,24,28,33
2,22,21,-12,-8,22,-34,-18,9,22,26,31
1,21,21,-11,-9,21,-33,-18,8,20,24,29
0,19,20,-9,-9,20,-32,-17,7,19,23,27
-1,18,19,-9,-9,19,-31,-16,6,18,21,26
0,19,18,-10,-8,18,-30,-15,6,17,20,25
2,19,17,-11,-7,18,-29,-14,6,16,19,24
3,19,16,-11,-6,17,-28,-14,6,15,18,23
2,17,16,-10,-6,16,-28,-13,5,13,16,21
0,16,16,-8,-7,16,-27,-13,4,11,14,19
-1,14,16,-7,-8,15,-27,-12,3,9,12,16
-2,13,15,-5,-8,15,-26,-12,2,8,11,14
-2,12,15,-5,-8,14,-25,-11,1,7,9,13
-2,11,14,-4,-8,13,-24,-11,1,6,8,12
-3,9,13,-3,-8,11,-23,-10,1,5,7,12
-4,6,12,-1,-8,9,-22,-9,0,5,6,11
-5,4,11,0,-9,8,-21,-8,0,4,5,10
-6,4,11,1,-9,8,-21,-7,0,2,4,9
-6,4,11,1,-9,8,-21,-7,-1,1,3,7
-7,4,11,2,-9,8,-21,-7,-2,0,2,6
-9,3,11,3,-10,7,-20,-7,-3,-1,0,4
-9,3,12,3,-10,8,-20,-6,-3,-2,0,4
-7,4,12,1,-9,8,-19,-5,-3,-2,0,4
-6,4,11,1,-9,7,-18,-5,-3,-2,-1,3
-6,3,10,1,-8,7,-18,-5,-4,-3,-2,3
-6,3,10,1,-8,6,-17,-4,-5,-4,-2,2
-5,4,9,0,-7,7,-16,-4,-5,-4,-3,2
-5,4,9,0,-6,7,-16,-3,-5,-5,-3,1
-6,4,10,1,-7,7,-15,-3,-5,-5,-4,0
-8,3,10,3,-9,7,-16,-4,-7,-6,-5,-1
-9,1,10,4,-9,6,-16,-4,-8,-7,-6,-1
-9,0,10,4,-9,5,-15,-4,-8,-8,-6,-2
-10,-1,10,5,-10,5,-15,-4,-9,-9,-7,-3
-10,-1,10,5,-10,5,-15,-5,-10,-9,-8,-3
-9,-1,9,5,-9,4,-15,-5,-10,-10,-8,-3
-9,-1,9,5,-8,4,-15,-5,-10,-10,-8,-3
-8,-1,8,5,-7,3,-15,-5,-11,-10,-8,-3
-8,-1,8,4,-7,3,-15,-5,-11,-11,-9,-4
-7,-1,7,4,-6,3,-15,-5,-11,-11,-9,-4
-7,-1,7,4,-6,3,-15,-5,-11,-11,-9,-4
-7,-1,6,4,-6,2,-15,-6,-11,-12,-9,-4
-8,-2,6,5,-6,2,-14,-6,-12,-12,-10,-4
-8,-2,6,5,-6,1,-14,-7,-13,-13,-10,-5
