leadI,leadII,leadIII,leadaVR,leadaVL,leadaVF,leadV1,leadV2,leadV3,leadV4,leadV5,leadV6
1,1,0,-1,0,0,1,0,1,2,2,0
3,3,0,-3,1,1,2,0,2,5,5,1
4,4,0,-4,2,2,3,-1,3,6,6,1
3,4,0,-4,2,2,3,-2,3,6,7,1
2,3,1,-3,1,2,3,-3,3,7,7,1
3,4,1,-3,1,3,3,-3,3,7,6,1
4,5,0,-4,2,3,3,-2,3,8,6,2
4,5,0,-5,2,3,3,-2,3,8,5,2
3,4,1,-4,1,3,3,-3,3,8,5,2
1,4,2,-3,0,4,3,-2,3,7,5,2
2,5,3,-4,0,5,3,-1,4,7,6,2
4,7,3,-6,1,5,3,-1,4,7,7,3
5,8,1,-7,2,5,3,-2,3,7,6,2
5,7,1,-6,2,4,3,-3,3,7,5,2
4,6,0,-5,2,4,3,-3,2,7,4,2
4,5,0,-5,2,3,3,-4,2,7,4,2
5,6,0,-5,2,3,3,-3,2,8,4,2
5,7,2,-6,1,5,4,-2,3,9,6,3
3,7,4,-5,-1,6,4,0,4,10,7,4
1,7,6,-4,-2,6,4,0,4,10,8,5
1,7,6,-4,-2,7,3,0,3,10,8,5
2,6,4,-4,-1,6,3,0,3,10,8,4
4,6,2,-5,1,5,2,-1,3,10,7,4
6,6,0,-6,3,4,1,-1,3,10,7,3
6,7,1,-6,2,4,1,-2,3,10,7,3
6,8,2,-7,2,5,1,-2,3,10,8,3
7,10,2,-8,2,6,1,-3,2,9,8,3
8,12,3,-10,2,7,1,-3,2,9,8,4
9,13,3,-11,3,8,0,-3,1,9,8,4
8,13,3,-11,2,9,1,-3,1,9,8,4
8,13,4,-10,1,9,2,-3,1,10,9,4
8,13,4,-10,1,9,2,-3,2,10,9,4
7,12,4,-10,1,9,1,-3,2,10,8,4
6,11,4,-9,1,8,1,-3,1,10,8,4
6,11,4,-8,1,8,0,-3,1,10,8,3
7,10,3,-9,2,7,0,-4,0,9,7,2
7,9,2,-8,2,6,-1,-5,-1,8,6,0
6,9,3,-7,1,6,0,-5,-1,8,6,0
5,9,4,-7,0,6,0,-6,-1,8,6,-1
5,9,4,-7,0,6,1,-6,-1,8,6,-1
6,8,3,-7,1,5,2,-6,-1,7,5,-1
6,7,1,-7,2,4,2,-6,-2,7,4,-1
7,6,0,-6,3,3,1,-6,-2,6,4,-1
7,6,-1,-6,3,2,1,-5,-2,6,3,-1
7,6,-1,-6,4,2,2,-5,-2,6,3,-1
7,5,-2,-6,4,1,2,-5,-3,5,2,-2
7,4,-2,-6,5,1,3,-5,-3,5,2,-2
7,5,-1,-6,4,1,3,-5,-3,5,2,-2
5,4,0,-5,3,2,3,-5,-3,6,2,-2
4,4,0,-4,2,2,3,-5,-3,6,2,-2
5,4,0,-5,3,2,3,-5,-2,7,2,-1
6,5,0,-5,3,2,3,-5,-2,7,2,-1
6,5,0,-6,3,2,3,-5,-2,7,2,-1
6,6,0,-6,3,2,3,-4,-3,6,2,-1
6,5,0,-6,3,2,2,-5,-3,5,2,-1
6,5,-2,-6,4,1,2,-6,-4,4,1,-2
6,4,-2,-5,4,1,1,-7,-5,3,1,-2
5,4,-1,-4,3,1,1,-7,-5,2,0,-3
4,3,-1,-4,3,0,1,-8,-6,2,0,-4
4,2,-1,-3,3,0,1,-9,-6,1,-1,-5
3,2,0,-3,2,0,2,-9,-7,0,-2,-5
2,2,1,-2,0,0,2,-9,-6,0,-2,-5
1,2,2,-2,0,1,3,-8,-5,0,-2,-6
0,2,2,-1,-1,1,3,-7,-5,0,-2,-7
-1,1,2,0,-1,1,4,-7,-6,0,-3,-8
-1,1,2,0,-1,1,6,-5,-6,-2,-5,-9
0,0,0,0,0,0,9,-2,-5,-3,-6,-10
0,-1,0,1,0,-1,11,4,-1,-2,-6,-10
0,-1,-1,1,0,-2,15,13,5,0,-5,-11
0,-1,-1,1,0,-2,18,23,14,4,-3,-11
2,0,-1,0,1,-1,21,33,25,11,2,-8
5,4,0,-4,2,1,21,41,35,21,11,-1
9,9,0,-9,4,4,19,46,45,33,23,8
14,14,0,-14,7,7,16,51,53,47,35,19
20,19,-1,-19,11,9,11,52,60,61,48,29
29,24,-4,-27,16,10,5,50,64,74,60,40
40,32,-7,-36,23,13,-2,46,66,86,72,51
52,41,-9,-46,31,15,-11,39,64,97,84,61
62,50,-11,-56,37,19,-21,26,57,103,94,70
69,58,-11,-63,40,23,-30,8,43,102,98,77
70,64,-6,-67,38,29,-37,-15,23,94,97,80
66,69,1,-68,32,36,-40,-42,0,78,89,78
59,69,9,-65,25,40,-40,-66,-25,58,75,72
50,62,12,-56,18,38,-38,-86,-49,34,56,59
38,49,11,-43,13,30,-37,-104,-73,8,33,41
25,35,10,-30,7,23,-36,-122,-96,-17,11,22
15,24,10,-19,2,17,-36,-140,-120,-43,-10,5
6,13,7,-9,0,10,-36,-153,-139,-66,-29,-10
0,4,3,-2,-2,3,-34,-158,-151,-83,-43,-22
-4,-2,1,3,-3,0,-32,-155,-152,-90,-51,-29
-9,-6,2,7,-5,-2,-29,-145,-145,-90,-53,-31
-11,-8,2,9,-7,-2,-27,-129,-133,-85,-51,-31
-12,-9,3,10,-7,-2,-25,-111,-118,-77,-48,-31
-11,-9,2,10,-6,-3,-23,-93,-102,-69,-45,-30
-8,-8,1,9,-4,-3,-20,-75,-86,-60,-41,-29
-6,-6,1,7,-3,-2,-17,-59,-70,-50,-36,-27
-5,-5,1,5,-3,-1,-12,-45,-57,-42,-30,-25
-5,-4,1,4,-3,-1,-9,-36,-46,-35,-26,-23
-4,-4,0,4,-2,-2,-7,-30,-40,-30,-23,-22
-3,-3,-1,3,-2,-2,-5,-25,-35,-27,-21,-20
-4,-3,0,3,-2,-1,-3,-21,-30,-24,-19,-18
-6,-3,3,4,-4,0,-1,-18,-26,-21,-18,-17
-8,-4,5,6,-5,0,0,-15,-23,-20,-17,-17
-9,-5,5,7,-6,0,1,-14,-20,-19,-16,-17
-9,-6,5,8,-6,0,2,-13,-19,-18,-16,-17
-8,-5,3,7,-5,0,3,-14,-18,-17,-15,-17
-6,-4,1,5,-3,0,3,-14,-18,-16,-14,-16
-5,-4,0,4,-3,-1,3,-14,-18,-16,-14,-16
-4,-4,0,4,-2,-1,3,-14,-18,-16,-14,-16
-4,-4,0,4,-2,-2,2,-14,-18,-16,-14,-16
-4,-4,0,4,-1,-2,2,-15,-18,-17,-15,-16
-3,-4,0,4,-1,-2,2,-15,-18,-17,-15,-16
-4,-3,1,4,-2,-1,3,-15,-17,-17,-14,-16
-5,-3,2,4,-4,0,3,-15,-16,-16,-13,-16
