leadI,leadII,leadIII,leadaVR,leadaVL,leadaVF,leadV1,leadV2,leadV3,leadV4,leadV5,leadV6
5,4,0,-5,2,2,1,0,-4,1,-1,0
13,12,0,-13,6,5,4,1,-10,3,-2,1
18,18,0,-18,9,9,8,3,-12,5,-3,3
20,22,2,-21,9,12,10,4,-13,7,-2,4
17,22,4,-20,6,13,12,5,-14,8,-2,4
13,21,7,-17,3,14,13,6,-14,8,-2,4
14,23,9,-19,2,16,14,7,-14,8,-1,5
18,28,9,-23,4,18,15,9,-12,9,0,6
21,31,9,-26,6,19,15,10,-11,10,1,7
22,31,9,-26,6,19,15,9,-11,9,1,6
20,29,9,-24,5,18,15,8,-11,9,0,6
19,28,9,-23,4,18,15,8,-10,9,0,6
17,27,10,-22,4,18,15,8,-9,9,1,6
16,26,10,-21,3,18,15,8,-8,9,1,6
14,26,11,-20,2,18,15,9,-7,9,2,6
14,26,12,-20,1,18,16,10,-6,10,3,7
14,26,12,-19,0,18,16,10,-5,10,4,8
13,24,12,-18,0,17,16,10,-4,10,4,8
11,22,12,-16,-1,16,15,9,-4,10,4,7
12,23,12,-17,-1,17,15,9,-3,11,5,8
15,26,11,-20,1,18,16,9,-2,11,6,8
17,27,10,-22,3,18,16,8,-2,11,6,8
16,26,9,-21,3,17,15,8,-2,10,6,7
14,24,9,-19,2,16,15,7,-3,9,6,7
11,22,10,-17,0,16,14,7,-3,9,6,7
10,20,10,-15,0,15,14,7,-3,8,6,6
9,19,10,-13,-1,14,13,6,-4,8,5,5
8,17,10,-12,-1,13,12,5,-4,7,4,4
7,17,11,-12,-1,13,12,5,-4,7,4,4
7,18,11,-12,-1,14,12,5,-4,8,5,4
9,20,10,-14,0,14,12,6,-3,8,5,5
14,23,8,-18,3,15,12,7,-2,9,6,5
17,25,7,-21,5,16,14,8,-1,10,8,6
19,26,7,-22,5,17,15,8,-1,11,9,7
19,26,7,-22,5,17,15,9,0,11,9,8
19,25,7,-21,5,16,14,9,0,12,10,8
17,24,7,-20,5,15,13,8,0,12,9,7
16,23,7,-18,4,15,13,8,0,12,9,7
14,22,8,-17,3,14,13,8,0,12,9,7
12,20,7,-16,2,13,12,7,-1,11,9,6
10,18,7,-14,1,12,11,7,-2,11,8,5
10,17,7,-14,0,12,11,7,-3,11,9,5
11,18,7,-15,1,13,11,7,-3,11,9,5
13,20,8,-16,2,14,11,7,-2,11,10,6
15,21,7,-17,3,14,10,6,-3,11,10,6
15,21,6,-17,4,13,9,5,-3,11,10,6
15,20,5,-17,5,12,8,4,-4,10,9,5
14,19,4,-17,5,11,8,4,-5,10,9,5
13,18,4,-16,5,10,7,3,-5,10,9,4
12,18,4,-15,4,11,7,4,-5,10,9,4
13,18,4,-16,5,11,7,4,-5,10,9,4
14,18,4,-15,5,11,7,3,-6,10,9,4
13,16,3,-14,5,10,7,3,-6,9,8,4
13,15,3,-13,5,9,6,2,-6,9,8,4
14,15,1,-14,7,8,7,2,-5,10,9,4
15,14,0,-15,7,7,6,2,-6,10,9,4
12,11,-1,-12,6,5,5,1,-7,9,8,3
8,7,-1,-8,4,3,4,0,-8,8,8,2
6,6,0,-6,3,3,3,0,-8,7,7,1
6,6,0,-6,3,3,3,0,-9,6,7,1
8,9,0,-8,3,4,4,0,-8,7,7,1
11,12,1,-11,4,5,4,1,-8,7,8,2
10,11,0,-10,4,4,3,0,-8,7,7,1
9,9,0,-9,4,4,3,0,-8,6,7,1
10,10,0,-10,4,5,3,0,-8,7,7,2
11,13,1,-12,5,6,4,1,-7,8,9,3
12,13,1,-13,5,7,5,2,-6,8,9,4
10,11,0,-10,5,5,4,1,-7,7,9,3
8,7,0,-7,4,3,2,0,-8,6,8,2
6,5,-1,-5,3,1,1,0,-8,6,7,1
8,5,-1,-6,4,1,1,0,-7,7,8,2
10,6,-2,-8,6,1,2,1,-7,7,9,2
9,5,-4,-7,6,0,2,0,-7,7,9,1
8,4,-4,-6,6,0,2,0,-8,6,8,0
9,4,-4,-7,7,0,3,0,-8,6,8,1
9,4,-5,-7,7,0,3,0,-8,5,8,1
7,2,-5,-5,6,-2,2,0,-8,4,7,0
5,0,-4,-3,4,-2,2,0,-8,4,7,0
3,0,-2,-2,3,-1,2,0,-8,4,7,0
4,1,-1,-3,3,0,3,0,-7,5,8,0
5,3,-1,-5,3,1,3,1,-7,5,8,0
5,4,-1,-5,3,1,3,1,-7,5,8,0
4,1,-2,-3,3,0,3,1,-7,5,8,0
2,-1,-3,-1,3,-2,2,1,-8,4,7,0
2,-2,-4,0,3,-3,1,1,-8,3,7,0
4,-1,-5,-1,4,-3,2,2,-8,3,7,0
6,0,-5,-2,5,-3,3,2,-7,3,7,0
7,0,-6,-3,6,-3,3,2,-7,3,7,0
7,0,-6,-4,6,-3,3,2,-7,3,7,-1
6,0,-5,-3,5,-3,3,3,-6,3,7,-1
5,0,-5,-3,5,-2,3,3,-6,3,8,-1
5,0,-4,-2,4,-2,4,4,-5,3,8,0
3,0,-4,-1,3,-2,4,4,-5,3,8,0
1,-2,-4,0,2,-3,4,5,-5,3,8,0
-1,-5,-4,3,1,-4,4,5,-5,3,7,-1
-4,-9,-4,6,0,-6,3,4,-6,2,6,-2
-5,-10,-4,7,-1,-7,3,4,-7,1,5,-3
-2,-7,-4,4,0,-6,4,5,-6,1,6,-2
3,-3,-6,0,4,-4,4,6,-6,2,6,-2
6,-2,-8,-2,7,-5,4,6,-6,1,6,-2
5,-3,-9,-1,7,-6,3,6,-6,0,5,-3
3,-4,-9,0,6,-6,3,6,-6,0,5,-3
2,-5,-8,2,4,-6,3,6,-6,1,5,-2
0,-6,-6,3,3,-7,3,6,-6,1,5,-2
-2,-8,-5,5,2,-8,2,6,-7,0,5,-3
-5,-11,-5,7,1,-9,2,5,-8,-1,4,-4
-6,-13,-5,9,0,-10,2,4,-8,-2,3,-5
-6,-13,-6,9,0,-10,2,3,-9,-2,3,-5
-5,-13,-7,9,0,-10,2,3,-9,-3,3,-5
-4,-11,-7,8,1,-9,2,3,-8,-2,3,-4
-3,-9,-6,6,1,-8,2,4,-8,-1,4,-4
-5,-11,-6,8,0,-9,2,3,-8,-2,3,-5
-9,-15,-6,12,-1,-11,0,1,-10,-3,2,-6
-10,-16,-6,13,-1,-12,0,0,-10,-4,1,-7
-9,-15,-6,12,-1,-10,1,1,-9,-4,2,-6
-8,-13,-5,10,-1,-9,2,2,-8,-3,2,-6
-6,-12,-6,9,0,-9,2,2,-8,-3,2,-6
-4,-11,-7,8,1,-9,1,1,-8,-4,2,-6
-4,-11,-7,7,1,-9,0,1,-8,-4,2,-6
-4,-10,-6,7,1,-8,1,0,-8,-4,2,-6
-4,-10,-6,7,1,-8,1,0,-8,-4,2,-6
-4,-10,-5,7,1,-8,1,0,-8,-5,2,-6
-5,-10,-5,7,0,-8,1,-1,-8,-5,2,-6
-7,-11,-4,9,-1,-8,1,-2,-9,-6,1,-6
-9,-13,-4,11,-2,-8,1,-3,-9,-6,1,-6
-10,-14,-3,12,-3,-9,1,-3,-10,-7,1,-6
-10,-14,-4,12,-2,-9,0,-4,-10,-7,1,-6
-10,-15,-4,13,-2,-10,-1,-6,-11,-8,0,-7
-12,-17,-4,15,-3,-11,-1,-7,-11,-9,0,-8
-13,-18,-4,15,-4,-11,-1,-8,-11,-9,0,-8
-11,-16,-5,13,-2,-10,-1,-8,-10,-8,0,-8
-7,-12,-5,9,0,-9,0,-7,-9,-7,1,-7
-4,-8,-4,6,0,-6,1,-7,-8,-6,2,-6
-4,-6,-3,5,0,-5,2,-6,-8,-6,3,-5
-6,-8,-3,7,-1,-6,1,-7,-9,-6,2,-6
-9,-12,-3,11,-3,-8,0,-9,-10,-8,1,-7
-11,-12,-2,12,-4,-7,0,-9,-10,-8,1,-7
-9,-9,-1,9,-4,-5,0,-9,-8,-6,2,-5
-9,-8,0,8,-5,-4,1,-9,-8,-6,3,-5
-11,-9,1,9,-7,-3,1,-9,-8,-6,3,-5
-12,-9,2,10,-8,-3,1,-9,-8,-6,3,-5
-12,-10,2,10,-8,-4,1,-9,-8,-7,2,-5
-12,-9,2,10,-8,-4,1,-9,-8,-6,3,-5
-13,-10,3,11,-8,-4,2,-8,-8,-6,3,-5
-15,-11,3,13,-9,-4,1,-9,-8,-6,2,-6
-16,-13,3,15,-9,-5,1,-10,-8,-7,2,-7
-18,-15,3,16,-10,-6,0,-10,-9,-8,1,-7
-19,-16,4,17,-11,-6,0,-10,-9,-8,1,-7
-19,-15,4,17,-12,-5,0,-10,-9,-8,2,-7
-18,-14,5,16,-13,-4,1,-10,-8,-8,2,-6
-17,-13,4,15,-12,-4,1,-9,-8,-8,3,-6
-16,-12,3,14,-10,-4,1,-9,-8,-8,3,-7
-15,-11,4,13,-9,-4,2,-9,-8,-7,3,-7
-14,-7,6,11,-10,-1,3,-7,-6,-5,5,-5
-15,-5,9,10,-11,1,4,-5,-4,-3,7,-3
-17,-7,10,12,-13,1,4,-5,-4,-4,6,-3
-21,-12,10,16,-15,-1,2,-7,-5,-6,5,-5
-26,-16,9,21,-18,-3,2,-7,-7,-7,4,-6
-26,-16,9,21,-18,-3,3,-7,-6,-7,4,-6
-23,-14,9,19,-16,-3,4,-6,-5,-6,4,-5
-22,-13,8,17,-15,-2,4,-5,-4,-6,5,-5
-20,-11,9,16,-15,-1,5,-4,-3,-5,5,-4
-19,-8,10,14,-14,1,6,-4,-2,-4,6,-3
-18,-8,11,13,-14,1,5,-4,-2,-4,7,-3
