leadI,leadII,leadIII,leadaVR,leadaVL,leadaVF,leadV1,leadV2,leadV3,leadV4,leadV5,leadV6
0,0,0,0,0,0,0,-1,0,-1,-1,-2
-1,0,1,0,-1,1,-1,-2,-1,-2,-2,-6
-1,0,1,0,-1,0,-2,-2,-1,-3,-3,-8
-1,-1,1,1,-1,0,-2,-3,-1,-3,-3,-9
-2,-1,1,1,-1,0,-2,-3,-1,-4,-4,-10
-2,0,2,0,-2,1,-2,-3,-2,-4,-4,-11
-2,0,2,0,-2,1,-2,-3,-2,-5,-5,-12
-3,0,3,1,-3,1,-2,-4,-2,-5,-5,-13
-3,-1,3,1,-3,1,-2,-4,-2,-6,-5,-13
-3,-1,3,1,-4,1,-1,-4,-2,-6,-6,-14
-3,-1,3,1,-4,1,-1,-3,-1,-6,-6,-14
-3,0,3,1,-4,1,0,-3,-1,-6,-6,-14
-4,0,3,1,-4,1,0,-3,0,-6,-6,-14
-4,0,4,1,-4,2,0,-2,0,-6,-6,-14
-4,0,4,1,-4,2,1,-2,0,-5,-6,-14
-4,0,4,1,-5,2,1,-2,1,-5,-6,-15
-5,0,5,2,-5,2,1,-2,1,-5,-6,-15
-5,0,5,2,-6,2,2,-1,2,-5,-6,-15
-5,0,5,2,-6,2,3,-1,2,-5,-5,-15
-5,0,5,2,-6,2,3,-1,3,-4,-5,-15
-6,-1,5,3,-6,2,4,0,4,-4,-6,-16
-7,-2,6,4,-7,2,4,0,4,-4,-6,-16
-7,-2,6,4,-7,2,4,1,5,-3,-6,-16
-6,-1,6,3,-7,2,5,2,6,-3,-5,-16
-7,-1,6,3,-7,2,5,2,7,-2,-5,-16
-8,-1,6,4,-7,2,6,3,7,-2,-5,-16
-8,-2,7,4,-8,2,6,3,7,-2,-5,-16
-8,-2,7,5,-8,2,7,3,8,-1,-5,-16
-9,-2,8,5,-9,2,7,3,9,-1,-4,-16
-9,-2,8,5,-9,3,7,3,9,0,-4,-16
-9,-1,9,5,-9,3,7,3,10,0,-4,-16
-9,-1,9,4,-9,3,7,4,11,0,-4,-16
-9,-1,9,4,-9,3,8,5,12,1,-3,-16
-9,0,9,4,-9,3,8,6,13,2,-3,-16
-9,0,9,4,-9,3,9,7,14,2,-3,-16
-9,0,9,4,-9,3,9,7,15,3,-3,-17
-8,0,9,4,-9,3,9,8,16,3,-2,-17
-8,0,9,4,-9,3,9,8,17,3,-2,-17
-8,0,9,4,-9,3,10,9,18,4,-1,-17
-8,0,9,4,-9,3,10,9,19,5,-1,-17
-8,0,9,4,-9,3,11,9,19,6,0,-16
-8,0,9,4,-9,3,11,9,19,6,0,-15
-8,0,9,4,-9,4,11,10,19,6,0,-14
-8,1,9,3,-9,5,11,10,20,7,1,-14
-8,1,10,3,-9,5,11,10,20,7,1,-14
-8,1,10,3,-9,5,10,10,21,7,1,-14
-8,2,10,3,-9,5,10,10,21,7,2,-12
