leadI,leadII,leadIII,leadaVR,leadaVL,leadaVF,leadV1,leadV2,leadV3,leadV4,leadV5,leadV6
0,-1,-1,1,0,-1,1,1,0,-1,-3,-2
0,-3,-3,2,1,-3,2,2,0,-4,-8,-7
0,-4,-4,2,2,-4,2,3,0,-5,-11,-9
0,-4,-5,2,3,-5,3,4,0,-6,-13,-10
0,-4,-5,2,3,-5,3,5,1,-6,-13,-10
0,-5,-6,2,3,-5,4,5,1,-6,-14,-11
0,-5,-6,2,3,-6,4,5,1,-6,-14,-11
0,-6,-6,2,3,-6,4,5,1,-6,-14,-11
1,-6,-7,2,4,-6,4,5,1,-6,-14,-11
1,-6,-7,3,4,-7,4,5,0,-6,-14,-11
1,-6,-7,3,4,-7,4,4,0,-7,-15,-11
0,-6,-7,3,4,-7,4,4,0,-7,-14,-11
0,-6,-6,3,4,-7,4,4,0,-7,-14,-10
0,-6,-6,3,3,-7,4,4,0,-7,-13,-10
-1,-7,-6,4,3,-7,3,4,0,-7,-13,-10
-1,-7,-6,4,2,-7,3,3,-1,-7,-13,-10
-1,-7,-6,4,2,-6,3,3,-1,-6,-12,-10
-1,-6,-6,4,2,-6,4,3,-1,-6,-12,-9
0,-6,-6,3,3,-6,4,3,-1,-5,-12,-9
0,-6,-7,3,3,-7,4,3,-1,-5,-12,-9
0,-7,-7,4,3,-7,4,3,-1,-6,-12,-9
0,-7,-7,4,3,-7,4,2,-1,-6,-12,-9
0,-7,-7,4,4,-7,3,2,-1,-6,-11,-9
1,-7,-8,3,4,-7,3,2,-1,-6,-11,-9
2,-6,-8,2,5,-7,3,2,-1,-6,-11,-9
2,-6,-8,2,5,-7,3,2,-1,-6,-11,-9
3,-5,-8,1,5,-7,3,2,-1,-6,-11,-9
3,-5,-7,1,5,-7,3,2,-1,-6,-11,-9
3,-4,-7,1,5,-6,3,2,-1,-6,-11,-9
3,-4,-7,1,5,-6,3,2,-1,-6,-11,-8
3,-4,-7,1,5,-6,3,2,-1,-6,-11,-8
2,-5,-7,2,5,-7,3,2,-2,-6,-11,-8
0,-7,-7,4,4,-8,2,1,-2,-7,-12,-8
-1,-8,-6,5,3,-8,2,0,-3,-7,-12,-8
-2,-8,-6,6,2,-8,3,1,-2,-7,-12,-8
-3,-8,-5,6,1,-7,3,1,-2,-7,-11,-7
-2,-8,-5,6,1,-7,2,1,-2,-7,-11,-7
-1,-6,-5,4,2,-6,2,1,-2,-7,-10,-7
1,-3,-4,1,2,-4,2,1,-2,-5,-9,-6
2,-1,-3,0,2,-2,2,2,-1,-4,-8,-6
2,0,-2,-1,2,-1,2,2,0,-3,-7,-5
2,1,-2,-1,2,0,2,2,0,-2,-6,-5
1,1,-1,-1,1,0,2,1,0,-2,-6,-5
0,0,0,0,0,0,2,1,0,-2,-7,-5
0,0,0,0,0,0,1,1,0,-2,-7,-5
0,0,0,0,0,0,1,1,0,-2,-7,-5
0,2,1,-1,0,1,1,2,1,0,-6,-3
1,3,1,-1,0,2,1,3,2,0,-5,-3
2,3,0,-1,0,1,1,2,1,-1,-5,-3
2,3,0,-1,1,1,1,2,1,-1,-5,-3
3,3,0,-2,1,1,2,2,1,-1,-5,-2
3,3,0,-3,2,1,2,2,1,-1,-4,-2
3,4,0,-3,1,2,0,1,1,-1,-4,-2
2,4,1,-3,0,2,0,0,1,-1,-3,-2
2,4,1,-3,0,3,-1,0,1,-1,-3,-1
3,6,2,-4,0,4,-2,-1,1,0,-2,0
4,8,2,-6,1,5,-3,-1,1,1,-1,0
5,8,2,-6,1,5,-4,-2,1,1,-1,1
5,7,1,-6,2,4,-5,-2,0,1,-1,1
5,5,0,-5,2,2,-5,-2,0,1,-2,1
5,3,-1,-5,3,1,-5,-2,0,0,-2,0
6,2,-3,-4,4,0,-5,-2,-1,0,-3,0
6,2,-5,-4,5,-1,-6,-1,-1,-1,-3,0
7,1,-6,-4,6,-2,-6,-1,-2,-2,-3,0
7,1,-6,-4,7,-3,-6,-1,-2,-3,-3,0
7,0,-7,-3,7,-3,-6,-1,-2,-3,-3,0
7,0,-7,-3,7,-3,-6,-1,-2,-3,-3,0
7,0,-7,-3,7,-3,-6,-1,-3,-3,-4,0
7,1,-6,-3,7,-3,-6,-1,-3,-3,-4,0
7,2,-5,-4,6,-2,-5,0,-2,-2,-3,0
7,2,-5,-4,6,-1,-5,0,-2,-2,-3,0
7,2,-5,-4,6,-1,-5,0,-3,-2,-3,0
7,1,-5,-4,6,-2,-5,-1,-4,-3,-4,0
7,1,-5,-4,6,-2,-4,-1,-4,-3,-4,1
8,2,-5,-4,7,-2,-3,-1,-4,-2,-3,1
8,1,-6,-5,7,-2,-3,0,-4,-2,-3,1
8,0,-7,-4,8,-4,-3,-1,-4,-2,-3,1
7,-1,-8,-2,7,-5,-3,-1,-5,-3,-3,0
6,-2,-8,-1,7,-5,-3,-2,-6,-4,-4,0
5,-2,-7,-1,6,-5,-2,-3,-7,-5,-4,0
4,-2,-7,0,6,-4,-2,-3,-7,-5,-5,0
2,-4,-6,2,4,-5,-2,-3,-7,-5,-6,-1
0,-6,-6,4,3,-6,-1,-3,-7,-6,-6,-3
-2,-7,-5,5,2,-6,0,-3,-8,-7,-7,-3
-2,-7,-5,6,2,-7,1,-2,-8,-7,-7,-4
-1,-8,-6,5,2,-7,2,-2,-8,-7,-7,-4
-1,-8,-6,5,3,-7,3,-1,-7,-7,-7,-4
-2,-9,-6,6,2,-8,3,0,-7,-7,-7,-3
-3,-10,-6,7,2,-8,4,0,-6,-7,-7,-3
-4,-11,-7,8,2,-9,4,0,-6,-7,-7,-2
-3,-11,-8,8,3,-10,4,0,-6,-8,-7,-2
-3,-12,-9,8,3,-10,5,1,-6,-8,-8,-3
-2,-12,-10,8,3,-11,5,1,-5,-7,-7,-3
-1,-12,-10,7,4,-11,6,2,-5,-6,-7,-3
0,-12,-11,7,5,-11,6,1,-5,-7,-8,-3
-1,-13,-11,7,5,-12,6,1,-6,-7,-8,-4
-2,-13,-11,8,4,-12,6,1,-6,-7,-8,-5
-3,-13,-11,9,3,-12,6,1,-6,-7,-8,-4
-3,-13,-11,9,3,-12,6,2,-5,-6,-7,-4
-3,-13,-11,9,4,-12,6,2,-5,-6,-7,-4
-3,-14,-11,9,3,-12,6,2,-5,-6,-7,-4
-4,-14,-10,10,2,-12,6,2,-5,-6,-7,-4
-5,-14,-9,10,1,-12,6,2,-5,-6,-6,-4
-5,-13,-8,10,1,-11,6,2,-5,-6,-6,-4
-5,-13,-8,9,1,-11,6,2,-5,-5,-5,-3
-6,-13,-8,9,1,-11,6,2,-5,-4,-5,-3
-6,-13,-8,9,1,-11,6,2,-4,-3,-5,-4
-5,-13,-9,9,1,-11,6,2,-4,-3,-5,-4
-4,-13,-9,9,2,-11,7,2,-3,-3,-5,-4
-4,-13,-9,9,2,-11,7,2,-3,-3,-5,-3
-5,-14,-9,10,1,-12,7,3,-3,-2,-5,-3
-5,-14,-8,10,1,-12,7,3,-3,-2,-5,-3
-4,-13,-9,9,1,-12,7,3,-3,-2,-5,-2
-4,-13,-9,9,1,-12,6,3,-4,-3,-5,-2
-5,-13,-8,9,1,-11,6,2,-4,-3,-5,-3
-6,-13,-7,10,0,-10,6,2,-4,-3,-5,-3
-4,-11,-7,8,1,-9,7,3,-3,-3,-5,-2
