leadI,leadII,leadIII,leadaVR,leadaVL,leadaVF,leadV1,leadV2,leadV3,leadV4,leadV5,leadV6
1,-2,-3,0,2,-2,1,0,0,1,-3,5
2,-5,-7,1,5,-6,4,1,1,3,-9,13
3,-7,-11,2,7,-9,6,1,1,4,-13,17
4,-10,-14,4,9,-12,7,1,2,5,-16,17
2,-13,-16,6,9,-15,8,1,3,6,-18,17
0,-16,-17,8,9,-17,9,1,4,7,-19,17
1,-17,-18,9,10,-18,10,1,4,7,-20,17
1,-16,-18,8,10,-17,10,0,3,6,-20,19
2,-13,-16,6,9,-14,9,0,3,6,-19,20
2,-11,-14,5,8,-12,8,-1,2,5,-19,20
2,-10,-13,4,8,-11,5,-2,1,5,-19,19
2,-10,-13,4,8,-12,3,-4,1,5,-19,18
2,-11,-15,5,8,-13,1,-5,2,6,-19,17
2,-12,-16,5,9,-14,0,-6,2,6,-20,16
2,-13,-16,6,9,-15,-2,-7,2,6,-20,16
2,-13,-16,6,9,-15,-3,-7,2,6,-20,17
3,-12,-15,5,9,-14,-3,-7,1,5,-20,18
4,-10,-14,3,9,-12,-3,-7,1,5,-19,19
4,-8,-12,2,9,-10,-4,-6,1,5,-19,19
4,-7,-11,2,8,-9,-4,-6,1,5,-19,19
4,-7,-11,2,8,-9,-4,-6,1,5,-19,18
2,-8,-10,3,6,-9,-3,-5,2,6,-18,17
1,-8,-9,4,5,-9,-2,-4,3,7,-18,17
2,-9,-10,4,6,-9,-2,-3,3,7,-18,17
4,-8,-12,2,8,-10,-2,-3,2,6,-19,18
5,-6,-12,1,8,-9,-2,-3,2,5,-18,18
5,-6,-11,1,8,-9,-2,-3,1,5,-18,18
4,-6,-10,2,7,-8,-2,-3,1,5,-18,18
3,-7,-11,2,7,-9,-2,-4,0,5,-19,17
4,-8,-12,2,8,-10,-3,-4,0,4,-19,16
4,-9,-14,2,9,-12,-3,-4,0,4,-20,15
4,-10,-15,3,9,-13,-3,-4,-1,3,-20,14
4,-10,-15,3,9,-13,-3,-4,-1,3,-20,14
5,-10,-16,2,11,-13,-3,-4,-2,2,-21,14
8,-9,-17,1,13,-13,-4,-4,-2,1,-21,13
9,-8,-17,0,13,-13,-4,-4,-3,1,-21,13
9,-8,-17,0,13,-13,-4,-4,-3,1,-21,13
8,-9,-17,0,13,-13,-4,-3,-2,1,-20,13
8,-9,-17,0,12,-13,-4,-3,-2,2,-20,13
7,-9,-17,0,12,-13,-4,-3,-2,2,-19,13
6,-9,-16,1,11,-13,-3,-3,-2,2,-19,13
6,-9,-15,1,11,-12,-3,-2,-1,2,-18,13
5,-8,-14,1,10,-11,-2,-2,-1,2,-18,13
5,-7,-12,1,9,-10,-2,-1,0,2,-17,14
4,-7,-10,2,7,-9,-1,-1,0,3,-17,14
3,-7,-10,2,7,-8,-1,0,0,3,-16,14
4,-7,-11,1,7,-9,-1,0,0,3,-16,14
4,-7,-12,1,8,-9,-1,-1,0,3,-16,13
4,-6,-12,1,8,-9,-1,-1,0,3,-16,13
4,-6,-11,1,8,-9,-1,-1,0,3,-16,13
4,-6,-11,1,8,-9,-1,-1,-1,2,-15,14
5,-6,-11,0,8,-9,-1,-1,-1,2,-15,14
7,-5,-12,0,10,-9,-1,-1,-1,2,-15,14
7,-5,-12,0,10,-9,-1,0,-1,2,-15,14
6,-5,-11,0,9,-8,-1,0,-1,2,-15,14
6,-5,-11,0,9,-8,-1,0,-1,2,-15,14
6,-5,-11,0,9,-9,-1,0,-1,2,-15,13
5,-5,-11,0,9,-8,-1,0,-1,2,-15,13
4,-5,-10,0,8,-8,-1,0,-1,2,-15,13
5,-5,-11,0,9,-8,-1,0,-2,1,-15,13
6,-5,-12,-1,10,-9,-1,0,-2,1,-15,13
6,-5,-12,-1,10,-9,-1,0,-2,1,-15,13
6,-5,-12,0,9,-9,-1,0,-2,0,-15,12
7,-5,-12,0,10,-9,-1,0,-2,0,-15,12
7,-5,-12,0,10,-9,-1,0,-2,0,-15,11
6,-5,-12,0,9,-9,-1,0,-2,0,-15,11
5,-6,-10,1,7,-9,-1,0,-2,0,-15,11
3,-6,-9,2,6,-8,0,0,-2,0,-15,11
2,-6,-8,2,5,-8,0,0,-2,0,-15,11
2,-7,-9,2,5,-8,0,0,-2,0,-15,11
3,-7,-10,2,6,-9,0,0,-3,-1,-16,10
2,-8,-11,3,6,-9,0,0,-3,-1,-17,9
1,-9,-10,4,5,-9,0,-1,-3,-1,-17,9
-3,-9,-6,6,2,-8,1,0,-1,0,-16,9
-5,-9,-3,7,-1,-6,2,0,1,2,-15,9
-4,-8,-4,6,0,-6,2,1,3,3,-14,9
0,-7,-6,4,2,-7,2,4,5,5,-12,9
3,-6,-7,2,5,-7,3,11,9,9,-8,11
8,-4,-10,-2,10,-7,5,27,15,16,-1,14
16,-1,-16,-7,16,-8,9,51,23,26,8,20
26,4,-21,-15,24,-8,14,81,34,39,21,29
38,12,-25,-25,32,-7,19,111,47,53,36,39
50,22,-27,-36,38,-3,22,130,56,66,50,51
62,34,-28,-48,45,2,21,135,62,76,64,64
73,45,-28,-59,50,8,18,131,67,85,76,78
81,57,-25,-69,53,16,16,124,73,95,89,91
86,68,-18,-77,52,25,15,117,79,104,101,103
86,77,-8,-81,47,35,16,112,85,111,109,114
78,85,7,-81,36,47,19,105,89,115,113,120
61,92,32,-76,15,62,23,90,91,115,112,123
39,101,63,-70,-11,82,24,63,89,110,107,123
19,110,92,-64,-36,100,20,26,80,99,97,121
0,115,116,-58,-58,115,12,-19,63,82,81,115
-18,117,135,-50,-76,126,1,-67,40,61,62,106
-33,112,146,-40,-90,129,-9,-109,14,36,39,94
-45,101,146,-28,-95,124,-19,-142,-12,8,13,78
-50,82,132,-16,-91,108,-27,-164,-40,-21,-15,58
-47,61,108,-6,-77,85,-37,-178,-64,-48,-43,36
