leadI,leadII,leadIII,leadaVR,leadaVL,leadaVF,leadV1,leadV2,leadV3,leadV4,leadV5,leadV6
0,0,0,0,0,0,0,0,1,0,0,0
0,-1,-1,0,0,-1,-1,0,2,1,1,-1
0,0,-1,0,1,-1,-1,0,3,2,1,0
2,1,-1,-2,2,0,0,0,3,3,2,0
3,2,-1,-3,2,0,1,2,4,4,3,2
3,2,-1,-3,2,0,2,5,4,5,3,3
3,2,-1,-3,2,0,3,7,5,6,4,3
3,2,0,-3,2,1,4,9,5,6,4,3
3,2,0,-2,2,1,4,9,6,6,4,2
2,2,0,-2,1,1,4,6,6,6,4,2
1,3,1,-2,0,2,4,4,7,6,5,2
0,3,2,-2,0,2,4,3,7,7,5,2
0,2,2,-1,-1,2,5,4,6,7,5,2
0,1,2,0,-1,2,5,6,6,7,5,2
-1,0,2,0,-1,1,5,7,6,7,5,2
0,0,2,0,0,1,5,8,6,7,5,2
0,1,1,-1,0,1,5,8,6,7,5,2
0,1,2,-1,0,2,5,6,6,7,5,2
0,2,3,-2,-1,3,5,4,7,7,6,2
0,3,3,-2,-1,3,5,2,7,7,6,3
0,2,3,-1,-2,3,5,2,6,7,6,3
-1,1,3,0,-2,3,4,2,6,7,5,3
-1,2,3,-1,-2,3,5,4,7,7,6,3
0,4,4,-2,-1,4,5,6,7,8,6,3
2,5,4,-4,-1,5,6,6,7,9,7,4
1,5,4,-4,-1,4,5,5,7,9,7,3
0,4,4,-2,-2,4,4,3,7,9,7,3
-1,4,4,-1,-3,4,4,1,8,9,7,3
0,5,4,-3,-2,4,4,1,8,9,7,3
2,6,4,-4,-1,5,4,2,9,9,7,3
3,6,4,-4,0,5,4,3,8,9,7,3
3,6,4,-4,0,5,4,3,8,8,7,3
3,6,4,-4,0,5,3,4,8,8,7,3
2,5,4,-3,-1,5,3,3,8,8,7,2
0,4,4,-2,-2,5,2,1,8,8,7,2
-2,4,5,-1,-3,5,2,0,8,8,8,3
-3,4,6,-1,-4,5,2,0,8,8,8,3
-2,4,6,-1,-4,5,2,0,8,8,7,3
-2,4,6,-1,-4,5,2,0,8,8,7,3
-1,4,6,-1,-4,5,2,0,7,8,6,3
-1,4,5,-1,-3,4,1,0,7,8,6,3
0,3,4,-1,-3,4,1,0,6,7,5,2
0,3,3,-1,-2,4,1,-1,6,7,5,2
0,3,3,-2,-2,3,1,-1,6,6,4,1
0,3,2,-1,-2,3,1,-1,6,5,3,0
0,2,2,-1,-1,2,1,-1,5,4,1,-3
0,1,1,-1,0,1,1,0,4,3,-1,-5
0,0,0,0,0,0,1,0,2,0,-4,-8
0,-1,-1,0,1,-1,1,0,-1,-3,-8,-12
