leadI,leadII,leadIII,leadaVR,leadaVL,leadaVF,leadV1,leadV2,leadV3,leadV4,leadV5,leadV6
1,-1,-3,0,2,-2,-1,1,-1,-1,0,0
3,-2,-6,0,4,-4,-3,2,-2,-3,-2,0
4,0,-5,-2,4,-2,-2,2,-3,-6,-4,1
5,2,-2,-3,3,0,0,3,-4,-8,-7,1
5,4,0,-4,3,2,3,4,-4,-10,-8,1
5,4,-1,-4,3,1,3,4,-4,-10,-8,1
5,0,-4,-3,5,-2,2,4,-4,-9,-7,0
5,-4,-8,0,7,-6,0,4,-4,-7,-5,0
5,-6,-11,1,8,-8,-2,4,-4,-5,-4,0
5,-6,-11,0,8,-8,-3,3,-4,-5,-4,0
6,-3,-8,-1,7,-6,-2,3,-4,-6,-5,0
6,1,-5,-3,6,-2,0,3,-4,-8,-6,0
6,3,-3,-4,5,0,1,3,-4,-10,-7,0
6,3,-2,-4,4,0,2,3,-4,-10,-8,0
6,1,-4,-4,5,-1,2,3,-4,-9,-7,0
6,-2,-8,-2,6,-5,0,3,-4,-8,-6,0
6,-5,-11,-1,8,-8,-2,3,-4,-6,-6,0
6,-6,-12,0,8,-9,-4,3,-4,-6,-6,0
6,-4,-10,-1,8,-7,-4,3,-4,-6,-6,0
6,-1,-7,-3,7,-4,-2,3,-4,-7,-7,-1
6,2,-4,-4,6,0,0,3,-4,-8,-7,-1
6,4,-3,-5,6,0,1,3,-5,-9,-7,-1
6,3,-4,-4,6,0,1,3,-5,-8,-7,-2
7,0,-7,-3,7,-3,0,3,-5,-7,-6,-2
7,-2,-10,-3,8,-6,-2,4,-5,-6,-6,-2
8,-3,-11,-3,9,-7,-3,4,-5,-6,-5,-2
7,-3,-10,-3,8,-6,-3,4,-6,-6,-5,-3
7,0,-7,-3,7,-3,-2,3,-6,-7,-6,-3
7,3,-4,-4,6,0,0,3,-6,-8,-6,-3
7,4,-2,-5,6,1,2,3,-6,-8,-7,-3
7,4,-3,-5,6,0,2,3,-6,-8,-7,-3
7,1,-5,-4,6,-1,1,3,-6,-8,-6,-3
7,-1,-8,-3,7,-4,0,3,-6,-7,-6,-3
7,-3,-10,-2,7,-6,-1,3,-6,-7,-6,-3
7,-3,-10,-2,8,-6,-1,3,-7,-6,-6,-3
7,-1,-9,-3,8,-5,0,3,-7,-6,-6,-3
7,1,-6,-3,7,-2,0,3,-7,-7,-6,-3
7,3,-4,-4,7,0,2,3,-7,-7,-6,-3
8,3,-4,-4,7,0,3,3,-7,-8,-6,-3
8,1,-6,-4,8,-1,3,3,-7,-8,-6,-3
8,-1,-8,-4,8,-4,2,3,-7,-8,-6,-3
8,-3,-10,-3,8,-6,1,3,-7,-8,-6,-3
8,-3,-10,-3,8,-6,0,3,-7,-8,-6,-3
8,-2,-9,-3,8,-5,0,3,-7,-8,-6,-3
8,0,-7,-4,7,-3,1,3,-6,-8,-7,-3
8,2,-5,-4,7,-1,2,3,-6,-8,-7,-3
8,3,-4,-4,7,0,3,3,-6,-8,-7,-3
8,2,-4,-4,7,0,3,3,-6,-8,-7,-3
8,0,-7,-4,7,-3,3,3,-5,-8,-7,-3
8,-2,-9,-4,7,-5,2,3,-5,-7,-7,-3
8,-2,-10,-4,7,-6,2,3,-5,-7,-7,-3
8,-2,-9,-4,7,-5,2,3,-5,-7,-7,-2
8,0,-7,-4,7,-3,2,3,-4,-7,-7,-2
8,3,-5,-4,7,-1,2,3,-4,-7,-7,-2
9,4,-4,-5,8,0,3,3,-4,-7,-7,-2
9,4,-4,-5,8,0,3,3,-4,-7,-7,-2
8,2,-6,-4,8,-1,4,3,-4,-7,-7,-2
8,0,-7,-4,7,-3,4,3,-4,-7,-7,-2
8,-1,-8,-4,7,-4,4,2,-4,-7,-7,-1
8,-1,-9,-4,7,-5,4,2,-4,-7,-7,-1
8,0,-8,-4,7,-3,5,2,-4,-7,-7,-1
8,1,-6,-4,7,-2,6,2,-4,-8,-7,-1
7,2,-4,-3,7,-1,7,2,-5,-8,-7,-1
7,3,-3,-3,6,0,9,2,-5,-8,-7,-1
7,2,-4,-3,6,0,10,1,-5,-8,-7,-1
7,1,-5,-4,6,-1,10,1,-5,-8,-7,-1
7,0,-5,-4,6,-2,10,1,-5,-8,-7,-1
7,0,-6,-5,6,-2,10,1,-5,-8,-7,-1
