leadI,leadII,leadIII,leadaVR,leadaVL,leadaVF,leadV1,leadV2,leadV3,leadV4,leadV5,leadV6
0,-4,-4,2,2,-4,-9,-26,-27,-14,-5,-1
0,-11,-11,6,5,-11,-24,-67,-70,-36,-13,-3
0,-16,-17,8,9,-17,-33,-88,-93,-50,-18,-4
2,-20,-22,9,12,-21,-39,-97,-106,-59,-22,-6
3,-24,-27,10,15,-25,-42,-100,-112,-64,-27,-9
4,-27,-32,11,18,-30,-44,-97,-113,-68,-31,-11
5,-31,-37,13,21,-34,-44,-91,-110,-69,-34,-14
6,-35,-41,14,23,-38,-42,-83,-105,-70,-36,-16
6,-38,-45,16,25,-41,-40,-73,-98,-69,-38,-19
7,-41,-49,17,28,-45,-36,-62,-89,-66,-40,-21
9,-44,-53,18,31,-48,-31,-49,-79,-62,-40,-24
10,-47,-57,18,33,-52,-26,-37,-68,-58,-41,-26
10,-48,-59,19,35,-54,-22,-25,-58,-53,-41,-27
11,-48,-60,19,36,-54,-19,-15,-47,-47,-40,-28
12,-47,-60,18,36,-53,-17,-5,-36,-41,-38,-27
13,-44,-58,16,35,-51,-15,4,-26,-34,-34,-26
13,-42,-56,15,35,-49,-13,13,-16,-28,-30,-24
14,-40,-55,13,35,-48,-9,21,-6,-21,-27,-23
16,-38,-55,11,35,-46,-5,29,2,-16,-24,-22
17,-36,-54,10,35,-45,-2,36,10,-11,-22,-21
18,-34,-53,8,35,-44,1,42,16,-7,-19,-20
18,-32,-52,7,35,-42,4,48,23,-3,-18,-19
19,-31,-51,6,34,-41,6,55,29,0,-18,-20
19,-30,-50,6,34,-40,9,61,35,1,-18,-20
18,-30,-49,6,33,-39,12,66,39,3,-18,-21
18,-28,-47,6,32,-37,14,71,43,5,-19,-22
18,-26,-44,5,31,-35,16,75,47,7,-20,-23
18,-24,-42,4,30,-33,18,79,51,9,-20,-23
18,-22,-40,3,29,-31,19,82,54,11,-19,-24
17,-20,-38,2,27,-29,20,84,57,12,-19,-24
17,-18,-35,1,26,-27,21,86,59,13,-18,-24
16,-16,-32,0,24,-25,23,89,61,14,-18,-24
15,-15,-30,1,23,-23,25,91,63,15,-17,-24
13,-15,-28,1,21,-22,26,94,65,17,-17,-24
12,-14,-26,1,19,-20,28,96,69,19,-16,-24
11,-12,-23,1,17,-17,29,99,72,21,-14,-24
10,-10,-20,0,15,-15,31,102,75,24,-13,-23
9,-7,-16,0,13,-12,33,103,77,25,-11,-22
8,-5,-12,0,11,-9,34,105,80,27,-10,-21
8,-3,-10,-1,9,-6,35,107,83,30,-8,-20
8,-1,-8,-2,8,-4,36,109,86,32,-5,-17
7,1,-6,-3,7,-2,36,111,89,35,-3,-15
6,3,-3,-4,5,0,37,112,92,38,0,-13
6,5,0,-5,3,2,38,114,95,41,3,-12
5,8,2,-6,1,5,38,115,97,44,4,-11
5,10,5,-6,0,7,38,115,98,45,5,-10
4,11,8,-7,-2,10,38,116,100,47,6,-10
3,13,11,-7,-4,12,39,117,103,49,8,-8
1,15,14,-7,-6,15,41,119,106,51,10,-7
0,17,18,-8,-9,18,42,122,108,52,10,-6
-2,18,21,-7,-11,20,43,124,110,54,12,-5
-3,19,23,-7,-13,21,43,125,111,56,13,-4
-4,20,24,-7,-13,21,44,125,112,57,15,-3
-4,20,24,-7,-14,22,46,125,113,57,16,-3
-4,20,25,-7,-14,22,46,125,113,58,16,-2
-5,20,25,-7,-15,22,47,124,113,58,16,-3
-6,19,25,-6,-15,22,47,124,113,58,15,-3
-6,19,25,-5,-16,21,48,124,113,58,15,-3
-6,18,24,-5,-15,21,48,124,113,58,16,-3
-5,18,23,-5,-14,20,48,124,113,58,17,-2
-5,18,23,-5,-14,21,48,124,113,58,16,-1
-5,18,23,-5,-14,21,48,124,112,58,16,-1
-5,18,23,-5,-14,21,47,123,112,58,15,-1
-5,18,23,-5,-14,20,45,123,112,58,15,-2
-5,18,23,-5,-14,21,44,122,112,57,14,-2
-5,18,24,-5,-14,21,43,121,111,57,14,-2
-5,18,23,-5,-14,21,42,120,111,57,15,-2
-5,18,23,-5,-14,20,42,120,111,57,15,-3
-5,17,22,-5,-13,20,42,120,111,56,14,-3
-5,17,22,-5,-13,20,43,120,111,56,14,-3
-4,17,21,-6,-13,20,43,119,111,56,15,-3
-4,17,21,-6,-13,20,44,119,110,56,15,-3
-4,17,21,-6,-13,19,44,119,109,56,14,-3
-4,16,21,-6,-13,19,45,118,109,55,14,-3
-4,17,21,-6,-13,19,45,118,109,55,13,-3
-4,17,21,-6,-12,19,46,117,109,55,13,-3
-4,16,20,-6,-12,18,46,117,109,55,12,-4
-4,16,21,-6,-12,19,46,116,108,54,12,-5
-4,16,21,-6,-12,19,46,115,108,54,12,-5
