leadI,leadII,leadIII,leadaVR,leadaVL,leadaVF,leadV1,leadV2,leadV3,leadV4,leadV5,leadV6
-1,-1,0,1,-1,0,-3,-2,-1,-2,-4,-5
-4,-4,0,4,-2,-1,-8,-6,-4,-5,-11,-12
-6,-5,1,6,-4,-2,-11,-8,-5,-7,-14,-16
-9,-6,3,8,-6,-2,-13,-9,-6,-7,-16,-18
-11,-7,4,9,-8,-2,-14,-10,-6,-7,-17,-19
-11,-7,4,10,-8,-1,-14,-10,-6,-6,-17,-19
-12,-6,6,9,-9,0,-14,-9,-5,-5,-16,-19
-12,-5,8,9,-10,2,-14,-8,-4,-4,-15,-19
-12,-4,9,8,-11,3,-14,-8,-4,-3,-14,-18
-12,-3,9,8,-10,3,-14,-7,-3,-2,-13,-17
-11,-3,8,7,-10,3,-14,-7,-2,-1,-12,-16
-10,-2,8,6,-9,3,-14,-6,-1,0,-11,-15
-9,-1,8,5,-8,3,-14,-6,0,1,-10,-14
-8,0,8,4,-8,4,-15,-5,0,2,-9,-13
-8,1,8,3,-8,4,-15,-4,2,3,-8,-12
-8,0,8,3,-8,4,-15,-3,3,5,-6,-11
-9,0,8,4,-9,4,-15,-2,4,7,-4,-9
-8,0,8,4,-8,4,-15,-1,5,9,-2,-7
-6,1,8,2,-7,5,-15,0,6,11,0,-5
-5,2,8,1,-7,5,-15,0,7,13,1,-4
-4,3,8,0,-6,5,-15,1,8,14,2,-3
-3,3,7,-1,-5,5,-15,1,9,15,3,-2
-2,4,6,-1,-4,4,-16,2,10,16,5,-1
-1,5,5,-2,-3,4,-16,3,10,17,6,0
0,5,5,-3,-2,4,-16,4,11,18,8,1
1,4,3,-3,-1,3,-16,4,11,19,9,1
3,4,1,-3,1,2,-17,4,11,19,9,2
4,5,1,-4,1,3,-17,4,11,20,11,4
3,5,3,-4,0,4,-16,5,12,20,12,5
4,6,3,-5,0,4,-16,5,12,21,13,6
5,6,2,-6,1,4,-16,5,12,21,14,7
5,6,2,-6,1,4,-16,5,12,22,14,7
5,6,2,-6,1,4,-16,4,12,22,15,8
6,7,2,-6,1,5,-17,4,12,22,15,8
7,8,1,-7,2,5,-17,4,12,22,15,8
7,7,1,-7,2,4,-16,4,12,23,15,9
7,7,1,-7,2,4,-16,4,12,23,16,9
7,7,1,-7,2,4,-17,3,11,22,15,9
8,8,1,-7,2,4,-17,3,11,22,15,9
8,9,1,-8,3,5,-17,3,11,21,16,9
8,8,0,-8,3,4,-17,3,11,21,16,9
8,7,-1,-8,4,3,-17,3,10,21,16,9
8,6,-2,-7,4,2,-16,3,10,21,16,9
8,6,-1,-7,4,2,-16,3,11,21,16,9
6,6,0,-6,2,2,-15,3,11,21,16,10
6,6,0,-6,2,2,-15,3,11,20,16,10
10,7,-2,-8,6,2,-16,3,10,19,15,10
14,7,-7,-10,10,0,-16,3,9,18,15,9
16,6,-9,-11,13,-1,-16,3,8,17,14,8
17,6,-9,-11,13,-1,-16,3,8,17,14,8
17,7,-9,-11,13,-1,-16,3,7,17,14,7
19,8,-10,-13,14,-1,-17,3,6,16,13,6
21,8,-12,-15,16,-2,-18,2,5,15,12,5
22,8,-13,-15,17,-2,-18,2,4,14,11,4
21,7,-13,-15,17,-2,-18,1,3,13,11,4
19,7,-11,-13,15,-1,-18,0,4,14,11,4
15,7,-8,-11,11,0,-16,1,5,15,11,5
11,7,-4,-8,7,1,-15,1,6,17,12,6
7,7,0,-6,3,3,-14,1,7,18,12,7
5,8,3,-6,1,5,-13,1,8,19,12,8
5,8,4,-6,0,6,-13,2,9,19,12,8
4,8,5,-6,0,6,-12,2,9,20,12,9
3,7,5,-5,0,6,-12,3,9,19,12,9
3,6,4,-5,0,5,-12,3,9,18,12,9
3,6,3,-5,0,5,-12,4,9,18,12,9
3,6,3,-5,0,5,-11,5,10,18,12,9
3,6,3,-5,0,4,-10,5,11,18,13,9
3,6,2,-5,1,4,-10,5,11,18,13,9
4,5,1,-5,1,3,-10,5,10,18,12,9
4,5,1,-5,2,2,-10,5,10,18,12,8
4,4,0,-4,1,2,-10,6,10,18,12,8
3,3,1,-3,1,2,-10,6,10,18,12,8
3,4,2,-3,0,4,-9,7,11,18,12,9
2,5,3,-3,0,5,-8,8,11,19,12,9
2,4,3,-3,0,4,-7,8,12,19,12,9
2,4,2,-3,0,3,-7,8,12,19,12,9
2,5,3,-4,0,4,-7,8,12,19,12,9
1,5,4,-4,-1,4,-7,8,12,19,12,9
0,4,3,-3,-1,4,-7,8,12,19,12,9
0,3,3,-2,-1,3,-7,8,12,19,12,9
1,4,3,-3,-1,4,-6,9,13,18,12,8
3,6,2,-5,0,4,-6,9,13,18,12,8
4,7,2,-6,0,5,-6,9,14,18,12,8
4,7,2,-6,0,5,-5,10,14,18,12,8
3,6,2,-5,0,4,-5,11,15,18,12,8
3,5,2,-4,0,4,-5,11,15,18,12,8
4,5,1,-5,1,4,-5,12,15,18,12,9
4,5,2,-4,0,4,-4,12,16,18,13,10
3,5,3,-4,0,4,-4,13,17,19,15,11
2,6,4,-5,-1,5,-4,14,18,20,15,12
3,7,5,-6,-1,6,-5,14,18,20,15,12
4,9,5,-8,0,7,-5,14,19,20,15,12
5,11,6,-9,0,8,-5,15,20,21,16,13
5,12,7,-9,-1,9,-5,15,21,22,17,14
6,14,9,-10,-2,12,-6,15,21,22,18,15
6,16,11,-11,-2,14,-6,14,21,22,18,15
7,16,11,-12,-2,14,-7,14,21,22,18,15
7,17,10,-12,-2,14,-8,13,21,22,18,16
8,17,10,-13,-1,14,-9,13,21,22,19,16
8,17,10,-13,-1,14,-9,13,21,22,19,17
7,17,10,-13,-2,14,-9,13,21,22,19,17
7,18,11,-12,-2,14,-9,13,21,22,19,16
8,18,11,-13,-1,14,-10,14,22,23,20,17
9,19,10,-14,0,14,-10,14,22,23,20,17
11,18,8,-15,1,13,-11,14,22,23,20,18
12,17,5,-15,3,11,-13,14,22,23,20,18
11,16,5,-14,3,10,-14,14,22,23,20,19
11,15,4,-14,3,10,-15,14,22,23,20,20
12,15,2,-14,5,9,-15,14,21,23,20,20
