leadI,leadII,leadIII,leadaVR,leadaVL,leadaVF,leadV1,leadV2,leadV3,leadV4,leadV5,leadV6
-3,5,8,-1,-5,6,-3,-3,3,-1,-5,-7
-8,12,20,-2,-14,16,-8,-7,9,-4,-14,-18
-10,17,27,-4,-18,22,-10,-9,12,-5,-18,-25
-10,21,31,-6,-20,27,-11,-10,15,-5,-21,-29
-10,24,33,-7,-21,29,-12,-10,16,-4,-22,-32
-10,24,34,-7,-22,30,-12,-11,17,-4,-23,-33
-12,24,36,-6,-24,31,-12,-10,18,-3,-23,-34
-14,24,38,-5,-25,32,-11,-9,20,-2,-22,-34
-14,24,38,-5,-25,32,-11,-8,21,-1,-22,-35
-13,24,36,-5,-24,31,-11,-7,21,0,-21,-35
-11,24,35,-6,-23,30,-11,-6,21,0,-21,-36
-10,24,34,-6,-22,30,-10,-5,21,2,-20,-36
-10,24,33,-6,-22,29,-10,-4,21,3,-19,-36
-10,23,32,-6,-21,28,-9,-3,22,3,-19,-36
-10,22,32,-6,-21,27,-9,-2,22,4,-19,-37
-10,21,31,-6,-21,26,-8,-2,22,4,-19,-37
-10,20,30,-6,-20,25,-8,-1,22,5,-19,-37
-10,19,28,-5,-19,24,-8,0,22,6,-18,-37
-10,17,26,-4,-18,22,-7,1,22,7,-18,-38
-11,15,25,-3,-18,21,-7,2,22,7,-17,-38
-11,13,24,-1,-18,19,-6,3,22,8,-17,-39
-10,12,22,-1,-16,18,-6,3,22,8,-17,-39
-8,11,20,-1,-14,16,-5,4,22,8,-17,-39
-8,10,18,-1,-13,14,-5,4,22,9,-16,-39
-8,8,16,0,-12,12,-4,5,22,9,-16,-40
-7,7,14,0,-10,11,-4,6,22,9,-16,-40
-6,6,11,0,-8,9,-3,7,22,10,-16,-39
-5,4,9,0,-7,7,-2,8,22,10,-16,-39
-5,2,7,1,-6,5,-2,8,22,10,-15,-39
-4,0,5,1,-5,3,-1,9,22,10,-15,-39
-4,-1,3,2,-3,1,-1,9,21,10,-15,-39
-3,-3,1,2,-2,0,0,10,21,10,-15,-39
-3,-4,-1,3,-1,-2,0,11,21,10,-14,-38
-3,-6,-3,4,0,-4,0,12,21,10,-14,-38
-3,-9,-6,5,1,-7,1,12,21,10,-14,-37
-2,-11,-10,6,3,-10,1,12,20,9,-15,-37
-2,-14,-12,8,4,-13,1,13,19,9,-15,-36
-2,-16,-14,9,5,-15,1,13,18,8,-14,-35
-1,-17,-16,9,7,-16,2,14,18,8,-13,-34
0,-18,-18,9,9,-18,3,15,18,8,-13,-32
0,-20,-20,9,10,-19,3,15,18,8,-12,-31
1,-21,-24,9,13,-22,3,16,17,8,-12,-29
4,-23,-28,9,16,-25,3,16,15,7,-12,-29
5,-25,-32,10,18,-27,3,16,14,7,-12,-27
5,-28,-34,11,19,-30,3,16,13,7,-11,-25
4,-30,-35,12,19,-32,4,17,12,6,-10,-23
6,-30,-37,12,21,-33,4,17,12,6,-9,-20
7,-31,-38,11,22,-34,4,17,12,6,-8,-17
7,-31,-40,11,23,-35,4,17,11,6,-7,-15
8,-32,-42,11,25,-37,4,17,11,6,-6,-12
9,-33,-44,11,26,-38,4,18,10,6,-5,-9
10,-33,-45,11,27,-39,4,18,10,6,-3,-6
10,-34,-47,12,28,-40,4,18,9,6,-1,-3
10,-35,-47,12,28,-41,4,18,9,6,0,0
10,-36,-47,12,28,-41,4,18,9,7,2,4
11,-36,-48,12,29,-41,4,18,9,7,3,8
12,-36,-49,11,31,-42,3,18,8,7,4,11
12,-36,-49,11,31,-42,3,18,8,8,5,15
11,-36,-49,12,30,-42,4,18,8,8,7,18
11,-36,-48,13,30,-42,4,18,8,9,9,21
11,-36,-48,13,30,-42,4,18,9,9,11,24
12,-35,-48,12,30,-41,4,18,9,10,13,27
12,-35,-48,12,30,-41,4,18,9,10,15,31
12,-35,-48,11,30,-41,4,18,9,10,16,34
12,-35,-48,11,30,-40,4,18,9,11,17,36
13,-34,-48,10,31,-40,4,17,9,11,18,38
13,-34,-48,10,31,-40,4,17,9,11,18,39
13,-34,-48,10,31,-40,4,16,9,12,19,40
14,-33,-48,10,31,-40,4,16,9,12,20,42
14,-32,-48,9,31,-39,4,16,9,12,21,44
14,-33,-48,9,31,-40,4,16,9,12,22,45
13,-33,-47,9,30,-39,4,16,9,12,23,47
12,-32,-46,9,29,-38,4,16,9,13,23,48
11,-32,-44,10,28,-37,4,16,9,14,24,49
11,-32,-43,10,27,-37,4,16,9,14,24,50
11,-31,-42,10,27,-36,4,15,9,14,25,50
11,-31,-43,10,27,-36,4,15,9,14,25,50
12,-31,-43,10,27,-36,4,15,9,14,26,51
11,-31,-43,10,26,-36,4,15,9,15,26,51
11,-31,-43,10,26,-36,4,15,10,15,26,52
11,-31,-44,9,27,-37,4,15,9,15,26,52
12,-31,-44,9,28,-37,4,14,9,14,26,52
13,-30,-43,8,28,-36,4,14,9,14,26,52
13,-30,-42,8,27,-35,5,14,9,15,26,53
12,-30,-42,9,26,-35,5,14,9,15,26,53
10,-31,-41,10,25,-35,4,13,9,15,26,52
9,-31,-41,11,25,-35,4,13,9,15,26,52
9,-31,-41,10,25,-35,4,13,9,15,27,52
10,-29,-41,9,25,-34,5,14,10,15,28,53
11,-28,-40,8,25,-34,5,14,10,16,28,53
10,-29,-40,9,25,-34,4,13,9,15,28,53
11,-29,-40,9,25,-34,4,13,9,15,27,53
11,-28,-40,8,25,-34,4,13,9,15,28,53
11,-28,-39,8,25,-33,5,13,9,16,28,53
11,-28,-39,8,24,-33,5,13,9,16,28,53
11,-28,-39,8,24,-33,5,13,9,16,28,53
11,-28,-39,8,25,-33,5,13,9,16,28,53
11,-28,-39,8,25,-33,5,13,9,16,28,53
11,-28,-39,7,25,-33,5,13,9,16,28,52
12,-27,-40,7,26,-33,5,12,9,16,28,52
12,-27,-39,7,25,-32,5,12,9,16,28,52
11,-27,-38,7,24,-32,5,12,9,16,28,52
11,-27,-38,7,24,-32,5,12,9,16,28,51
10,-27,-38,8,24,-32,5,12,9,16,28,51
9,-27,-37,9,23,-32,5,12,9,16,28,51
7,-27,-35,10,21,-31,5,12,9,17,28,51
7,-27,-35,10,21,-30,5,12,9,17,28,51
7,-27,-34,10,21,-30,5,12,9,17,28,51
6,-28,-34,10,20,-30,5,12,9,17,28,50
7,-28,-35,10,21,-30,5,12,9,17,28,50
10,-27,-37,8,23,-31,5,12,9,17,28,49
11,-26,-38,7,24,-31,5,12,9,16,28,49
11,-26,-38,7,24,-31,5,12,9,16,28,49
9,-26,-36,7,23,-30,5,12,10,16,28,49
8,-26,-35,8,21,-30,6,12,10,16,27,48
7,-26,-34,9,20,-30,6,12,10,16,27,48
7,-26,-33,9,20,-29,6,12,10,16,27,47
7,-26,-33,9,20,-29,6,12,10,17,27,47
8,-26,-33,9,21,-29,6,12,10,17,27,47
8,-25,-33,9,21,-28,6,12,10,17,27,47
8,-25,-33,9,21,-28,7,12,10,17,27,47
7,-25,-33,9,20,-28,7,12,10,17,27,46
7,-25,-33,9,20,-28,6,12,10,16,26,46
7,-25,-33,9,20,-29,6,11,10,16,26,45
7,-26,-33,9,20,-29,6,11,10,16,26,45
7,-25,-32,9,19,-28,6,12,10,17,26,45
8,-25,-32,8,20,-28,7,12,11,17,26,45
8,-25,-33,8,20,-28,7,12,11,17,26,45
7,-26,-33,9,20,-29,7,12,11,17,26,44
7,-26,-33,9,20,-29,7,12,11,17,26,44
7,-25,-33,8,21,-29,7,12,12,17,26,43
8,-25,-33,8,21,-29,7,12,12,17,25,43
8,-25,-33,8,21,-29,7,11,12,16,25,43
8,-25,-33,8,21,-29,7,11,12,16,25,43
7,-25,-32,8,20,-28,7,11,13,16,25,43
7,-25,-31,9,19,-27,8,11,13,16,25,42
7,-25,-32,9,19,-28,8,11,13,16,25,42
7,-25,-32,9,19,-28,8,11,13,16,25,42
7,-25,-32,9,19,-28,8,11,13,16,25,42
7,-25,-32,9,20,-28,8,11,13,16,25,41
7,-25,-32,8,20,-28,7,11,13,16,25,41
6,-25,-31,9,19,-28,7,11,13,16,24,41
6,-26,-31,9,19,-28,8,11,13,16,24,41
6,-26,-32,9,19,-28,8,11,13,16,24,40
