leadI,leadII,leadIII,leadaVR,leadaVL,leadaVF,leadV1,leadV2,leadV3,leadV4,leadV5,leadV6
-1,-1,0,1,0,0,1,0,1,0,0,0
-2,-2,0,2,-1,-1,4,0,3,1,-1,-2
-2,-2,0,2,-2,-1,6,0,4,2,-1,-3
-3,-2,1,2,-2,-1,6,0,4,2,-2,-4
-3,-1,1,2,-2,-1,4,0,5,2,-2,-5
-3,-1,0,2,-2,-1,3,0,5,2,-2,-5
-3,-2,0,3,-2,-1,2,-1,5,2,-3,-5
-4,-3,0,4,-2,-2,2,-1,5,2,-3,-6
-4,-4,0,4,-1,-2,3,-1,5,2,-3,-6
-3,-4,0,4,-1,-2,5,-1,5,2,-3,-6
-3,-3,0,3,-1,-2,6,-1,6,2,-3,-6
-3,-3,0,3,-1,-2,7,-1,6,1,-4,-7
-3,-3,0,3,-1,-2,5,-1,5,1,-4,-7
-3,-3,0,3,-1,-2,3,-1,5,1,-4,-7
-3,-3,0,3,-1,-2,2,-1,5,1,-4,-7
-3,-3,0,3,-1,-2,2,-1,5,1,-5,-8
-3,-4,0,4,-1,-2,3,-1,5,0,-6,-9
-3,-4,0,4,-1,-2,5,-1,5,0,-7,-10
-3,-4,0,4,-1,-2,6,-1,5,-1,-8,-11
-3,-4,0,4,-1,-2,7,-1,5,-1,-8,-12
-3,-4,-1,4,-1,-2,6,-1,5,-1,-9,-12
-3,-4,-1,4,-1,-3,5,-1,5,-1,-10,-13
-3,-5,-1,5,-1,-3,4,0,5,-2,-11,-14
-3,-5,-1,5,-1,-3,4,0,5,-2,-11,-15
-4,-6,-1,5,-1,-4,5,0,5,-2,-12,-16
-4,-6,-1,5,-1,-4,5,0,5,-2,-12,-17
-4,-6,-1,5,-1,-4,6,0,5,-2,-12,-18
-4,-6,-1,5,-1,-4,7,0,5,-3,-13,-19
-4,-6,-1,5,-1,-4,7,0,5,-3,-13,-20
-4,-6,-1,5,-1,-4,6,0,5,-3,-14,-21
-4,-6,-1,5,-1,-4,5,0,5,-3,-14,-22
-4,-6,-1,5,-1,-4,4,0,5,-3,-15,-23
-4,-6,-1,5,-1,-4,4,0,5,-3,-15,-24
-4,-6,-1,5,-1,-4,4,0,5,-3,-14,-24
-4,-6,-1,6,-1,-4,5,0,5,-3,-14,-24
-4,-6,-1,6,-1,-4,5,0,5,-3,-14,-24
-4,-6,-1,6,-1,-4,5,0,5,-3,-13,-24
-4,-5,0,6,-1,-4,5,0,5,-3,-13,-24
-4,-5,0,5,-1,-3,4,0,4,-3,-12,-23
-3,-5,0,5,-1,-3,3,-1,4,-2,-10,-22
-3,-4,0,4,-1,-3,3,-1,3,-2,-8,-21
-3,-4,0,4,-1,-3,2,-2,2,-2,-6,-19
-2,-4,-1,4,0,-3,2,-2,1,-2,-4,-18
-1,-3,-1,3,0,-3,1,-3,0,-2,-3,-16
-1,-3,-1,2,0,-3,1,-3,-1,-2,-1,-13
-1,-3,-1,2,0,-3,0,-4,-2,-2,0,-11
0,-2,-2,2,0,-3,-2,-5,-3,-2,2,-8
0,-2,-2,1,1,-3,-3,-6,-4,-2,4,-5
1,-2,-2,1,2,-3,-4,-7,-5,-2,6,-2
2,-2,-3,1,2,-3,-5,-7,-5,-2,8,0
3,-1,-3,0,3,-3,-5,-8,-6,-2,9,3
4,0,-3,-1,4,-2,-6,-8,-7,-2,11,6
5,1,-4,-2,4,-2,-7,-9,-8,-2,12,9
6,2,-4,-3,5,-1,-8,-9,-8,-2,14,11
7,2,-4,-4,5,-1,-10,-9,-9,-2,15,14
7,3,-4,-4,6,-1,-11,-9,-9,-2,16,15
8,3,-4,-4,6,-1,-11,-9,-9,-3,17,17
8,4,-5,-5,7,-1,-12,-10,-9,-3,17,18
9,4,-5,-6,7,-1,-12,-10,-9,-3,17,19
9,4,-5,-6,7,-1,-12,-10,-8,-3,16,20
9,4,-5,-6,7,-1,-12,-10,-8,-4,16,20
10,4,-6,-6,8,-1,-12,-9,-7,-4,15,20
10,4,-6,-6,8,-1,-13,-9,-6,-4,14,20
10,3,-7,-6,8,-1,-13,-9,-5,-4,14,20
10,3,-7,-6,8,-1,-13,-8,-4,-4,13,20
9,3,-7,-6,8,-2,-12,-8,-3,-4,13,20
9,3,-7,-6,8,-2,-11,-7,-2,-5,12,19
9,3,-7,-6,8,-2,-11,-7,-1,-5,11,19
9,3,-6,-6,8,-1,-11,-6,0,-5,10,18
9,3,-5,-6,7,-1,-10,-6,1,-5,9,17
8,3,-5,-5,7,0,-10,-5,2,-5,8,16
7,3,-4,-5,6,0,-10,-5,3,-5,8,15
7,4,-3,-5,6,0,-9,-5,4,-5,7,14
6,4,-3,-5,5,0,-9,-5,5,-4,6,14
6,4,-3,-5,5,0,-8,-4,6,-4,5,13
6,4,-3,-5,5,0,-7,-4,7,-4,5,12
6,4,-2,-5,4,1,-6,-3,7,-3,5,12
5,4,-1,-5,4,1,-6,-3,7,-3,4,11
5,4,-1,-5,3,1,-5,-3,8,-3,3,10
5,4,-1,-5,3,1,-5,-3,8,-3,2,9
5,4,-1,-4,3,1,-5,-3,8,-3,2,8
4,4,0,-4,2,1,-4,-3,8,-3,1,7
4,4,0,-4,2,1,-3,-3,8,-3,1,7
4,4,0,-4,2,1,-2,-3,8,-4,1,6
4,4,0,-4,1,1,-1,-4,7,-4,1,6
3,4,1,-3,1,2,0,-4,7,-4,0,6
2,4,1,-3,1,2,0,-4,7,-4,0,6
2,5,2,-3,0,2,0,-5,7,-4,0,5
2,5,3,-3,0,3,1,-5,6,-4,-1,5
2,6,3,-3,0,4,1,-6,6,-4,-1,4
1,6,4,-3,-1,4,1,-6,5,-4,-1,4
1,6,4,-3,-1,5,2,-6,5,-4,-1,4
1,6,5,-3,-1,5,1,-6,4,-4,-1,4
1,7,5,-3,-1,5,0,-6,4,-4,-1,3
1,7,6,-3,-1,5,0,-6,4,-5,-2,3
0,7,6,-3,-2,6,0,-6,4,-5,-2,3
0,7,6,-3,-2,6,-1,-7,3,-5,-2,3
0,7,6,-3,-2,6,-1,-7,3,-5,-2,3
0,6,6,-3,-2,6,-2,-7,3,-5,-2,3
1,6,5,-3,-2,5,-2,-7,3,-5,-2,3
1,6,5,-3,-2,5,-2,-7,3,-5,-2,3
1,6,4,-3,-2,5,-1,-7,3,-5,-2,3
1,6,4,-3,-1,4,-1,-7,3,-5,-3,3
1,6,4,-3,-1,4,-1,-7,3,-6,-3,3
1,5,4,-2,-1,4,0,-7,3,-6,-3,3
1,5,4,-2,-1,4,0,-7,2,-6,-3,3
1,5,4,-2,-1,4,0,-7,2,-6,-3,3
1,5,4,-2,-1,4,-1,-7,1,-7,-3,2
1,5,4,-2,-1,4,-1,-7,1,-7,-4,2
1,5,5,-2,-1,4,0,-7,1,-8,-4,2
1,5,5,-2,-1,4,0,-7,1,-8,-4,2
