leadI,leadII,leadIII,leadaVR,leadaVL,leadaVF,leadV1,leadV2,leadV3,leadV4,leadV5,leadV6
-1,-1,0,1,0,0,0,-11,-2,-5,0,0
-2,-2,1,2,-2,0,1,-29,-7,-12,-1,-1
-3,-2,2,2,-3,0,2,-40,-9,-17,-1,-1
-3,-1,2,2,-3,0,2,-46,-11,-19,-1,-2
-3,-1,2,1,-3,1,2,-49,-12,-21,0,-2
-3,-1,3,2,-3,1,2,-51,-13,-22,0,-1
-4,-1,3,2,-3,1,2,-53,-13,-23,0,-1
-3,-1,2,2,-2,0,2,-54,-13,-23,0,-2
-1,-1,0,1,-1,-1,1,-55,-13,-24,-1,-2
0,-1,-1,0,0,-1,1,-55,-14,-24,-2,-3
0,0,0,0,0,-1,2,-55,-13,-24,-2,-2
1,1,0,-1,0,0,2,-54,-12,-24,-1,-2
2,2,1,-2,0,1,3,-53,-12,-24,-1,-1
2,2,1,-2,1,2,3,-53,-12,-24,0,-1
2,3,1,-3,1,2,2,-53,-12,-24,0,-1
3,3,1,-4,1,2,2,-54,-12,-24,0,-1
5,4,0,-5,3,1,2,-54,-12,-24,0,-1
6,4,-1,-6,3,1,1,-54,-12,-24,0,-1
5,4,0,-6,3,2,1,-54,-12,-24,0,-1
4,5,2,-5,1,3,1,-53,-11,-24,0,-1
1,5,5,-4,-1,5,0,-53,-11,-23,1,0
0,6,6,-4,-3,6,0,-53,-11,-22,1,0
-1,6,7,-3,-3,6,-1,-53,-11,-22,1,1
-1,6,7,-3,-3,6,-2,-53,-11,-22,1,1
0,7,6,-4,-2,6,-2,-53,-11,-22,1,1
2,6,4,-4,-1,5,-3,-54,-11,-22,1,1
3,6,3,-4,0,4,-3,-54,-11,-23,1,1
2,5,3,-4,0,4,-3,-53,-11,-23,1,2
1,5,4,-4,-1,5,-3,-53,-10,-22,2,2
2,5,4,-4,0,4,-3,-53,-11,-22,2,2
3,5,2,-5,1,3,-3,-53,-11,-22,2,2
5,5,0,-6,3,2,-3,-54,-11,-22,1,1
6,5,-1,-6,4,1,-3,-54,-12,-23,1,1
5,3,-1,-5,3,1,-3,-55,-12,-23,0,0
3,2,0,-3,2,1,-3,-55,-12,-23,0,1
2,1,0,-2,1,1,-3,-55,-12,-23,0,1
3,1,-2,-2,3,0,-4,-55,-13,-24,0,1
4,0,-3,-3,4,-1,-4,-56,-14,-24,0,0
4,0,-3,-2,3,-1,-4,-56,-14,-24,0,0
3,0,-3,-2,3,-1,-4,-56,-14,-24,0,0
3,0,-3,-2,3,-1,-4,-55,-14,-24,0,0
3,0,-3,-1,3,-2,-3,-55,-13,-24,0,0
2,0,-3,-1,3,-2,-3,-55,-13,-24,0,0
1,-1,-2,0,2,-2,-2,-55,-13,-24,-1,0
0,-2,-2,1,1,-2,-2,-55,-13,-24,-1,-1
0,-3,-3,1,2,-3,-2,-55,-14,-25,-2,-1
1,-3,-4,1,3,-3,-1,-55,-14,-25,-3,-2
1,-4,-5,1,3,-4,-1,-56,-15,-26,-4,-3
1,-4,-5,1,3,-4,-1,-56,-15,-26,-5,-4
0,-4,-4,2,2,-4,0,-55,-15,-26,-5,-4
0,-5,-4,2,1,-5,0,-55,-15,-26,-5,-5
-1,-5,-4,3,1,-5,0,-55,-15,-26,-5,-5
-1,-6,-4,3,1,-5,0,-55,-15,-26,-5,-5
-2,-6,-4,4,1,-5,1,-55,-15,-26,-5,-5
-2,-7,-4,4,1,-5,1,-54,-15,-26,-6,-6
-2,-7,-5,4,1,-6,1,-54,-14,-26,-6,-6
-2,-7,-4,4,1,-6,1,-54,-14,-26,-6,-6
-3,-8,-4,5,0,-6,1,-54,-14,-26,-6,-6
-3,-8,-5,5,1,-7,1,-54,-14,-26,-6,-6
-4,-9,-5,6,1,-7,1,-54,-15,-27,-7,-6
-4,-9,-5,6,1,-7,1,-54,-15,-27,-7,-6
-2,-9,-6,5,2,-8,1,-55,-15,-27,-7,-7
-1,-9,-8,4,4,-8,1,-55,-15,-27,-8,-7
0,-9,-8,4,4,-8,1,-55,-15,-28,-9,-8
0,-9,-7,4,3,-7,1,-55,-15,-27,-9,-8
0,-8,-7,4,3,-7,1,-54,-14,-27,-8,-8
0,-8,-7,4,3,-7,1,-54,-14,-27,-8,-8
-1,-8,-7,4,3,-7,1,-54,-14,-27,-8,-7
-2,-8,-6,5,2,-7,1,-54,-13,-27,-8,-7
-3,-8,-6,5,2,-8,2,-54,-13,-27,-8,-7
-4,-8,-5,6,1,-7,2,-53,-13,-26,-8,-7
-5,-9,-4,7,0,-7,3,-53,-13,-26,-8,-7
-5,-9,-5,7,0,-7,3,-53,-13,-26,-8,-7
-5,-10,-5,7,0,-7,2,-53,-13,-27,-8,-7
-5,-10,-5,7,0,-7,2,-52,-13,-27,-8,-7
-5,-10,-4,7,0,-7,3,-52,-13,-26,-8,-7
-4,-9,-5,6,1,-7,3,-52,-13,-26,-8,-7
-3,-9,-6,5,2,-7,3,-53,-13,-27,-8,-7
-3,-9,-6,5,1,-7,3,-52,-12,-27,-8,-7
-3,-9,-5,5,1,-6,4,-51,-12,-27,-8,-7
-4,-8,-5,6,0,-6,4,-51,-12,-27,-8,-7
-4,-8,-5,6,0,-6,4,-51,-12,-26,-8,-7
-3,-8,-5,6,1,-7,3,-51,-12,-26,-8,-8
-2,-8,-6,5,2,-7,3,-51,-12,-27,-8,-8
-2,-8,-6,5,2,-7,3,-51,-12,-27,-8,-8
-3,-8,-6,6,2,-7,4,-51,-12,-27,-8,-8
-2,-8,-6,5,2,-8,3,-51,-12,-27,-8,-8
-1,-8,-8,4,4,-8,3,-51,-13,-27,-8,-9
0,-8,-8,4,5,-8,3,-51,-13,-28,-8,-9
0,-8,-8,4,5,-8,3,-51,-13,-28,-8,-9
-1,-9,-8,5,4,-8,3,-50,-12,-28,-8,-9
-2,-9,-8,6,3,-8,3,-50,-12,-27,-8,-9
-3,-9,-7,6,2,-8,4,-49,-11,-27,-8,-9
-3,-9,-6,7,1,-7,4,-49,-11,-26,-8,-9
-4,-9,-5,7,0,-7,5,-48,-10,-26,-8,-9
-5,-9,-4,7,0,-6,6,-47,-9,-26,-8,-9
-4,-8,-4,6,0,-6,7,-46,-8,-26,-8,-10
-3,-8,-4,5,0,-6,8,-46,-6,-25,-8,-11
-3,-7,-4,5,1,-5,8,-45,-4,-22,-7,-10
-3,-6,-3,4,0,-4,8,-43,-1,-18,-4,-9
-2,-4,-2,3,0,-2,8,-41,5,-11,1,-5
0,-1,-1,0,0,-1,8,-37,13,-2,8,0
2,1,-1,-2,2,0,7,-33,22,9,18,7
4,5,0,-5,1,3,7,-28,32,22,31,16
4,8,4,-6,0,7,9,-21,44,37,46,28
6,13,7,-9,-1,11,12,-13,59,56,65,42
10,19,8,-14,0,14,14,-4,75,78,87,58
15,25,9,-20,2,17,16,4,91,103,112,77
20,31,11,-26,4,21,15,8,104,126,137,97
26,38,12,-32,7,25,10,6,111,146,160,117
32,44,12,-38,10,28,3,1,115,161,179,133
