leadI,leadII,leadIII,leadaVR,leadaVL,leadaVF,leadV1,leadV2,leadV3,leadV4,leadV5,leadV6
0,0,0,0,0,0,0,0,147,10,1,-1
0,-1,-1,0,0,-1,0,0,359,26,2,-1
-1,-2,-1,1,0,-1,1,1,452,35,3,0
-1,-2,-2,2,0,-2,2,2,503,41,3,4
-1,-3,-2,2,0,-2,3,2,563,45,3,7
-1,-3,-2,2,0,-2,4,1,-82,47,3,9
-2,-3,-2,3,0,-3,4,-1,-939,48,3,7
-2,-4,-3,3,0,-4,3,-2,-1130,48,3,4
-1,-5,-4,3,1,-5,3,-1,-1164,48,3,0
-1,-4,-4,3,0,-4,3,0,-1286,48,3,-1
-1,-4,-3,2,0,-4,3,0,-1405,48,3,0
0,-4,-4,2,2,-4,2,0,-1248,47,3,1
1,-4,-5,1,3,-5,1,-1,-1272,45,3,3
0,-4,-4,2,2,-4,0,0,-1697,45,3,5
0,-4,-3,2,1,-4,0,0,-2077,45,3,5
1,-4,-5,1,3,-5,0,0,-2009,44,3,2
1,-5,-7,1,5,-6,0,-1,-1327,44,3,-1
-1,-5,-5,2,2,-5,0,-1,-1036,44,3,-2
-4,-5,-2,4,-1,-3,0,0,-858,44,3,-1
-4,-5,0,4,-2,-2,0,0,-643,43,3,1
-4,-5,0,4,-2,-2,-1,-1,-1151,43,3,3
-4,-5,-1,4,-2,-2,-1,-2,-1174,44,3,5
-5,-5,0,4,-2,-2,-1,-1,-839,44,3,5
-5,-4,0,4,-3,-2,-1,0,-1066,43,3,2
-4,-4,0,4,-2,-2,-1,0,-1574,43,3,0
-4,-5,-1,4,-1,-3,-1,-1,-1366,43,3,-1
-3,-5,-2,4,-1,-3,-1,-1,-691,43,3,-2
-2,-5,-3,4,0,-4,-2,-2,-538,43,3,-2
-2,-5,-3,4,0,-4,-3,-2,-677,43,3,-2
-2,-6,-4,4,0,-5,-3,-2,-914,42,3,-4
-1,-6,-4,4,1,-5,-4,-2,-948,41,3,-5
-1,-5,-4,3,1,-5,-4,-2,-605,41,3,-6
0,-5,-5,3,2,-5,-4,-2,-91,41,3,-7
0,-5,-5,3,2,-5,-3,-2,213,42,3,-7
-1,-5,-5,3,2,-5,-3,-2,159,41,3,-7
0,-6,-6,3,2,-6,-4,-2,-123,41,3,-6
0,-6,-7,3,3,-7,-4,-1,-495,40,3,-5
-1,-7,-6,4,2,-7,-4,0,-894,39,3,-3
-1,-6,-6,3,1,-6,-4,0,-1289,38,3,-3
0,-6,-7,2,3,-7,-3,0,-1662,37,3,-4
0,-6,-8,2,4,-7,-3,1,-2004,36,3,-6
0,-7,-7,3,3,-7,-3,2,-1477,36,3,-8
0,-7,-7,4,3,-7,-3,2,-421,36,3,-10
0,-7,-8,4,3,-7,-4,2,125,36,3,-11
-1,-7,-7,4,2,-7,-5,3,381,37,3,-10
-1,-8,-7,5,2,-7,-5,4,472,38,3,-9
0,-8,-8,4,3,-8,-5,5,473,38,3,-8
0,-8,-7,4,3,-8,-5,6,427,39,3,-8
-2,-8,-6,5,2,-7,-5,7,358,40,3,-10
-3,-8,-5,5,1,-7,-5,9,281,42,3,-11
-3,-8,-5,5,1,-7,-5,10,204,42,3,-13
-2,-7,-6,4,2,-7,-5,12,131,43,3,-14
-1,-7,-7,4,3,-7,-5,13,64,45,3,-14
0,-8,-8,4,3,-8,-6,14,3,45,3,-14
0,-9,-9,4,4,-8,-6,15,-50,45,3,-14
0,-9,-9,4,4,-9,-6,17,-97,46,3,-13
0,-9,-9,4,4,-9,-5,19,-139,48,3,-13
1,-9,-10,3,6,-9,-5,20,-177,49,3,-14
2,-8,-11,2,7,-10,-5,21,-210,50,3,-15
1,-8,-10,3,6,-9,-5,23,-238,51,3,-15
0,-8,-8,4,5,-8,-5,25,-262,52,3,-15
1,-7,-8,3,5,-8,-5,27,-284,53,3,-13
2,-6,-9,2,5,-8,-5,28,-304,54,3,-12
2,-5,-7,1,4,-6,-5,30,-319,55,3,-11
2,-3,-6,0,3,-5,-5,32,-330,56,3,-9
4,-2,-7,0,5,-5,-5,33,-338,56,3,-8
6,-2,-9,-1,7,-6,-6,33,-345,55,3,-7
7,-2,-11,-2,8,-7,-7,34,-353,54,3,-8
8,-2,-11,-2,9,-6,-7,35,-410,54,3,-8
9,-1,-11,-3,9,-6,-7,35,-494,55,3,-8
8,-1,-10,-3,9,-5,-7,36,-542,56,3,-6
7,-2,-10,-2,8,-5,-7,38,-570,57,3,-3
7,-2,-9,-2,8,-5,-6,40,-585,58,3,0
6,-1,-8,-2,7,-4,-6,41,-594,59,3,1
5,0,-6,-2,6,-3,-6,42,-598,60,3,2
5,0,-5,-2,5,-2,-6,42,-600,60,3,2
5,1,-4,-2,5,-2,-5,42,-600,61,3,3
5,1,-4,-2,5,-1,-5,42,-600,61,3,6
6,2,-3,-3,5,0,-5,41,-598,60,3,9
6,4,-2,-5,5,1,-5,41,-596,60,3,11
8,5,-2,-6,5,1,-5,41,-594,61,3,13
9,6,-3,-7,6,1,-5,41,-592,61,3,13
10,6,-4,-8,7,0,-6,41,-590,61,3,10
9,6,-2,-8,6,1,-6,40,-588,61,3,8
8,7,-1,-8,4,2,-5,39,-586,62,3,8
8,7,-1,-8,4,2,-5,37,-584,63,3,10
7,6,0,-7,4,2,-5,36,-582,63,3,13
6,6,0,-7,3,3,-4,35,-580,63,3,16
7,7,1,-7,3,3,-3,33,-577,63,3,18
7,8,1,-8,3,4,-3,32,-575,62,3,19
7,9,2,-8,2,5,-3,30,-573,62,3,20
7,9,2,-8,2,5,-3,28,-571,61,3,20
7,10,2,-8,2,5,-4,26,-569,60,3,20
7,10,3,-8,2,6,-4,24,-567,60,3,20
7,10,3,-8,1,6,-4,22,-565,59,3,20
7,10,3,-9,2,7,-3,20,-563,57,3,20
8,11,2,-9,3,7,-3,17,-561,56,3,20
8,11,2,-10,3,7,-3,15,-558,55,3,20
8,11,3,-9,3,7,-3,13,-556,54,3,20
7,10,3,-9,2,6,-2,13,-554,54,3,20
8,9,1,-9,3,5,-2,11,-552,53,3,20
8,9,0,-9,4,4,-2,8,-550,51,3,19
8,9,0,-9,4,4,-3,6,-548,50,3,20
8,9,1,-9,4,5,-3,4,-546,50,3,21
7,9,2,-8,3,6,-3,4,-544,50,3,21
7,9,2,-8,3,6,-4,3,-542,50,3,21
7,9,2,-8,3,6,-5,3,-540,49,3,20
6,10,4,-8,1,7,-4,4,-538,49,3,21
4,10,5,-7,0,8,-3,4,-536,49,3,22
3,11,6,-7,-1,9,-2,4,-534,49,3,22
2,11,7,-6,-2,9,-1,2,-532,48,3,21
2,10,6,-6,-2,8,-1,1,-530,47,3,21
3,8,4,-6,0,6,-2,1,-528,46,3,20
4,7,2,-6,1,5,-2,1,-526,45,3,20
5,7,1,-6,2,4,-3,2,-524,44,3,20
5,7,1,-6,1,4,-4,1,-522,43,3,20
4,7,3,-5,0,5,-4,-1,-521,43,3,20
2,7,4,-5,-1,6,-4,-3,-519,42,3,20
2,7,5,-5,-1,6,-4,-4,-517,41,3,20
3,7,4,-5,-1,5,-4,-5,-515,41,3,20
4,7,3,-5,0,5,-5,-3,-513,41,3,20
4,7,3,-5,0,5,-4,-2,-511,41,3,21
3,7,3,-4,0,5,-2,-1,-509,41,3,21
2,6,3,-3,0,5,-1,-2,-507,41,3,21
2,5,2,-3,0,4,-1,-3,-506,39,3,20
3,5,1,-4,1,3,-1,-4,-504,37,3,19
5,5,0,-5,2,2,-2,-4,-502,34,3,18
6,6,-1,-6,3,2,-3,-5,-501,33,3,18
7,6,-1,-6,4,2,-3,-5,-499,33,3,18
6,6,-1,-6,3,2,-3,-5,-497,34,3,18
4,6,1,-4,1,3,-2,-6,-495,35,3,19
2,6,3,-4,0,4,-2,-7,-494,36,3,20
2,6,3,-4,0,4,-3,-6,-492,36,3,21
1,6,4,-4,-1,5,-3,-5,-490,36,3,21
0,6,5,-3,-2,5,-2,-4,-488,36,3,21
0,6,5,-3,-2,5,-2,-6,-486,36,3,21
0,6,4,-3,-2,5,-2,-8,-485,36,3,20
0,6,5,-3,-2,5,-2,-8,-483,35,3,20
0,7,5,-3,-2,6,-2,-7,-481,35,3,21
1,7,4,-4,-1,6,-3,-6,-480,34,3,21
3,7,2,-5,1,5,-3,-7,-478,33,3,20
4,7,1,-6,2,5,-3,-7,-477,35,3,20
5,8,2,-6,2,5,-2,-7,-475,37,3,21
4,8,3,-6,0,6,-2,-6,-473,39,3,22
3,7,4,-6,0,5,-1,-5,-471,39,3,22
3,7,3,-6,0,5,-1,-5,-470,39,3,22
4,7,3,-6,0,4,-2,-6,-468,38,3,22
4,7,2,-6,1,4,-2,-7,-466,38,3,21
4,7,2,-5,1,4,-2,-8,-465,37,3,20
3,6,2,-4,1,4,-2,-8,-463,37,3,19
2,6,2,-4,1,4,-2,-7,-461,37,3,19
2,6,2,-4,1,4,-2,-6,-460,37,3,19
3,6,1,-5,1,3,-2,-6,-458,36,3,18
4,6,1,-5,2,3,-2,-6,-457,35,3,18
4,6,2,-4,1,3,-1,-6,-455,35,3,18
3,7,3,-4,0,4,-1,-5,-454,34,3,18
3,7,3,-5,0,5,-1,-6,-452,32,3,19
3,7,2,-5,0,5,-2,-7,-450,32,3,19
4,6,2,-5,1,4,-2,-9,-449,33,3,19
4,6,0,-5,2,3,-3,-9,-447,33,3,19
5,5,-1,-5,3,2,-4,-8,-446,33,3,20
5,5,-1,-5,3,2,-4,-6,-444,34,3,21
4,5,0,-5,1,2,-4,-4,-443,35,3,22
2,5,3,-4,-1,4,-4,-3,-441,36,3,24
0,5,5,-2,-3,5,-3,-1,-440,37,3,24
-1,5,7,-2,-4,6,-2,0,-438,37,3,23
-1,5,6,-2,-3,5,-2,1,-437,36,3,19
0,5,4,-3,-1,5,-2,1,-435,35,3,17
1,6,4,-3,-1,5,-2,2,-434,35,3,16
1,6,4,-3,-1,5,-2,2,-432,35,3,17
1,5,4,-3,-1,4,-3,2,-431,35,3,18
2,5,2,-4,0,3,-4,1,-429,34,3,19
3,5,2,-4,0,3,-4,1,-428,33,3,19
3,5,2,-4,0,4,-3,2,-426,33,3,20
4,5,1,-4,1,4,-3,3,-425,33,3,20
4,5,0,-4,2,3,-4,4,-423,33,3,20
4,4,-1,-4,3,2,-5,4,-422,33,3,19
5,4,-1,-4,3,2,-5,4,-420,33,3,19
6,4,-2,-5,4,1,-6,5,-419,33,3,19
7,4,-3,-6,5,1,-6,5,-418,33,3,19
6,4,-2,-6,4,1,-6,6,-416,34,3,18
5,4,-1,-5,4,1,-6,6,-415,34,3,18
6,4,-2,-6,5,0,-6,6,-413,34,3,18
7,4,-3,-6,5,0,-5,6,-412,34,3,18
