leadI,leadII,leadIII,leadaVR,leadaVL,leadaVF,leadV1,leadV2,leadV3,leadV4,leadV5,leadV6
-3,0,4,1,-3,2,0,0,0,1,1,0
-8,1,9,3,-9,5,1,1,1,2,2,1
-11,1,12,5,-12,7,2,1,1,2,2,2
-13,1,14,5,-13,7,2,1,1,3,2,2
-13,1,14,5,-14,8,2,2,1,3,2,2
-14,0,15,6,-14,8,2,2,1,3,2,2
-15,0,15,7,-15,8,2,2,1,2,2,2
-15,0,15,7,-16,8,2,2,1,2,2,2
-15,0,15,7,-15,7,2,2,1,2,2,2
-15,0,14,7,-15,7,2,2,0,1,1,1
-15,0,14,7,-14,7,2,2,0,1,1,1
-15,-1,14,7,-14,6,2,1,0,0,0,1
-15,-2,14,8,-14,6,2,1,0,0,0,1
-15,-2,14,8,-14,5,2,1,-1,0,0,0
-15,-2,14,8,-14,5,3,1,-1,0,0,0
-15,-2,13,8,-14,4,3,1,-1,0,0,0
-15,-3,12,9,-14,4,3,1,-2,-1,-1,0
-16,-4,12,10,-14,3,4,1,-2,-1,-1,0
-17,-5,12,11,-14,3,4,1,-2,-2,-2,-1
-17,-5,12,11,-14,3,4,1,-3,-2,-2,-1
-17,-5,12,11,-14,3,5,2,-3,-2,-2,-2
-18,-6,12,12,-15,3,5,2,-2,-2,-2,-2
-18,-6,13,12,-15,3,5,2,-2,-2,-2,-2
-19,-6,13,12,-15,2,5,2,-2,-2,-2,-2
-19,-6,13,13,-16,2,5,3,-2,-2,-2,-2
-20,-7,13,14,-17,2,5,3,-2,-2,-2,-2
-21,-8,13,14,-17,2,5,3,-2,-2,-2,-2
-20,-8,13,14,-17,2,6,3,-2,-2,-2,-2
-19,-8,12,13,-16,2,6,3,-2,-2,-2,-2
-20,-8,12,14,-16,2,7,3,-2,-3,-3,-2
-20,-9,12,14,-16,1,7,4,-2,-3,-3,-3
-19,-8,12,13,-16,1,7,4,-3,-3,-3,-3
-19,-8,11,13,-15,1,7,4,-3,-3,-3,-3
-19,-8,11,13,-15,1,7,4,-3,-3,-4,-4
