leadI,leadII,leadIII,leadaVR,leadaVL,leadaVF,leadV1,leadV2,leadV3,leadV4,leadV5,leadV6
0,1,1,0,-1,1,0,2,3,2,0,-2
1,6,5,-3,-2,5,1,5,8,4,1,-7
5,13,7,-9,-1,10,1,6,9,5,1,-10
8,16,8,-12,0,12,1,5,9,4,0,-13
6,13,7,-9,-1,10,0,4,9,2,-2,-15
2,6,3,-4,-1,4,-1,2,9,2,-3,-17
-2,-4,-2,3,0,-3,0,2,9,2,-4,-17
-6,-11,-5,9,-1,-8,1,2,10,3,-3,-17
-7,-12,-5,10,-1,-8,2,2,11,4,-2,-16
-1,-5,-4,3,1,-4,1,1,11,4,-2,-16
7,4,-3,-6,5,1,0,-1,9,2,-3,-17
13,11,-2,-12,7,4,-1,-4,7,1,-4,-17
13,11,-2,-12,7,4,-2,-6,7,0,-5,-17
8,3,-5,-6,6,-1,-1,-8,6,0,-5,-18
0,-7,-7,3,3,-7,0,-8,6,0,-5,-18
-4,-15,-10,9,3,-12,0,-9,6,1,-4,-17
-2,-16,-13,9,5,-14,0,-10,5,1,-3,-16
1,-12,-12,5,7,-12,0,-12,4,0,-3,-15
2,-5,-7,1,5,-6,-1,-13,3,0,-3,-14
1,1,0,-1,0,0,-1,-14,3,0,-1,-13
-1,5,5,-1,-3,5,-2,-14,3,0,0,-11
-3,3,7,0,-5,5,-2,-14,3,1,0,-10
-5,-2,4,4,-4,0,-1,-13,3,2,1,-8
-5,-9,-3,7,0,-6,-2,-13,1,1,1,-7
-4,-16,-10,10,4,-13,-5,-15,-1,0,0,-8
-1,-16,-14,8,7,-15,-6,-16,-3,-1,0,-7
3,-9,-14,2,9,-11,-6,-16,-5,-2,0,-6
7,-1,-10,-3,9,-5,-6,-17,-6,-2,0,-5
10,6,-6,-8,8,0,-5,-18,-6,-3,0,-4
12,9,-4,-10,8,2,-5,-19,-6,-2,1,-3
9,5,-4,-6,7,0,-4,-20,-7,-2,2,-3
4,-2,-5,0,5,-4,-4,-21,-7,-2,1,-3
-2,-9,-6,6,2,-8,-4,-23,-8,-2,1,-3
-3,-11,-7,7,2,-9,-4,-24,-9,-3,0,-4
1,-7,-7,3,4,-7,-4,-24,-10,-3,0,-3
6,0,-5,-3,5,-2,-4,-25,-10,-3,0,-3
8,5,-4,-6,5,0,-4,-26,-11,-5,-1,-4
7,3,-5,-4,5,-1,-5,-29,-14,-7,-3,-6
7,-2,-10,-1,8,-6,-6,-31,-16,-9,-5,-7
6,-9,-15,2,11,-12,-6,-33,-17,-10,-6,-8
2,-15,-16,6,10,-15,-5,-33,-17,-10,-6,-8
-1,-16,-14,8,7,-15,-4,-33,-16,-9,-5,-6
0,-13,-12,6,6,-12,-4,-33,-16,-8,-4,-6
1,-6,-8,2,5,-7,-4,-33,-17,-9,-4,-6
2,-2,-6,0,4,-4,-5,-34,-17,-9,-4,-5
3,-1,-5,0,4,-3,-5,-33,-17,-9,-3,-4
4,-1,-6,-1,5,-4,-5,-31,-16,-8,-2,-2
5,-5,-9,0,8,-7,-5,-30,-16,-8,-2,-2
4,-9,-12,2,9,-10,-6,-31,-16,-8,-3,-2
2,-12,-13,5,8,-12,-5,-31,-16,-8,-3,-1
-1,-14,-12,7,5,-13,-5,-31,-16,-8,-3,-1
-4,-12,-7,7,2,-10,-6,-32,-17,-10,-5,-2
-4,-7,-3,6,0,-5,-6,-34,-19,-11,-7,-3
-1,-4,-3,3,1,-4,-7,-34,-19,-12,-8,-3
3,-2,-5,0,4,-4,-7,-33,-20,-13,-8,-3
3,-4,-7,1,6,-6,-6,-33,-20,-13,-8,-3
2,-7,-9,3,6,-8,-6,-32,-19,-12,-7,-2
4,-8,-11,2,8,-9,-5,-31,-18,-10,-6,0
8,-9,-15,0,12,-11,-4,-31,-17,-10,-5,0
9,-7,-15,-1,12,-11,-5,-31,-18,-11,-5,0
8,-3,-11,-2,9,-7,-5,-30,-18,-11,-6,0
8,0,-8,-3,8,-4,-5,-29,-18,-11,-6,-1
9,0,-9,-4,8,-4,-6,-29,-19,-12,-6,-1
9,0,-10,-3,10,-6,-5,-28,-18,-11,-5,0
6,-5,-11,0,9,-9,-4,-26,-16,-9,-3,2
-1,-11,-10,6,5,-10,-4,-25,-15,-8,-2,3
-5,-14,-7,9,2,-10,-4,-25,-15,-8,-3,2
-6,-13,-6,8,1,-9,-6,-27,-17,-10,-5,1
-4,-9,-5,6,1,-7,-7,-28,-18,-11,-6,0
1,-3,-5,1,3,-4,-7,-29,-18,-11,-6,0
7,3,-5,-5,6,-1,-7,-29,-18,-11,-6,0
9,2,-7,-5,8,-3,-7,-29,-17,-10,-5,1
6,-4,-10,-1,8,-7,-6,-28,-15,-8,-4,2
1,-10,-11,4,6,-11,-6,-26,-14,-7,-2,4
-2,-13,-11,7,5,-12,-5,-25,-13,-5,-1,5
0,-10,-10,4,5,-9,-5,-24,-12,-5,-1,6
5,-3,-8,-2,6,-4,-4,-23,-12,-5,-1,6
