leadI,leadII,leadIII,leadaVR,leadaVL,leadaVF,leadV1,leadV2,leadV3,leadV4,leadV5,leadV6
-3,-1,2,2,-3,0,-1,-1,-2,-3,-2,-1
-9,-3,6,6,-7,1,-2,-3,-5,-7,-7,-3
-12,-3,9,7,-10,2,-3,-4,-7,-9,-9,-4
-14,-2,11,8,-12,4,-3,-4,-7,-10,-9,-5
-14,-2,12,8,-13,4,-3,-4,-8,-11,-10,-5
-14,-3,12,9,-13,4,-3,-4,-8,-11,-10,-5
-16,-3,12,10,-14,4,-4,-4,-7,-11,-10,-5
-19,-4,15,11,-16,5,-4,-3,-6,-11,-10,-4
-21,-5,16,13,-18,5,-4,-3,-6,-11,-10,-3
-23,-7,15,15,-19,3,-5,-4,-7,-12,-11,-4
-24,-8,15,16,-19,3,-6,-5,-7,-12,-12,-5
-26,-9,16,17,-20,2,-6,-6,-7,-12,-12,-5
-29,-11,17,20,-23,2,-7,-6,-8,-12,-12,-6
-30,-12,17,21,-24,2,-7,-6,-7,-12,-11,-5
-29,-11,18,20,-23,3,-6,-5,-6,-11,-11,-5
-28,-10,18,19,-23,4,-6,-5,-6,-11,-11,-4
-30,-10,19,20,-24,4,-7,-5,-6,-11,-11,-4
-30,-10,20,20,-25,4,-8,-5,-6,-11,-11,-4
-29,-9,20,19,-24,5,-8,-4,-5,-10,-10,-4
-28,-8,19,18,-23,5,-8,-4,-5,-9,-10,-3
-28,-9,19,18,-23,5,-8,-4,-5,-9,-10,-3
-29,-10,18,19,-24,4,-8,-4,-5,-9,-10,-4
-30,-12,18,20,-24,3,-8,-4,-5,-10,-11,-4
-31,-13,17,22,-24,2,-8,-5,-6,-10,-11,-5
-32,-14,18,22,-24,2,-8,-5,-6,-10,-11,-5
-31,-13,18,21,-24,3,-7,-4,-5,-10,-10,-4
-28,-10,18,18,-23,4,-5,-4,-4,-9,-9,-3
-24,-7,17,15,-20,5,-4,-3,-3,-8,-8,-3
-23,-7,16,15,-20,5,-4,-3,-3,-8,-8,-3
-25,-9,17,17,-21,4,-5,-3,-4,-8,-9,-3
-29,-10,19,19,-24,5,-6,-3,-4,-9,-9,-3
-31,-9,22,20,-26,7,-5,-3,-3,-8,-9,-3
-32,-10,22,21,-27,6,-4,-3,-3,-8,-9,-2
-32,-11,21,21,-26,5,-3,-4,-3,-8,-9,-2
-31,-10,20,20,-25,5,-2,-4,-3,-8,-9,-2
-30,-11,19,20,-24,4,-2,-4,-3,-8,-9,-2
-29,-11,18,20,-23,3,-2,-4,-3,-8,-9,-2
-28,-9,19,18,-23,4,-2,-4,-3,-8,-9,-2
-28,-7,20,18,-24,6,-3,-3,-2,-7,-9,-2
-29,-7,22,18,-25,7,-3,-3,-2,-7,-9,-2
-30,-7,22,19,-25,7,-3,-3,-2,-7,-9,-2
-29,-7,21,18,-24,6,-3,-2,-2,-7,-8,-1
-25,-5,20,15,-22,7,-2,-2,-1,-6,-7,0
-22,-3,19,12,-20,7,-2,-2,-1,-6,-7,0
-20,-3,18,11,-19,7,-2,-3,-1,-6,-7,-1
-21,-3,19,12,-20,8,-2,-2,-1,-6,-7,-1
-24,-4,20,14,-22,8,-2,-2,0,-6,-6,0
-26,-5,20,15,-23,8,-2,-2,0,-6,-6,0
-24,-4,20,14,-22,8,-1,-2,0,-5,-6,0
-22,-3,19,13,-21,8,0,-1,0,-5,-5,1
-23,-2,20,13,-21,9,0,-1,1,-4,-5,1
-24,-2,21,13,-23,9,0,-1,1,-4,-5,1
-23,-1,21,12,-23,10,-1,0,1,-4,-5,1
-23,0,21,11,-22,10,-1,0,2,-3,-4,2
-24,-1,22,12,-23,10,-1,0,2,-3,-4,2
-25,-1,23,12,-24,11,-1,1,3,-2,-3,3
-24,0,23,12,-24,12,-1,1,3,-2,-3,3
-23,0,22,11,-22,12,-1,1,3,-2,-4,3
-21,0,20,11,-21,10,-1,0,2,-2,-4,3
-23,-2,20,12,-21,8,-1,0,2,-3,-4,3
-26,-4,21,14,-23,8,-1,0,2,-3,-4,3
-27,-4,23,15,-25,9,0,-1,2,-3,-4,3
-26,-3,23,14,-24,9,0,-1,2,-3,-4,3
-25,-2,22,13,-23,10,0,0,3,-2,-4,3
-23,-1,22,12,-22,11,-1,0,3,-2,-3,3
-30,-8,22,19,-25,7,-5,-3,1,-4,-5,1
-39,-17,22,28,-30,3,-8,-5,-1,-6,-7,-1
-37,-14,23,26,-30,4,-7,-4,0,-4,-6,0
-30,-7,23,18,-26,7,-4,-1,3,-1,-3,3
-26,-3,22,14,-24,9,-2,0,5,0,-2,4
-24,-1,22,12,-23,10,-2,0,5,0,-2,4
-22,1,23,10,-23,11,-1,1,7,2,-1,5
-19,4,23,7,-22,13,0,2,8,3,0,7
-18,6,23,6,-21,14,0,3,9,4,1,8
-18,5,23,6,-20,14,-1,3,9,5,2,8
-18,5,23,7,-20,14,-1,3,10,5,3,9
-17,5,22,6,-20,13,0,3,11,6,3,10
