leadI,leadII,leadIII,leadaVR,leadaVL,leadaVF,leadV1,leadV2,leadV3,leadV4,leadV5,leadV6
0,0,0,0,0,0,0,0,2,0,0,0
-1,0,2,0,-1,1,1,0,5,0,0,0
-2,1,3,0,-2,2,2,0,8,0,0,0
-1,3,3,-1,-2,3,3,0,10,0,0,0
0,4,4,-3,-1,4,4,1,11,0,0,0
1,5,3,-3,-1,4,4,2,12,0,1,1
1,4,3,-3,0,3,4,2,12,0,1,1
2,4,2,-4,0,3,5,3,13,1,2,2
2,5,2,-4,0,3,5,3,14,2,2,2
3,4,1,-4,1,3,5,5,15,3,3,3
3,4,1,-4,1,3,5,6,17,5,4,3
5,6,1,-6,2,3,5,7,18,6,5,4
6,7,1,-7,3,4,5,8,19,7,6,5
7,8,0,-8,3,4,5,8,19,7,7,5
8,9,0,-9,3,4,4,8,20,8,7,6
8,10,1,-10,3,5,3,8,20,8,7,6
9,10,1,-10,3,5,1,7,19,7,7,6
9,9,1,-10,4,5,-1,6,18,7,7,6
9,8,0,-9,4,4,-3,5,18,6,6,6
9,8,0,-9,5,4,-5,3,17,6,6,6
10,8,-1,-10,5,4,-6,2,16,5,6,6
10,8,-1,-9,5,3,-6,1,16,5,6,6
10,7,-2,-9,5,3,-7,0,15,4,6,6
10,7,-2,-9,5,2,-7,0,15,4,6,6
9,7,-2,-9,5,2,-7,0,15,4,6,7
9,7,-2,-9,5,2,-7,0,15,5,6,7
9,7,-2,-9,6,2,-7,0,15,5,6,7
9,7,-2,-9,6,2,-7,0,15,5,6,7
9,6,-2,-8,6,1,-6,0,15,5,6,7
7,5,-2,-7,5,1,-6,0,15,5,6,6
7,4,-2,-6,5,1,-5,0,15,4,6,6
7,5,-2,-6,5,1,-5,0,15,4,6,6
7,5,-3,-6,6,1,-4,0,15,4,5,6
6,4,-3,-5,5,0,-4,-1,15,4,5,5
5,2,-3,-3,4,-1,-5,-1,15,3,4,4
3,0,-3,-2,3,-1,-5,-2,14,2,3,3
2,0,-2,-1,2,-1,-5,-3,13,1,2,2
0,-1,-1,0,1,-1,-5,-4,12,0,0,1
0,-1,-1,0,1,-1,-5,-5,11,0,0,0
0,-1,0,0,1,-1,-5,-5,10,-1,-1,0
0,0,0,0,0,0,-5,-6,9,-2,-2,-1
0,1,0,0,0,0,-5,-6,9,-3,-2,-1
0,0,0,0,0,0,-5,-7,8,-3,-3,-2
-1,-1,0,1,-1,-1,-5,-7,8,-4,-3,-2
-2,-1,0,2,-1,-1,-5,-7,8,-4,-4,-3
-1,-1,0,1,0,-1,-5,-7,8,-4,-4,-3
-1,-1,0,1,0,-1,-5,-7,8,-4,-4,-3
0,-2,0,1,0,-1,-5,-7,8,-4,-4,-4
0,-2,-1,1,0,-2,-5,-7,8,-4,-4,-4
-1,-3,-1,2,0,-2,-5,-6,8,-4,-4,-4
-1,-3,-1,2,0,-3,-5,-6,8,-3,-4,-4
-1,-3,-1,3,0,-3,-6,-6,8,-3,-4,-4
-2,-3,-1,3,0,-3,-6,-6,8,-3,-4,-4
-3,-4,-1,4,-1,-3,-6,-6,8,-3,-4,-4
-3,-4,0,4,-2,-2,-6,-6,8,-4,-4,-4
-4,-4,0,4,-1,-3,-6,-6,8,-4,-4,-4
-3,-4,0,3,-1,-3,-5,-6,8,-5,-4,-4
-2,-3,0,2,0,-2,-5,-6,8,-5,-4,-4
-1,-2,0,1,0,-2,-5,-5,8,-5,-4,-4
-1,-1,-1,1,0,-1,-5,-5,9,-5,-4,-4
-1,-1,-1,1,0,-1,-4,-5,9,-5,-3,-4
-1,-1,0,0,0,-1,-4,-5,10,-4,-3,-3
-1,0,0,0,0,0,-3,-5,10,-3,-2,-3
-1,0,0,0,0,0,-3,-5,11,-2,-2,-3
-2,-1,1,1,-1,0,-3,-4,11,-2,-2,-3
-4,-1,2,3,-2,0,-3,-4,11,-2,-2,-3
-5,-1,3,3,-4,0,-3,-6,11,-1,-1,-3
-6,-1,4,4,-5,0,-4,-9,11,1,0,-2
-6,-1,4,4,-5,1,-5,-12,12,4,4,0
-6,0,6,3,-6,3,-3,-13,14,9,8,3
-6,2,9,2,-7,5,0,-13,16,14,14,7
-7,5,12,0,-9,8,4,-17,15,18,20,12
-7,9,16,-1,-10,12,5,-30,11,22,26,19
-5,15,21,-5,-12,17,5,-48,7,26,34,27
-2,22,25,-10,-12,23,5,-67,2,30,42,35
2,29,26,-16,-10,27,2,-87,-4,34,51,46
10,35,24,-23,-6,29,-7,-107,-12,38,62,59
21,42,19,-32,1,30,-21,-126,-16,46,76,74
34,47,13,-41,11,29,-38,-140,-13,57,91,91
47,50,4,-48,22,26,-55,-145,-4,68,103,105
55,47,-7,-51,31,19,-70,-146,1,69,105,111
55,39,-16,-47,36,11,-81,-150,-4,54,92,106
48,28,-20,-38,35,3,-91,-158,-19,25,64,90
37,18,-19,-28,29,-1,-99,-167,-38,-8,31,67
23,10,-12,-17,18,-2,-105,-176,-57,-39,1,44
9,4,-6,-6,7,-2,-108,-181,-73,-63,-23,23
0,-4,-4,2,1,-4,-109,-183,-85,-79,-40,7
-4,-12,-7,8,1,-10,-110,-181,-93,-89,-51,-5
-6,-20,-13,13,2,-17,-108,-175,-97,-94,-58,-14
-7,-24,-17,15,4,-21,-102,-166,-97,-95,-62,-20
-7,-26,-18,16,5,-22,-93,-155,-95,-93,-62,-24
-8,-26,-19,16,6,-23,-82,-140,-89,-88,-60,-25
