leadI,leadII,leadIII,leadaVR,leadaVL,leadaVF,leadV1,leadV2,leadV3,leadV4,leadV5,leadV6
3,4,0,-4,1,2,1,5,3,4,2,1
9,11,1,-10,3,6,3,13,9,10,7,4
12,15,2,-13,4,8,3,18,12,13,9,5
15,17,1,-16,6,9,4,21,14,16,11,6
17,18,0,-18,8,9,4,22,15,17,12,6
20,19,-1,-19,10,9,3,23,16,18,11,5
23,19,-4,-21,14,7,1,23,16,18,11,3
25,19,-5,-22,15,7,0,24,16,20,12,2
22,19,-2,-20,12,8,0,25,18,21,14,3
18,18,1,-18,8,10,0,25,19,22,15,3
15,18,3,-17,6,11,0,24,19,22,16,3
15,19,4,-17,5,11,0,24,19,22,16,3
18,20,2,-19,8,11,0,23,18,21,16,3
20,21,1,-21,9,11,1,21,17,20,16,4
19,21,3,-20,7,12,3,21,17,20,15,5
16,22,7,-19,4,14,6,21,18,20,14,7
13,22,10,-17,1,16,7,21,18,20,13,8
11,22,12,-16,-1,17,8,20,18,19,13,8
11,23,12,-17,0,17,8,19,18,18,13,7
13,23,10,-18,1,16,8,18,17,17,12,5
15,23,8,-19,3,16,8,16,15,15,11,4
14,22,8,-18,2,16,8,14,14,12,10,4
13,22,9,-17,1,16,8,12,12,10,10,4
11,21,10,-16,0,15,8,9,10,7,9,3
10,20,9,-15,0,14,7,7,8,4,7,1
8,19,10,-13,-1,14,7,4,7,2,6,0
5,17,12,-11,-4,14,7,3,6,0,5,0
2,15,14,-9,-6,14,7,2,5,-1,3,0
0,14,15,-7,-8,14,7,1,4,-2,2,-1
-2,12,15,-5,-9,14,7,0,3,-4,1,-4
-3,10,14,-4,-9,13,7,-1,1,-5,0,-7
-4,10,15,-3,-9,13,8,-1,0,-7,-2,-8
-5,11,16,-3,-11,13,8,-1,0,-8,-4,-9
-5,12,17,-3,-11,14,8,-2,0,-9,-5,-9
-3,12,16,-5,-9,13,8,-2,-1,-9,-6,-10
-2,12,15,-5,-8,13,8,-2,-2,-9,-6,-11
-1,11,13,-6,-7,12,8,-3,-2,-9,-6,-13
0,10,11,-6,-5,11,7,-4,-3,-9,-6,-14
0,10,10,-5,-5,10,7,-4,-3,-9,-6,-15
1,10,9,-6,-4,10,8,-5,-3,-9,-6,-16
3,11,8,-7,-3,9,8,-5,-4,-11,-6,-16
2,11,10,-7,-5,10,8,-5,-5,-12,-5,-15
-2,10,14,-4,-9,11,9,-5,-5,-11,-3,-13
-5,10,16,-3,-11,12,10,-5,-5,-11,-3,-13
-6,10,17,-2,-12,13,11,-5,-5,-11,-4,-13
-6,10,16,-1,-12,13,11,-5,-5,-11,-5,-13
-6,9,15,-1,-11,12,10,-5,-5,-12,-6,-14
-6,8,13,-1,-10,11,9,-6,-5,-12,-6,-15
-7,6,13,0,-10,10,8,-7,-6,-13,-6,-15
-8,4,13,2,-10,8,7,-8,-7,-15,-7,-15
-9,2,13,3,-11,7,5,-10,-9,-16,-8,-15
-8,2,12,3,-10,6,4,-11,-10,-17,-9,-14
-6,3,10,1,-8,6,3,-12,-11,-19,-10,-12
-4,5,10,0,-7,7,4,-11,-11,-20,-10,-10
-4,7,11,-1,-8,9,5,-10,-10,-20,-9,-7
-3,9,12,-3,-8,10,6,-9,-9,-19,-8,-6
-1,10,11,-4,-7,11,8,-9,-10,-19,-8,-6
0,9,9,-4,-5,9,8,-10,-11,-20,-9,-7
0,8,8,-4,-4,8,8,-11,-12,-21,-11,-7
-1,7,9,-2,-5,8,9,-10,-12,-20,-12,-7
-5,6,13,-1,-9,10,10,-9,-11,-19,-12,-7
-8,6,15,0,-11,11,11,-8,-9,-18,-11,-8
-10,6,17,1,-13,11,11,-7,-8,-16,-11,-8
-11,6,17,2,-14,12,12,-6,-6,-15,-10,-9
-9,6,15,1,-12,11,11,-6,-6,-14,-9,-10
-6,6,12,0,-9,9,10,-7,-8,-15,-9,-11
-6,5,11,0,-8,8,9,-8,-8,-16,-9,-11
-8,4,12,2,-9,8,8,-8,-8,-15,-8,-11
-9,3,12,3,-10,8,8,-8,-9,-15,-8,-11
-8,4,12,2,-10,8,7,-8,-9,-15,-8,-11
-8,4,12,2,-10,8,7,-8,-9,-16,-9,-11
-8,3,12,2,-10,8,7,-8,-9,-16,-9,-11
-9,3,13,2,-12,8,7,-8,-8,-16,-10,-11
-9,4,14,2,-12,9,6,-7,-7,-15,-9,-10
-7,5,13,1,-11,9,6,-6,-7,-14,-9,-11
-3,7,11,-1,-8,9,6,-5,-6,-13,-9,-12
0,9,10,-4,-5,10,6,-5,-5,-13,-9,-13
1,11,10,-6,-4,10,6,-4,-4,-11,-8,-14
3,13,10,-8,-3,11,6,-3,-2,-9,-7,-14
3,14,11,-8,-4,12,7,-2,-1,-8,-6,-14
0,14,14,-7,-7,14,9,-2,0,-7,-5,-13
-2,14,17,-5,-10,15,10,-2,0,-6,-2,-12
-3,14,17,-5,-10,15,11,-2,0,-6,-1,-12
-4,13,17,-5,-10,15,11,-2,0,-6,-1,-12
-4,13,17,-4,-11,15,11,-2,0,-6,0,-12
-5,12,17,-4,-11,15,11,-2,0,-7,0,-11
-5,12,18,-4,-11,15,10,-2,0,-7,0,-10
-6,12,19,-4,-12,15,10,-2,0,-7,0,-9
-6,12,19,-4,-13,15,9,-2,0,-7,0,-8
-5,13,18,-4,-11,15,8,-3,-1,-7,0,-8
-3,13,17,-5,-10,15,6,-5,-2,-8,0,-8
-2,14,16,-6,-9,15,4,-7,-3,-10,-1,-8
-1,14,15,-6,-8,15,3,-9,-4,-11,-2,-7
-1,15,16,-6,-9,15,3,-9,-4,-11,-3,-6
-2,15,18,-6,-10,16,3,-10,-5,-12,-3,-4
-2,15,18,-6,-10,16,2,-10,-6,-14,-4,-4
-3,16,19,-6,-11,17,2,-10,-6,-15,-5,-3
-3,16,20,-6,-11,18,3,-10,-6,-15,-6,-3
-1,17,19,-7,-10,18,3,-11,-7,-16,-6,-4
0,18,18,-9,-9,18,3,-11,-6,-15,-6,-4
2,19,18,-10,-8,18,3,-11,-6,-15,-6,-2
3,19,16,-10,-6,17,3,-11,-7,-16,-7,-2
3,17,15,-10,-6,16,2,-12,-8,-16,-8,-2
1,16,15,-9,-6,15,1,-12,-8,-16,-7,-4
0,14,15,-7,-7,14,0,-12,-8,-15,-7,-5
-3,12,15,-5,-9,14,0,-11,-8,-15,-6,-7
-4,11,15,-3,-10,13,0,-11,-8,-14,-6,-8
-5,10,15,-2,-10,13,0,-10,-7,-14,-7,-8
-6,8,14,-1,-10,12,0,-10,-7,-14,-7,-8
-6,7,14,0,-10,11,0,-10,-7,-14,-7,-8
-5,7,13,-1,-9,9,0,-10,-7,-13,-7,-8
-3,6,11,-1,-7,8,0,-10,-7,-13,-7,-9
-3,6,10,-1,-7,8,0,-9,-7,-12,-6,-9
-4,6,11,-1,-8,8,2,-7,-6,-11,-5,-10
-5,7,12,-1,-9,9,4,-6,-4,-10,-4,-10
-5,8,13,-1,-9,10,5,-6,-3,-9,-3,-10
-5,8,14,-1,-10,11,6,-6,-4,-10,-3,-10
-5,9,15,-1,-10,11,7,-6,-5,-11,-3,-8
-5,9,15,-2,-10,12,7,-6,-5,-12,-5,-7
-5,9,15,-2,-10,11,8,-6,-6,-13,-7,-6
-6,8,14,-1,-10,11,8,-6,-7,-15,-8,-5
-6,6,13,0,-10,10,7,-7,-8,-17,-10,-5
-5,5,10,0,-8,8,6,-9,-9,-19,-11,-7
-4,4,8,0,-6,6,5,-10,-10,-20,-12,-8
-3,3,7,0,-5,5,5,-10,-11,-20,-12,-9
-4,2,6,1,-5,4,4,-10,-11,-19,-12,-10
-4,1,6,1,-5,3,4,-10,-11,-19,-12,-12
-4,1,5,1,-5,2,3,-10,-12,-18,-12,-13
-4,0,5,1,-5,2,3,-10,-12,-18,-12,-14
-6,0,6,2,-6,2,3,-9,-11,-18,-12,-14
-9,0,8,4,-9,3,4,-9,-11,-18,-11,-14
-10,0,9,5,-10,4,5,-8,-10,-17,-11,-14
-10,0,10,5,-10,4,6,-7,-9,-17,-11,-14
-8,0,9,4,-8,4,6,-7,-9,-17,-12,-14
-5,0,6,3,-6,2,5,-7,-9,-17,-12,-15
-5,0,6,3,-5,2,5,-7,-8,-17,-12,-15
-9,0,9,5,-9,3,6,-6,-7,-16,-9,-14
-13,0,13,7,-13,5,8,-5,-6,-14,-7,-13
-15,-1,13,8,-14,5,8,-5,-7,-14,-6,-14
-12,-2,9,7,-11,3,7,-7,-9,-15,-7,-15
-8,-3,4,6,-6,0,4,-9,-12,-18,-8,-15
-6,-3,2,5,-4,-1,3,-11,-14,-21,-9,-14
-7,-4,3,6,-5,0,4,-11,-14,-22,-10,-13
-8,-4,5,7,-7,0,4,-10,-13,-22,-11,-12
-9,-4,6,6,-7,1,5,-9,-11,-22,-11,-12
-9,-2,7,5,-8,3,6,-8,-9,-21,-11,-11
-9,-1,8,4,-9,3,7,-8,-8,-20,-12,-11
-9,-1,8,4,-8,3,7,-8,-7,-20,-13,-11
-10,0,9,5,-9,4,8,-7,-5,-18,-13,-10
-11,0,10,6,-10,5,9,-5,-2,-15,-12,-9
-11,-1,10,6,-10,4,10,-4,0,-13,-11,-8
-10,-1,9,6,-9,4,10,-1,3,-9,-9,-6
