leadI,leadII,leadIII,leadaVR,leadaVL,leadaVF,leadV1,leadV2,leadV3,leadV4,leadV5,leadV6
-6,-6,0,6,-3,-3,-2,-2,0,-2,5,-2
-14,-15,-1,15,-7,-8,-6,-7,0,-5,12,-5
-19,-21,-2,20,-9,-11,-9,-9,0,-7,17,-8
-21,-24,-2,23,-10,-13,-11,-10,0,-9,19,-9
-24,-26,-1,25,-12,-13,-11,-10,0,-10,21,-10
-27,-27,0,27,-15,-13,-9,-8,0,-10,22,-11
-30,-28,2,29,-17,-13,-7,-6,1,-10,23,-11
-32,-29,3,30,-19,-13,-6,-4,1,-10,24,-11
-33,-30,3,31,-19,-14,-6,-3,1,-9,24,-11
-32,-30,2,31,-18,-14,-7,-3,1,-9,25,-11
-31,-30,0,31,-16,-15,-8,-3,1,-9,25,-11
-30,-31,-1,30,-15,-16,-9,-3,1,-9,25,-11
-29,-32,-2,31,-14,-16,-9,-3,2,-8,26,-11
-30,-32,-2,31,-15,-17,-8,-2,3,-6,27,-11
-32,-32,-1,32,-16,-17,-6,-1,6,-4,28,-10
-33,-32,0,33,-17,-16,-5,-1,9,0,30,-10
-34,-32,1,33,-18,-16,-4,-1,13,4,33,-9
-33,-31,1,32,-18,-15,-5,-1,18,10,37,-7
-31,-30,1,31,-17,-15,-7,0,23,16,42,-5
-29,-29,1,29,-16,-14,-8,0,25,23,48,-2
-28,-27,1,28,-15,-13,-10,1,24,30,56,2
-28,-25,3,27,-16,-11,-11,3,19,36,65,8
-29,-23,4,26,-17,-10,-13,5,12,41,76,16
-29,-22,6,25,-18,-8,-16,5,4,47,88,25
-28,-20,7,24,-18,-7,-20,4,-5,53,101,35
-26,-18,7,22,-18,-6,-26,2,-18,58,114,45
-23,-16,7,20,-16,-5,-32,-1,-32,60,124,54
-20,-15,5,17,-14,-5,-38,-4,-47,57,128,62
-18,-15,3,16,-11,-7,-44,-8,-63,46,124,67
-16,-17,0,17,-9,-9,-47,-12,-81,26,111,67
-17,-22,-5,19,-7,-13,-49,-16,-99,1,89,62
-18,-28,-10,23,-5,-19,-49,-21,-116,-28,60,51
-20,-36,-16,28,-3,-26,-48,-25,-133,-59,28,36
-23,-44,-22,33,-1,-33,-48,-30,-148,-93,-5,18
-25,-52,-28,38,0,-40,-47,-34,-164,-128,-37,-1
-26,-60,-33,43,2,-46,-47,-38,-179,-164,-66,-20
