leadI,leadII,leadIII,leadaVR,leadaVL,leadaVF,leadV1,leadV2,leadV3,leadV4,leadV5,leadV6
0,0,0,0,0,0,0,1,5,0,0,0
0,-1,-1,1,0,-1,1,3,12,0,-1,-1
-1,-2,-1,1,0,-1,1,4,17,-1,-2,-2
-1,-2,0,1,0,-1,1,5,19,-1,-2,-2
-1,-2,0,1,0,-1,1,6,21,-1,-2,-2
-1,-2,-1,1,0,-1,1,7,23,-1,-2,-2
-1,-2,-1,1,0,-1,1,8,23,-1,-2,-2
-1,-2,-1,1,0,-1,1,8,24,-1,-2,-2
-1,-2,-1,1,0,-1,1,8,24,-1,-2,-2
0,-2,-1,1,0,-1,1,8,24,-1,-2,-3
0,-2,-1,1,0,-1,1,8,24,-1,-2,-3
0,-1,0,1,0,-1,1,9,24,0,-2,-2
0,-1,0,1,0,-1,2,9,24,0,-1,-2
0,-1,-1,1,0,-1,2,10,24,0,0,-1
1,-1,-1,0,1,-1,3,10,24,1,0,-1
0,-1,-1,0,0,-1,3,11,24,1,0,-1
0,-1,-1,0,0,-1,2,11,24,1,0,-1
0,-1,-1,0,0,0,2,11,24,1,0,-1
1,0,-1,0,0,0,1,11,24,1,0,-1
1,0,-1,-1,1,0,1,11,24,1,0,-1
1,0,-1,-1,1,0,0,12,24,1,0,-1
2,0,-1,-1,1,0,0,12,24,0,0,-1
4,0,-2,-2,3,0,-1,11,24,0,0,-1
3,0,-2,-2,3,0,-1,11,23,0,0,-1
2,0,-2,-1,2,0,-1,12,23,1,0,0
2,0,-1,-1,2,0,-1,12,23,1,0,0
2,1,-1,-1,1,0,-1,13,24,2,1,0
2,1,0,-2,1,0,-1,13,24,2,1,0
2,1,-1,-2,1,0,-1,14,24,2,1,0
3,1,0,-2,1,0,-1,14,23,2,2,1
2,2,0,-2,1,1,-1,15,23,2,2,1
2,2,0,-2,1,2,-2,15,23,2,2,1
3,2,0,-2,1,2,-2,16,23,2,2,1
3,2,0,-2,1,2,-3,16,23,3,2,1
3,2,-1,-2,1,1,-3,16,23,3,2,1
4,2,-1,-3,2,1,-3,16,23,3,2,1
5,2,-2,-3,3,0,-4,16,22,3,2,1
6,2,-2,-4,4,0,-4,16,22,3,2,1
5,3,-1,-4,4,1,-4,16,22,4,3,2
4,3,0,-4,3,2,-4,16,23,4,3,2
4,4,0,-4,3,2,-5,16,22,4,3,2
5,4,0,-4,3,2,-5,15,22,4,3,2
5,4,0,-4,3,2,-5,15,22,4,4,2
5,4,0,-4,3,2,-5,15,22,4,4,3
