leadI,leadII,leadIII,leadaVR,leadaVL,leadaVF,leadV1,leadV2,leadV3,leadV4,leadV5,leadV6
-5,-1,4,3,-5,1,2,3,6,8,8,6
-13,-2,10,7,-12,4,6,9,16,22,20,17
-18,-3,15,10,-16,5,8,12,22,31,28,23
-22,-4,18,13,-20,6,9,14,26,37,34,27
-24,-4,20,14,-22,7,10,16,29,41,38,30
-25,-4,20,15,-23,8,10,16,31,43,40,32
-24,-4,20,14,-22,8,9,16,32,45,42,33
-24,-5,19,14,-22,8,8,16,32,46,43,34
-23,-5,19,14,-21,8,7,16,33,47,44,35
-21,-3,19,12,-20,8,7,16,34,48,45,36
-19,-2,17,10,-18,8,6,16,35,49,47,37
-17,-2,16,9,-17,7,5,15,37,50,48,37
-16,-1,16,8,-16,7,3,15,38,51,48,38
-15,0,15,7,-15,8,3,15,40,52,50,39
-16,0,16,7,-16,9,2,15,43,53,51,40
-18,0,18,9,-19,9,2,15,45,54,52,41
-20,0,20,10,-21,11,1,15,47,56,54,43
-19,3,22,8,-21,12,1,16,49,58,57,45
-16,6,22,5,-19,13,0,16,52,60,59,47
-13,8,21,3,-17,14,0,16,53,61,60,48
-10,9,21,1,-16,15,-1,16,54,63,61,50
-9,10,21,0,-15,16,-2,16,55,64,62,51
-9,11,20,0,-15,16,-3,15,56,65,63,52
-8,12,20,-1,-14,16,-4,14,58,67,65,53
-7,13,19,-3,-13,17,-6,13,59,68,66,54
-5,14,19,-4,-12,17,-7,12,60,69,67,55
-4,15,18,-5,-11,17,-9,10,60,70,68,56
-1,17,18,-7,-10,17,-11,9,60,71,68,57
1,19,17,-10,-8,18,-13,8,61,72,69,58
5,20,15,-12,-5,17,-15,7,61,73,69,58
8,21,13,-14,-2,17,-16,5,61,73,69,59
8,22,13,-15,-2,18,-17,5,62,75,69,60
6,24,17,-15,-5,20,-18,5,63,77,70,62
5,25,19,-15,-7,22,-20,5,63,78,71,64
5,25,20,-15,-7,23,-22,4,62,78,71,64
5,25,20,-15,-7,23,-23,3,62,78,71,65
5,26,20,-15,-7,23,-25,3,61,77,71,65
6,26,19,-16,-6,22,-26,1,60,77,70,64
8,26,18,-17,-5,22,-27,0,59,76,70,64
11,28,17,-19,-3,22,-27,0,58,75,69,63
12,29,16,-20,-2,23,-28,-1,56,73,68,63
13,29,16,-21,-2,23,-28,-2,54,72,67,62
13,30,17,-22,-2,23,-28,-3,53,70,66,62
12,31,17,-22,-2,23,-28,-4,52,68,65,61
11,30,18,-20,-3,23,-27,-5,50,65,63,59
9,28,19,-18,-5,23,-27,-5,48,62,61,57
7,26,18,-16,-5,22,-26,-6,46,58,59,54
7,25,18,-16,-5,21,-25,-6,44,55,56,52
7,24,16,-15,-5,20,-24,-7,41,51,53,50
7,21,14,-14,-4,18,-23,-8,37,47,49,46
7,19,12,-13,-2,16,-21,-9,33,42,45,43
8,18,10,-13,-1,14,-19,-9,30,38,41,40
8,17,9,-13,0,13,-17,-8,27,34,37,37
6,15,9,-10,-1,12,-15,-7,24,29,34,34
3,13,9,-7,-3,11,-12,-6,22,25,31,32
1,11,10,-6,-4,11,-10,-5,20,21,28,29
0,10,9,-4,-4,10,-7,-4,18,17,24,26
0,8,8,-3,-5,8,-5,-3,15,13,20,23
-3,4,7,0,-5,5,-4,-3,12,9,15,19
-5,0,5,2,-6,2,-2,-4,8,4,11,15
-6,-3,4,4,-6,0,0,-5,4,0,7,11
-8,-5,3,6,-6,-1,1,-5,1,-4,3,8
-9,-7,2,8,-6,-2,4,-5,-1,-8,0,6
-10,-9,1,9,-6,-3,6,-4,-4,-11,-2,4
-10,-10,1,11,-6,-4,8,-4,-6,-14,-5,2
-12,-12,0,12,-7,-5,10,-3,-8,-16,-8,0
-14,-14,0,14,-8,-7,12,-3,-10,-19,-11,-2
-16,-16,0,16,-8,-8,13,-2,-12,-21,-13,-4
