leadI,leadII,leadIII,leadaVR,leadaVL,leadaVF,leadV1,leadV2,leadV3,leadV4,leadV5,leadV6
1,0,-1,0,1,-1,0,0,0,1,1,3
2,-1,-3,0,2,-2,-1,-1,0,3,4,7
4,0,-3,-2,3,-1,-2,-2,0,4,5,10
5,3,-2,-3,3,1,-2,-2,0,5,6,11
5,4,0,-4,2,2,-2,-2,-1,5,6,11
4,3,0,-3,2,2,-2,-3,-1,5,6,12
5,2,-2,-3,3,0,-2,-3,-1,5,6,12
6,0,-5,-2,5,-2,-2,-3,-1,5,6,12
6,-2,-7,-1,6,-4,-1,-3,-2,4,5,12
5,-3,-7,0,6,-5,-1,-3,-2,4,5,11
3,-3,-5,0,4,-3,-1,-4,-3,3,4,11
2,-2,-3,0,2,-2,-1,-5,-3,2,4,10
2,0,-2,0,2,-1,-2,-6,-4,1,3,10
2,0,-1,0,2,0,-2,-7,-5,1,3,9
0,0,0,0,1,0,-2,-7,-4,1,3,9
-1,-1,1,2,-1,0,0,-6,-3,1,4,10
-4,-3,1,4,-3,0,1,-5,-2,2,4,10
-6,-6,1,6,-4,-2,2,-4,-2,2,4,10
-7,-7,0,7,-4,-3,2,-4,-3,1,3,9
-6,-7,0,7,-4,-3,2,-5,-3,0,2,9
-6,-6,1,6,-4,-3,2,-5,-4,0,1,8
-7,-6,1,7,-4,-3,1,-6,-5,-1,1,7
-7,-7,0,8,-4,-3,1,-7,-5,-1,0,6
-7,-9,-1,8,-3,-4,1,-7,-5,-2,0,6
-7,-10,-2,9,-3,-6,1,-7,-5,-2,0,6
-7,-11,-3,9,-2,-7,1,-7,-5,-2,0,6
-7,-11,-4,8,-2,-7,1,-7,-5,-2,0,6
-6,-10,-4,8,-1,-7,1,-7,-5,-2,0,5
-6,-9,-3,7,-1,-6,1,-7,-5,-2,0,5
-5,-8,-3,6,-1,-5,1,-7,-5,-2,0,5
-5,-7,-2,6,-1,-4,1,-6,-5,-2,0,5
-5,-7,-2,6,-1,-4,2,-6,-5,-2,0,5
-5,-8,-3,7,-1,-5,2,-6,-5,-2,0,5
-5,-9,-4,7,-1,-6,2,-6,-5,-2,0,5
-5,-9,-4,7,-1,-6,2,-6,-5,-2,0,5
-5,-9,-3,7,-1,-5,2,-6,-5,-2,0,5
