leadI,leadII,leadIII,leadaVR,leadaVL,leadaVF,leadV1,leadV2,leadV3,leadV4,leadV5,leadV6
11,5,-5,-8,8,0,-3,0,1,2,5,13
26,12,-14,-19,20,-1,-10,-2,-1,0,7,27
31,13,-18,-22,24,-2,-16,-10,-12,-12,-3,19
30,14,-16,-22,23,0,-20,-20,-27,-31,-21,-2
23,16,-7,-20,15,4,-20,-28,-42,-49,-41,-32
11,15,3,-13,4,9,-19,-34,-54,-67,-63,-66
-3,9,11,-3,-7,10,-16,-37,-63,-82,-83,-98
-13,3,15,4,-14,9,-10,-36,-68,-92,-100,-124
-17,0,16,8,-17,8,-3,-31,-68,-99,-112,-142
-19,-5,14,12,-17,5,2,-28,-68,-103,-120,-154
-22,-11,11,17,-17,0,6,-26,-67,-105,-125,-161
-26,-18,8,22,-17,-5,8,-26,-67,-104,-126,-164
-30,-23,6,27,-18,-8,9,-27,-65,-100,-123,-163
-30,-24,6,27,-18,-9,10,-28,-62,-93,-116,-158
-31,-22,8,26,-19,-7,9,-32,-59,-86,-108,-152
-35,-23,11,29,-23,-6,7,-38,-58,-80,-102,-146
-45,-29,14,37,-29,-8,4,-45,-59,-76,-99,-141
-54,-35,18,45,-36,-9,2,-49,-58,-71,-95,-136
-57,-36,21,47,-39,-7,2,-49,-54,-65,-89,-129
-58,-34,23,47,-41,-5,3,-47,-50,-58,-82,-122
-58,-34,24,47,-41,-5,4,-43,-44,-51,-75,-115
-58,-33,24,46,-41,-4,6,-38,-38,-44,-67,-109
-53,-27,25,40,-40,-1,10,-31,-30,-36,-58,-101
-49,-22,26,36,-38,2,14,-25,-23,-28,-51,-94
-54,-26,27,40,-41,0,14,-24,-20,-25,-48,-91
-61,-32,27,47,-44,-2,13,-24,-19,-23,-47,-88
-61,-32,28,47,-45,-2,14,-22,-16,-20,-45,-84
-59,-29,29,44,-44,0,16,-19,-13,-16,-40,-80
-59,-29,30,44,-45,1,17,-16,-10,-13,-36,-77
-62,-32,30,47,-47,0,16,-14,-8,-10,-33,-75
-64,-34,30,49,-47,-1,16,-12,-6,-8,-30,-74
-62,-32,30,47,-46,-1,17,-9,-3,-5,-28,-72
-60,-30,30,45,-45,0,18,-7,-1,-3,-26,-69
-58,-28,30,43,-44,1,19,-6,0,-1,-25,-67
-57,-26,30,42,-44,2,19,-5,1,0,-25,-66
-57,-27,30,43,-44,2,19,-5,0,0,-25,-65
-59,-29,30,44,-45,1,18,-5,0,0,-24,-65
-60,-31,30,46,-45,0,17,-5,0,0,-23,-65
-62,-33,29,47,-45,-2,16,-5,0,0,-22,-65
-61,-33,28,47,-45,-2,15,-4,1,1,-21,-64
-60,-32,28,46,-44,-2,15,-4,2,2,-20,-63
-61,-31,29,46,-45,-1,15,-3,2,2,-20,-62
-61,-31,29,46,-45,-1,15,-3,2,2,-20,-62
-59,-28,30,44,-44,0,16,-2,3,3,-19,-60
-55,-25,30,40,-42,2,16,-1,4,5,-17,-59
-55,-25,30,40,-42,2,16,-1,5,5,-16,-58
-57,-28,29,42,-43,1,15,-2,4,5,-16,-58
-57,-29,28,43,-43,0,14,-3,4,4,-16,-58
-56,-29,27,43,-42,-1,13,-3,4,4,-16,-58
-55,-28,27,42,-41,-1,13,-3,4,4,-16,-57
-54,-27,27,41,-40,0,13,-3,4,4,-16,-56
-54,-26,27,40,-40,1,13,-4,5,4,-16,-56
-51,-23,27,38,-40,2,13,-4,5,5,-15,-55
-46,-17,27,32,-37,6,14,-2,7,7,-13,-52
-45,-16,28,30,-37,7,15,-2,8,8,-12,-51
-50,-21,29,35,-40,4,13,-4,7,8,-12,-51
-54,-25,29,39,-42,2,11,-6,7,7,-13,-52
-53,-24,29,38,-41,2,11,-6,7,8,-12,-51
-52,-22,29,37,-40,3,11,-7,7,9,-12,-50
-54,-25,28,40,-41,1,10,-9,6,8,-13,-51
-54,-27,27,41,-41,0,9,-10,5,7,-14,-52
-53,-27,26,40,-40,0,10,-11,5,7,-13,-51
-54,-27,27,41,-41,0,10,-11,5,8,-13,-51
-53,-26,28,39,-41,1,11,-11,5,9,-12,-50
-50,-23,27,36,-39,2,13,-10,6,10,-11,-48
-49,-23,26,36,-38,2,12,-11,6,10,-11,-48
-51,-26,25,39,-39,0,11,-13,4,9,-12,-49
-52,-27,25,40,-38,-1,10,-14,4,9,-12,-49
-51,-26,24,39,-38,-1,10,-14,3,9,-12,-48
-52,-27,24,40,-38,-1,10,-14,3,9,-11,-48
-53,-28,25,40,-39,0,10,-14,3,9,-11,-47
-52,-27,25,39,-39,0,10,-14,3,10,-10,-46
-50,-26,24,38,-38,0,10,-13,3,11,-9,-45
-47,-23,24,35,-36,0,10,-13,4,12,-8,-44
-43,-19,24,31,-34,2,11,-11,6,13,-7,-42
-40,-16,24,29,-32,3,11,-11,7,14,-6,-41
-42,-17,24,30,-33,3,11,-11,7,14,-5,-41
-47,-21,25,34,-36,2,10,-12,7,14,-5,-41
-49,-24,24,36,-37,1,9,-12,6,14,-5,-41
-50,-25,23,37,-37,0,8,-12,6,14,-5,-41
-50,-26,23,37,-37,0,8,-12,7,15,-4,-40
-49,-25,24,36,-37,0,8,-12,8,16,-4,-40
-47,-23,24,34,-35,1,7,-11,8,16,-3,-39
