leadI,leadII,leadIII,leadaVR,leadaVL,leadaVF,leadV1,leadV2,leadV3,leadV4,leadV5,leadV6
0,0,0,0,0,0,0,3,-198,0,-1,0
-1,0,0,1,-1,0,0,7,-464,-2,-3,-2
-2,-1,0,2,-1,-1,0,9,-499,-5,-4,-2
-2,-2,0,2,-1,-2,0,11,-328,-6,-4,-2
-3,-1,0,2,-1,-1,0,14,40,-4,-2,-1
-3,0,2,1,-2,0,2,19,566,0,0,0
-2,2,3,0,-3,2,3,22,1161,3,3,0
-2,3,5,0,-4,3,3,24,1693,6,4,1
-3,3,6,0,-4,3,3,24,2075,6,4,1
-3,3,5,0,-4,3,1,22,2296,3,2,1
-2,2,3,0,-2,2,0,18,2405,0,0,1
0,1,1,-1,0,0,-1,16,2499,-2,0,1
1,2,0,-1,1,0,-1,17,1826,-1,0,2
2,3,0,-2,1,1,0,19,750,2,2,3
2,4,1,-3,0,2,0,23,282,6,5,4
2,4,2,-3,0,3,0,25,115,10,7,5
2,5,3,-4,0,4,0,25,38,11,8,5
3,6,3,-5,0,4,-2,23,-50,10,7,6
2,6,3,-4,0,4,-3,20,-171,8,6,6
2,5,3,-4,0,4,-4,19,-282,6,6,7
3,6,2,-4,0,4,-4,19,-316,7,7,8
5,7,1,-6,1,4,-4,20,-245,9,9,8
6,8,1,-7,2,5,-4,22,-81,12,11,8
7,9,2,-8,2,5,-4,24,114,15,13,9
7,10,2,-8,2,6,-4,25,252,17,14,9
7,10,2,-9,2,6,-5,23,292,16,14,9
7,10,1,-9,3,5,-6,21,235,14,13,9
8,10,0,-10,4,5,-8,19,132,12,12,9
9,11,0,-10,5,5,-9,18,59,11,12,9
11,12,0,-11,5,5,-9,19,68,13,13,10
12,13,0,-13,5,5,-9,21,168,16,15,10
13,14,0,-13,5,6,-9,22,321,20,17,11
13,14,0,-13,5,7,-10,23,450,22,19,12
13,14,0,-14,5,7,-11,22,501,23,19,12
13,15,0,-14,6,7,-12,20,462,21,19,12
13,15,0,-14,6,7,-13,18,362,19,18,12
13,15,0,-14,6,7,-13,16,268,18,18,13
14,16,0,-15,6,7,-14,16,239,18,18,14
15,17,1,-16,6,8,-14,17,297,21,20,15
16,18,1,-17,6,9,-15,18,422,24,22,15
17,19,1,-18,7,9,-15,19,553,27,23,16
17,19,1,-18,7,10,-16,19,623,28,24,16
17,18,0,-18,8,9,-17,18,610,26,23,16
18,17,-1,-18,10,7,-18,16,524,23,22,16
