leadI,leadII,leadIII,leadaVR,leadaVL,leadaVF,leadV1,leadV2,leadV3,leadV4,leadV5,leadV6
-1,0,1,0,-1,0,0,-1,-1,-1,-1,-2
-3,0,2,1,-2,1,1,-2,-3,-4,-4,-5
-4,0,3,2,-4,2,1,-3,-4,-5,-5,-6
-5,-1,4,2,-5,2,1,-3,-5,-6,-6,-7
-6,-1,4,3,-5,2,1,-4,-6,-6,-6,-8
-5,-1,4,3,-4,2,1,-4,-6,-6,-6,-8
-4,0,3,2,-3,1,1,-4,-6,-6,-6,-9
-4,0,3,2,-3,1,2,-4,-6,-6,-6,-9
-5,0,4,2,-4,2,2,-4,-6,-7,-6,-9
-5,0,4,2,-4,2,1,-4,-6,-7,-7,-9
-4,0,4,2,-4,2,1,-4,-6,-7,-7,-9
-4,0,3,2,-4,2,1,-4,-6,-7,-7,-9
-4,0,3,2,-4,2,2,-4,-6,-7,-7,-9
-4,0,3,2,-4,2,2,-4,-6,-7,-7,-9
-4,0,3,2,-4,2,2,-4,-6,-7,-7,-9
-4,0,3,2,-4,2,2,-4,-7,-7,-7,-10
-4,0,3,2,-4,2,2,-4,-7,-7,-7,-10
-4,0,3,2,-4,2,1,-4,-7,-8,-8,-10
-4,0,3,2,-4,2,1,-4,-7,-8,-8,-10
-5,0,4,2,-4,2,1,-4,-7,-8,-8,-10
-5,0,4,2,-4,2,1,-4,-7,-8,-8,-10
-5,0,4,2,-4,3,1,-4,-7,-8,-7,-10
-4,1,5,1,-4,4,1,-4,-6,-7,-7,-9
-4,3,6,0,-4,5,1,-4,-5,-6,-6,-9
-3,5,7,-1,-5,7,1,-3,-3,-4,-5,-8
-3,6,8,-2,-5,8,1,-3,-2,-3,-4,-7
-3,7,10,-2,-6,9,1,-3,-1,-2,-3,-6
-3,8,11,-3,-7,10,0,-3,0,-2,-2,-5
-3,9,11,-3,-7,11,0,-3,0,-1,-2,-5
-3,10,12,-4,-8,11,0,-3,0,-1,-2,-4
-3,10,12,-3,-8,11,0,-3,0,-1,-2,-4
-3,10,12,-3,-8,11,0,-4,0,-1,-2,-5
-3,10,12,-3,-7,11,0,-5,0,-1,-2,-5
