leadI,leadII,leadIII,leadaVR,leadaVL,leadaVF,leadV1,leadV2,leadV3,leadV4,leadV5,leadV6
0,0,0,0,0,0,0,0,-3,0,0,0
0,0,-1,0,0,-1,0,-1,-9,-1,-1,0
0,-1,-2,0,0,-1,0,-1,-11,-1,-2,0
0,-1,-2,1,0,-1,1,-1,-12,-1,-1,0
-1,-2,-1,1,-1,-1,1,0,-11,-1,0,0
-2,-2,0,2,-2,-1,1,0,-11,-1,0,0
-2,-2,0,2,-1,-1,1,0,-11,-1,1,0
-1,-2,0,1,-1,-1,1,0,-11,-1,1,0
-1,-2,0,1,-1,-1,1,0,-11,-1,0,0
-1,-2,0,1,-1,-1,1,0,-11,-1,0,0
-1,-2,0,1,-1,-1,1,0,-11,-1,0,0
-2,-2,0,1,-1,-1,1,0,-11,-1,0,0
-2,-2,0,1,-1,-1,1,0,-10,-1,0,0
-1,-1,0,1,-1,-1,1,0,-10,-1,0,0
-1,-1,0,1,-1,-1,1,0,-9,-1,0,0
-1,-1,0,1,-1,-1,1,0,-8,-1,0,0
0,-1,-1,1,0,-1,1,0,-8,-1,0,0
0,-1,-1,1,0,-1,1,0,-8,-1,0,0
0,-1,-1,1,0,-1,1,0,-7,-1,0,0
-1,-1,-1,1,0,-1,1,0,-7,-1,0,0
-1,-1,-1,1,0,-1,1,0,-6,-1,0,0
-1,-1,-1,1,-1,-1,1,0,-6,-1,0,0
-1,-1,0,1,-1,-1,1,0,-6,-1,0,0
-2,-1,0,1,-2,-1,1,0,-6,-1,0,0
-2,-1,0,1,-2,-1,1,0,-6,-1,0,0
-1,-1,0,1,-1,-1,1,0,-6,-1,0,0
-1,-1,-1,1,-1,-1,1,0,-7,-1,0,0
-1,-1,-1,1,0,-1,1,0,-7,-1,0,0
-1,-2,-1,1,0,-1,1,0,-7,-1,0,0
-2,-2,-1,1,-1,-1,1,0,-6,-1,0,0
-1,-2,-1,1,-1,-1,1,0,-6,-1,0,0
-1,-2,-1,1,0,-1,1,-1,-5,-1,0,0
-1,-2,-1,1,-1,-1,1,-1,-5,-1,0,0
-2,-2,0,2,-1,-1,2,-1,-4,-1,0,0
-2,-2,0,2,-1,-1,2,-1,-4,-1,0,0
-2,-2,0,2,-1,-1,2,-1,-4,-1,0,0
-2,-2,0,2,-2,-1,2,0,-4,-1,0,0
-2,-2,0,2,-2,-1,2,0,-3,-1,0,0
-2,-2,0,2,-2,-1,2,0,-3,-1,0,0
-1,-2,-1,1,-1,-1,1,0,-3,-1,0,0
-1,-2,-1,1,0,-1,1,0,-3,-1,0,0
