leadI,leadII,leadIII,leadaVR,leadaVL,leadaVF,leadV1,leadV2,leadV3,leadV4,leadV5,leadV6
1,1,1,-1,0,1,-3,-5,1,77,1,-215
2,3,2,-3,0,3,-6,-13,4,-357,2,-91
2,3,2,-3,0,2,-8,-17,8,-409,3,123
1,2,1,-2,0,1,-8,-19,11,-458,3,474
1,0,0,0,0,0,-8,-20,16,-956,3,998
0,-1,0,0,0,-1,-6,-20,19,-1208,3,867
0,2,2,-1,-1,1,-5,-19,18,-1567,3,395
1,6,5,-4,-2,5,-7,-20,15,-1783,3,585
2,9,7,-5,-2,7,-9,-23,11,-1376,3,1212
2,9,7,-5,-2,7,-11,-24,10,-1147,3,1310
2,7,5,-5,-1,6,-11,-23,10,-918,3,1126
2,5,3,-4,-1,4,-10,-23,11,-21,3,800
1,2,1,-2,0,2,-9,-22,14,-26,3,426
1,0,0,0,0,0,-8,-21,16,-8,3,62
1,1,1,-1,-1,1,-7,-19,17,-77,3,-278
1,5,4,-3,-2,4,-7,-19,14,-114,3,228
2,9,7,-5,-2,7,-9,-21,11,514,3,1244
2,9,7,-5,-2,7,-11,-23,8,793,3,1799
3,8,6,-5,-1,6,-12,-23,8,871,3,1819
3,7,5,-5,0,5,-12,-23,8,833,3,1743
4,5,3,-5,0,4,-12,-23,9,739,3,1271
4,3,1,-4,0,2,-11,-22,11,647,3,1009
4,3,1,-3,0,1,-9,-21,12,570,3,1638
3,5,3,-4,0,3,-8,-19,12,488,3,2011
4,7,4,-5,0,5,-9,-20,9,431,3,2080
5,8,4,-6,0,5,-10,-21,7,58,3,2053
5,8,3,-6,1,5,-10,-21,7,-162,3,1975
4,7,3,-5,0,4,-10,-21,7,49,3,1870
3,5,2,-4,0,3,-11,-21,8,258,3,1754
2,3,1,-3,0,1,-11,-21,10,112,3,1651
2,2,0,-2,0,0,-10,-19,12,167,3,1574
2,3,2,-3,0,1,-8,-17,11,675,3,1506
3,6,4,-4,-1,4,-9,-17,9,925,3,1428
3,7,4,-5,0,5,-10,-18,6,831,3,1339
3,6,3,-4,0,4,-11,-19,5,795,3,1317
2,4,2,-3,0,3,-11,-18,5,892,3,1160
2,2,0,-2,0,1,-10,-16,7,901,3,1068
1,0,0,-1,0,0,-10,-15,9,391,3,1306
1,-1,0,0,0,-1,-10,-15,10,126,3,1434
1,0,1,-1,0,0,-9,-14,10,-96,3,1563
1,3,3,-2,0,3,-9,-15,8,-214,3,1720
2,5,3,-3,0,4,-10,-16,6,432,3,1728
2,5,3,-3,0,4,-10,-16,5,561,3,1252
2,4,2,-2,0,3,-10,-15,6,615,3,907
2,2,1,-2,0,1,-10,-14,7,896,3,1216
2,0,0,-1,0,0,-10,-14,7,695,3,1597
1,-1,0,-1,0,-1,-10,-14,8,554,3,1988
1,-1,0,0,0,-1,-9,-12,9,870,3,1520
1,0,0,-1,0,0,-8,-11,9,1035,3,517
1,2,1,-1,0,1,-8,-11,8,1014,3,-3
1,3,1,-2,0,2,-9,-11,7,958,3,-282
1,3,1,-2,0,2,-9,-11,7,771,3,-290
1,3,1,-2,0,2,-9,-11,7,379,3,-12
1,2,1,-2,0,1,-10,-11,6,-64,3,234
2,1,0,-2,0,0,-10,-10,7,49,3,42
2,0,0,-2,1,0,-9,-8,8,-77,3,63
2,1,0,-2,0,0,-8,-6,8,-577,3,389
1,2,2,-2,0,2,-9,-6,7,-189,3,666
2,4,2,-3,0,3,-10,-6,6,127,3,549
2,4,2,-3,0,3,-10,-6,6,-364,3,97
2,4,1,-3,0,3,-11,-5,6,-415,3,414
2,3,1,-3,0,2,-11,-5,5,-147,3,1109
2,1,0,-2,1,0,-12,-5,5,-455,3,1483
3,0,-2,-2,1,-1,-11,-5,5,-772,3,1461
3,0,-1,-2,1,0,-10,-3,6,-659,3,1363
2,1,0,-2,0,1,-10,-3,5,-410,3,1449
2,2,0,-2,0,1,-10,-4,4,-607,3,1682
2,2,0,-2,1,1,-11,-4,4,-890,3,1851
2,3,0,-2,1,1,-10,-4,4,-648,3,1356
2,3,0,-3,1,1,-10,-3,5,-773,3,475
2,3,0,-3,1,1,-10,-4,5,-715,3,42
2,2,0,-2,1,0,-11,-4,5,-549,3,-275
2,1,0,-2,0,0,-10,-4,5,-1060,3,-201
1,2,2,-2,0,1,-10,-3,4,-972,3,311
1,3,2,-2,0,2,-11,-4,3,-280,3,598
1,3,1,-2,0,2,-12,-4,2,277,3,606
1,2,0,-1,0,1,-11,-4,2,325,3,695
1,1,0,-1,0,0,-11,-4,3,-318,3,898
1,1,0,-1,0,0,-11,-4,3,-870,3,1025
1,1,0,-2,0,0,-12,-5,3,-810,3,869
1,2,1,-2,0,1,-12,-5,3,-629,3,935
2,3,1,-3,0,2,-11,-4,3,-614,3,1469
2,3,1,-3,0,2,-12,-5,3,-914,3,1707
3,3,1,-3,1,2,-13,-6,2,-739,3,1782
3,3,0,-3,1,2,-13,-6,2,-421,3,1333
2,2,0,-2,1,1,-12,-5,2,-152,3,996
2,2,0,-2,1,1,-12,-5,2,-32,3,1242
2,2,0,-2,1,0,-13,-5,2,-87,3,877
2,1,0,-2,1,0,-12,-4,3,-318,3,741
2,2,0,-2,1,0,-12,-3,3,-734,3,598
2,3,1,-3,0,2,-12,-3,3,-514,3,554
2,4,1,-3,0,3,-13,-4,3,12,3,1239
1,3,1,-2,0,2,-13,-4,3,-154,3,1130
1,3,1,-2,0,2,-12,-3,3,-773,3,982
2,3,1,-2,0,2,-11,-3,3,-871,3,1367
2,3,1,-3,0,2,-12,-3,3,-689,3,1733
