leadI,leadII,leadIII,leadaVR,leadaVL,leadaVF,leadV1,leadV2,leadV3,leadV4,leadV5,leadV6
0,-1,-1,0,0,-1,7,-2,1,0,-1,-1
-1,-3,-2,2,1,-3,19,-5,2,-1,-2,-3
-3,-6,-4,4,0,-5,29,-3,2,-1,2,-2
-6,-10,-5,8,0,-7,40,3,3,0,11,0
-9,-14,-6,12,-1,-10,49,10,4,1,20,3
-11,-17,-6,13,-2,-11,55,14,4,1,25,4
-10,-17,-6,13,-2,-11,56,13,4,1,23,4
-8,-14,-6,11,-1,-10,53,7,4,0,15,2
-6,-11,-5,8,0,-8,47,1,4,0,7,0
-4,-9,-5,6,0,-7,43,-3,3,-1,2,-2
-4,-9,-5,6,0,-7,42,-2,3,-1,3,-1
-6,-11,-6,8,0,-8,46,2,3,0,10,0
-8,-14,-6,11,0,-10,51,9,3,0,19,2
-9,-16,-7,12,0,-11,56,14,3,0,25,4
-9,-16,-7,12,0,-12,58,15,3,1,25,4
-8,-14,-7,10,0,-11,55,12,3,0,20,3
-5,-11,-6,8,0,-9,49,6,3,0,12,1
-4,-9,-6,6,0,-7,44,1,3,0,6,0
-4,-8,-6,6,0,-7,42,-1,3,-1,4,-1
-5,-10,-6,7,0,-8,44,2,3,-1,9,0
-7,-13,-6,10,0,-9,49,8,3,0,17,2
-8,-15,-6,12,0,-10,54,14,3,0,24,4
-9,-16,-6,12,0,-11,56,17,3,0,27,5
-8,-15,-7,11,0,-11,55,15,2,0,24,4
-6,-13,-7,9,0,-10,51,9,2,0,16,2
-4,-11,-7,7,0,-9,46,3,2,0,9,0
-3,-9,-7,6,0,-9,43,0,2,0,5,0
-4,-9,-7,6,0,-8,43,1,2,0,7,0
-6,-12,-7,8,0,-9,47,6,2,0,14,2
-7,-14,-7,10,0,-10,51,12,2,0,21,3
-8,-16,-7,11,0,-11,54,15,2,0,25,4
-8,-16,-8,11,0,-11,53,15,2,0,23,4
-7,-15,-8,10,0,-11,49,10,1,0,16,3
-6,-12,-8,9,0,-10,44,4,1,0,8,1
-4,-11,-8,8,1,-10,40,1,1,0,2,0
-3,-10,-9,7,1,-9,39,1,1,-1,2,0
-4,-11,-9,8,2,-10,41,5,1,-1,7,1
-5,-13,-9,9,2,-11,45,10,0,-1,14,2
-6,-15,-9,10,2,-11,48,14,0,-1,19,3
-7,-15,-8,11,1,-11,50,15,0,-1,20,3
-7,-14,-7,11,0,-11,48,13,0,-1,16,3
-7,-12,-7,10,0,-10,44,7,0,-1,8,2
-6,-11,-6,9,-1,-9,40,3,0,-1,3,1
-6,-11,-6,8,0,-9,38,2,0,-1,1,1
-6,-11,-7,9,0,-9,39,4,0,-1,4,1
