leadI,leadII,leadIII,leadaVR,leadaVL,leadaVF,leadV1,leadV2,leadV3,leadV4,leadV5,leadV6
-2,-4,-1,3,0,-2,0,-13,1,1,7,8
-3,-6,-2,5,0,-4,-2,-28,1,2,15,17
1,3,3,-1,-1,3,-4,-30,0,2,15,16
5,20,16,-12,-5,18,-8,-33,-4,-2,11,12
7,35,30,-21,-11,32,-14,-37,-9,-6,7,7
6,41,36,-23,-15,39,-16,-38,-11,-8,5,5
3,34,32,-18,-15,33,-15,-36,-9,-6,7,6
0,16,18,-8,-11,17,-11,-31,-4,-1,11,10
-1,-1,3,1,-4,1,-6,-26,1,5,16,16
0,-8,-6,4,1,-7,-3,-22,3,9,18,18
4,-3,-5,0,3,-4,-4,-20,3,10,17,18
8,11,4,-9,0,7,-7,-22,0,7,14,14
10,27,18,-19,-4,22,-12,-24,-5,2,10,9
10,36,26,-23,-8,31,-15,-26,-8,-1,7,6
9,33,26,-21,-9,29,-16,-25,-8,-2,7,5
6,20,15,-12,-6,17,-14,-22,-6,1,9,7
4,1,0,-2,0,0,-9,-17,-1,6,13,12
4,-10,-12,3,5,-11,-6,-13,2,10,16,15
6,-11,-15,2,8,-13,-5,-11,3,11,16,16
10,0,-9,-5,7,-4,-7,-11,1,10,14,14
12,16,4,-14,3,10,-11,-12,-3,5,10,9
13,28,14,-20,0,21,-14,-14,-7,1,7,5
12,29,16,-20,-2,22,-15,-14,-9,0,6,4
10,20,10,-14,0,14,-14,-13,-8,1,7,5
9,3,-4,-5,4,0,-11,-9,-4,5,10,9
9,-10,-17,1,11,-14,-8,-5,-1,9,13,12
10,-14,-23,1,14,-19,-7,-2,0,11,13,13
13,-8,-20,-3,15,-14,-8,-1,-1,9,11,11
15,6,-9,-11,13,-2,-11,-1,-5,6,7,7
16,18,1,-17,9,10,-13,-1,-8,1,3,2
16,22,5,-18,6,13,-13,0,-9,0,1,0
13,15,1,-13,7,8,-12,2,-8,0,1,-1
11,-1,-10,-4,9,-6,-8,7,-5,2,2,0
9,-18,-24,5,14,-21,-3,14,-1,6,3,1
9,-27,-31,9,17,-29,0,19,0,7,2,0
9,-25,-31,8,17,-28,1,23,1,7,0,-2
10,-14,-23,1,16,-19,1,26,0,5,-4,-6
