leadI,leadII,leadIII,leadaVR,leadaVL,leadaVF,leadV1,leadV2,leadV3,leadV4,leadV5,leadV6
-5,-4,1,5,-3,-1,-4,-3,-2,-1,-1,-2
-14,-11,2,12,-8,-4,-10,-8,-7,-3,-4,-5
-19,-15,3,17,-11,-6,-13,-8,-9,-4,-6,-7
-22,-18,3,20,-13,-7,-15,-5,-11,-5,-7,-8
-24,-19,4,21,-14,-8,-17,-2,-11,-5,-7,-9
-25,-20,4,23,-15,-8,-18,0,-12,-5,-8,-9
-26,-21,5,24,-16,-8,-18,-1,-12,-6,-8,-9
-26,-21,5,24,-16,-8,-18,-4,-12,-6,-8,-9
-26,-21,5,23,-16,-8,-18,-8,-12,-6,-8,-9
-26,-21,5,23,-16,-8,-18,-9,-12,-6,-8,-9
-26,-21,5,23,-16,-8,-18,-9,-12,-6,-8,-9
-26,-21,5,24,-16,-8,-19,-6,-12,-6,-8,-9
-27,-21,5,24,-16,-8,-19,-3,-12,-6,-8,-9
-27,-21,5,24,-16,-8,-19,0,-12,-6,-8,-9
-27,-20,5,24,-16,-7,-19,0,-12,-6,-7,-9
-27,-20,5,24,-16,-7,-19,-2,-12,-6,-7,-9
-26,-20,5,23,-16,-7,-19,-5,-12,-6,-7,-8
-25,-20,4,23,-15,-7,-19,-7,-12,-6,-7,-8
-25,-20,4,23,-15,-7,-19,-7,-12,-7,-7,-8
-25,-20,5,23,-15,-7,-19,-5,-12,-7,-7,-8
-25,-20,5,23,-15,-7,-19,-2,-12,-6,-7,-8
-24,-19,5,21,-15,-7,-18,0,-12,-6,-7,-8
-24,-18,5,21,-15,-7,-18,0,-12,-6,-7,-8
-24,-18,5,21,-15,-7,-18,-1,-12,-6,-7,-8
-24,-18,5,21,-15,-7,-18,-4,-12,-6,-6,-8
-23,-18,5,21,-14,-7,-18,-6,-12,-6,-6,-8
-23,-18,4,20,-14,-7,-18,-7,-12,-6,-6,-8
-22,-18,4,20,-13,-7,-18,-6,-12,-6,-6,-8
-23,-19,4,21,-13,-7,-18,-3,-12,-6,-6,-8
-23,-19,4,21,-14,-7,-18,-1,-12,-6,-6,-8
-22,-18,4,20,-13,-7,-18,0,-12,-6,-6,-8
-22,-17,4,19,-13,-7,-18,0,-12,-6,-6,-7
-22,-17,4,20,-13,-7,-18,-2,-12,-6,-6,-7
-22,-17,4,20,-13,-7,-18,-4,-12,-6,-6,-8
-23,-17,5,20,-14,-6,-18,-5,-12,-6,-6,-8
-23,-18,5,20,-14,-6,-18,-5,-12,-6,-6,-8
-24,-18,5,21,-14,-6,-18,-4,-12,-6,-6,-8
-23,-18,5,21,-14,-6,-18,-1,-12,-6,-6,-8
-23,-18,5,20,-14,-6,-18,0,-12,-6,-6,-8
-23,-18,5,20,-14,-6,-19,0,-12,-6,-6,-8
-24,-18,5,21,-15,-6,-19,-1,-12,-6,-6,-8
-24,-19,6,22,-15,-7,-19,-3,-13,-6,-6,-8
-24,-19,6,22,-15,-7,-19,-5,-13,-6,-6,-8
-23,-17,6,21,-14,-6,-18,-5,-12,-6,-5,-8
-23,-16,6,20,-14,-5,-18,-3,-12,-5,-5,-7
-23,-16,6,20,-14,-5,-18,-1,-12,-5,-5,-7
-23,-17,6,20,-15,-5,-18,0,-12,-5,-5,-7
-23,-16,6,19,-15,-5,-18,1,-12,-5,-5,-7
-22,-16,6,19,-14,-5,-18,1,-11,-5,-5,-7
-22,-15,6,19,-14,-5,-19,0,-11,-5,-5,-7
-22,-15,6,19,-14,-5,-18,-1,-11,-5,-5,-7
-22,-15,6,19,-14,-5,-14,-2,-11,-5,-5,-7
-22,-15,6,18,-14,-5,-8,-1,-11,-5,-5,-7
-22,-15,6,18,-14,-5,-5,0,-11,-5,-5,-7
-22,-15,6,18,-14,-5,-2,1,-11,-5,-5,-7
-22,-15,6,18,-14,-5,-1,2,-11,-5,-5,-7
-23,-15,7,19,-15,-5,0,2,-11,-5,-5,-7
-24,-15,8,19,-16,-4,1,1,-11,-5,-5,-7
-25,-15,9,20,-17,-4,2,0,-11,-5,-5,-7
-25,-16,9,20,-17,-4,3,0,-11,-5,-5,-7
