leadI,leadII,leadIII,leadaVR,leadaVL,leadaVF,leadV1,leadV2,leadV3,leadV4,leadV5,leadV6
0,0,0,0,0,0,1,-29,-1,0,1,0
0,0,0,0,-1,0,1,-85,-2,0,3,-1
-1,0,1,0,-1,1,-1,-143,-3,0,3,-1
-1,0,1,0,-2,1,-5,-203,-4,0,3,-2
-1,0,1,1,-2,1,-9,-256,-5,0,4,-2
-2,-1,1,1,-2,0,-10,-290,-5,0,5,-2
-2,-1,1,2,-2,0,-8,-299,-5,0,5,-2
-2,-1,1,2,-2,0,-5,-288,-4,0,6,-2
-2,-1,1,2,-2,-1,-3,-271,-4,0,6,-2
-2,-1,1,2,-2,-1,-2,-269,-3,0,6,-1
-2,-2,0,2,-2,-1,-5,-292,-3,0,6,-1
-2,-2,0,2,-2,-1,-9,-337,-4,0,5,-1
-2,-2,0,2,-2,-1,-13,-388,-4,0,5,-1
-2,-2,0,2,-2,-1,-15,-429,-4,0,5,-1
-2,-2,0,2,-2,-1,-15,-451,-4,0,5,-1
-2,-2,0,2,-2,-1,-13,-452,-4,0,5,-1
-2,-2,0,2,-2,-1,-11,-445,-4,0,5,-1
-2,-2,1,2,-2,0,-11,-445,-4,-1,5,-1
-2,-1,2,2,-3,0,-14,-468,-4,-1,4,-1
-2,-1,2,2,-3,0,-18,-515,-4,-1,4,-1
-2,0,3,2,-3,1,-22,-573,-4,-1,3,-2
-2,0,3,2,-3,1,-25,-627,-4,-1,3,-2
-2,0,3,2,-3,1,-26,-665,-4,-1,3,-2
-2,0,3,1,-3,1,-24,-682,-4,-1,3,-2
-2,0,3,1,-3,1,-23,-688,-4,-1,3,-2
-2,0,3,1,-3,1,-22,-695,-4,-1,3,-2
-2,0,3,1,-3,1,-24,-720,-4,-1,4,-2
-2,0,2,2,-3,0,-27,-767,-4,-1,4,-2
-2,-1,2,2,-3,0,-31,-828,-4,-1,4,-2
-2,-1,2,3,-3,0,-34,-889,-4,-1,4,-2
-3,-1,2,3,-3,0,-36,-936,-5,-1,4,-2
-3,-1,2,3,-3,0,-35,-961,-5,-1,4,-2
-4,-2,2,3,-3,0,-33,-971,-5,-1,4,-2
-3,-2,2,3,-3,0,-33,-977,-6,-1,4,-2
-3,-1,2,3,-3,0,-33,-994,-6,-1,3,-2
-3,-1,2,3,-3,0,-36,-1030,-6,-2,2,-3
-4,-1,2,3,-3,0,-40,-1084,-6,-2,2,-3
-4,-1,2,3,-3,0,-43,-1143,-6,-2,1,-3
-4,-1,2,3,-3,0,-45,-1191,-6,-2,1,-3
-4,-1,2,3,-3,0,-45,-1218,-6,-2,1,-3
