leadI,leadII,leadIII,leadaVR,leadaVL,leadaVF,leadV1,leadV2,leadV3,leadV4,leadV5,leadV6
5,2,-3,-3,4,0,-4,3,9,31,25,21
17,6,-11,-11,14,-2,-16,4,23,86,71,61
31,9,-22,-20,26,-5,-31,-2,26,120,103,89
43,10,-34,-27,38,-11,-45,-11,21,128,112,101
54,7,-48,-30,51,-20,-60,-23,9,115,101,97
62,-1,-64,-30,63,-32,-77,-41,-11,84,73,82
64,-13,-78,-25,71,-45,-94,-66,-44,34,27,56
60,-26,-88,-17,74,-57,-107,-98,-89,-33,-34,17
55,-38,-93,-9,74,-65,-113,-131,-141,-110,-105,-29
48,-46,-95,-1,72,-70,-115,-161,-190,-185,-173,-72
40,-51,-92,5,66,-71,-116,-185,-230,-253,-235,-107
30,-53,-85,12,57,-68,-113,-200,-258,-310,-291,-136
20,-54,-75,17,47,-64,-108,-206,-272,-349,-334,-158
10,-54,-66,21,38,-59,-101,-203,-273,-368,-360,-171
3,-53,-57,24,30,-54,-92,-194,-265,-372,-372,-178
-1,-51,-50,25,24,-49,-84,-181,-251,-367,-375,-180
-4,-47,-43,25,20,-44,-73,-165,-233,-354,-370,-178
-6,-41,-35,23,15,-37,-61,-146,-211,-335,-359,-171
-8,-34,-26,21,9,-29,-49,-127,-187,-314,-346,-163
-12,-28,-17,21,3,-22,-40,-109,-165,-294,-332,-154
-15,-23,-9,20,-2,-16,-32,-92,-145,-277,-318,-146
-16,-18,-3,17,-6,-10,-24,-77,-126,-261,-304,-137
-18,-14,3,15,-10,-5,-16,-63,-110,-245,-293,-130
-20,-11,8,15,-14,-1,-9,-51,-96,-230,-284,-124
-22,-9,12,15,-17,1,-3,-39,-85,-218,-276,-119
-23,-8,14,15,-19,3,1,-30,-75,-209,-271,-115
-24,-8,15,16,-20,4,5,-24,-68,-203,-267,-114
-25,-8,16,17,-21,5,8,-22,-63,-198,-264,-114
-25,-7,18,16,-22,6,11,-19,-58,-193,-261,-113
-24,-4,19,14,-22,8,14,-14,-53,-189,-258,-110
-22,-3,19,12,-21,8,15,-9,-49,-185,-255,-108
-21,-3,18,12,-20,8,16,-6,-47,-182,-253,-107
-22,-5,17,13,-20,7,16,-4,-44,-180,-251,-106
-23,-5,17,14,-21,7,17,-3,-43,-178,-249,-106
-23,-5,17,14,-20,7,17,-3,-42,-176,-248,-105
-23,-5,17,14,-20,7,17,-3,-41,-174,-248,-105
-24,-5,18,14,-21,7,17,-3,-39,-172,-247,-104
-25,-5,18,15,-22,7,17,-3,-38,-170,-245,-103
-25,-4,19,14,-22,7,17,-4,-37,-168,-244,-102
