leadI,leadII,leadIII,leadaVR,leadaVL,leadaVF,leadV1,leadV2,leadV3,leadV4,leadV5,leadV6
0,-3,-4,1,2,-3,0,1,2,2,0,0
1,-9,-10,4,6,-10,0,0,4,4,0,1
1,-8,-10,3,5,-9,0,-3,0,0,-4,-2
0,1,1,0,-1,1,-2,-8,-10,-10,-10,-7
-3,12,15,-4,-9,13,-3,-9,-18,-19,-14,-12
-5,18,23,-6,-14,20,-2,-7,-21,-22,-13,-13
-7,19,26,-5,-16,22,-2,-5,-19,-21,-11,-12
-7,17,24,-4,-15,20,-1,-2,-16,-17,-8,-10
-5,10,15,-2,-10,12,0,1,-9,-10,-4,-6
-2,1,3,0,-2,1,0,3,-1,-2,-1,-2
0,-3,-4,1,2,-4,0,1,0,0,-3,-1
0,1,1,-1,-1,1,-1,-3,-6,-7,-8,-5
-2,11,13,-4,-8,12,-2,-5,-15,-16,-12,-10
-4,18,22,-6,-13,20,-2,-4,-18,-20,-12,-11
-5,20,26,-6,-16,23,-1,-1,-16,-19,-10,-10
-5,19,26,-6,-16,22,0,1,-13,-16,-7,-9
-4,14,19,-4,-12,16,0,4,-7,-11,-4,-6
-2,5,7,-1,-5,6,1,7,0,-3,0,-2
0,-1,-2,0,1,-2,1,7,5,2,0,0
1,0,-1,-1,1,0,0,3,1,-1,-4,-2
0,10,10,-5,-5,10,0,0,-7,-10,-8,-6
-2,18,20,-7,-11,19,0,1,-12,-15,-9,-9
-3,21,25,-7,-14,23,0,3,-12,-15,-7,-9
-3,21,26,-7,-15,24,0,6,-10,-13,-5,-8
-3,18,22,-7,-12,20,1,9,-5,-9,-2,-6
-1,10,12,-5,-6,11,1,12,2,-2,1,-3
1,2,0,-3,0,2,2,13,8,4,2,0
2,2,-1,-3,2,0,2,11,7,4,0,0
2,10,7,-7,-2,9,2,8,0,-3,-4,-4
0,19,18,-9,-8,19,3,8,-5,-10,-6,-7
0,23,24,-10,-12,24,4,10,-6,-11,-5,-7
0,24,27,-10,-13,26,4,13,-4,-10,-3,-6
0,23,25,-9,-13,24,4,15,0,-7,-1,-5
0,17,17,-8,-9,18,4,18,6,0,2,-2
1,9,6,-6,-2,8,4,20,13,7,5,1
3,5,0,-6,1,3,5,20,15,9,5,3
3,10,5,-8,-1,8,5,17,10,4,1,0
2,20,17,-10,-7,19,5,16,3,-3,-1,-2
1,26,25,-11,-11,26,6,19,1,-6,0,-3
1,28,29,-12,-13,29,7,22,2,-5,1,-2
1,28,29,-12,-13,29,7,24,5,-2,3,-1
1,23,23,-11,-11,23,6,26,10,2,5,1
2,15,12,-9,-5,13,6,28,17,9,8,3
3,8,2,-8,0,5,7,28,21,13,8,5
4,10,3,-9,0,7,7,26,18,10,5,4
4,19,14,-11,-4,16,7,24,11,2,2,0
3,26,23,-13,-9,24,7,25,7,-1,1,-1
3,28,27,-13,-11,28,8,28,7,-1,3,0
3,29,29,-13,-12,29,9,30,9,0,5,0
3,27,25,-14,-11,26,8,31,13,3,6,2
3,20,16,-12,-6,18,8,32,18,9,9,4
5,12,5,-11,0,9,8,32,23,14,10,7
5,11,3,-11,1,7,8,30,22,13,8,6
5,18,11,-13,-3,15,8,27,14,6,4,2
3,26,22,-14,-9,24,8,26,8,0,3,0
2,29,28,-13,-12,28,9,28,8,0,4,1
2,29,30,-13,-14,30,9,29,9,0,5,2
1,28,29,-13,-14,29,9,29,11,1,6,3
1,22,21,-12,-10,22,9,29,15,6,8,4
2,15,10,-10,-5,13,9,30,20,12,10,6
3,10,4,-9,-1,7,9,28,20,13,9,7
3,15,9,-11,-3,12,8,25,14,7,5,4
2,23,20,-13,-8,22,8,23,7,1,3,2
2,28,27,-13,-11,27,8,24,5,-1,4,2
2,29,30,-12,-13,29,9,24,5,-1,6,3
1,29,30,-12,-14,29,9,24,7,0,6,3
1,25,25,-12,-12,25,8,24,10,3,7,4
2,17,15,-10,-7,16,7,24,15,8,9,6
3,11,6,-9,-2,9,7,23,17,12,9,7
3,12,7,-10,-2,10,7,20,13,8,6,6
2,20,17,-12,-7,19,6,17,6,2,4,3
2,26,26,-13,-11,26,6,17,2,-1,4,2
2,28,29,-12,-13,29,6,18,2,-1,6,3
2,29,31,-12,-14,30,5,17,2,0,6,3
2,27,28,-13,-13,27,4,17,4,1,7,4
2,21,19,-11,-9,20,4,17,9,6,9,5
2,13,10,-9,-5,12,3,17,13,11,10,7
2,12,8,-9,-3,10,3,14,11,10,8,6
1,19,15,-11,-7,17,3,11,5,3,5,4
0,25,24,-12,-11,24,2,9,0,-1,4,3
0,26,29,-11,-13,27,2,9,-1,-2,5,3
0,27,31,-10,-15,29,2,9,-1,-2,6,4
-1,26,30,-11,-15,28,1,8,-1,-1,6,4
-1,21,23,-10,-12,22,0,8,2,2,6,4
-1,13,12,-8,-7,13,0,8,6,6,7,5
-1,9,6,-7,-4,7,0,6,7,7,6,5
-1,12,10,-8,-6,11,-1,3,1,2,3,3
-1,19,20,-9,-10,19,-1,1,-5,-4,1,1
-1,21,25,-8,-12,23,-1,0,-7,-6,1,0
-1,22,26,-7,-13,24,-1,0,-8,-6,1,0
-1,22,26,-7,-13,24,-2,0,-8,-6,1,0
-2,18,22,-7,-12,20,-2,0,-6,-4,1,-1
