leadI,leadII,leadIII,leadaVR,leadaVL,leadaVF,leadV1,leadV2,leadV3,leadV4,leadV5,leadV6
0,0,0,0,0,0,-1,0,-1,-1,3,-1
-1,0,0,0,-1,0,-4,0,-2,-3,9,-3
-1,0,1,0,-1,0,-6,-1,-4,-5,12,-4
0,0,0,0,-1,0,-7,-2,-5,-6,13,-5
0,0,0,0,0,0,-8,-3,-5,-6,14,-6
0,1,0,0,0,0,-9,-3,-5,-6,14,-6
-1,1,2,0,-2,2,-9,-3,-5,-6,14,-6
-4,1,5,1,-5,3,-9,-3,-5,-5,15,-5
-6,2,8,2,-7,5,-9,-2,-4,-5,16,-5
-7,2,9,2,-9,5,-8,-1,-4,-4,17,-4
-7,2,9,2,-8,5,-7,0,-3,-4,18,-3
-5,2,8,1,-7,5,-7,0,-3,-4,19,-3
-4,3,7,0,-6,5,-7,-1,-3,-4,19,-3
-4,4,8,0,-6,5,-8,-1,-3,-3,19,-3
-5,5,9,0,-7,6,-9,-1,-2,-3,19,-2
-5,6,9,0,-7,7,-10,-2,-2,-2,19,-2
-4,6,9,-1,-7,7,-11,-2,-3,-2,19,-2
-2,7,9,-2,-6,7,-13,-3,-3,-2,20,-2
-2,8,9,-3,-6,8,-15,-5,-4,-2,20,-2
-2,8,10,-3,-7,9,-16,-6,-4,-2,21,-1
-3,8,11,-3,-8,9,-16,-6,-4,-1,21,-1
-3,8,11,-2,-8,9,-16,-6,-4,-1,21,0
-2,8,10,-3,-7,9,-16,-6,-4,-1,21,0
-1,8,8,-3,-5,8,-17,-6,-4,-2,21,0
0,8,7,-4,-4,7,-17,-6,-4,-2,21,0
0,7,6,-4,-3,6,-17,-6,-5,-3,21,0
1,7,5,-4,-2,5,-17,-6,-5,-3,21,0
2,6,3,-4,-1,4,-17,-6,-5,-4,20,-1
3,5,2,-4,0,3,-17,-6,-5,-4,20,-1
2,4,1,-3,0,2,-16,-5,-4,-4,20,-1
1,3,1,-2,0,2,-16,-5,-4,-4,19,0
0,2,1,0,-1,1,-15,-4,-4,-4,19,0
0,1,0,0,-1,0,-15,-4,-3,-4,19,0
-1,0,1,0,-1,0,-14,-3,-3,-4,19,0
-2,0,1,0,-2,0,-13,-2,-3,-4,18,0
-1,0,1,0,-1,0,-13,-2,-3,-5,18,-1
-1,-1,0,0,-1,0,-13,-2,-4,-5,17,-1
-1,-1,0,0,0,-1,-13,-2,-4,-5,17,-1
-1,0,0,0,0,-1,-12,-2,-4,-5,17,-1
-1,0,0,1,0,-1,-12,-2,-4,-6,17,-1
-2,0,0,1,-1,-1,-12,-2,-5,-7,16,-2
-2,-1,0,1,0,-1,-12,-3,-7,-8,16,-3
-1,-2,-2,2,0,-2,-12,-3,-8,-8,15,-4
-2,-3,-2,2,0,-3,-12,-4,-8,-9,15,-4
-3,-4,-2,3,0,-3,-12,-4,-8,-9,15,-4
-4,-5,-1,4,-1,-3,-12,-4,-8,-9,15,-4
-4,-5,-2,4,-1,-4,-12,-5,-9,-10,15,-4
-3,-5,-3,5,0,-4,-12,-6,-10,-11,14,-5
-3,-6,-4,5,0,-5,-12,-6,-10,-11,13,-6
-2,-6,-5,5,0,-6,-11,-6,-10,-11,13,-6
-2,-6,-4,5,0,-6,-11,-5,-10,-11,13,-6
-4,-6,-2,6,-1,-5,-10,-5,-10,-11,13,-6
-6,-6,0,6,-3,-4,-10,-4,-9,-10,13,-6
-7,-7,0,7,-4,-4,-10,-4,-9,-10,13,-6
-9,-7,1,7,-5,-4,-9,-3,-9,-10,13,-6
-9,-7,1,8,-5,-4,-9,-3,-9,-10,13,-6
-9,-7,1,8,-5,-4,-9,-3,-9,-10,13,-6
-9,-7,1,8,-5,-4,-9,-3,-9,-10,13,-6
-8,-7,0,8,-4,-4,-9,-3,-9,-10,13,-6
-7,-7,-1,7,-3,-5,-9,-3,-9,-10,13,-6
-6,-7,-1,7,-3,-5,-9,-3,-9,-11,13,-6
-6,-7,-1,7,-3,-5,-9,-3,-9,-11,13,-6
-7,-7,-1,7,-3,-5,-9,-3,-9,-11,13,-6
-8,-7,0,8,-4,-4,-9,-3,-9,-10,13,-6
-9,-7,0,8,-5,-4,-9,-3,-9,-10,13,-6
-8,-7,0,8,-4,-4,-9,-3,-10,-10,13,-6
-8,-7,0,8,-4,-4,-9,-3,-10,-10,13,-6
-7,-6,0,7,-3,-4,-9,-3,-9,-10,13,-6
-7,-6,0,7,-3,-3,-9,-3,-9,-10,13,-6
-7,-6,0,7,-3,-3,-9,-3,-9,-10,13,-6
-6,-6,-1,6,-3,-3,-9,-3,-9,-10,13,-6
-6,-6,-2,6,-2,-4,-9,-3,-9,-10,14,-6
-6,-6,-2,6,-2,-4,-9,-3,-9,-10,14,-5
-6,-6,-2,6,-2,-4,-9,-3,-9,-10,15,-5
-7,-6,-1,6,-3,-4,-9,-2,-9,-10,15,-4
-8,-6,0,7,-4,-3,-9,-2,-9,-10,15,-4
-8,-7,0,7,-5,-3,-9,-2,-9,-10,16,-3
-9,-7,1,7,-5,-3,-9,-2,-9,-10,16,-3
-8,-6,1,6,-5,-2,-9,-2,-9,-10,16,-3
-7,-5,1,6,-4,-2,-9,-2,-9,-10,16,-3
-8,-5,1,7,-4,-3,-9,-2,-9,-10,16,-3
-9,-6,1,7,-5,-3,-9,-2,-9,-10,16,-3
-8,-5,1,6,-5,-2,-9,-2,-9,-10,16,-3
-6,-4,0,5,-4,-2,-9,-2,-9,-10,16,-4
-5,-4,0,4,-3,-3,-9,-2,-8,-10,17,-4
-4,-5,-1,4,-2,-3,-10,-2,-8,-10,17,-4
-4,-4,-1,4,-2,-3,-10,-2,-8,-10,17,-4
-5,-4,0,5,-4,-2,-9,-2,-8,-9,17,-4
-7,-4,2,6,-5,-1,-9,-2,-8,-9,17,-4
-7,-4,2,6,-5,-1,-9,-2,-8,-9,17,-4
-7,-4,1,5,-5,-2,-10,-3,-8,-9,17,-4
-6,-4,1,5,-4,-2,-10,-3,-8,-9,17,-4
-7,-4,2,5,-5,-1,-9,-3,-8,-9,17,-4
