leadI,leadII,leadIII,leadaVR,leadaVL,leadaVF,leadV1,leadV2,leadV3,leadV4,leadV5,leadV6
2,1,-1,-1,2,0,0,1,1,0,0,0
6,2,-4,-3,5,-1,2,4,4,1,1,1
8,1,-6,-4,7,-2,3,6,7,2,2,2
9,1,-7,-4,8,-3,4,7,8,2,3,2
9,0,-8,-4,9,-4,5,8,9,3,3,2
10,1,-8,-4,9,-4,5,8,9,2,2,2
11,2,-8,-5,10,-3,4,7,8,1,2,1
12,3,-8,-7,10,-2,3,7,8,1,1,1
12,4,-7,-8,10,-1,3,7,8,0,1,1
12,4,-7,-7,10,-1,3,7,8,0,1,1
11,2,-7,-6,10,-2,4,7,8,1,2,1
10,1,-8,-5,10,-3,4,8,9,1,2,1
10,0,-8,-5,10,-4,4,8,9,2,2,1
11,0,-9,-5,10,-4,4,8,9,2,1,1
11,1,-9,-5,10,-4,3,7,8,2,1,1
11,2,-8,-6,10,-3,3,7,8,2,0,0
11,3,-8,-6,10,-2,3,7,8,2,0,0
11,3,-8,-6,10,-2,3,7,8,1,0,0
11,2,-8,-6,10,-3,3,7,8,1,0,0
11,1,-9,-5,10,-4,3,8,8,1,0,0
11,0,-9,-5,10,-4,3,8,8,1,0,0
10,0,-9,-4,10,-5,3,8,9,1,0,0
10,0,-9,-4,10,-5,3,8,9,1,0,0
10,0,-9,-4,10,-5,3,8,9,1,0,0
10,0,-9,-4,10,-5,3,8,9,1,0,0
10,1,-9,-4,10,-5,3,8,9,2,0,0
10,1,-9,-4,10,-5,3,8,9,2,0,0
10,0,-9,-4,10,-5,3,8,9,2,0,0
10,0,-9,-4,10,-5,3,8,9,2,0,0
10,0,-9,-4,10,-5,4,8,9,2,0,0
10,0,-9,-5,10,-5,4,8,9,2,0,0
9,0,-9,-5,10,-5,4,8,8,2,0,0
9,0,-9,-4,9,-5,4,8,8,1,-1,0
8,0,-9,-3,9,-5,4,8,8,1,-1,0
9,0,-9,-4,9,-4,5,9,8,1,-1,0
10,0,-9,-5,9,-4,5,9,8,1,-1,0
10,0,-9,-5,9,-4,5,9,8,1,-1,0
10,0,-9,-5,9,-4,5,9,8,1,-1,-1
10,0,-9,-5,9,-5,5,9,8,1,-1,-1
10,0,-9,-6,10,-5,5,9,9,1,-2,-1
11,1,-9,-6,10,-5,5,9,9,1,-2,-1
11,1,-9,-6,10,-5,5,9,9,1,-2,-1
11,1,-9,-5,10,-5,5,9,9,1,-2,-2
10,0,-9,-5,10,-5,5,9,9,1,-2,-2
10,0,-9,-4,10,-6,5,9,9,1,-3,-3
9,-1,-9,-4,10,-6,5,9,9,1,-3,-3
9,-1,-9,-4,10,-6,5,9,9,1,-3,-4
9,-1,-9,-3,10,-6,5,9,9,1,-3,-4
9,-1,-9,-3,10,-6,5,9,9,1,-3,-4
9,-1,-9,-3,9,-6,5,9,9,1,-3,-4
9,-1,-9,-3,9,-6,5,9,9,1,-3,-4
9,-1,-9,-3,9,-6,5,9,9,1,-3,-4
9,-1,-9,-3,9,-6,5,9,9,1,-3,-4
9,-2,-9,-3,9,-6,5,9,9,1,-3,-4
9,-2,-9,-3,10,-6,5,9,9,1,-3,-4
9,-1,-9,-3,10,-6,5,9,9,1,-3,-4
9,-1,-9,-3,10,-6,5,9,9,1,-3,-4
9,-1,-9,-3,10,-6,5,9,9,1,-3,-4
9,-1,-9,-3,10,-6,5,9,9,1,-3,-4
9,-1,-10,-3,10,-6,5,9,9,1,-3,-4
9,-1,-10,-3,10,-6,5,9,9,1,-3,-4
9,-1,-10,-3,10,-6,5,9,9,1,-3,-4
9,-1,-10,-3,9,-6,5,9,9,0,-3,-5
9,-1,-10,-2,9,-6,5,9,9,0,-3,-5
8,-2,-10,-2,9,-7,5,9,8,0,-3,-5
8,-2,-10,-2,9,-7,5,9,8,0,-3,-5
8,-3,-10,-2,9,-7,5,9,8,0,-3,-5
8,-3,-10,-2,9,-7,5,9,8,0,-3,-5
8,-2,-10,-2,9,-7,5,9,8,0,-3,-5
8,-2,-10,-2,9,-7,6,9,8,0,-3,-5
8,-2,-11,-2,10,-7,6,9,8,0,-3,-5
8,-2,-11,-2,10,-7,6,9,8,0,-3,-5
8,-3,-11,-2,10,-8,6,9,8,0,-3,-5
8,-3,-11,-2,10,-8,6,10,8,0,-4,-5
8,-4,-11,-1,10,-8,6,10,8,0,-4,-5
8,-4,-11,-1,9,-8,6,10,8,0,-4,-5
8,-4,-11,-1,9,-8,6,10,8,0,-4,-5
8,-4,-11,-1,9,-8,6,10,8,0,-4,-5
8,-4,-11,-1,9,-8,6,10,8,0,-4,-5
8,-4,-11,-1,9,-8,6,10,8,0,-4,-5
8,-4,-12,-1,9,-8,6,10,8,0,-4,-5
8,-4,-12,-1,9,-8,6,10,8,0,-4,-5
8,-3,-11,-1,9,-8,6,11,8,0,-4,-5
8,-3,-11,-1,9,-7,6,11,8,0,-4,-5
9,-3,-11,-1,9,-7,6,11,9,0,-4,-5
9,-2,-11,-2,9,-7,6,11,9,0,-4,-5
9,-2,-10,-2,9,-7,6,11,9,1,-4,-5
9,-1,-10,-3,9,-6,6,11,10,1,-3,-5
9,0,-9,-3,9,-5,6,12,10,2,-3,-5
9,0,-9,-4,9,-5,6,12,11,2,-2,-5
9,1,-8,-4,9,-4,6,12,11,2,-2,-5
9,1,-8,-5,9,-4,6,12,11,2,-2,-5
9,1,-8,-5,8,-4,6,12,11,2,-2,-5
9,1,-8,-5,8,-4,7,12,11,3,-2,-4
10,1,-8,-5,8,-4,7,12,12,3,-1,-4
10,1,-8,-5,8,-4,8,12,12,3,-1,-4
10,1,-8,-5,8,-4,8,12,12,3,-1,-4
10,1,-8,-4,8,-4,8,12,12,3,-1,-4
9,1,-8,-4,8,-4,8,12,12,3,-1,-4
9,1,-8,-4,9,-4,8,13,12,3,-1,-4
10,1,-9,-4,9,-4,8,13,12,3,-1,-4
11,1,-9,-5,9,-4,8,13,12,3,-1,-4
11,1,-9,-5,9,-4,7,13,12,4,-1,-4
11,1,-9,-5,9,-4,6,13,13,4,-1,-4
11,1,-9,-5,10,-4,5,13,13,4,0,-4
12,1,-10,-6,10,-5,4,13,14,4,0,-4
12,1,-11,-6,11,-5,3,13,14,5,0,-3
13,1,-11,-7,11,-5,3,13,14,5,1,-3
13,1,-12,-7,12,-6,3,14,15,6,1,-2
13,1,-12,-6,12,-6,4,14,15,6,1,-2
13,0,-12,-6,12,-7,4,15,15,6,1,-2
13,0,-12,-6,12,-7,4,15,15,6,1,-2
13,0,-12,-6,12,-7,5,15,15,6,1,-2
12,0,-13,-5,13,-7,5,15,15,6,0,-2
12,-1,-14,-5,13,-8,5,14,15,5,0,-3
12,-1,-14,-5,13,-8,6,14,14,4,0,-3
12,-2,-14,-5,13,-8,6,14,14,4,0,-4
12,-2,-15,-4,13,-9,6,14,13,3,-1,-4
12,-3,-15,-4,13,-10,6,14,13,3,-1,-4
12,-4,-16,-3,14,-11,6,14,12,2,-2,-5
12,-4,-16,-3,14,-11,6,14,12,2,-2,-5
12,-5,-17,-3,14,-11,6,14,12,2,-2,-6
12,-5,-17,-3,14,-11,6,14,12,1,-2,-6
11,-5,-16,-2,13,-11,6,14,12,1,-2,-6
10,-6,-15,-1,12,-11,6,14,12,1,-3,-6
9,-6,-15,-1,12,-11,6,14,12,1,-3,-6
9,-6,-15,0,11,-11,6,13,11,1,-3,-7
