leadI,leadII,leadIII,leadaVR,leadaVL,leadaVF,leadV1,leadV2,leadV3,leadV4,leadV5,leadV6
0,4,5,-2,-3,5,0,0,1,2,0,1
-2,10,12,-4,-7,12,-1,1,2,4,1,2
-3,13,16,-5,-9,15,-2,2,3,5,1,3
-3,14,17,-5,-10,16,-3,4,4,5,0,2
0,16,17,-8,-8,17,-5,7,5,5,0,2
5,21,16,-13,-5,18,-7,10,6,6,0,3
6,21,15,-15,-4,18,-10,10,6,6,0,2
3,17,15,-11,-5,16,-12,7,5,5,-1,2
1,15,15,-9,-6,15,-13,5,5,6,0,3
0,13,13,-7,-6,13,-13,1,3,5,0,3
-2,8,11,-4,-5,10,-16,-2,0,3,-2,1
-3,6,10,-3,-5,8,-17,-4,-3,0,-4,0
-3,8,11,-3,-6,10,-17,-2,-4,0,-5,0
-2,11,12,-5,-6,12,-15,1,-3,0,-5,0
0,12,13,-6,-6,12,-14,4,-2,0,-5,0
0,12,12,-6,-6,11,-14,4,-2,0,-5,-1
-1,9,10,-4,-6,9,-14,1,-2,0,-6,-2
-3,5,9,-1,-6,7,-14,-1,-3,-1,-6,-2
-4,2,7,0,-6,4,-14,-2,-4,-1,-6,-2
-4,0,4,1,-4,2,-13,-2,-5,-1,-6,-3
-4,0,3,2,-3,1,-13,-1,-6,-3,-7,-4
-5,0,4,3,-5,2,-13,0,-7,-4,-8,-5
-5,1,6,2,-6,4,-12,2,-6,-4,-8,-5
-2,6,7,-1,-4,6,-10,4,-4,-3,-8,-4
1,9,7,-5,-2,8,-9,4,-4,-1,-7,-3
2,9,7,-6,-1,8,-8,3,-4,0,-6,-3
1,7,6,-5,-1,7,-7,2,-4,0,-6,-2
0,5,5,-3,-2,6,-7,2,-4,0,-5,-2
0,4,4,-2,-2,4,-7,2,-4,0,-6,-2
-1,2,4,0,-2,3,-8,3,-5,-2,-7,-4
-4,0,4,1,-4,2,-8,4,-6,-4,-9,-6
-7,0,6,3,-6,2,-8,3,-7,-6,-11,-8
-9,-1,8,4,-8,3,-8,2,-9,-7,-12,-9
-11,-2,9,6,-10,3,-9,0,-10,-8,-14,-11
-13,-5,8,8,-10,2,-9,-2,-11,-9,-15,-11
-12,-6,7,9,-10,1,-8,-2,-12,-8,-15,-11
-12,-7,6,10,-9,0,-8,-1,-12,-8,-15,-11
-13,-8,6,11,-10,0,-9,0,-12,-9,-16,-12
-13,-6,6,10,-10,0,-9,2,-11,-9,-16,-13
-10,-2,6,6,-8,2,-7,4,-10,-8,-14,-11
-6,1,6,2,-6,3,-6,6,-9,-7,-13,-10
-6,1,6,2,-6,3,-6,5,-9,-6,-12,-9
-8,-1,6,4,-7,2,-7,3,-10,-7,-13,-10
-9,-3,5,6,-7,1,-8,1,-12,-8,-14,-11
-10,-7,3,9,-7,-1,-9,0,-13,-9,-15,-12
-11,-9,2,10,-7,-2,-9,1,-13,-10,-16,-13
-11,-8,3,10,-7,-2,-8,3,-12,-10,-16,-12
-12,-8,5,10,-8,-1,-8,5,-11,-9,-15,-12
-13,-10,4,11,-8,-3,-9,4,-12,-10,-16,-13
-11,-10,1,10,-6,-4,-10,3,-14,-11,-17,-14
-7,-7,0,6,-3,-3,-8,3,-13,-9,-15,-13
-6,-4,2,4,-4,0,-6,4,-11,-7,-13,-11
-7,-3,5,5,-6,1,-5,5,-10,-6,-12,-9
-7,-3,5,5,-6,1,-5,5,-10,-6,-12,-9
-6,-3,3,4,-4,0,-6,6,-10,-6,-12,-10
-5,-2,2,4,-3,0,-5,8,-9,-6,-12,-10
-7,-4,2,5,-4,-1,-6,8,-10,-7,-13,-10
-12,-10,2,11,-6,-4,-8,6,-12,-9,-14,-12
-16,-14,1,14,-8,-6,-9,4,-13,-10,-15,-14
-12,-13,0,12,-6,-6,-8,3,-13,-9,-14,-13
-9,-11,-1,9,-4,-5,-7,3,-12,-8,-13,-12
-9,-10,0,9,-4,-5,-7,3,-12,-7,-13,-11
-9,-9,0,9,-5,-4,-7,4,-12,-8,-14,-12
-9,-8,1,8,-5,-3,-7,4,-12,-8,-14,-13
-7,-5,2,6,-5,-1,-7,5,-12,-8,-14,-13
-8,-6,2,6,-5,-1,-7,6,-11,-8,-14,-13
-12,-9,3,10,-7,-3,-6,6,-12,-8,-14,-13
-15,-12,3,13,-8,-4,-6,5,-13,-9,-15,-14
-15,-13,3,13,-8,-4,-4,6,-12,-9,-15,-14
-13,-9,4,11,-8,-2,-2,9,-10,-7,-13,-12
-10,-6,4,8,-7,-1,-2,11,-8,-4,-12,-11
-6,-5,1,6,-4,-1,-3,12,-6,-2,-10,-9
-4,-4,0,4,-2,-2,-3,14,-3,1,-7,-7
-3,-5,-2,4,0,-3,-4,16,1,6,-2,-3
-1,-8,-7,5,3,-8,-5,19,8,12,3,1
6,-9,-16,1,11,-12,-6,25,19,23,13,10
