leadI,leadII,leadIII,leadaVR,leadaVL,leadaVF,leadV1,leadV2,leadV3,leadV4,leadV5,leadV6
0,0,0,0,0,0,0,-1,-1,26,0,0
0,0,1,0,0,0,0,-3,-4,69,0,0
0,0,0,0,0,0,-1,-5,-5,95,0,0
0,-1,0,1,0,0,-1,-6,-6,110,0,0
0,-2,0,1,0,-1,-1,-7,-7,119,0,0
-1,-2,0,2,-1,-1,-1,-8,-8,125,0,0
-1,-2,0,2,-1,-1,-1,-8,-9,129,0,0
-1,-2,0,2,-1,-1,-1,-8,-9,132,0,0
0,-1,0,1,0,-1,-2,-9,-10,133,-1,-1
0,-1,0,1,0,0,-2,-9,-11,134,-1,-1
0,-1,1,1,-1,0,-2,-10,-11,135,-1,-1
0,-1,1,1,-1,0,-3,-10,-11,136,-1,-1
0,-1,1,1,-1,0,-3,-10,-10,136,-2,-1
0,-1,1,1,-1,0,-3,-10,-10,137,-1,-1
0,-1,0,1,-1,0,-3,-11,-11,138,-1,0
-1,-2,0,2,-1,-1,-3,-11,-11,138,-1,0
-1,-3,-1,2,0,-2,-3,-11,-11,139,-1,1
-1,-3,-1,2,0,-3,-3,-11,-10,139,-1,1
-1,-3,-1,2,0,-3,-3,-11,-10,140,-1,1
-2,-4,0,3,-1,-3,-3,-12,-11,140,-1,0
-2,-4,0,3,-1,-2,-3,-12,-11,141,-1,0
-1,-3,0,2,0,-2,-2,-12,-10,142,-1,0
-1,-2,0,1,0,-1,-2,-11,-10,142,-2,0
-1,-3,0,2,-1,-1,-2,-11,-11,143,-2,0
-1,-3,0,2,-1,-1,-2,-12,-11,143,-3,-1
-1,-3,0,2,-1,-1,-2,-12,-11,144,-3,-1
-1,-2,0,1,-1,-1,-2,-12,-11,144,-3,0
-1,-3,0,2,-1,-1,-2,-12,-11,145,-3,0
-2,-3,0,2,-1,-1,-2,-12,-11,146,-3,0
-2,-3,0,2,-1,-2,-2,-12,-11,146,-3,0
-2,-3,0,2,-1,-2,-2,-12,-11,147,-2,0
-2,-3,-1,3,-1,-2,-2,-11,-11,147,-1,1
-2,-4,-1,3,-1,-3,-2,-11,-11,148,-1,2
-1,-3,-1,3,0,-3,-2,-11,-11,149,-1,3
-1,-3,-1,2,0,-2,-2,-11,-11,149,-1,3
0,-2,0,2,0,-2,-3,-12,-11,150,-1,3
0,-1,0,1,0,-1,-3,-12,-11,151,0,2
0,0,0,0,0,0,-3,-12,-10,151,0,2
0,0,0,0,0,0,-4,-12,-10,191,-1,2
0,0,0,0,0,0,-4,-12,-10,113,-1,2
0,-1,1,1,-1,0,-3,-11,-10,-177,-2,2
-1,-1,1,2,-1,-1,-3,-11,-11,-236,-2,2
-1,-2,0,2,-1,-1,-2,-11,-11,-176,-3,2
-1,-2,0,2,-1,-2,-1,-11,-11,-157,-3,1
-1,-3,0,2,-1,-2,0,-11,-10,139,-2,1
-1,-3,0,2,-1,-2,0,-11,-11,93,-2,2
-1,-3,-1,2,-1,-2,0,-12,-11,111,-1,2
-1,-3,-1,2,-1,-2,0,-12,-10,227,-1,2
-1,-2,0,2,-1,-1,0,-12,-10,493,0,3
-1,-1,0,1,-1,-1,-1,-12,-10,928,0,3
-1,-1,0,1,-1,0,-2,-12,-10,697,0,3
-1,-1,1,2,-1,0,-2,-13,-11,133,0,3
-1,-1,0,2,-1,0,-2,-13,-10,259,0,4
-1,-1,0,2,-1,-1,-2,-12,-10,842,0,4
-1,-1,0,2,-1,-1,-2,-12,-11,902,0,4
-1,-1,0,2,-1,0,-2,-13,-12,687,-1,4
-1,-1,1,2,-1,0,-2,-13,-12,340,-1,4
-1,-1,2,2,-2,0,-2,-14,-11,-57,0,5
-1,-1,2,2,-2,0,-2,-14,-10,-461,0,5
-1,-1,1,1,-1,0,-2,-13,-10,-847,0,5
-1,-1,0,1,-1,0,-3,-13,-10,-1205,0,5
-1,-1,0,2,-2,0,-3,-13,-10,-701,0,4
-2,-1,1,2,-2,0,-3,-13,-11,389,0,3
-2,-2,1,3,-2,0,-2,-13,-11,822,-1,2
-2,-2,1,3,-2,-1,-1,-12,-10,1090,-2,1
-2,-3,1,3,-2,-1,-1,-12,-10,1363,-3,1
-2,-3,1,3,-2,-1,-1,-12,-9,1530,-3,2
-3,-3,1,3,-2,-1,-1,-13,-9,976,-3,2
-3,-3,1,3,-2,-1,-1,-13,-9,-89,-3,3
-4,-3,1,4,-3,-1,-1,-13,-9,-629,-3,3
-4,-3,1,4,-3,-1,-1,-13,-9,-868,-2,4
-4,-3,1,4,-3,-1,-1,-12,-8,-940,-2,3
-4,-3,2,4,-3,-1,-1,-12,-8,-920,-3,2
-5,-3,2,4,-4,0,-1,-12,-8,-854,-3,1
-5,-3,3,4,-4,0,-1,-12,-8,-767,-4,1
-5,-3,3,4,-4,0,-1,-12,-7,-674,-4,0
-5,-3,3,3,-4,0,-1,-12,-7,-581,-4,1
-4,-3,2,3,-4,0,-1,-11,-6,-494,-4,1
-4,-3,2,3,-4,0,-1,-11,-6,-415,-4,2
-4,-2,2,3,-4,0,-1,-11,-5,-343,-3,3
-4,-2,2,3,-4,0,-1,-11,-5,-279,-2,4
-4,-3,2,4,-4,-1,-1,-11,-6,-223,-1,4
-4,-3,1,4,-3,-1,0,-11,-6,-172,-1,5
-3,-3,1,3,-3,-1,0,-11,-5,-128,0,5
-4,-3,1,3,-3,-1,1,-11,-5,-88,0,5
-4,-3,1,3,-3,-1,1,-11,-6,-54,-1,5
-3,-2,1,3,-3,-1,1,-11,-6,-23,-1,5
-3,-2,2,2,-3,-1,0,-11,-6,3,-1,5
-4,-2,2,2,-3,0,0,-11,-6,26,-1,5
-4,-2,2,2,-3,0,-1,-10,-6,46,-1,5
-4,-2,2,2,-3,0,-1,-10,-5,64,-1,5
-4,-2,2,3,-3,0,-1,-10,-5,79,-1,5
-4,-3,2,3,-3,0,-1,-10,-5,93,-1,5
-4,-2,2,3,-3,0,0,-10,-5,106,-2,5
-4,-2,3,3,-3,0,0,-10,-5,117,-2,5
-4,-2,3,3,-3,0,0,-10,-5,127,-2,5
-4,-2,2,3,-3,-1,0,-10,-5,135,-2,5
-4,-2,2,3,-3,-1,0,-10,-5,142,-2,5
-4,-2,2,3,-3,-1,0,-11,-5,132,-2,5
-3,-2,1,2,-2,-1,0,-11,-5,165,-1,6
-3,-2,1,2,-2,-1,0,-11,-4,285,-1,6
-3,-2,1,2,-2,-1,0,-11,-4,168,-1,6
-3,-1,1,2,-2,0,0,-11,-5,-372,-1,5
-2,-1,2,1,-2,0,0,-11,-5,-878,-2,5
-3,-1,2,1,-2,0,0,-11,-5,-1074,-2,5
-3,-1,2,2,-2,0,0,-11,-5,-1149,-2,5
-3,-2,1,2,-2,-1,0,-11,-5,-1207,-2,5
-3,-2,0,2,-2,-1,0,-11,-5,-1239,-2,5
-3,-2,0,2,-2,-1,0,-11,-5,-1257,-2,6
-3,-2,1,3,-2,-1,0,-11,-5,-1264,-2,5
-4,-3,1,3,-2,-2,0,-11,-5,-1263,-2,5
-4,-4,0,4,-2,-2,0,-11,-4,-1259,-2,4
-4,-4,0,4,-2,-2,0,-10,-4,-1254,-1,5
-4,-4,0,4,-2,-2,0,-10,-3,-1250,0,5
-4,-4,0,4,-2,-2,0,-10,-4,-1247,-1,5
-4,-3,0,3,-2,-2,0,-11,-5,-1244,-2,5
-4,-3,0,3,-2,-2,-1,-11,-6,-1239,-2,4
-4,-3,1,3,-2,-2,-1,-11,-6,-1232,-2,5
-4,-2,1,3,-2,-1,-2,-11,-6,-1225,-2,5
