leadI,leadII,leadIII,leadaVR,leadaVL,leadaVF,leadV1,leadV2,leadV3,leadV4,leadV5,leadV6
-17,1,18,8,-18,9,7,7,4,7,8,8
-46,1,47,22,-46,23,18,19,9,18,21,23
-63,0,63,31,-63,31,25,25,11,24,29,32
-72,1,73,35,-73,36,27,29,11,27,34,38
-77,3,80,36,-79,41,28,31,11,29,38,43
-79,6,85,36,-83,45,28,31,9,31,41,45
-80,8,89,35,-85,48,27,31,7,32,44,47
-81,10,92,35,-87,51,26,30,4,33,46,48
-83,12,96,34,-89,54,24,28,1,33,47,46
-84,14,99,34,-91,56,23,28,-2,33,48,45
-85,15,101,34,-93,58,23,27,-4,33,48,46
-85,16,101,34,-93,59,22,27,-6,33,47,49
-84,16,101,33,-92,58,21,26,-9,32,46,50
-82,16,99,32,-91,58,19,25,-12,31,45,49
-80,17,98,31,-90,58,18,24,-15,29,44,48
-80,18,98,31,-89,58,17,23,-18,27,43,48
-80,18,99,31,-90,58,16,22,-20,26,42,48
-82,17,99,32,-90,58,16,22,-22,25,41,47
-83,16,100,32,-91,58,16,21,-24,25,40,47
-83,17,100,32,-91,59,15,21,-27,24,40,46
-82,18,100,32,-91,59,15,20,-29,23,39,45
-81,18,100,31,-91,59,14,19,-31,21,37,44
-81,19,99,31,-90,59,13,18,-34,19,35,42
-80,19,100,30,-90,60,13,18,-36,18,33,41
-80,20,101,30,-90,61,12,17,-37,17,32,41
-80,20,102,30,-91,62,11,17,-38,16,31,40
-82,20,104,30,-92,62,11,17,-39,15,30,39
-83,20,105,30,-93,63,11,17,-39,14,29,37
-83,21,105,30,-94,63,11,17,-39,14,28,35
-84,21,106,30,-95,64,11,16,-39,13,26,33
-84,22,107,31,-96,64,11,16,-39,11,24,31
-85,22,107,31,-96,65,12,16,-39,10,22,30
-86,22,108,31,-97,65,13,16,-38,9,20,30
-87,22,109,32,-98,66,13,17,-37,8,19,29
-88,21,110,33,-99,66,14,17,-36,6,17,28
-89,21,110,34,-100,66,15,17,-34,5,16,27
-90,20,111,35,-101,66,16,17,-33,5,14,25
-92,19,111,36,-102,66,17,18,-32,4,13,23
-93,19,112,36,-103,66,18,19,-31,4,12,22
-93,18,113,37,-104,66,19,19,-29,3,11,22
-94,18,113,37,-104,66,19,20,-26,3,9,21
-95,17,113,38,-104,66,20,20,-24,2,8,21
-95,17,113,38,-104,66,20,20,-21,2,7,20
-95,17,113,39,-104,66,21,21,-18,2,6,20
-96,17,113,39,-105,66,22,22,-15,3,6,19
-96,16,113,40,-105,65,23,23,-12,3,5,17
-97,15,112,40,-105,64,24,24,-9,4,5,16
-97,15,112,40,-105,64,25,25,-5,4,4,15
-97,15,113,40,-105,64,26,25,-1,5,4,15
-97,15,113,40,-106,64,27,26,2,6,4,16
-98,14,113,41,-106,64,29,28,6,7,4,16
-99,14,114,42,-107,65,30,29,10,8,4,13
-100,14,115,42,-108,65,31,30,14,9,5,11
-101,14,116,43,-109,66,31,31,18,11,5,11
-101,14,116,43,-109,66,32,32,22,11,4,12
-100,14,115,43,-108,65,32,32,25,11,3,13
-99,14,113,43,-107,64,33,32,28,12,2,12
-99,13,113,43,-106,63,34,32,31,13,2,12
-99,13,112,43,-106,63,35,33,35,13,2,12
-99,12,112,43,-106,62,36,34,38,14,1,12
-99,12,112,43,-106,62,36,34,42,14,1,11
-100,12,112,43,-106,62,37,35,45,14,1,10
-100,12,112,44,-106,62,37,35,47,15,1,10
-100,12,112,44,-106,62,38,35,50,16,1,10
-100,12,112,44,-106,62,38,36,52,16,1,10
-100,12,112,44,-106,62,39,37,55,17,1,10
-101,11,112,45,-107,62,40,37,58,17,2,9
-101,11,112,45,-107,62,41,37,61,18,1,8
-100,11,111,45,-106,61,41,38,63,18,1,9
-100,11,111,45,-106,61,41,38,64,19,1,10
-100,11,111,45,-106,61,41,38,66,19,1,10
-99,10,110,45,-105,60,42,38,67,19,1,10
-99,9,109,45,-105,59,42,38,67,20,0,9
-98,9,108,44,-104,59,42,38,68,20,0,8
-98,9,108,44,-104,58,42,38,68,19,0,9
-98,8,107,44,-103,58,42,38,68,19,-1,9
-99,8,107,45,-103,58,41,38,69,19,-1,9
-99,8,107,45,-103,58,41,38,69,19,-1,9
-99,8,107,45,-103,58,41,38,69,19,-1,9
-99,8,108,45,-103,58,41,38,69,19,-2,9
-98,8,107,45,-103,58,41,38,69,19,-2,9
-97,8,106,45,-102,57,40,38,69,18,-2,9
-97,7,105,45,-101,56,39,37,68,17,-3,9
-96,7,103,45,-100,55,39,36,67,16,-4,8
-95,6,102,45,-99,54,38,36,66,15,-5,5
-94,6,101,44,-98,54,38,35,65,14,-5,2
-94,6,100,44,-97,53,38,35,64,14,-6,1
-93,5,99,44,-96,53,38,34,62,13,-8,2
-92,5,98,43,-95,52,37,33,61,11,-10,4
-92,5,98,43,-95,51,37,32,59,10,-11,4
-92,5,97,43,-95,51,36,31,58,9,-11,4
-92,5,97,43,-95,51,36,31,57,8,-11,4
-92,5,97,43,-95,51,36,30,57,8,-11,4
-92,4,97,44,-95,51,36,30,56,8,-12,3
-93,4,97,44,-95,50,36,30,55,8,-12,2
-93,4,96,44,-94,50,36,30,55,8,-12,2
-92,3,96,44,-94,49,36,30,54,8,-12,2
-92,3,95,44,-93,49,36,30,54,8,-12,1
-92,2,94,45,-93,48,36,30,53,8,-12,1
-92,1,94,45,-93,48,36,30,53,7,-13,1
-92,1,94,46,-94,47,37,30,52,7,-13,1
-92,0,94,46,-94,47,37,30,52,7,-14,2
-92,0,93,46,-93,47,37,30,51,7,-14,2
-92,0,93,46,-92,46,37,30,50,7,-14,2
-93,0,93,46,-92,46,37,30,49,6,-14,2
-93,0,93,47,-93,46,37,30,48,6,-14,2
-94,0,93,47,-93,46,37,30,48,5,-14,1
-94,0,93,48,-94,46,37,30,47,5,-14,1
-94,-1,93,48,-94,46,37,30,47,5,-14,2
-94,-1,93,48,-94,46,37,30,46,5,-14,3
-95,-1,94,48,-94,46,37,30,46,5,-15,4
-95,-1,94,48,-95,46,37,30,45,5,-15,4
-96,-1,95,49,-96,46,38,30,45,5,-15,5
-97,-1,96,49,-97,47,38,30,45,5,-14,5
-98,-2,96,50,-97,47,37,31,45,5,-14,5
-99,-2,97,51,-98,47,37,31,45,5,-14,6
-100,-2,97,51,-98,47,37,31,45,5,-14,7
-101,-3,98,52,-99,47,38,31,45,6,-13,8
-102,-3,99,52,-100,47,38,31,44,6,-13,7
-102,-3,99,52,-101,47,39,31,44,6,-13,4
-103,-3,100,53,-101,47,39,31,44,6,-12,3
-104,-4,100,54,-102,48,39,31,44,7,-12,4
-105,-4,101,55,-103,48,39,32,44,7,-13,7
-106,-4,101,55,-103,48,40,32,44,7,-13,9
-106,-4,102,55,-104,48,40,32,44,7,-13,9
-106,-4,102,55,-104,48,40,32,44,7,-13,8
-107,-4,103,55,-105,48,40,32,44,7,-13,8
-107,-4,103,55,-105,48,40,32,45,7,-13,8
-106,-4,103,55,-104,49,39,32,45,7,-13,8
-106,-4,102,55,-104,49,39,32,45,7,-13,8
-105,-4,101,54,-103,49,39,32,44,6,-13,7
-104,-4,100,54,-102,48,38,32,44,6,-13,7
-103,-4,99,53,-101,48,38,32,43,6,-13,8
-101,-4,97,52,-99,47,37,32,42,5,-14,8
-100,-4,95,52,-98,46,37,31,42,5,-14,8
-100,-4,95,52,-98,45,37,31,42,4,-15,7
-100,-4,94,52,-97,45,37,31,42,3,-16,6
-100,-4,94,52,-97,45,37,31,42,2,-17,4
-99,-4,95,51,-97,45,37,31,41,0,-20,1
-99,-3,96,51,-97,46,36,30,39,-3,-23,0
-98,0,98,49,-98,49,35,29,37,-6,-24,0
-97,3,100,46,-98,52,33,27,35,-8,-25,0
-95,7,102,44,-99,55,30,24,32,-10,-25,0
-94,10,104,42,-99,57,28,22,30,-11,-25,2
-94,11,105,41,-100,58,27,21,29,-12,-23,5
-93,12,105,40,-99,58,27,21,29,-11,-21,9
-92,12,104,40,-98,58,26,21,30,-10,-18,13
-91,11,103,40,-97,57,26,21,33,-7,-14,17
-90,11,101,39,-95,56,26,21,37,-3,-9,23
-88,11,99,38,-94,55,26,21,41,2,-2,29
-86,13,99,36,-92,56,26,20,45,6,3,32
-84,14,98,34,-91,56,25,20,49,11,9,35
-81,13,95,33,-88,54,25,21,55,17,15,40
-79,9,88,34,-84,49,27,25,62,24,22,49
-75,3,79,35,-77,41,29,30,69,33,29,59
-72,-4,68,37,-70,32,30,34,77,42,37,66
-69,-10,59,39,-64,24,32,38,84,51,45,71
-68,-15,53,41,-61,19,35,42,91,59,52,74
-69,-19,50,43,-60,16,37,45,99,68,57,75
-70,-21,49,45,-60,14,40,48,108,77,62,75
-72,-24,48,47,-60,12,43,52,119,87,68,75
-72,-24,48,48,-60,11,46,56,132,99,75,76
-72,-24,49,48,-60,12,47,59,145,110,81,76
-73,-24,49,48,-60,12,49,63,157,121,88,75
-73,-25,48,49,-60,11,52,68,170,132,94,75
-74,-25,49,49,-61,12,55,73,185,144,101,74
-74,-24,50,49,-62,13,58,77,199,156,107,74
-75,-22,52,48,-64,15,61,81,212,165,111,74
-76,-20,56,48,-66,17,64,83,223,173,115,73
-77,-18,60,47,-68,20,65,84,233,179,118,72
-78,-15,63,46,-71,24,66,83,241,184,120,71
-79,-12,67,45,-73,28,66,82,247,187,121,70
-80,-9,71,44,-75,31,66,81,253,188,121,67
-81,-7,74,44,-77,34,67,80,257,187,119,64
-82,-6,76,43,-79,35,69,80,261,185,115,60
-82,-6,76,43,-79,35,72,81,265,181,109,56
-82,-7,75,44,-78,33,75,81,269,174,102,52
-82,-9,72,45,-77,31,79,82,272,167,95,47
-82,-11,70,46,-76,29,83,83,271,157,87,43
-82,-13,68,47,-75,27,85,82,266,145,78,38
-82,-15,66,48,-74,26,85,79,253,131,69,34
-81,-16,65,49,-73,25,84,74,234,115,59,30
-82,-17,64,49,-73,24,83,68,210,98,50,26
-82,-18,63,50,-73,22,82,62,184,82,42,24
-82,-19,62,51,-72,21,80,55,158,68,34,21
-82,-20,61,51,-71,20,77,49,135,54,27,18
-81,-20,61,50,-71,20,74,43,116,42,21,15
-80,-20,60,50,-70,20,70,38,98,31,16,12
-78,-20,59,49,-69,20,66,33,82,21,10,11
-75,-19,56,47,-65,18,61,29,67,12,6,10
-69,-19,50,45,-60,16,56,25,52,6,3,10
-64,-19,45,42,-54,13,50,21,37,1,1,9
-59,-19,40,39,-49,10,44,18,24,-1,0,8
-56,-19,36,37,-46,9,39,17,15,-2,0,7
-53,-18,34,35,-43,8,34,16,9,-2,1,9
-50,-18,32,34,-41,7,30,15,5,-1,2,14
-47,-18,30,32,-38,6,26,15,2,0,4,19
-43,-18,27,30,-35,4,22,15,0,1,6,21
-39,-17,23,28,-31,3,19,14,0,4,9,22
-34,-16,18,25,-26,1,16,13,-1,7,12,23
-29,-15,14,22,-21,-1,13,12,-3,9,14,24
-24,-14,10,19,-17,-2,11,11,-4,10,15,25
-20,-14,6,17,-13,-3,8,10,-5,11,16,26
-17,-13,4,15,-10,-4,6,9,-6,12,18,28
-14,-13,2,13,-8,-5,4,8,-6,13,20,29
-11,-12,0,11,-5,-5,2,8,-6,14,22,29
-7,-11,-3,9,-2,-6,0,7,-6,16,24,30
-4,-10,-5,7,1,-7,-1,7,-6,19,26,30
0,-9,-8,4,4,-8,-2,6,-5,21,27,31
3,-8,-11,2,7,-9,-3,5,-6,22,28,32
7,-8,-14,0,10,-11,-5,4,-6,23,28,32
10,-7,-16,-1,13,-12,-7,3,-6,23,29,33
13,-6,-18,-3,15,-12,-9,2,-7,24,30,33
16,-4,-20,-6,18,-12,-11,1,-8,24,31,33
20,-3,-22,-8,21,-13,-12,0,-9,25,31,33
24,-1,-25,-11,24,-13,-14,0,-11,25,32,33
28,0,-28,-14,28,-14,-15,-1,-12,26,32,33
32,0,-31,-16,31,-15,-16,-2,-14,26,32,32
34,1,-32,-18,33,-16,-17,-4,-15,26,32,32
36,2,-34,-19,35,-16,-19,-5,-17,26,32,32
39,3,-35,-21,37,-16,-21,-6,-18,25,31,32
41,4,-36,-22,38,-15,-22,-7,-20,25,31,31
43,5,-36,-24,39,-15,-24,-8,-22,24,30,31
44,6,-37,-25,40,-15,-25,-9,-24,24,30,30
46,7,-37,-27,41,-15,-26,-10,-26,24,29,30
48,9,-39,-29,43,-15,-26,-11,-27,24,29,29
51,10,-40,-31,45,-15,-27,-12,-29,22,28,29
52,11,-41,-32,46,-14,-28,-12,-30,21,27,28
53,12,-40,-33,46,-13,-29,-13,-31,21,26,28
53,13,-40,-33,46,-13,-30,-13,-32,20,26,28
53,14,-39,-34,46,-12,-31,-13,-34,19,25,28
54,15,-39,-35,46,-12,-31,-14,-35,18,24,27
56,16,-39,-36,47,-12,-32,-15,-37,17,23,25
57,17,-40,-37,48,-11,-32,-16,-38,16,21,24
58,18,-40,-38,49,-11,-32,-16,-39,14,19,23
59,18,-40,-39,50,-11,-33,-17,-40,13,17,23
59,19,-41,-39,50,-11,-34,-17,-41,11,15,22
60,19,-41,-40,50,-11,-35,-17,-42,9,13,21
60,19,-41,-40,50,-11,-35,-17,-44,7,11,19
61,19,-42,-40,51,-11,-36,-18,-45,5,9,17
61,19,-42,-40,52,-11,-36,-18,-46,3,7,15
62,19,-42,-41,52,-11,-36,-19,-47,1,5,13
63,20,-43,-41,53,-12,-36,-19,-47,0,3,13
63,20,-43,-42,54,-12,-37,-20,-48,-2,1,12
64,20,-43,-42,54,-11,-37,-21,-48,-4,0,9
64,21,-43,-43,54,-11,-37,-22,-48,-5,-2,5
65,22,-43,-43,54,-10,-38,-22,-48,-6,-3,2
67,23,-43,-44,55,-10,-38,-23,-48,-8,-5,1
69,23,-45,-46,56,-11,-39,-23,-48,-10,-9,1
71,24,-46,-47,58,-11,-39,-24,-48,-13,-12,1
73,25,-47,-49,60,-11,-38,-24,-48,-15,-14,0
75,26,-49,-51,62,-11,-38,-25,-48,-17,-16,-2
77,26,-50,-52,64,-12,-38,-25,-48,-18,-18,-3
79,27,-52,-53,65,-13,-37,-25,-48,-20,-20,-5
81,27,-54,-54,67,-13,-37,-25,-48,-22,-22,-7
83,27,-56,-55,69,-14,-37,-26,-48,-24,-24,-9
86,27,-59,-57,72,-16,-37,-26,-48,-26,-27,-11
88,27,-60,-58,74,-16,-36,-27,-48,-28,-29,-13
89,27,-62,-59,75,-17,-36,-27,-48,-29,-31,-15
91,27,-63,-59,77,-18,-36,-27,-48,-31,-33,-17
92,27,-65,-60,79,-19,-36,-28,-48,-32,-35,-19
94,26,-68,-60,81,-21,-36,-29,-48,-34,-38,-21
96,25,-71,-60,83,-23,-36,-30,-48,-36,-40,-23
97,24,-73,-60,85,-24,-36,-30,-48,-38,-42,-25
98,23,-74,-60,86,-26,-36,-30,-47,-39,-44,-27
99,23,-75,-60,87,-27,-36,-30,-47,-41,-46,-29
100,22,-76,-61,88,-27,-36,-31,-46,-42,-47,-30
101,22,-78,-61,89,-28,-36,-31,-45,-43,-49,-31
102,22,-79,-61,90,-29,-36,-32,-44,-44,-50,-32
102,21,-81,-61,91,-30,-36,-33,-42,-44,-52,-33
103,21,-82,-61,92,-31,-35,-33,-41,-45,-53,-34
103,20,-83,-61,93,-31,-35,-33,-39,-46,-54,-35
104,20,-84,-62,94,-32,-35,-33,-38,-46,-55,-37
106,20,-86,-63,96,-33,-35,-33,-37,-47,-56,-38
109,20,-88,-64,98,-34,-35,-33,-36,-47,-57,-40
111,20,-91,-65,101,-35,-35,-34,-35,-47,-58,-40
112,19,-93,-66,103,-37,-35,-34,-34,-48,-59,-40
113,19,-94,-66,104,-38,-35,-34,-33,-48,-60,-40
113,19,-95,-66,104,-38,-35,-34,-31,-48,-60,-41
113,19,-95,-66,104,-38,-34,-34,-30,-48,-60,-45
112,19,-94,-66,104,-38,-34,-34,-28,-48,-60,-48
111,19,-93,-65,103,-37,-33,-34,-26,-47,-60,-50
112,18,-94,-65,103,-38,-33,-34,-25,-47,-61,-49
114,18,-96,-66,105,-39,-33,-34,-25,-48,-63,-47
115,17,-98,-66,107,-41,-32,-34,-25,-49,-64,-46
115,17,-99,-66,107,-41,-32,-34,-24,-49,-65,-46
116,16,-100,-66,108,-42,-32,-34,-24,-50,-65,-46
117,15,-102,-66,109,-44,-32,-34,-24,-50,-66,-47
118,14,-104,-67,110,-45,-32,-34,-24,-51,-66,-47
119,14,-106,-67,112,-46,-33,-34,-24,-51,-66,-47
121,14,-108,-68,115,-48,-33,-34,-24,-52,-66,-48
123,14,-109,-68,117,-49,-33,-34,-23,-52,-67,-49
125,14,-110,-69,118,-49,-33,-34,-23,-52,-67,-50
125,14,-111,-69,118,-49,-33,-34,-23,-51,-67,-51
126,13,-113,-70,119,-50,-33,-34,-22,-51,-67,-51
127,13,-114,-70,120,-51,-33,-34,-22,-52,-68,-51
128,12,-116,-70,121,-52,-33,-35,-21,-52,-68,-51
129,12,-117,-70,123,-53,-33,-35,-21,-52,-69,-52
129,12,-118,-70,124,-54,-33,-34,-21,-52,-69,-52
130,12,-119,-70,125,-54,-33,-34,-21,-52,-68,-52
131,11,-119,-70,125,-54,-32,-34,-21,-52,-68,-52
130,11,-119,-70,125,-54,-32,-34,-21,-52,-68,-52
130,11,-119,-70,124,-54,-32,-33,-21,-52,-68,-52
129,11,-119,-70,124,-54,-32,-33,-21,-52,-68,-52
129,10,-119,-70,124,-55,-31,-33,-21,-53,-68,-52
128,10,-119,-69,124,-55,-31,-33,-21,-53,-68,-53
