leadI,leadII,leadIII,leadaVR,leadaVL,leadaVF,leadV1,leadV2,leadV3,leadV4,leadV5,leadV6
-1,-1,0,1,0,0,-2,-2,-2,-1,-2,-2
-3,-2,0,2,-1,-1,-5,-6,-5,-3,-5,-5
-4,-3,0,3,-2,-2,-6,-8,-8,-5,-7,-8
-4,-4,0,3,-2,-2,-8,-10,-9,-6,-9,-9
-4,-4,0,4,-2,-3,-8,-11,-10,-6,-9,-10
-4,-4,0,4,-2,-3,-9,-11,-10,-6,-9,-10
-4,-4,0,4,-2,-3,-9,-11,-10,-6,-9,-10
-4,-4,0,4,-2,-3,-9,-11,-10,-6,-9,-11
-4,-4,0,4,-2,-2,-9,-11,-10,-6,-10,-11
-4,-4,0,4,-2,-2,-9,-11,-10,-6,-10,-11
-4,-4,0,4,-2,-1,-9,-11,-10,-6,-10,-11
-5,-4,0,4,-3,-1,-9,-11,-10,-6,-10,-11
-5,-4,0,4,-3,-2,-9,-11,-10,-6,-10,-11
-5,-5,0,4,-3,-2,-9,-11,-10,-6,-10,-11
-6,-5,0,5,-3,-3,-9,-11,-10,-6,-10,-11
-6,-5,0,5,-2,-3,-9,-11,-10,-7,-10,-11
-6,-5,-1,5,-2,-3,-9,-11,-10,-7,-10,-12
-6,-6,-1,6,-2,-3,-9,-11,-10,-7,-10,-12
-6,-6,0,6,-3,-3,-9,-11,-10,-7,-11,-12
-6,-6,0,5,-3,-3,-9,-11,-10,-7,-11,-12
-5,-5,0,5,-2,-3,-9,-11,-10,-7,-11,-12
-5,-5,0,5,-3,-3,-9,-10,-10,-7,-11,-11
-6,-5,0,6,-3,-3,-9,-10,-10,-7,-11,-11
-7,-5,0,7,-4,-3,-9,-10,-10,-7,-11,-11
-7,-5,0,7,-4,-2,-9,-10,-10,-7,-11,-11
-7,-5,0,6,-3,-2,-9,-10,-10,-7,-11,-11
-7,-5,0,6,-3,-2,-9,-10,-10,-7,-11,-11
-7,-5,0,6,-3,-2,-9,-10,-10,-7,-11,-11
-7,-5,0,6,-3,-2,-9,-10,-10,-7,-11,-11
-7,-5,0,6,-3,-2,-9,-10,-10,-7,-11,-11
-7,-6,0,6,-4,-2,-9,-10,-10,-7,-11,-11
-7,-6,0,6,-4,-3,-9,-10,-10,-7,-11,-11
-6,-5,-1,6,-3,-3,-9,-10,-10,-8,-11,-11
-6,-5,0,5,-3,-2,-9,-10,-10,-8,-11,-10
-6,-4,1,5,-3,-1,-9,-10,-10,-8,-11,-10
-6,-2,3,4,-4,0,-9,-10,-10,-8,-10,-8
-6,0,6,3,-6,3,-9,-11,-10,-7,-9,-6
-6,3,9,2,-7,6,-9,-11,-10,-7,-7,-4
-6,6,12,0,-9,9,-9,-12,-9,-5,-5,-2
-6,8,14,-1,-10,12,-9,-12,-8,-4,-2,0
-6,10,15,-2,-11,13,-8,-11,-7,-2,0,2
-6,10,15,-2,-11,13,-6,-9,-5,-1,1,3
-6,9,15,-1,-11,13,-4,-6,-3,0,3,4
-6,8,14,-1,-11,12,-1,-3,0,2,4,5
-5,7,13,-1,-9,10,2,1,3,5,7,6
-3,7,10,-1,-7,9,5,6,7,9,11,7
0,7,7,-3,-4,7,8,12,12,15,17,11
3,7,3,-5,0,5,11,19,20,24,26,16
9,8,-1,-8,5,4,14,26,29,34,37,22
15,10,-5,-13,11,3,15,32,37,44,49,29
24,13,-10,-18,17,2,15,37,46,56,62,38
33,17,-16,-25,24,1,14,42,55,67,76,46
43,19,-23,-30,33,-1,14,47,62,76,86,51
50,17,-33,-33,41,-8,13,52,66,80,88,51
56,11,-46,-33,50,-17,13,57,69,80,83,46
60,3,-58,-31,59,-27,13,61,70,77,75,38
63,-4,-69,-29,66,-36,14,66,72,74,64,28
64,-12,-77,-26,70,-44,16,71,73,70,52,17
63,-18,-81,-22,72,-49,18,74,72,65,40,5
59,-23,-81,-18,70,-51,20,75,71,60,30,-4
53,-24,-77,-14,65,-50,21,73,70,56,21,-11
47,-23,-69,-11,58,-46,21,70,67,53,16,-15
40,-21,-61,-8,50,-41,21,66,64,50,13,-17
32,-20,-52,-5,42,-36,21,62,59,45,10,-18
23,-19,-43,-2,33,-31,22,58,55,41,7,-18
15,-17,-33,0,24,-25,24,56,52,37,4,-19
8,-15,-23,3,16,-19,26,54,49,33,1,-19
2,-13,-15,5,8,-13,30,54,47,29,-2,-20
-2,-11,-7,6,2,-9,33,54,46,25,-6,-21
-7,-9,-1,8,-3,-5,37,54,44,22,-8,-21
-10,-7,3,9,-7,-2,41,56,42,20,-10,-21
-12,-5,6,9,-9,0,44,58,42,19,-10,-21
-13,-4,9,9,-11,2,47,61,43,20,-9,-20
-14,-2,12,8,-13,5,50,64,45,22,-7,-18
-15,0,15,7,-15,8,53,68,48,24,-5,-16
-15,1,17,6,-16,10,57,71,51,25,-4,-14
-14,3,18,5,-16,11,60,74,53,26,-3,-13
