leadI,leadII,leadIII,leadaVR,leadaVL,leadaVF,leadV1,leadV2,leadV3,leadV4,leadV5,leadV6
0,-1,-1,0,1,-1,1,0,0,0,0,-1
1,-3,-3,1,2,-3,2,1,0,-1,-2,-2
1,-3,-4,2,3,-4,2,1,-1,-2,-3,-4
1,-4,-4,2,3,-4,1,0,-2,-3,-5,-5
0,-4,-4,2,2,-4,0,0,-3,-5,-6,-7
0,-4,-4,3,2,-4,0,0,-4,-6,-6,-7
-2,-6,-4,4,1,-5,0,0,-4,-6,-7,-7
-3,-7,-4,5,0,-6,0,0,-3,-6,-6,-7
-3,-7,-4,5,1,-5,1,0,-2,-5,-6,-6
-1,-5,-3,3,1,-4,2,1,-2,-4,-5,-5
-1,-4,-3,2,1,-3,1,0,-2,-4,-6,-6
-1,-3,-2,2,0,-3,1,0,-2,-5,-6,-7
-2,-4,-1,3,0,-3,0,-1,-3,-6,-7,-8
-2,-4,-1,3,0,-3,0,-1,-4,-6,-8,-8
-2,-3,0,3,0,-2,0,-1,-3,-6,-8,-8
-2,-3,0,2,0,-1,0,0,-3,-6,-8,-8
-2,-4,-1,3,0,-2,0,-1,-4,-6,-8,-8
-2,-4,-1,3,0,-2,0,-1,-4,-6,-8,-9
-1,-3,-1,2,0,-1,0,-1,-4,-6,-8,-9
-1,-2,0,2,-1,-1,0,-1,-4,-6,-8,-9
-2,-1,1,2,-2,0,0,-1,-4,-6,-8,-9
-2,0,2,2,-2,0,0,-1,-4,-7,-8,-9
-2,0,2,2,-2,0,-1,-1,-4,-7,-9,-9
-2,0,3,1,-3,1,-1,-1,-4,-7,-9,-9
-1,0,3,0,-2,1,-1,-1,-4,-6,-9,-9
0,0,2,0,-1,1,-1,-2,-4,-6,-9,-9
-1,0,2,0,-1,1,-1,-2,-4,-7,-9,-9
-1,0,3,0,-2,2,-2,-2,-4,-7,-9,-9
-2,1,4,0,-3,3,-1,-2,-4,-7,-8,-9
-2,2,5,0,-4,3,-1,-2,-4,-7,-8,-9
-2,3,5,0,-4,4,-2,-2,-5,-8,-8,-9
0,4,4,-1,-3,4,-2,-3,-5,-8,-9,-10
0,4,3,-2,-2,4,-2,-3,-5,-8,-9,-10
0,3,3,-1,-2,4,-2,-3,-5,-8,-9,-10
-1,3,5,-1,-3,4,-2,-3,-5,-7,-9,-9
-2,3,5,0,-4,4,-2,-3,-5,-7,-8,-9
-2,3,5,0,-4,4,-2,-3,-5,-8,-9,-9
-2,3,5,0,-4,4,-2,-3,-5,-8,-9,-9
-1,4,5,-1,-4,4,-2,-3,-5,-8,-9,-9
0,4,4,-2,-2,4,-3,-3,-6,-8,-9,-10
2,4,3,-3,-1,4,-3,-4,-6,-8,-10,-10
2,5,3,-3,-1,4,-3,-3,-5,-8,-10,-10
1,5,5,-3,-2,5,-2,-3,-5,-8,-9,-9
0,5,6,-2,-3,6,-2,-3,-5,-8,-9,-9
0,6,7,-3,-4,7,-3,-3,-5,-8,-9,-10
0,7,7,-3,-4,7,-3,-4,-6,-8,-10,-10
0,7,7,-4,-3,7,-4,-4,-6,-9,-10,-10
0,7,7,-3,-3,7,-4,-4,-6,-9,-10,-10
-1,5,7,-2,-4,6,-4,-5,-6,-9,-10,-11
-2,4,7,-1,-5,6,-4,-5,-6,-9,-10,-10
-2,5,8,-1,-5,7,-3,-4,-5,-8,-9,-9
-1,6,9,-2,-5,8,-3,-4,-5,-8,-8,-9
0,7,8,-3,-4,8,-3,-5,-5,-8,-8,-9
0,8,7,-4,-3,8,-3,-5,-5,-8,-8,-9
1,8,7,-4,-3,8,-3,-5,-5,-8,-8,-9
0,7,7,-4,-3,7,-3,-5,-5,-8,-9,-9
0,6,7,-3,-4,7,-3,-5,-6,-8,-9,-9
0,5,6,-2,-3,6,-3,-5,-6,-9,-10,-9
0,5,5,-2,-3,6,-3,-4,-7,-9,-10,-9
-1,5,6,-2,-3,6,-3,-4,-7,-9,-10,-9
-2,5,7,-2,-4,6,-3,-3,-7,-9,-10,-9
-2,5,7,-2,-4,5,-3,-3,-6,-9,-10,-9
-1,5,6,-2,-4,5,-3,-3,-6,-9,-10,-9
-1,5,6,-2,-4,5,-3,-3,-6,-9,-9,-9
-1,5,6,-2,-4,5,-2,-3,-5,-9,-9,-9
0,5,5,-2,-3,5,-2,-3,-5,-8,-8,-9
0,5,5,-2,-3,5,-2,-3,-5,-8,-8,-9
0,4,4,-1,-2,4,-2,-3,-5,-8,-8,-9
0,3,4,-1,-2,3,-2,-2,-5,-8,-8,-9
-1,3,4,-1,-2,3,-1,-2,-5,-8,-8,-8
-2,2,4,0,-3,3,-1,-2,-4,-8,-8,-8
-2,2,4,0,-3,2,-2,-3,-5,-8,-8,-9
-2,1,3,0,-3,2,-2,-3,-5,-8,-8,-9
-3,1,4,1,-4,2,-2,-3,-5,-8,-8,-9
-3,0,4,2,-4,2,-2,-2,-5,-8,-8,-9
-3,0,3,2,-3,2,-2,-2,-5,-8,-8,-9
-2,0,3,2,-3,1,-2,-2,-5,-8,-8,-9
-1,1,2,0,-2,1,-2,-2,-5,-8,-8,-9
0,1,2,0,-1,1,-2,-3,-6,-8,-9,-9
-1,1,2,0,-2,1,-2,-3,-6,-9,-9,-10
-2,1,4,0,-3,2,-1,-3,-5,-8,-9,-9
-2,2,4,0,-4,3,-1,-3,-5,-8,-9,-9
-1,3,4,-1,-3,4,-1,-3,-6,-8,-9,-9
0,3,3,-1,-2,3,-2,-4,-6,-8,-9,-10
0,3,3,-1,-2,3,-2,-4,-6,-8,-9,-10
-1,2,3,0,-2,3,-2,-4,-6,-9,-9,-10
-1,2,3,0,-2,2,-2,-4,-6,-9,-9,-10
-2,1,2,0,-2,2,-2,-4,-7,-10,-10,-10
-2,1,2,0,-2,1,-2,-4,-7,-10,-10,-10
-1,1,2,0,-2,1,-2,-4,-7,-10,-10,-10
0,2,2,0,-1,1,-1,-4,-7,-10,-10,-10
0,2,2,0,-1,1,-1,-4,-7,-10,-10,-11
-1,2,3,0,-2,1,-1,-4,-6,-10,-10,-11
-2,1,3,0,-2,1,-1,-4,-6,-9,-10,-10
-2,1,3,0,-3,1,-1,-4,-6,-9,-10,-10
-2,1,3,0,-3,1,-1,-3,-6,-9,-9,-9
-2,1,3,0,-3,1,0,-3,-5,-8,-9,-9
-2,0,3,1,-3,1,0,-3,-5,-9,-9,-9
-3,0,2,2,-2,0,-1,-4,-6,-9,-10,-10
-2,-1,1,2,-1,0,-1,-5,-6,-9,-10,-10
-1,0,0,1,0,0,-1,-5,-5,-9,-9,-10
0,0,0,0,0,0,-1,-5,-5,-8,-9,-10
-1,0,0,1,-1,-1,0,-4,-5,-9,-9,-10
-2,-1,0,1,-1,-1,0,-4,-6,-9,-9,-10
-1,-1,0,1,0,-1,-1,-3,-6,-9,-10,-10
-1,-1,0,1,0,-1,-1,-3,-6,-9,-10,-10
-2,-1,0,1,0,-1,-1,-2,-6,-9,-10,-10
-2,-1,1,2,-1,0,0,-2,-6,-9,-9,-9
-3,-1,1,2,-2,0,0,-1,-6,-8,-9,-9
-3,0,1,2,-2,0,0,-2,-6,-8,-9,-9
-1,0,0,0,-1,0,0,-2,-6,-9,-9,-9
-1,1,1,0,-1,0,0,-3,-6,-9,-9,-10
-2,0,2,1,-2,0,-1,-3,-6,-9,-9,-10
-2,0,3,1,-3,1,-1,-3,-6,-9,-10,-10
-2,1,3,0,-2,1,-1,-3,-6,-9,-10,-11
-2,1,3,0,-3,1,-1,-3,-6,-9,-11,-11
-2,0,4,1,-3,1,-1,-4,-6,-9,-11,-11
-2,0,3,1,-3,1,-1,-4,-6,-9,-11,-11
-2,0,3,0,-2,1,-1,-4,-7,-10,-11,-12
-2,0,3,1,-2,1,-2,-4,-7,-10,-11,-12
-3,0,3,1,-3,1,-2,-4,-7,-10,-11,-12
-3,0,3,1,-3,1,-2,-4,-7,-10,-10,-11
-3,1,3,1,-2,1,-2,-4,-7,-10,-10,-11
-2,1,4,0,-3,2,-2,-4,-6,-9,-10,-11
-2,1,5,0,-3,3,-1,-3,-5,-8,-9,-10
-3,1,6,1,-4,3,-1,-3,-4,-7,-8,-9
-4,1,6,1,-5,3,-1,-3,-4,-7,-8,-8
-3,1,5,0,-3,3,-2,-3,-4,-7,-8,-8
0,2,3,-1,-1,2,-2,-3,-4,-7,-8,-8
0,2,3,-1,-1,2,-2,-3,-4,-7,-7,-8
-2,2,5,0,-3,3,-2,-2,-3,-6,-7,-8
-4,2,6,1,-5,3,-1,-2,-2,-6,-6,-7
-4,2,7,1,-6,4,-1,-2,-2,-5,-6,-7
-4,2,6,0,-5,4,-1,-2,-1,-4,-5,-7
-2,2,5,0,-4,4,0,-1,-1,-4,-5,-6
-2,2,5,0,-4,4,0,-1,0,-3,-4,-6
-1,3,4,-1,-3,4,0,-1,0,-3,-4,-6
0,3,4,-1,-2,4,-1,-1,0,-3,-4,-6
0,3,4,-1,-2,4,-2,-2,0,-2,-4,-6
-1,3,5,0,-3,4,-2,-3,0,-2,-4,-5
-2,3,5,0,-3,4,-3,-4,1,-2,-4,-5
-2,3,6,-1,-4,4,-4,-4,1,-2,-4,-5
-3,3,7,0,-5,5,-4,-5,2,-2,-4,-5
-3,3,7,0,-5,5,-5,-6,2,-2,-4,-5
-2,5,7,-1,-4,6,-6,-6,2,-2,-4,-5
-2,6,8,-2,-4,7,-6,-6,2,-1,-3,-4
-2,6,8,-2,-5,7,-7,-6,2,-1,-3,-4
-2,6,8,-2,-5,7,-7,-7,1,-2,-4,-4
-1,7,9,-2,-5,7,-7,-7,1,-2,-4,-4
-1,7,9,-3,-5,7,-6,-7,1,-2,-3,-4
-1,7,8,-3,-4,7,-7,-7,1,-2,-4,-5
0,7,7,-4,-3,7,-7,-8,0,-2,-4,-5
0,8,7,-4,-3,7,-7,-8,0,-2,-4,-5
0,8,8,-4,-4,8,-6,-7,0,-2,-3,-5
0,8,9,-3,-4,8,-6,-7,0,-2,-3,-5
0,7,7,-3,-3,7,-6,-6,0,-3,-4,-5
0,6,6,-3,-2,6,-5,-6,-1,-4,-5,-6
0,5,5,-2,-2,5,-5,-5,-2,-4,-5,-6
0,5,5,-2,-2,4,-4,-5,-2,-5,-5,-6
-1,4,5,-1,-2,4,-3,-4,-2,-5,-5,-6
-1,4,5,-1,-3,4,-3,-3,-2,-4,-5,-6
-1,3,5,-1,-2,4,-2,-3,-2,-5,-5,-6
1,3,3,-2,0,2,-3,-4,-3,-6,-7,-7
2,2,1,-2,1,1,-3,-4,-4,-7,-8,-8
0,1,1,-1,0,1,-3,-4,-5,-7,-8,-8
-1,0,1,1,-1,1,-2,-3,-5,-8,-8,-9
-3,-1,1,2,-1,0,-2,-3,-6,-8,-9,-10
-4,-3,1,3,-2,-1,-2,-3,-6,-9,-10,-10
-5,-4,1,4,-3,-1,-1,-3,-6,-9,-10,-10
-5,-4,1,4,-2,-2,0,-3,-6,-9,-10,-10
-3,-4,0,3,-1,-2,0,-3,-7,-9,-10,-11
-3,-4,0,3,-1,-3,0,-3,-7,-9,-10,-11
-5,-5,0,5,-1,-3,0,-3,-7,-10,-11,-11
-5,-6,0,6,-1,-3,0,-3,-7,-10,-11,-11
-4,-7,-3,6,0,-5,0,-3,-8,-11,-12,-12
-3,-8,-4,6,1,-6,0,-2,-8,-11,-12,-12
-5,-9,-3,7,0,-6,1,-1,-7,-10,-11,-12
-6,-9,-3,7,0,-6,2,-1,-7,-10,-10,-11
-5,-10,-4,7,1,-7,2,-1,-7,-10,-11,-12
-5,-10,-5,8,1,-7,2,-1,-7,-10,-11,-12
-6,-11,-5,9,0,-8,2,-1,-7,-10,-11,-12
-6,-11,-6,9,0,-8,2,-2,-7,-11,-11,-12
-5,-12,-7,9,1,-9,2,-2,-7,-11,-11,-12
-6,-12,-7,9,1,-9,3,-2,-7,-10,-11,-11
-5,-12,-7,9,1,-9,4,-1,-6,-9,-11,-11
-4,-12,-8,8,2,-10,4,0,-6,-9,-11,-11
-5,-13,-8,9,2,-10,4,0,-6,-9,-11,-11
-6,-15,-8,11,2,-11,3,0,-7,-10,-11,-11
-7,-16,-8,11,2,-12,3,0,-7,-10,-11,-12
-6,-15,-9,10,2,-11,4,0,-7,-9,-11,-12
-5,-14,-9,10,2,-11,4,0,-6,-9,-11,-11
-5,-14,-9,9,2,-12,4,0,-6,-9,-11,-11
-4,-14,-10,9,3,-12,4,0,-6,-9,-11,-11
-4,-15,-11,9,3,-13,4,1,-6,-9,-11,-11
-4,-16,-11,9,4,-13,5,2,-6,-9,-10,-11
-3,-17,-12,10,5,-14,6,3,-6,-9,-10,-11
-4,-19,-13,11,5,-15,7,5,-6,-9,-10,-12
-5,-20,-14,12,5,-16,9,8,-6,-9,-11,-12
-4,-20,-16,12,6,-18,11,12,-6,-9,-12,-14
-3,-22,-19,13,8,-20,13,14,-7,-11,-15,-16
-3,-25,-22,14,9,-23,15,18,-8,-12,-17,-20
-3,-27,-25,15,11,-26,17,23,-8,-13,-20,-23
-2,-29,-28,15,12,-28,20,29,-7,-14,-21,-25
0,-31,-31,15,15,-30,23,35,-6,-13,-22,-27
2,-31,-34,14,18,-32,27,43,-4,-12,-22,-28
4,-31,-35,14,20,-33,31,52,-1,-9,-21,-28
6,-29,-35,11,21,-32,33,59,3,-4,-18,-26
11,-23,-35,6,23,-29,33,63,8,2,-13,-21
14,-16,-31,1,22,-24,31,63,13,10,-4,-13
16,-9,-26,-3,20,-17,25,57,18,18,6,-2
18,-1,-19,-8,18,-10,17,48,20,25,20,11
20,8,-11,-14,16,-1,7,36,23,34,36,28
22,20,-1,-21,12,10,-2,25,27,46,54,47
23,35,12,-29,6,24,-13,11,33,60,76,69
24,53,28,-38,-1,41,-25,-4,39,75,100,92
25,71,45,-48,-9,59,-37,-20,45,90,124,116
25,91,64,-58,-19,78,-49,-37,52,106,149,140
25,110,84,-67,-30,98,-62,-55,59,122,174,165
23,128,104,-75,-40,116,-75,-73,66,136,197,188
21,143,123,-82,-51,133,-86,-90,71,146,212,204
17,154,138,-85,-60,146,-92,-104,75,149,217,210
10,157,149,-83,-69,153,-93,-113,76,145,210,205
1,154,154,-77,-76,154,-90,-118,75,134,191,190
-7,145,152,-69,-79,149,-85,-119,68,117,165,167
-12,132,144,-60,-77,138,-77,-115,57,95,134,140
-16,113,129,-49,-72,121,-67,-105,41,68,100,110
-17,93,110,-38,-64,101,-55,-89,25,42,67,80
-16,72,89,-28,-53,81,-43,-72,10,19,39,52
-16,52,70,-19,-43,61,-32,-56,-4,0,16,29
-16,34,52,-10,-34,44,-22,-40,-15,-14,-1,11
-16,20,37,-2,-26,29,-14,-25,-23,-24,-13,-2
-15,9,24,2,-19,17,-7,-13,-28,-30,-22,-12
-14,1,15,6,-14,9,-1,-4,-29,-33,-26,-17
-13,-4,8,8,-10,2,4,3,-29,-33,-28,-20
-12,-8,3,9,-7,-2,9,12,-27,-32,-28,-22
-9,-10,-1,10,-4,-5,14,20,-25,-31,-27,-22
-7,-11,-3,10,-2,-7,19,28,-22,-29,-26,-22
-7,-13,-5,11,0,-8,22,35,-20,-26,-24,-22
-7,-14,-6,12,0,-9,24,38,-19,-24,-23,-21
-7,-15,-7,11,1,-10,24,39,-17,-22,-22,-20
-6,-14,-8,10,2,-10,23,37,-14,-19,-20,-19
-6,-14,-8,9,1,-11,22,34,-12,-18,-19,-18
-6,-14,-8,10,1,-11,20,31,-11,-17,-19,-17
-6,-14,-9,10,1,-12,18,27,-10,-16,-18,-17
-4,-14,-9,9,2,-12,17,25,-9,-16,-18,-17
-3,-14,-10,9,3,-12,15,22,-9,-15,-17,-17
-4,-14,-9,9,3,-12,14,20,-8,-14,-16,-17
-5,-14,-9,10,3,-12,13,17,-7,-13,-15,-16
-5,-14,-9,9,2,-11,12,16,-6,-12,-15,-15
-5,-13,-9,8,2,-11,11,15,-6,-11,-14,-14
-4,-12,-9,7,2,-11,11,14,-5,-11,-14,-14
-3,-12,-9,7,2,-11,10,14,-5,-10,-14,-14
-2,-12,-9,7,3,-11,10,14,-5,-10,-14,-14
-3,-13,-9,8,3,-11,10,13,-5,-10,-13,-14
-4,-13,-8,9,2,-11,9,13,-5,-10,-13,-13
-5,-14,-8,10,2,-11,9,12,-4,-9,-12,-13
-5,-14,-9,9,2,-11,9,11,-4,-9,-12,-13
-4,-14,-10,8,3,-11,8,11,-4,-8,-12,-12
-4,-13,-9,7,2,-11,9,10,-3,-8,-12,-12
-4,-12,-8,7,1,-10,9,10,-2,-7,-11,-11
-3,-12,-7,7,1,-9,8,9,-2,-8,-11,-12
-2,-11,-7,6,2,-9,8,8,-2,-8,-11,-12
-2,-10,-7,6,3,-8,8,8,-2,-7,-10,-11
-2,-10,-7,6,3,-8,8,8,-2,-7,-10,-11
-3,-11,-8,7,3,-9,7,8,-3,-8,-10,-11
-3,-11,-8,7,3,-9,6,7,-3,-8,-11,-11
-3,-12,-8,7,3,-10,6,7,-3,-8,-12,-11
-3,-12,-8,7,3,-10,6,7,-3,-8,-12,-11
-3,-12,-8,7,3,-10,6,7,-2,-7,-11,-10
-3,-12,-8,8,3,-10,6,6,-2,-7,-11,-11
-4,-13,-8,8,2,-10,6,6,-2,-7,-10,-11
-4,-12,-8,8,2,-10,6,6,-2,-7,-10,-11
-4,-12,-8,8,2,-10,6,6,-2,-7,-10,-10
-4,-11,-8,7,2,-9,6,6,-2,-7,-9,-10
-3,-11,-8,7,2,-9,5,5,-2,-7,-10,-10
-1,-10,-9,6,3,-9,5,5,-2,-7,-10,-10
0,-9,-8,5,3,-9,5,5,-1,-6,-9,-10
-1,-10,-8,5,3,-9,5,6,-1,-5,-8,-9
-2,-10,-7,6,3,-9,5,5,-1,-5,-8,-9
-1,-10,-7,5,3,-8,5,5,-1,-5,-8,-9
0,-8,-7,4,4,-7,5,5,-1,-5,-8,-9
0,-7,-7,3,4,-7,5,5,-1,-5,-8,-9
0,-7,-7,3,3,-7,5,5,-1,-5,-8,-9
0,-7,-6,4,3,-7,5,5,-1,-5,-8,-9
0,-7,-6,3,3,-6,5,5,0,-5,-8,-9
0,-7,-6,3,3,-6,4,5,0,-5,-8,-9
0,-7,-6,3,3,-6,4,5,0,-5,-7,-8
-1,-7,-4,4,2,-5,4,6,0,-4,-7,-8
-2,-7,-4,4,1,-5,4,6,0,-4,-7,-8
-2,-6,-4,4,1,-5,4,5,0,-5,-7,-8
-1,-5,-4,3,1,-4,4,5,0,-4,-7,-7
0,-5,-4,3,1,-4,4,5,0,-4,-6,-7
0,-5,-4,3,1,-5,4,5,0,-3,-6,-7
0,-6,-4,3,1,-5,4,5,0,-3,-6,-7
0,-6,-4,3,1,-5,4,5,0,-3,-6,-6
0,-7,-5,3,2,-5,3,5,0,-3,-6,-6
1,-6,-6,3,3,-6,3,4,0,-3,-6,-6
1,-6,-6,2,3,-5,3,5,1,-2,-5,-6
1,-6,-5,2,3,-5,3,5,1,-2,-5,-5
1,-6,-6,2,3,-5,3,6,2,-1,-4,-4
0,-6,-5,2,3,-5,3,6,2,-1,-3,-4
0,-6,-5,2,2,-5,3,6,2,0,-3,-3
0,-6,-5,2,2,-5,3,7,3,0,-2,-2
0,-5,-4,2,2,-4,3,7,3,0,-2,-1
1,-4,-4,1,3,-3,3,7,4,1,-1,-1
