leadI,leadII,leadIII,leadaVR,leadaVL,leadaVF,leadV1,leadV2,leadV3,leadV4,leadV5,leadV6
0,-1,-1,0,0,-1,0,1,1,-1,0,0
0,-2,-2,1,1,-2,1,2,2,-3,0,-1
0,-3,-2,1,1,-2,2,3,3,-5,0,-2
0,-3,-2,1,1,-2,2,3,4,-5,0,-2
0,-2,-2,1,1,-2,3,3,4,-6,0,-1
0,-2,-1,1,0,-2,3,3,5,-6,0,0
0,-1,0,1,0,-1,4,3,5,-6,0,0
-1,-2,0,2,-1,-1,4,3,6,-6,0,1
-2,-2,0,2,-1,-1,5,3,7,-6,1,1
-2,-2,0,2,-1,-1,6,3,8,-6,2,1
-2,-2,0,1,-1,-1,6,3,8,-6,2,0
-1,-1,1,1,-1,0,6,3,8,-6,2,0
-1,0,1,0,-1,1,5,3,7,-6,2,1
0,1,2,0,-1,1,5,3,7,-6,2,1
0,2,3,-1,-1,2,5,4,7,-5,2,2
0,4,4,-2,-1,3,4,4,7,-5,2,2
1,5,4,-3,-1,4,3,4,6,-6,2,2
1,5,4,-3,-1,4,2,4,5,-6,3,2
1,5,5,-4,-1,5,2,4,5,-6,3,2
1,6,6,-4,-2,6,2,4,5,-6,4,2
1,7,7,-4,-3,7,1,4,4,-6,4,2
1,7,7,-4,-2,7,1,4,3,-6,4,3
1,6,5,-4,-2,6,2,4,3,-7,3,3
1,6,4,-3,-1,5,2,4,2,-8,3,3
1,6,4,-3,-1,5,2,4,2,-9,2,3
1,7,5,-4,-2,6,2,4,2,-9,3,3
2,8,6,-5,-2,7,2,4,2,-8,3,3
2,8,6,-5,-1,7,2,4,2,-8,3,3
2,7,6,-5,-1,7,2,4,2,-8,3,3
2,6,5,-4,-1,6,2,4,2,-8,3,3
2,5,3,-3,-1,5,2,4,2,-8,2,2
2,4,2,-3,0,4,2,4,2,-8,2,2
2,3,0,-3,0,2,2,4,1,-9,1,1
2,1,0,-2,1,1,2,4,0,-10,1,1
2,0,-1,-1,1,0,2,4,0,-10,0,0
1,0,-1,-1,1,0,3,4,1,-10,0,0
1,-1,-1,0,1,-1,3,4,2,-10,0,0
0,-2,-2,1,1,-2,3,4,2,-11,0,-1
0,-3,-3,2,1,-3,3,4,2,-12,-1,-2
0,-4,-4,2,2,-5,3,4,1,-13,-2,-3
0,-5,-5,2,2,-5,3,4,1,-13,-3,-4
0,-5,-6,2,2,-6,3,4,0,-14,-4,-5
0,-6,-7,3,3,-7,3,4,0,-15,-4,-5
0,-8,-8,4,4,-8,3,4,-1,-16,-5,-5
0,-9,-8,5,4,-9,3,4,-2,-16,-5,-6
0,-9,-8,5,4,-9,3,4,-2,-17,-5,-6
0,-9,-8,5,4,-9,3,5,-3,-17,-5,-6
-1,-9,-8,6,4,-9,3,5,-2,-17,-5,-5
-1,-10,-9,6,4,-10,4,5,-2,-17,-5,-5
-1,-11,-9,6,4,-10,4,5,-2,-17,-6,-6
-2,-11,-8,6,3,-10,3,5,-3,-18,-6,-6
-2,-10,-7,5,3,-9,3,5,-3,-18,-7,-7
-1,-9,-7,5,3,-9,3,5,-3,-18,-7,-7
-1,-10,-8,6,3,-9,3,5,-3,-18,-7,-7
-2,-10,-8,6,2,-9,4,5,-3,-18,-7,-7
-3,-11,-8,7,2,-9,4,5,-3,-18,-6,-7
-4,-11,-8,7,1,-9,4,5,-3,-18,-6,-7
-4,-11,-7,7,1,-9,4,5,-3,-18,-6,-7
-4,-11,-7,7,1,-9,4,5,-3,-18,-6,-7
-3,-11,-8,7,3,-10,4,5,-3,-18,-6,-8
-2,-12,-10,7,4,-11,4,5,-3,-19,-6,-8
-1,-12,-11,7,5,-12,3,5,-4,-19,-7,-9
-1,-12,-11,7,6,-12,3,5,-4,-19,-8,-9
