leadI,leadII,leadIII,leadaVR,leadaVL,leadaVF,leadV1,leadV2,leadV3,leadV4,leadV5,leadV6
1,-1,-2,0,1,-2,-5,1,-2,2,-4,0
4,-2,-5,0,4,-4,-11,5,-4,5,-10,0
9,1,-6,-5,7,-3,-14,8,-3,9,-12,1
15,8,-7,-11,11,0,-14,11,-2,13,-11,3
22,14,-7,-17,15,2,-14,13,0,16,-11,5
24,16,-8,-20,16,3,-14,14,0,17,-11,6
22,14,-8,-18,16,2,-15,14,0,17,-13,5
17,8,-8,-12,13,0,-17,13,-2,16,-15,3
11,3,-8,-7,11,-3,-18,11,-3,14,-16,2
9,0,-9,-4,10,-5,-19,11,-4,14,-17,1
11,1,-9,-6,11,-4,-18,11,-3,14,-16,2
16,6,-9,-11,13,-2,-17,13,-2,16,-14,3
21,12,-9,-16,15,0,-16,14,0,17,-12,5
25,15,-9,-20,17,2,-15,14,0,18,-11,5
24,15,-9,-19,17,2,-16,13,0,18,-11,5
20,10,-9,-15,15,0,-17,12,-1,17,-12,3
14,5,-8,-9,12,-1,-18,11,-2,16,-13,3
10,2,-7,-6,9,-2,-18,10,-2,16,-13,3
10,3,-6,-6,9,-2,-18,11,-1,16,-12,3
14,7,-6,-10,11,0,-17,12,0,17,-11,4
20,13,-6,-16,13,2,-15,13,1,18,-10,5
24,16,-7,-20,15,3,-15,14,3,20,-8,7
25,17,-7,-21,15,4,-15,14,3,20,-8,7
21,14,-7,-17,14,3,-15,13,2,20,-8,7
16,9,-8,-12,12,1,-16,11,1,18,-9,6
12,5,-7,-8,10,0,-17,10,0,18,-10,5
10,4,-5,-6,8,0,-17,10,0,18,-10,5
13,6,-6,-9,10,0,-17,10,1,18,-9,5
20,12,-7,-15,14,1,-16,10,2,19,-9,6
25,17,-7,-20,16,3,-15,11,3,21,-8,7
26,19,-5,-22,15,5,-14,12,4,22,-7,8
23,18,-4,-21,13,6,-14,12,5,22,-6,9
18,15,-3,-16,11,6,-15,11,4,22,-6,9
14,12,-3,-13,9,5,-16,10,4,22,-5,9
13,11,-2,-12,8,5,-16,10,4,22,-5,10
15,14,-1,-14,8,7,-17,10,5,23,-3,11
20,20,0,-20,10,9,-17,10,6,25,-1,12
25,26,1,-25,11,12,-18,9,7,28,2,15
28,29,2,-28,12,14,-19,9,8,30,5,17
28,30,2,-28,13,14,-20,8,9,32,7,19
25,27,1,-25,12,14,-21,6,8,33,10,21
22,24,1,-22,11,13,-23,4,8,34,13,23
21,22,1,-21,11,13,-25,3,8,36,16,25
22,22,0,-22,12,12,-26,3,9,39,20,27
27,24,-2,-26,16,11,-26,5,11,43,23,29
33,26,-5,-30,20,9,-25,7,13,46,26,30
37,27,-10,-32,24,7,-24,9,13,47,27,30
40,25,-15,-32,27,3,-25,9,12,46,26,30
41,20,-20,-30,30,-1,-26,10,11,44,25,29
39,14,-26,-26,33,-6,-27,10,10,43,25,28
39,8,-31,-23,36,-11,-28,11,9,41,24,27
41,5,-36,-23,39,-15,-29,12,8,41,23,26
45,5,-40,-25,43,-17,-30,13,8,41,23,25
51,7,-43,-29,47,-19,-30,16,9,40,20,22
54,7,-46,-31,50,-20,-29,21,10,39,14,17
55,6,-48,-31,51,-22,-28,27,13,37,6,9
53,0,-52,-27,52,-26,-26,34,16,34,-2,0
49,-7,-56,-20,53,-32,-23,42,21,32,-12,-9
44,-16,-60,-14,53,-38,-18,49,25,30,-21,-18
40,-23,-63,-8,53,-43,-9,55,28,26,-29,-27
39,-28,-65,-6,53,-46,0,58,28,20,-38,-34
39,-28,-66,-6,53,-47,8,61,27,13,-46,-41
39,-28,-66,-6,52,-47,13,63,26,6,-54,-47
38,-28,-66,-5,52,-48,17,64,24,-2,-62,-53
35,-30,-65,-2,50,-48,20,65,21,-10,-71,-59
27,-33,-60,3,43,-47,23,66,20,-17,-79,-63
17,-36,-53,10,35,-45,28,67,19,-24,-85,-67
9,-37,-46,14,28,-42,32,65,18,-31,-91,-70
4,-36,-39,16,22,-38,37,62,15,-39,-96,-72
1,-31,-32,14,17,-32,42,59,13,-44,-98,-72
0,-25,-24,12,12,-25,46,55,11,-48,-98,-71
-1,-20,-18,11,8,-19,49,51,9,-50,-97,-69
-4,-16,-12,11,4,-15,52,47,7,-52,-96,-68
-8,-15,-7,13,-1,-12,53,41,4,-53,-95,-66
-14,-15,-1,15,-6,-9,55,34,-1,-55,-94,-64
-18,-15,3,17,-10,-6,56,26,-7,-57,-92,-61
-20,-13,7,17,-13,-3,56,18,-13,-57,-88,-57
-19,-9,10,14,-14,0,57,12,-16,-55,-82,-52
-17,-4,14,10,-15,4,57,9,-16,-50,-75,-46
-13,1,16,5,-14,8,56,7,-15,-45,-68,-41
-9,6,16,2,-13,10,55,7,-14,-39,-62,-37
-8,7,16,0,-12,11,53,8,-12,-34,-57,-33
-8,7,16,1,-12,11,51,9,-10,-29,-53,-30
-8,6,15,1,-11,10,50,10,-9,-25,-49,-28
-7,6,14,0,-10,10,48,12,-8,-22,-45,-25
-6,8,15,-1,-10,11,48,13,-7,-19,-41,-21
-3,11,15,-5,-9,13,47,15,-5,-16,-37,-17
1,14,14,-8,-6,13,47,17,-4,-14,-34,-15
4,15,12,-10,-4,13,46,19,-3,-11,-31,-13
6,16,11,-11,-3,13,45,22,-1,-8,-29,-11
4,14,11,-9,-4,12,45,23,0,-6,-28,-10
2,13,11,-7,-4,12,45,24,1,-4,-26,-9
1,12,11,-6,-4,12,45,25,2,-3,-25,-8
1,14,13,-7,-5,13,46,25,3,-1,-23,-7
3,17,14,-10,-5,15,46,25,4,0,-21,-5
5,20,15,-13,-4,17,47,24,4,0,-19,-4
7,23,15,-15,-4,19,47,24,4,1,-18,-2
8,24,15,-16,-4,19,48,24,4,2,-17,-2
7,23,16,-15,-4,19,48,24,5,3,-17,-1
6,22,16,-14,-5,19,49,24,5,4,-16,-1
5,21,17,-13,-5,19,50,24,5,4,-16,0
4,21,17,-12,-5,19,52,24,6,5,-15,0
5,22,18,-14,-5,20,53,24,7,6,-13,2
6,25,19,-16,-6,21,55,25,9,8,-11,3
7,27,20,-17,-7,23,56,25,10,9,-9,4
8,28,21,-18,-7,24,57,25,10,9,-9,4
8,28,20,-18,-6,24,58,24,11,10,-9,4
8,27,20,-17,-6,23,58,22,11,10,-10,3
7,27,20,-16,-6,23,58,21,10,10,-10,3
7,26,21,-16,-7,23,58,19,10,10,-10,3
6,27,22,-16,-7,24,57,17,10,10,-10,3
7,29,22,-18,-7,25,56,14,9,9,-9,4
9,30,22,-19,-6,25,54,12,9,9,-9,4
10,32,22,-20,-6,26,51,10,9,10,-7,5
10,33,23,-21,-7,27,48,9,9,11,-6,6
11,34,24,-22,-7,28,45,8,9,12,-5,7
11,35,24,-23,-6,29,43,8,10,14,-4,8
12,36,25,-24,-6,30,41,8,11,15,-3,10
12,37,25,-25,-6,30,40,8,13,16,-1,11
14,39,25,-26,-5,31,40,9,14,17,0,12
16,41,25,-28,-4,32,39,9,15,18,1,12
17,42,25,-29,-4,33,39,9,15,18,1,12
18,43,25,-30,-4,33,39,10,16,19,2,13
17,43,26,-29,-4,33,39,10,17,20,3,14
17,42,26,-29,-4,33,39,10,17,21,4,14
18,42,25,-30,-3,33,38,10,18,21,4,14
18,42,25,-30,-3,33,38,10,18,22,4,14
18,43,25,-30,-3,33,39,11,19,22,4,14
19,43,24,-31,-2,33,39,11,20,22,5,15
20,43,24,-31,-2,32,39,11,20,22,5,15
19,43,25,-31,-3,33,39,11,21,22,5,15
18,43,25,-30,-3,33,38,12,21,22,5,16
18,42,24,-30,-3,33,38,12,21,22,5,16
18,42,24,-30,-3,33,37,12,21,23,5,16
18,42,24,-30,-3,33,37,12,22,23,6,16
19,43,23,-31,-2,33,37,12,22,23,6,16
21,44,23,-32,-1,33,37,12,22,23,7,17
22,45,23,-33,-1,33,37,12,22,24,7,17
22,45,23,-33,0,33,37,12,22,24,7,17
22,46,23,-33,0,33,37,12,22,24,7,17
21,45,24,-33,-1,34,37,12,23,24,8,17
21,45,24,-33,-1,34,36,11,23,24,8,17
22,45,23,-34,0,34,36,11,23,24,8,17
23,45,23,-34,0,34,36,11,23,24,8,17
23,46,24,-35,0,35,36,11,23,24,9,18
24,47,23,-35,0,35,35,11,23,24,9,18
24,47,23,-35,0,34,35,11,23,23,9,18
24,47,23,-35,0,34,34,11,23,23,9,18
24,46,22,-35,1,34,34,11,23,23,9,18
