leadI,leadII,leadIII,leadaVR,leadaVL,leadaVF,leadV1,leadV2,leadV3,leadV4,leadV5,leadV6
5,0,-5,-2,5,-2,3,0,-8,-10,-8,-2
12,0,-12,-7,12,-6,9,-2,-24,-28,-23,-5
16,1,-14,-9,15,-6,13,-6,-36,-39,-32,-8
17,2,-14,-10,15,-6,16,-9,-44,-46,-37,-9
16,3,-13,-10,14,-5,18,-12,-49,-49,-39,-9
15,4,-10,-10,12,-3,19,-14,-51,-49,-39,-9
13,6,-6,-10,10,0,20,-16,-52,-47,-38,-9
11,9,-2,-10,7,3,20,-18,-51,-44,-36,-8
10,11,2,-10,4,6,20,-19,-49,-39,-32,-6
8,12,4,-10,2,8,20,-20,-47,-34,-28,-4
6,12,6,-9,0,9,19,-21,-45,-31,-25,-3
5,13,9,-9,-2,11,18,-21,-42,-28,-22,-1
4,16,11,-10,-3,13,17,-21,-39,-25,-19,0
5,19,13,-12,-4,16,16,-21,-34,-20,-15,3
6,21,15,-14,-4,18,13,-19,-28,-15,-10,6
7,23,16,-15,-4,19,11,-16,-21,-9,-6,8
7,25,18,-16,-5,21,11,-13,-14,-3,-1,11
7,26,19,-17,-6,23,10,-10,-6,3,4,14
9,29,20,-19,-5,25,9,-7,1,10,9,18
12,33,21,-22,-5,27,9,-4,8,16,15,21
13,35,22,-24,-5,29,8,-1,14,22,19,24
13,37,24,-25,-5,30,8,0,19,27,23,27
14,39,25,-27,-5,32,7,2,23,31,27,29
15,41,26,-28,-5,33,7,3,27,33,29,30
16,42,27,-29,-5,34,7,4,31,35,31,30
16,43,27,-29,-5,35,7,5,34,36,31,31
16,43,27,-29,-5,34,7,6,36,37,32,31
16,42,26,-29,-5,34,7,7,38,39,33,32
17,42,25,-30,-4,33,8,8,40,40,35,32
18,42,24,-30,-3,33,9,10,42,42,37,33
18,42,24,-30,-2,32,8,10,43,43,38,34
18,41,23,-30,-2,32,8,11,43,44,39,34
19,42,23,-30,-2,32,9,11,44,45,40,34
19,42,23,-30,-2,32,9,11,44,45,41,34
18,41,23,-29,-2,31,8,10,43,45,41,33
17,40,22,-29,-2,31,9,10,43,45,42,32
17,40,22,-28,-3,31,10,11,44,45,43,30
16,39,23,-27,-3,30,10,11,45,44,43,29
15,38,22,-27,-3,30,11,12,45,43,43,29
16,38,21,-27,-2,29,11,12,45,42,43,29
18,38,20,-28,-1,29,11,12,45,42,43,29
18,38,19,-28,-1,28,11,12,45,41,44,30
17,37,19,-27,-1,28,11,12,45,41,45,31
17,37,19,-27,-1,28,11,11,45,41,46,32
17,37,20,-27,-2,28,10,11,45,42,47,33
15,36,21,-25,-3,28,10,10,45,43,49,34
13,36,22,-25,-4,29,10,10,45,45,50,35
13,37,23,-25,-4,30,10,10,45,46,51,36
14,38,23,-26,-5,31,9,10,45,46,52,36
14,38,24,-26,-5,31,9,10,45,45,52,36
14,38,23,-26,-5,31,8,9,45,43,51,36
14,37,23,-25,-4,30,8,9,44,41,50,37
14,35,22,-24,-3,28,8,9,43,40,50,37
14,34,20,-24,-2,27,8,8,43,39,49,37
14,34,20,-24,-2,26,8,8,43,39,49,37
14,34,20,-24,-2,26,8,8,42,38,49,37
14,33,19,-23,-3,26,7,8,42,38,50,37
14,33,19,-23,-3,26,6,7,42,39,51,37
14,33,19,-23,-3,26,4,7,42,41,52,38
14,33,20,-23,-3,26,3,6,42,41,52,38
14,34,21,-23,-3,27,3,5,42,41,52,37
13,34,21,-24,-3,28,3,5,42,39,50,35
12,34,21,-23,-4,27,3,5,42,38,49,33
11,32,20,-22,-4,26,2,6,42,37,48,31
11,31,19,-21,-4,25,2,6,42,36,48,30
11,30,18,-20,-4,24,2,5,41,35,47,30
11,30,18,-20,-4,24,1,5,41,34,47,29
12,30,18,-20,-4,24,0,5,41,34,47,29
12,30,18,-20,-3,24,-1,5,41,35,48,29
12,30,18,-21,-3,24,-1,5,41,37,49,29
12,30,18,-21,-3,24,-2,4,41,39,51,28
12,31,19,-21,-4,24,-3,4,40,40,52,27
11,31,19,-21,-4,25,-4,4,40,39,52,26
11,31,20,-21,-5,25,-4,4,39,37,52,25
10,31,21,-20,-5,25,-4,4,39,36,51,23
10,30,20,-20,-5,25,-4,4,39,35,50,21
9,28,20,-18,-5,24,-4,4,38,33,49,19
8,27,19,-17,-5,23,-4,4,38,33,48,18
9,26,18,-17,-4,22,-3,4,38,32,48,18
10,27,18,-18,-3,22,-3,4,38,33,49,18
11,27,17,-18,-3,22,-3,4,38,33,49,18
10,26,16,-18,-2,21,-3,3,37,33,49,17
10,27,16,-18,-2,21,-4,3,37,34,50,17
11,28,17,-20,-3,22,-4,2,37,36,52,17
10,30,19,-20,-4,24,-5,1,37,37,53,16
10,31,21,-21,-5,26,-5,1,37,37,53,16
10,32,23,-21,-6,27,-5,1,36,36,52,15
9,31,23,-20,-6,26,-5,0,36,34,50,13
8,29,22,-18,-6,24,-5,0,35,33,48,10
7,27,21,-17,-6,23,-4,0,35,32,47,9
7,26,20,-17,-6,22,-3,0,35,31,46,8
8,26,19,-17,-6,22,-2,0,35,30,46,8
8,26,19,-18,-5,22,-1,0,35,30,46,8
8,26,18,-18,-5,21,-1,0,34,30,46,9
8,25,17,-17,-4,21,-1,1,34,30,46,9
9,25,16,-17,-4,20,-1,1,34,31,46,10
9,25,16,-17,-3,20,-2,0,34,31,46,10
10,26,16,-18,-3,21,-3,0,33,32,47,10
11,27,17,-19,-3,22,-4,0,33,34,48,10
11,29,18,-21,-4,24,-4,0,33,34,48,10
11,31,19,-21,-4,25,-4,0,33,32,46,9
11,30,19,-21,-4,24,-4,0,32,30,43,8
9,29,19,-19,-5,23,-4,0,32,28,41,6
9,27,18,-18,-5,23,-3,0,32,27,40,5
9,27,18,-18,-4,22,-3,0,32,26,39,4
10,27,17,-18,-4,22,-2,0,32,26,38,5
11,27,17,-19,-3,22,-2,0,32,25,38,5
10,26,16,-18,-3,21,-2,0,32,25,38,6
9,25,16,-17,-4,21,-3,0,31,25,38,6
9,26,17,-17,-4,21,-3,0,31,26,38,7
10,28,18,-19,-4,23,-4,0,32,27,40,8
11,31,19,-21,-4,25,-5,0,32,29,41,9
12,33,20,-23,-4,27,-6,-1,31,30,41,10
12,34,21,-23,-4,28,-7,-1,31,31,42,10
12,34,22,-22,-5,28,-7,-1,30,31,41,11
11,33,22,-22,-5,27,-7,-1,30,30,40,10
10,32,22,-21,-6,27,-7,-1,30,28,39,10
10,32,22,-21,-5,27,-7,-1,30,26,38,10
11,32,21,-22,-5,27,-7,-1,30,27,38,10
11,32,21,-22,-5,27,-7,0,31,28,38,12
11,32,21,-22,-4,26,-7,0,31,29,39,13
12,32,20,-22,-4,26,-8,0,31,30,39,14
12,32,20,-22,-4,26,-9,-1,31,30,39,15
12,32,21,-22,-4,26,-10,-1,31,32,40,16
13,34,21,-23,-4,27,-10,-1,32,34,42,18
14,36,23,-24,-4,29,-11,-1,33,37,44,20
14,38,24,-25,-5,31,-13,-3,32,40,47,21
15,40,25,-27,-5,32,-14,-3,32,41,48,21
14,41,27,-28,-6,33,-13,-3,33,41,48,21
13,41,28,-27,-7,34,-13,-2,34,41,47,21
13,40,28,-27,-7,34,-12,-1,35,41,46,21
12,39,27,-26,-7,33,-11,0,36,41,46,20
12,38,26,-25,-7,32,-11,0,38,42,46,20
13,37,25,-25,-6,31,-11,0,39,44,47,21
13,36,24,-25,-5,30,-10,1,40,45,47,22
13,36,22,-24,-4,29,-10,1,41,47,48,23
13,35,21,-24,-3,27,-9,2,42,49,49,24
14,34,20,-24,-3,26,-9,2,43,51,49,24
14,34,20,-24,-2,26,-10,2,44,53,50,24
14,34,20,-24,-2,26,-11,2,44,54,51,24
14,34,20,-23,-3,26,-11,3,44,55,51,24
14,35,21,-24,-3,28,-10,4,45,55,52,24
15,36,22,-25,-3,29,-10,5,46,56,52,24
14,35,22,-24,-4,29,-8,5,46,56,52,23
13,35,22,-24,-4,28,-7,5,46,54,51,22
12,34,23,-23,-5,28,-7,6,47,52,49,20
11,33,22,-23,-5,27,-6,7,47,51,47,17
11,31,21,-21,-4,26,-4,8,47,49,46,15
11,29,19,-20,-4,23,-3,9,47,48,46,15
11,27,17,-19,-3,21,-3,10,46,47,45,15
10,25,15,-17,-2,19,-4,9,46,46,45,16
10,23,13,-16,-1,18,-4,9,45,46,44,16
10,22,12,-16,-1,17,-4,8,44,45,44,16
9,22,12,-15,-1,17,-5,8,43,45,44,16
8,21,13,-15,-2,17,-5,7,42,47,45,16
9,23,14,-16,-2,18,-5,7,41,49,47,16
10,25,15,-17,-2,19,-5,7,40,49,47,17
10,25,15,-17,-3,19,-5,8,39,47,46,16
9,24,15,-16,-4,19,-4,8,39,44,44,15
9,24,15,-16,-3,19,-3,8,38,42,42,14
9,23,14,-16,-3,19,-3,9,38,42,42,12
8,21,14,-15,-3,18,-3,9,37,41,41,11
7,20,13,-14,-3,16,-3,9,36,40,41,11
8,19,11,-13,-2,14,-2,10,36,39,40,12
8,18,10,-13,-1,13,-2,10,36,39,40,13
7,16,10,-12,-1,12,-2,10,35,38,39,13
7,16,9,-12,-1,12,-2,9,34,38,39,14
8,16,8,-12,0,12,-3,9,34,38,39,14
8,16,8,-12,0,12,-4,9,34,39,40,14
7,16,9,-12,0,12,-5,8,34,40,41,14
6,16,9,-11,-1,12,-5,8,33,41,41,14
5,16,10,-10,-2,12,-5,8,33,40,41,14
6,16,10,-11,-2,13,-4,9,33,38,40,14
7,17,10,-11,-2,13,-4,9,33,37,40,13
7,16,9,-11,-2,13,-4,8,32,36,40,12
6,15,9,-10,-2,12,-4,8,31,35,39,11
6,15,10,-10,-2,13,-4,9,31,35,39,10
6,16,10,-10,-1,12,-4,10,32,34,38,9
6,15,9,-10,-1,11,-3,10,32,33,38,9
6,13,7,-10,0,9,-3,10,31,33,37,8
6,12,5,-9,0,8,-3,10,31,32,37,8
5,11,5,-8,0,7,-3,9,30,32,37,7
5,10,6,-8,-1,8,-4,9,30,33,37,7
5,10,7,-8,-1,8,-4,9,29,34,37,6
5,11,7,-8,-1,9,-5,9,29,35,38,6
5,11,8,-8,-2,9,-5,8,28,37,39,6
5,13,9,-8,-2,10,-4,9,28,38,39,5
5,14,9,-9,-3,11,-4,9,28,36,38,4
5,14,9,-9,-3,11,-4,10,28,33,36,2
5,14,9,-9,-3,11,-3,11,29,32,35,0
5,13,8,-9,-3,11,-2,12,29,31,35,0
4,11,8,-7,-3,10,-2,12,29,31,34,0
2,9,8,-5,-3,8,-1,13,30,30,33,0
2,8,7,-4,-3,7,-1,13,30,30,33,0
3,8,6,-5,-1,7,0,12,30,31,34,0
4,9,5,-6,0,6,0,12,29,31,34,1
5,9,4,-7,0,6,-1,12,29,32,34,1
6,9,4,-7,0,7,-2,12,28,33,34,2
6,10,5,-8,0,8,-2,11,28,36,36,3
6,12,7,-9,-1,9,-2,11,28,38,37,3
6,14,9,-9,-1,11,-2,11,28,37,37,3
5,14,10,-9,-3,12,-2,10,28,34,34,1
4,15,11,-8,-4,12,-2,10,28,31,31,0
3,14,11,-8,-4,12,-2,10,28,30,29,-2
3,13,9,-8,-3,10,-1,11,29,31,29,-3
3,12,8,-7,-3,10,-1,11,29,32,29,-4
3,10,7,-7,-3,9,0,11,29,32,28,-3
4,9,5,-7,-2,8,0,11,29,31,27,-3
4,8,4,-7,-1,7,1,10,29,30,27,-3
4,8,4,-6,0,6,0,10,29,30,27,-2
4,8,4,-6,0,6,0,10,29,30,27,-2
4,7,3,-5,0,5,0,10,29,30,27,-2
4,7,3,-5,0,5,-1,10,29,31,27,-2
5,9,3,-7,0,6,-2,10,29,32,29,-2
6,11,4,-8,0,8,-3,9,29,34,30,-1
5,12,7,-9,-1,9,-4,8,28,35,31,-1
4,13,9,-9,-2,11,-4,8,28,35,32,-1
3,14,11,-9,-3,12,-5,8,28,34,31,-1
3,15,12,-9,-4,12,-4,8,29,33,30,-1
3,14,11,-8,-4,12,-3,9,29,32,29,-2
2,12,10,-6,-4,10,-3,9,29,31,28,-2
3,11,9,-6,-3,10,-3,9,29,31,28,-2
4,11,8,-7,-3,9,-3,9,29,31,28,-2
4,10,7,-7,-2,8,-2,9,29,30,27,-2
2,7,5,-5,-1,6,-2,9,29,30,27,-2
1,4,4,-3,-1,4,-3,8,28,31,27,-2
1,4,3,-2,-1,3,-3,8,28,32,28,-2
3,5,3,-4,0,3,-4,9,28,33,28,-1
4,7,3,-5,0,4,-4,9,28,33,29,0
4,8,4,-5,0,6,-5,8,28,34,30,0
5,10,5,-7,-1,8,-5,8,28,35,32,1
6,13,7,-10,-1,10,-5,8,28,36,34,2
6,15,9,-11,-2,12,-5,8,28,35,33,1
5,15,11,-10,-3,13,-5,8,27,34,31,0
4,15,11,-9,-3,13,-4,8,27,32,30,-1
3,13,10,-8,-2,11,-3,9,27,31,29,-1
3,11,8,-7,-2,9,-3,9,28,31,29,-1
4,10,6,-7,-1,8,-2,9,28,30,29,-1
5,9,4,-7,0,7,-2,10,28,30,29,0
5,8,2,-6,0,5,-1,10,27,30,30,0
5,6,1,-6,1,4,-1,10,27,30,30,0
5,6,1,-6,1,4,0,10,27,31,31,2
5,7,2,-6,1,4,-1,9,26,32,32,3
5,7,3,-6,1,5,-2,9,26,33,33,3
6,9,3,-7,1,6,-4,8,25,34,34,4
6,10,4,-7,1,7,-5,8,25,35,34,5
4,10,6,-7,-1,8,-5,8,25,34,34,5
4,11,7,-7,-2,9,-5,8,24,33,34,4
4,11,7,-8,-2,9,-4,7,24,32,33,3
3,10,7,-7,-2,8,-4,8,24,30,33,3
2,10,7,-6,-2,8,-3,8,24,29,32,3
2,9,7,-5,-2,8,-3,8,24,28,31,3
2,9,7,-5,-2,8,-2,8,24,27,30,3
2,8,7,-5,-2,8,-2,8,24,27,30,5
2,7,7,-5,-2,7,-2,8,24,27,31,6
2,6,6,-4,-2,6,-2,8,24,28,31,7
2,6,5,-4,-1,5,-2,7,23,29,32,8
2,6,4,-5,-1,5,-3,7,23,28,32,8
3,6,4,-5,0,5,-4,6,23,29,31,8
3,7,4,-5,0,5,-5,6,23,30,32,8
3,7,4,-5,0,5,-6,6,22,31,32,8
4,8,4,-6,0,6,-7,5,21,31,33,8
5,9,5,-7,0,6,-8,4,20,30,32,8
4,9,6,-7,-1,7,-8,4,20,28,31,7
2,9,7,-6,-2,7,-7,4,20,28,29,6
