leadI,leadII,leadIII,leadaVR,leadaVL,leadaVF,leadV1,leadV2,leadV3,leadV4,leadV5,leadV6
0,0,0,0,0,0,0,1,1,0,48,-7
2,1,-1,-1,2,0,2,4,4,0,126,-15
3,2,-1,-2,2,0,3,6,7,5,173,-9
3,3,-1,-3,2,1,4,8,8,12,201,10
3,3,-1,-3,2,1,5,8,9,17,218,33
3,3,-1,-3,2,1,5,9,10,18,229,49
2,3,0,-2,2,1,5,9,10,15,235,50
0,2,0,-1,0,1,5,9,10,9,238,35
-2,0,1,1,-1,1,4,9,9,4,240,12
-2,0,1,1,-1,1,4,8,8,1,240,-5
0,0,0,0,0,0,4,7,7,2,241,-10
2,1,-2,-1,2,0,4,7,7,6,242,2
1,1,0,-1,1,1,4,8,7,12,243,24
-1,1,2,0,-2,2,5,8,8,15,245,43
-1,1,1,1,-2,1,5,8,8,14,245,49
-1,0,0,1,-1,0,5,7,8,8,245,38
-1,0,0,1,0,0,5,6,7,2,245,17
0,0,0,0,0,0,5,6,7,-1,245,-2
0,0,0,0,0,0,5,6,6,-1,246,-11
0,0,0,0,0,0,5,6,6,2,246,-4
0,0,0,1,0,0,5,6,5,7,247,15
0,-1,0,0,0,0,5,5,5,10,247,36
0,0,0,0,0,0,5,5,5,10,248,47
0,0,0,0,0,1,5,5,5,6,249,42
0,1,0,0,-1,1,6,5,5,1,249,25
0,1,0,0,0,0,5,5,5,-3,249,4
0,1,0,0,0,1,5,5,4,-4,249,-9
0,1,2,0,-1,2,6,5,5,-1,250,-7
0,1,3,0,-2,2,6,5,5,3,251,9
0,1,3,0,-2,2,6,5,4,6,251,30
0,1,2,0,-1,2,6,4,4,6,252,45
0,1,2,0,-1,1,5,3,3,2,252,45
0,1,1,0,-1,1,5,2,3,-3,252,31
0,1,0,0,0,1,5,2,3,-8,252,11
0,1,1,0,-1,1,5,2,3,-9,253,-4
0,2,1,0,-1,2,5,2,3,-8,254,-7
0,1,1,0,0,2,5,1,2,-4,254,4
0,1,2,0,-1,2,5,1,2,0,255,25
-1,2,3,0,-2,3,5,1,2,1,256,43
0,2,4,-1,-2,3,5,1,2,0,257,49
0,3,4,-1,-2,3,5,0,1,-4,257,39
0,3,3,0,-2,3,5,0,0,-9,257,20
0,2,3,0,-2,2,5,-1,0,-11,258,2
0,2,2,0,-1,2,4,-1,0,-12,258,-6
0,2,2,0,-1,2,4,-1,0,-9,258,0
0,2,3,0,-2,3,4,-2,0,-5,259,18
0,2,3,0,-1,2,4,-2,0,-3,259,37
1,2,1,0,0,1,3,-3,-1,-4,259,46
0,1,1,0,0,1,3,-4,-1,-8,259,42
0,1,1,0,-1,1,3,-4,-2,-14,260,24
0,1,1,0,-1,1,3,-5,-2,-19,260,4
0,1,1,0,0,1,3,-5,-3,-22,260,-8
0,1,1,0,0,1,3,-6,-3,-21,261,-7
-2,1,4,0,-3,3,3,-5,-2,-17,262,9
-6,1,8,2,-7,5,5,-4,-1,-15,264,30
-7,2,9,3,-8,6,5,-4,-1,-14,266,44
-6,2,8,3,-7,5,5,-4,-2,-18,266,44
-5,2,7,3,-6,4,5,-6,-3,-23,266,30
-5,1,6,3,-6,4,4,-6,-3,-27,266,10
-5,1,6,3,-6,4,4,-7,-4,-29,267,-5
-5,1,6,3,-6,3,3,-8,-5,-29,267,-10
-5,0,5,3,-5,3,3,-9,-6,-27,267,0
-5,0,5,3,-5,2,2,-9,-6,-25,267,19
-4,0,4,2,-4,2,2,-10,-7,-23,268,36
-4,-1,4,3,-4,1,2,-10,-7,-24,268,41
-5,-1,4,4,-4,1,2,-10,-7,-27,269,32
-5,0,4,3,-4,2,3,-10,-7,-30,270,13
-4,1,4,2,-4,3,3,-10,-7,-32,271,-3
-4,0,4,3,-4,2,3,-10,-7,-33,271,-12
-5,-1,3,3,-4,2,2,-11,-8,-31,271,-7
-5,-2,3,4,-4,1,2,-11,-8,-28,271,10
-5,-2,3,4,-5,1,2,-11,-8,-26,272,29
-5,-1,3,3,-5,2,2,-11,-8,-25,273,39
-4,-1,3,3,-4,2,3,-11,-8,-27,274,36
-4,0,3,3,-4,2,3,-11,-8,-29,275,20
-4,0,3,3,-4,2,3,-11,-8,-31,276,1
-4,0,3,3,-4,2,3,-11,-8,-32,277,-10
-4,0,4,2,-4,2,3,-11,-8,-31,277,-10
-4,0,4,2,-4,2,2,-11,-8,-28,278,4
-5,0,5,3,-5,2,2,-11,-8,-26,279,23
-5,-1,4,3,-5,2,2,-11,-8,-25,280,36
-4,-1,3,3,-4,1,2,-11,-8,-26,280,38
-4,-1,3,3,-3,1,2,-12,-8,-29,281,25
-3,-1,2,3,-2,1,2,-12,-8,-31,282,6
-3,-1,2,3,-2,1,2,-12,-7,-32,283,-8
-4,-1,3,3,-4,1,2,-11,-7,-31,284,-12
-4,-1,3,3,-4,1,3,-11,-7,-29,285,-2
-3,-1,3,2,-3,1,3,-10,-7,-27,286,16
-5,-1,4,3,-5,2,3,-10,-6,-25,288,32
-7,-1,6,5,-7,3,4,-9,-6,-25,289,38
-8,-1,7,5,-7,4,4,-9,-5,-27,290,30
-7,-1,6,5,-6,3,4,-9,-6,-29,291,12
-5,-1,4,4,-4,2,4,-9,-6,-30,292,-4
-4,-1,4,3,-4,2,4,-9,-6,-30,293,-12
-3,-1,3,3,-3,2,3,-9,-6,-28,294,-8
-3,0,3,2,-3,2,3,-10,-6,-25,295,8
-3,0,4,2,-4,2,3,-10,-6,-24,296,25
-3,0,4,2,-4,3,3,-10,-6,-23,297,34
-3,0,4,2,-4,3,3,-10,-6,-23,298,31
-4,0,5,2,-5,3,3,-9,-6,-23,299,16
-5,0,5,3,-5,3,3,-9,-5,-23,300,-1
-4,0,4,3,-4,3,3,-9,-5,-23,301,-12
-4,0,4,2,-4,3,3,-9,-5,-20,302,-13
-3,0,3,2,-3,2,3,-9,-5,-14,304,0
-3,0,3,2,-3,2,3,-9,-5,-9,305,18
-3,0,3,3,-3,1,3,-9,-4,-5,306,31
-4,-1,3,4,-3,1,3,-9,-4,-4,307,33
-4,-2,3,4,-3,1,3,-9,-4,-4,308,21
-4,-1,3,3,-4,2,4,-8,-4,-3,309,4
-4,0,4,2,-4,2,4,-8,-4,-3,310,-9
-4,0,4,2,-4,2,4,-8,-4,-3,311,-14
-4,0,4,2,-4,2,4,-8,-4,-1,313,-5
-4,0,4,2,-4,2,4,-8,-4,0,314,12
-4,0,4,2,-4,2,4,-8,-4,1,315,27
-4,0,4,2,-4,2,4,-8,-4,2,316,33
-4,0,4,2,-4,2,4,-8,-4,1,316,26
-3,0,3,2,-3,2,4,-8,-4,0,317,9
-3,-1,3,2,-2,1,3,-8,-4,0,317,-6
-2,-1,1,2,-1,1,3,-8,-4,-1,318,-14
-2,-1,1,1,-1,0,2,-9,-4,0,319,-10
-2,-1,1,1,-1,0,2,-9,-4,1,320,6
-2,-1,2,2,-1,0,2,-8,-4,2,321,22
-4,-2,3,3,-3,1,3,-8,-4,3,323,32
-5,-2,5,4,-5,2,4,-7,-3,3,324,30
-5,-1,5,4,-5,2,4,-7,-3,3,326,16
-5,-1,5,3,-5,2,4,-6,-3,3,327,0
-6,-1,5,3,-6,2,5,-6,-3,3,328,-10
-6,-1,6,4,-6,2,5,-6,-3,3,329,-11
-6,-1,6,4,-6,2,5,-6,-3,4,330,1
-6,-1,5,4,-5,2,4,-7,-3,4,331,18
-5,-1,4,4,-4,2,4,-7,-3,4,331,29
-5,-2,3,4,-4,1,4,-8,-3,3,331,31
-5,-2,3,4,-4,1,4,-8,-3,3,332,20
-7,-3,4,4,-5,1,4,-8,-3,3,332,4
-7,-3,4,4,-6,1,3,-8,-3,3,333,-8
-6,-3,3,4,-5,0,3,-8,-4,3,332,-13
-4,-2,3,3,-4,1,3,-8,-4,4,328,-5
-3,-1,2,2,-3,1,3,-8,-4,4,317,11
-3,-2,2,2,-3,1,3,-8,-4,4,316,24
-4,-2,2,3,-3,0,3,-8,-4,4,336,29
-5,-3,2,3,-4,0,3,-8,-4,4,129,23
-5,-3,2,3,-4,0,3,-8,-4,4,-446,7
-5,-3,2,4,-4,0,3,-8,-4,4,-1004,-7
-5,-2,3,4,-4,1,3,-8,-4,4,-1313,-14
-5,-2,3,4,-4,1,3,-8,-4,4,-1488,-11
-5,-1,3,4,-4,1,3,-8,-4,3,-1594,3
-6,-2,3,4,-5,1,3,-8,-4,3,-1658,18
-6,-2,3,5,-5,1,3,-8,-4,3,-1694,26
-6,-2,3,5,-5,1,3,-8,-4,3,-1715,25
-7,-4,3,6,-5,0,2,-8,-5,3,-1726,12
-8,-5,3,6,-5,0,1,-9,-6,2,-1730,-3
-7,-3,3,5,-5,0,2,-9,-5,2,-1732,-12
-6,-2,3,4,-5,1,2,-8,-5,3,-1732,-12
-7,-3,3,5,-5,0,2,-8,-5,2,-1736,0
-6,-3,3,5,-5,0,3,-8,-4,3,-1729,16
-4,-1,3,3,-4,1,3,-7,-4,3,-1687,27
-2,-1,2,2,-3,1,3,-7,-4,3,-1121,30
-2,-1,2,2,-3,1,3,-8,-4,3,-661,19
-3,-1,2,2,-3,1,3,-8,-4,3,-803,3
-4,-1,3,2,-4,1,3,-8,-4,3,-884,-8
-5,-2,2,3,-4,0,3,-8,-4,3,-916,-13
-5,-2,2,3,-4,0,3,-8,-4,3,-944,-6
-5,-2,2,4,-4,0,3,-8,-4,3,-963,9
-6,-3,2,4,-4,0,3,-8,-4,3,-977,22
-6,-3,3,4,-4,0,3,-8,-4,3,-990,28
-5,-3,2,4,-4,0,3,-8,-5,3,-1002,24
-5,-3,2,4,-3,0,3,-8,-5,3,-1015,10
-5,-3,2,4,-4,0,3,-8,-5,3,-1026,-2
-6,-3,3,4,-4,0,3,-7,-5,3,-1035,-9
-6,-2,3,4,-4,1,3,-7,-4,3,-1041,-6
-5,-1,4,3,-4,1,4,-6,-4,4,-1044,8
-5,-1,4,2,-4,2,5,-6,-3,4,-1047,23
-5,0,4,2,-4,2,5,-6,-3,5,-1051,31
-4,0,4,2,-4,2,6,-6,-3,5,-1056,31
-3,-1,4,2,-4,2,5,-6,-3,5,-1063,18
-4,-1,4,3,-5,2,5,-6,-3,5,-1071,4
-5,-1,4,3,-5,2,5,-6,-3,4,-1077,-5
-4,-1,3,2,-4,2,5,-6,-3,3,-1082,-8
-3,-1,3,2,-4,2,5,-6,-3,3,-1084,2
-4,0,5,2,-5,4,6,-5,-3,4,-1084,17
-5,1,7,1,-6,4,6,-5,-2,5,-1085,27
-4,2,7,0,-5,5,7,-4,-2,5,-1087,30
-3,2,7,0,-5,5,7,-4,-1,6,-1091,21
-2,2,6,0,-4,4,7,-4,-1,6,-1096,7
-3,2,6,0,-5,4,7,-4,-1,6,-1101,-3
-4,2,7,1,-6,4,7,-3,-1,6,-1104,-8
-5,2,7,1,-6,4,7,-3,-1,6,-1105,-1
-4,1,5,1,-5,3,7,-3,-1,6,-1106,12
-3,1,4,1,-4,2,6,-4,-2,6,-1106,23
-2,0,2,1,-2,2,5,-5,-3,5,-1107,28
-2,0,2,0,-2,2,5,-5,-3,5,-1110,23
-3,0,4,1,-3,3,5,-5,-2,6,-1114,10
-3,0,4,0,-4,3,5,-5,-2,6,-1118,-1
-1,0,2,0,-2,2,4,-5,-3,5,-1121,-8
