leadI,leadII,leadIII,leadaVR,leadaVL,leadaVF,leadV1,leadV2,leadV3,leadV4,leadV5,leadV6
0,0,0,0,0,0,0,2,10,3,2,-18
1,1,0,-1,0,1,1,6,27,8,6,-46
2,2,0,-2,0,1,2,8,37,11,8,-63
2,2,0,-2,0,1,2,9,43,13,9,-73
2,2,0,-2,0,1,2,10,46,13,10,-80
2,2,0,-2,0,1,2,10,47,14,10,-84
2,2,0,-2,0,1,2,10,48,14,11,-87
2,2,0,-2,0,1,2,10,48,13,11,-89
2,2,0,-2,0,1,1,9,47,12,10,-91
2,2,1,-2,0,1,1,9,46,11,9,-92
1,2,1,-2,0,1,0,8,45,10,8,-94
1,2,1,-2,0,1,0,7,45,9,7,-95
1,2,1,-2,0,1,0,7,44,8,7,-96
1,2,1,-2,0,1,0,6,43,7,6,-97
1,2,1,-2,0,1,-1,5,42,6,5,-98
1,2,1,-1,0,1,-1,4,40,5,4,-99
0,1,1,-1,0,1,-2,2,39,3,3,-100
0,0,1,0,-1,0,-3,1,37,2,2,-102
-1,0,1,1,-1,0,-3,0,35,0,1,-103
-1,0,1,1,-1,0,-4,0,34,0,1,-103
-1,0,1,0,-1,0,-4,-1,32,-1,0,-104
-1,0,1,1,-1,0,-5,-3,31,-3,0,-105
-2,-1,1,1,-2,0,-5,-4,30,-4,-1,-106
-2,-2,0,2,-2,0,-6,-5,28,-5,-2,-107
-2,-2,0,2,-2,0,-7,-6,27,-6,-3,-109
-2,-2,0,2,-2,0,-8,-7,25,-7,-4,-110
-3,-2,0,2,-2,-1,-8,-8,24,-8,-4,-111
-3,-3,0,3,-2,-1,-9,-9,22,-9,-4,-112
-3,-3,0,3,-2,-1,-9,-10,21,-10,-5,-113
-3,-3,0,3,-2,-1,-9,-10,20,-10,-5,-113
-3,-3,0,3,-3,-1,-9,-11,20,-11,-5,-114
-4,-3,0,4,-3,-1,-8,-11,19,-11,-6,-114
-4,-4,0,4,-3,-2,-8,-12,18,-11,-7,-113
-4,-4,0,4,-3,-2,-8,-12,17,-11,-8,-112
-4,-4,0,4,-3,-2,-8,-13,16,-12,-8,-110
-5,-4,0,4,-3,-2,-7,-13,16,-12,-9,-107
-5,-4,0,4,-3,-2,-7,-13,15,-13,-10,-102
-5,-4,0,4,-3,-2,-7,-13,15,-13,-11,-90
-5,-4,1,4,-3,-2,-6,-14,15,-14,-12,-64
-5,-3,1,4,-3,-2,-6,-14,14,-14,-12,-24
-5,-3,1,4,-4,-2,-6,-14,14,-14,-13,15
-6,-4,1,5,-4,-2,-6,-15,13,-15,-13,45
-6,-4,1,5,-4,-2,-6,-15,13,-15,-14,65
-6,-4,1,5,-4,-2,-5,-15,13,-15,-14,78
-5,-3,1,4,-4,-2,-5,-15,12,-15,-14,87
-5,-3,1,4,-4,-2,-5,-15,12,-15,-14,93
-5,-3,1,4,-4,-2,-5,-16,11,-15,-14,97
-6,-3,1,5,-4,-2,-5,-16,11,-15,-15,99
-6,-3,1,5,-4,-2,-5,-16,11,-15,-15,101
-6,-3,1,5,-4,-2,-5,-16,10,-16,-16,102
-6,-3,1,5,-4,-2,-5,-17,9,-16,-16,102
-6,-3,1,5,-3,-2,-6,-17,9,-16,-16,102
