leadI,leadII,leadIII,leadaVR,leadaVL,leadaVF,leadV1,leadV2,leadV3,leadV4,leadV5,leadV6
-2,-2,0,2,0,-1,0,0,-1,-1,-1,-1
-4,-5,0,5,-2,-3,1,-1,-2,-3,-3,-2
-6,-7,0,7,-3,-4,2,-2,-3,-5,-4,-3
-7,-9,-1,8,-3,-5,2,-1,-4,-6,-5,-4
-8,-11,-2,9,-3,-7,3,0,-4,-7,-6,-4
-8,-12,-3,10,-2,-8,4,4,-4,-7,-6,-5
-8,-13,-5,11,-2,-9,6,11,-1,-5,-6,-5
-8,-13,-5,10,-1,-9,9,23,5,-1,-3,-5
-6,-11,-5,8,-1,-8,12,36,14,6,2,-3
-4,-8,-4,6,0,-6,15,48,24,16,8,0
-1,-4,-3,2,0,-3,16,57,33,26,17,4
2,0,-2,-1,1,0,16,63,42,38,27,9
6,5,-1,-6,3,2,14,69,52,52,38,16
11,9,-2,-10,6,3,13,76,61,66,50,22
16,13,-3,-15,10,4,11,83,69,80,63,29
23,17,-5,-20,14,5,9,88,77,95,77,37
30,22,-7,-26,19,6,5,91,82,108,90,44
38,26,-11,-32,25,7,0,93,86,120,102,51
45,30,-14,-38,30,7,-5,91,86,128,112,58
51,35,-16,-43,34,8,-12,80,83,133,120,65
55,40,-15,-48,35,12,-21,56,76,134,125,71
57,46,-11,-51,34,17,-31,22,63,130,127,77
56,50,-5,-53,32,22,-40,-18,44,120,124,80
52,51,0,-51,27,24,-48,-63,18,99,112,79
46,46,1,-46,23,23,-55,-107,-13,67,89,71
37,37,0,-37,19,18,-58,-145,-48,27,58,57
28,26,-2,-27,16,11,-60,-176,-83,-15,24,42
20,14,-5,-17,13,4,-61,-202,-115,-54,-7,26
13,3,-10,-8,12,-4,-62,-221,-142,-87,-33,13
9,-8,-17,0,14,-13,-64,-232,-164,-112,-52,3
7,-18,-24,6,16,-21,-65,-236,-179,-129,-66,-6
4,-27,-31,11,18,-29,-66,-236,-189,-142,-78,-14
2,-35,-37,16,20,-36,-68,-232,-195,-150,-86,-21
1,-41,-42,20,21,-42,-71,-226,-198,-155,-92,-26
0,-45,-43,23,22,-44,-72,-218,-196,-156,-95,-30
-2,-46,-43,24,21,-45,-71,-209,-190,-153,-95,-32
-5,-46,-40,25,18,-43,-70,-197,-181,-147,-93,-33
-8,-46,-37,26,15,-42,-67,-184,-170,-139,-89,-32
-10,-44,-33,27,12,-39,-63,-170,-157,-129,-84,-31
-12,-43,-29,27,9,-36,-59,-155,-144,-118,-78,-29
-14,-41,-25,27,6,-34,-54,-138,-131,-107,-72,-27
-14,-38,-23,26,5,-31,-50,-121,-117,-97,-65,-25
-14,-36,-21,25,4,-29,-46,-104,-105,-87,-59,-23
-14,-35,-20,25,4,-28,-43,-89,-93,-78,-54,-22
