leadI,leadII,leadIII,leadaVR,leadaVL,leadaVF,leadV1,leadV2,leadV3,leadV4,leadV5,leadV6
0,0,0,0,0,0,1,0,0,-1,-2,-4
-1,0,0,1,-1,0,2,1,0,-2,-6,-10
-2,0,1,1,-1,0,3,2,0,-3,-9,-15
-2,0,1,1,-2,0,4,2,0,-3,-10,-17
-2,0,2,1,-2,1,5,3,0,-3,-11,-18
-2,1,2,1,-2,1,6,4,1,-3,-11,-19
-2,1,2,1,-2,1,7,5,2,-3,-11,-18
-2,0,2,1,-2,1,8,6,2,-3,-11,-18
-2,0,1,1,-2,0,10,6,3,-2,-10,-17
-2,-1,1,2,-2,0,11,7,3,-2,-10,-17
-2,-1,0,2,-1,-1,12,7,3,-2,-9,-17
-2,-2,0,2,-1,-1,13,7,3,-1,-9,-17
-3,-2,0,2,-1,-1,14,8,4,-1,-8,-17
-3,-2,0,3,-1,-1,15,8,4,-1,-8,-16
-3,-1,0,3,-2,-1,16,8,4,-1,-8,-17
-3,-1,1,2,-2,0,16,8,4,-1,-8,-17
-3,0,2,2,-3,1,17,8,4,0,-8,-18
-3,0,3,1,-3,2,18,8,4,0,-8,-18
-3,1,4,1,-4,3,19,8,5,0,-8,-18
-4,1,5,1,-5,4,20,10,6,0,-8,-19
-4,2,6,1,-6,4,23,15,10,2,-8,-19
-4,2,6,1,-6,4,27,23,17,5,-8,-20
-4,2,7,0,-6,4,31,34,28,12,-5,-19
-3,4,7,0,-5,5,34,49,45,25,1,-15
-1,5,6,-2,-4,5,37,67,66,42,12,-8
1,6,5,-3,-2,5,39,79,85,60,24,0
3,7,3,-5,0,5,38,77,96,76,37,8
7,7,1,-7,3,4,33,64,98,88,50,19
12,9,-2,-11,7,4,25,43,93,100,65,31
18,12,-5,-16,12,4,15,21,87,112,81,45
25,17,-8,-21,16,4,2,-3,80,125,100,60
33,22,-11,-28,22,5,-14,-31,72,143,124,79
42,29,-13,-35,27,7,-37,-61,65,164,153,102
51,35,-16,-43,33,8,-63,-92,57,186,181,126
59,40,-19,-49,39,9,-92,-122,49,207,208,149
67,44,-23,-55,44,10,-119,-147,42,226,233,170
74,48,-25,-61,49,11,-142,-169,34,240,253,188
78,52,-26,-65,51,13,-162,-188,20,243,263,200
80,55,-25,-67,52,15,-178,-207,0,231,259,203
79,56,-22,-67,50,17,-190,-224,-27,204,240,195
73,55,-18,-64,45,18,-195,-239,-60,162,205,175
63,50,-13,-56,37,17,-195,-255,-99,103,153,143
51,41,-10,-46,30,15,-190,-269,-141,34,91,102
40,31,-8,-35,24,11,-184,-278,-181,-36,28,60
31,23,-7,-27,18,9,-176,-279,-213,-99,-26,23
23,19,-2,-21,12,9,-165,-270,-230,-144,-64,-2
16,19,4,-17,6,12,-150,-250,-229,-165,-85,-18
10,19,9,-15,0,14,-133,-223,-213,-165,-92,-26
6,18,12,-12,-3,15,-114,-192,-190,-153,-90,-30
3,17,13,-10,-6,14,-95,-160,-163,-136,-84,-32
0,14,12,-7,-7,12,-76,-129,-135,-117,-76,-33
-1,9,10,-3,-6,9,-59,-100,-109,-98,-68,-33
-3,3,7,0,-5,5,-44,-75,-86,-82,-61,-33
-4,0,4,2,-5,3,-32,-55,-67,-67,-54,-33
-6,-3,3,4,-5,1,-22,-39,-52,-56,-48,-31
-6,-4,2,5,-4,0,-14,-26,-40,-46,-42,-30
-6,-4,1,5,-4,-1,-9,-17,-31,-39,-38,-28
-6,-4,1,5,-4,-1,-5,-10,-24,-34,-35,-27
-6,-4,1,5,-4,-1,-2,-5,-20,-30,-32,-26
-6,-4,1,5,-4,-1,0,-1,-16,-28,-31,-24
-6,-4,1,5,-4,-1,2,2,-13,-26,-30,-24
-6,-5,1,6,-4,-2,5,5,-10,-24,-29,-23
-6,-6,1,6,-4,-2,7,7,-8,-22,-27,-22
-6,-6,0,6,-4,-3,9,9,-6,-21,-26,-21
-6,-7,0,6,-4,-4,10,11,-5,-20,-25,-21
-7,-7,0,7,-4,-4,11,12,-4,-19,-24,-21
-7,-6,0,7,-4,-3,11,13,-3,-18,-24,-21
-7,-6,0,7,-4,-3,11,14,-3,-18,-24,-21
-7,-6,0,7,-4,-3,12,15,-2,-18,-23,-21
-6,-6,0,6,-3,-2,13,15,0,-17,-23,-20
-6,-5,0,6,-3,-2,14,16,1,-16,-22,-20
-6,-5,1,6,-3,-2,15,17,2,-16,-22,-19
-6,-5,1,6,-3,-2,17,18,2,-15,-22,-19
-6,-5,1,6,-3,-2,18,18,3,-15,-22,-19
-6,-5,0,6,-3,-2,19,19,3,-15,-22,-19
-6,-5,1,6,-4,-2,19,19,3,-15,-22,-19
-6,-4,2,5,-4,-1,20,19,3,-15,-23,-19
-6,-3,3,5,-5,0,20,19,4,-15,-23,-20
-6,-2,4,4,-5,1,21,20,4,-15,-24,-20
-6,-1,5,4,-6,2,22,21,5,-15,-24,-20
-6,-1,5,4,-6,2,23,22,5,-14,-23,-20
-6,-1,5,4,-6,1,24,22,5,-14,-22,-18
-6,-2,4,4,-6,0,25,23,6,-13,-21,-17
-6,-4,3,4,-5,-1,27,24,6,-13,-20,-15
-6,-5,2,5,-5,-2,28,25,7,-12,-19,-14
-7,-6,1,6,-4,-3,30,26,7,-12,-19,-14
-7,-7,0,6,-4,-3,31,26,8,-12,-18,-14
-7,-6,1,6,-4,-3,31,27,8,-12,-18,-14
-7,-6,1,6,-4,-2,32,27,8,-12,-19,-15
-7,-5,2,6,-4,-2,33,27,8,-13,-20,-16
-7,-5,2,6,-5,-1,34,28,8,-13,-20,-16
-8,-5,3,6,-5,-1,35,28,8,-13,-21,-17
-8,-5,3,6,-6,-1,36,29,9,-13,-21,-17
-8,-4,4,6,-6,0,37,29,9,-14,-21,-18
-8,-4,4,6,-7,0,38,30,10,-14,-21,-18
-8,-4,4,6,-7,0,38,30,10,-14,-21,-19
