leadI,leadII,leadIII,leadaVR,leadaVL,leadaVF,leadV1,leadV2,leadV3,leadV4,leadV5,leadV6
0,-1,-1,1,0,-1,-1,-1,-2,11,-4,-1
0,-3,-3,1,1,-3,-4,-4,-6,28,-10,-2
1,-3,-4,1,2,-4,-5,-5,-8,39,-13,-3
0,-4,-4,2,2,-4,-6,-6,-10,45,-15,-4
-1,-6,-5,4,2,-5,-7,-8,-11,47,-17,-5
-2,-8,-5,5,1,-6,-8,-9,-13,49,-19,-6
-2,-7,-5,5,1,-6,-9,-10,-13,50,-20,-6
-1,-7,-6,4,2,-6,-9,-10,-13,50,-20,-6
0,-7,-7,3,3,-7,-9,-11,-14,50,-21,-6
2,-6,-8,2,4,-7,-9,-11,-14,50,-21,-7
3,-5,-8,1,5,-7,-8,-10,-13,50,-20,-7
2,-6,-8,2,5,-7,-8,-10,-13,49,-20,-7
0,-8,-8,3,4,-8,-9,-11,-14,47,-21,-8
0,-8,-8,4,4,-8,-9,-12,-15,46,-22,-9
0,-7,-7,4,3,-7,-9,-12,-14,47,-22,-9
0,-4,-5,2,3,-5,-9,-12,-13,48,-21,-8
0,-3,-4,1,2,-3,-9,-12,-13,48,-20,-7
0,-2,-4,1,2,-3,-8,-12,-12,48,-20,-7
0,-2,-3,1,1,-3,-7,-11,-12,48,-19,-7
0,-2,-2,1,1,-3,-7,-11,-11,48,-19,-7
0,-2,-2,1,1,-3,-7,-12,-11,48,-19,-7
0,-3,-3,1,1,-3,-7,-12,-11,47,-19,-7
0,-3,-3,1,2,-3,-6,-12,-11,47,-18,-6
0,-4,-4,2,2,-4,-6,-12,-11,47,-18,-6
0,-5,-4,2,2,-4,-7,-13,-12,46,-19,-7
0,-6,-5,3,2,-5,-7,-13,-13,44,-19,-8
0,-7,-5,4,2,-6,-7,-13,-13,43,-20,-9
0,-6,-5,3,2,-6,-6,-13,-13,43,-20,-9
0,-6,-6,3,3,-6,-6,-13,-13,42,-20,-10
1,-7,-7,3,4,-7,-7,-14,-14,42,-21,-11
1,-8,-9,3,5,-8,-8,-15,-15,41,-22,-12
0,-10,-10,5,4,-9,-9,-16,-15,39,-23,-13
-1,-11,-10,6,4,-10,-10,-16,-16,38,-24,-14
0,-10,-9,5,4,-9,-9,-15,-16,37,-24,-15
1,-8,-9,4,4,-8,-8,-12,-16,37,-23,-14
1,-9,-9,4,5,-9,-9,-11,-16,37,-23,-14
1,-10,-10,4,5,-10,-9,-10,-16,36,-23,-14
0,-10,-10,5,5,-10,-9,-10,-16,36,-23,-14
0,-11,-10,5,5,-10,-9,-9,-15,36,-22,-13
0,-11,-10,5,5,-10,-8,-8,-14,37,-22,-13
0,-10,-9,4,5,-9,-8,-7,-14,37,-21,-13
0,-9,-9,4,5,-9,-7,-7,-14,37,-21,-13
0,-9,-9,5,5,-9,-7,-7,-14,36,-21,-13
0,-10,-9,5,5,-9,-7,-7,-14,36,-21,-13
