leadI,leadII,leadIII,leadaVR,leadaVL,leadaVF,leadV1,leadV2,leadV3,leadV4,leadV5,leadV6
-1,0,1,0,-1,0,-1,-4,-4,-2,-3,-3
-3,-1,2,1,-3,1,-3,-10,-10,-4,-7,-7
-4,-1,2,1,-3,1,-2,-10,-11,-4,-8,-9
-4,-2,2,1,-4,1,-1,-8,-10,-3,-8,-9
-4,-2,2,1,-4,0,0,-6,-9,-1,-7,-9
-4,-2,1,1,-3,0,1,-3,-7,0,-6,-8
-3,-1,1,1,-3,0,2,-1,-6,2,-6,-8
-3,-1,1,1,-3,0,3,0,-4,3,-5,-7
-3,0,1,1,-3,0,3,2,-3,4,-4,-7
-3,0,1,0,-3,0,4,4,-1,5,-3,-6
-3,0,1,0,-3,0,4,6,0,6,-2,-5
-2,0,1,0,-3,1,5,7,1,7,-1,-4
-2,0,2,0,-3,1,5,8,2,8,0,-4
-2,0,2,0,-3,2,6,9,2,9,0,-3
-2,0,2,0,-3,2,6,10,3,10,0,-3
-2,0,2,0,-2,2,6,10,3,10,1,-3
-2,0,1,0,-2,2,7,11,4,10,1,-3
-2,0,1,0,-2,2,7,12,4,11,1,-3
-2,0,1,0,-2,2,7,13,5,11,1,-2
-2,0,1,-1,-2,2,7,13,5,11,2,-2
-2,0,1,-1,-2,2,7,14,6,11,2,-2
-2,0,1,-1,-2,2,7,14,6,11,2,-2
-1,1,1,-1,-2,2,7,14,6,12,2,-2
-1,1,1,-1,-2,2,7,14,6,12,3,-2
0,2,2,-1,-2,2,7,14,6,12,3,-2
0,2,2,-1,-2,2,7,14,6,12,3,-1
0,2,2,-2,-2,2,7,15,7,12,3,-1
0,1,2,-1,-2,2,7,15,7,13,3,-1
-1,1,1,-1,-2,2,7,15,7,13,3,-1
-2,0,1,0,-2,1,7,15,7,13,3,-1
-1,0,1,0,-2,1,7,16,8,14,3,-1
-1,0,1,0,-2,1,7,16,8,14,4,-1
-1,0,1,0,-2,1,7,16,8,14,4,-1
-1,0,1,0,-2,1,7,16,8,14,4,-1
-1,1,1,-1,-2,1,7,16,8,14,4,0
-1,1,1,-1,-2,2,7,16,8,14,4,0
-1,1,1,-1,-2,2,7,16,8,14,4,0
