leadI,leadII,leadIII,leadaVR,leadaVL,leadaVF,leadV1,leadV2,leadV3,leadV4,leadV5,leadV6
-1,0,1,1,-1,0,0,0,1,1,0,0
-5,0,4,2,-4,2,1,2,2,2,1,1
-8,0,7,4,-7,3,2,3,3,3,2,2
-11,0,10,5,-10,5,2,4,4,5,3,3
-14,0,13,7,-14,6,4,5,6,7,5,4
-13,0,13,6,-13,7,5,6,7,8,5,5
-8,0,8,3,-8,4,4,6,7,7,4,4
-4,0,4,2,-4,2,4,5,6,6,3,3
-2,0,3,1,-3,2,4,5,6,6,2,3
-2,1,3,1,-3,2,4,5,6,5,2,3
-3,1,4,1,-4,3,5,6,6,5,2,3
-6,0,7,2,-7,4,5,6,6,6,3,5
-10,0,10,4,-11,5,5,6,7,6,4,6
-10,-1,9,5,-10,4,5,6,6,6,4,5
-8,-1,7,4,-8,3,4,5,5,5,4,4
-7,-2,5,4,-6,2,4,5,4,4,3,4
-6,-2,4,4,-5,1,4,5,4,4,3,4
-5,-2,3,4,-4,1,4,4,4,4,3,3
-5,-3,2,3,-3,0,2,3,3,3,2,3
-4,-4,0,3,-2,-1,1,2,2,2,2,2
-2,-4,-2,2,0,-3,1,1,1,1,1,2
0,-3,-3,1,1,-4,1,0,1,1,1,2
2,-2,-4,0,2,-3,1,0,1,1,1,1
1,-1,-3,0,2,-2,2,0,0,0,0,1
-2,-2,0,2,-1,-1,3,1,0,0,0,1
-7,-3,4,5,-5,0,5,2,2,1,1,3
-9,-2,7,6,-8,2,5,4,3,3,3,4
-10,-1,9,5,-9,4,5,4,4,4,4,5
-11,0,10,5,-10,4,5,4,4,4,4,5
-10,0,9,4,-10,4,5,4,4,4,4,4
-10,-1,8,4,-9,4,5,4,3,4,4,4
-11,-1,9,5,-10,4,5,4,3,4,4,4
-11,-1,10,6,-11,4,5,3,3,4,3,4
-12,-1,10,6,-11,4,5,3,3,4,3,4
-12,-2,10,7,-11,4,6,3,3,4,3,3
-11,-2,9,7,-10,3,6,3,2,2,2,2
-10,-3,7,6,-9,1,5,2,1,1,1,2
-8,-3,4,5,-6,0,5,2,0,1,1,1
-5,-2,2,3,-4,0,5,2,0,1,0,1
-4,-1,3,2,-4,0,4,1,0,1,0,1
-6,-1,5,3,-5,1,5,2,0,1,1,1
-6,0,6,3,-6,2,5,3,1,2,2,2
-8,0,8,4,-8,3,6,4,2,3,3,4
-9,-1,8,5,-9,3,7,3,2,3,4,4
-6,-1,4,3,-5,1,6,2,1,2,3,2
-3,-1,1,2,-3,0,4,1,0,1,2,1
-5,-2,3,3,-4,1,4,1,0,1,2,2
-7,-2,5,4,-6,2,6,2,0,1,2,3
