leadI,leadII,leadIII,leadaVR,leadaVL,leadaVF,leadV1,leadV2,leadV3,leadV4,leadV5,leadV6
0,-1,-1,1,0,-1,0,0,0,-1,-1,-1
-1,-4,-3,3,2,-4,1,0,0,-2,-2,-2
-1,-7,-6,4,3,-7,2,0,1,-2,-3,-2
-2,-9,-8,5,4,-9,2,1,2,-2,-3,-3
-2,-9,-9,5,5,-9,2,0,1,-3,-4,-4
-1,-8,-8,5,5,-8,2,0,0,-4,-5,-5
-2,-6,-6,4,4,-6,1,-1,0,-5,-6,-5
-2,-4,-4,3,3,-4,1,-2,-1,-6,-6,-5
-2,-4,-3,3,2,-4,1,-2,-2,-6,-6,-5
-2,-5,-5,4,3,-5,1,-2,-1,-6,-6,-5
-2,-7,-7,4,4,-7,1,-1,0,-5,-5,-5
-2,-9,-8,5,4,-8,2,-1,0,-4,-5,-5
-2,-9,-9,5,5,-9,2,-1,1,-4,-4,-5
-2,-8,-8,5,5,-8,1,-1,0,-5,-5,-5
-2,-7,-7,4,4,-6,1,-2,0,-5,-5,-5
-2,-5,-5,4,4,-5,1,-2,-1,-6,-5,-5
-2,-4,-4,4,3,-4,1,-2,-1,-6,-5,-5
-2,-4,-4,4,3,-4,2,-1,0,-5,-5,-4
-1,-6,-6,4,4,-5,2,0,0,-5,-4,-4
-1,-7,-7,4,4,-7,2,0,1,-4,-4,-4
-1,-7,-7,4,4,-7,2,0,1,-4,-4,-4
-1,-7,-7,4,4,-7,2,0,1,-4,-4,-4
-1,-6,-6,4,4,-6,2,0,1,-4,-5,-4
-1,-5,-5,4,4,-5,2,-1,0,-4,-5,-4
-1,-4,-4,4,4,-4,2,-1,0,-5,-5,-4
-1,-3,-4,4,4,-4,2,-1,0,-5,-5,-4
-1,-4,-5,4,4,-5,2,0,0,-4,-5,-4
-1,-5,-6,4,4,-6,2,0,0,-4,-5,-4
-2,-6,-6,4,3,-6,2,0,0,-3,-5,-4
-2,-7,-6,4,3,-7,2,0,1,-3,-5,-4
-2,-6,-5,4,3,-6,2,0,1,-4,-5,-4
-2,-5,-4,4,3,-5,2,0,0,-4,-5,-4
-2,-4,-4,4,3,-4,2,0,0,-4,-5,-4
-2,-4,-4,4,3,-4,2,0,0,-4,-5,-4
-2,-4,-4,4,3,-4,2,0,0,-4,-5,-4
-2,-5,-5,4,3,-5,2,0,0,-4,-5,-4
-2,-5,-5,4,3,-5,2,0,0,-4,-5,-4
-2,-6,-5,4,3,-5,2,0,0,-4,-5,-4
-2,-6,-5,4,3,-5,3,0,0,-4,-5,-4
-2,-5,-5,4,3,-5,3,0,0,-4,-5,-4
-2,-4,-4,4,3,-4,3,0,0,-4,-5,-4
-2,-4,-4,4,3,-4,3,0,1,-4,-5,-4
-2,-4,-4,4,3,-4,3,0,1,-4,-5,-4
-2,-5,-5,4,3,-5,3,0,1,-4,-5,-4
-2,-6,-5,4,3,-6,3,0,1,-4,-5,-4
-2,-6,-5,4,3,-6,3,0,1,-4,-4,-4
-2,-5,-5,4,3,-5,3,0,1,-3,-4,-4
-2,-5,-4,4,3,-5,3,0,1,-3,-4,-4
-2,-5,-4,4,3,-5,3,0,1,-3,-4,-4
-2,-5,-4,5,3,-5,3,0,0,-3,-4,-4
-2,-6,-4,5,3,-5,3,0,0,-4,-4,-4
-3,-6,-5,5,3,-6,3,0,0,-4,-5,-4
-3,-6,-5,5,3,-6,3,0,0,-4,-5,-4
-2,-6,-5,5,3,-5,3,0,0,-4,-5,-4
-2,-5,-5,4,3,-5,3,0,1,-4,-5,-4
-1,-5,-5,4,3,-5,2,1,1,-4,-4,-4
-1,-5,-5,4,3,-5,2,1,1,-4,-4,-4
-1,-5,-5,4,3,-5,2,1,1,-4,-4,-4
-1,-5,-5,4,3,-4,2,1,2,-3,-4,-4
-1,-5,-5,3,3,-4,3,1,2,-3,-4,-4
-1,-5,-5,3,3,-4,3,1,2,-3,-4,-4
-1,-5,-5,3,3,-4,3,1,2,-3,-4,-4
-1,-5,-5,3,3,-4,3,1,1,-3,-4,-4
-1,-5,-5,4,3,-4,3,1,1,-3,-4,-4
-1,-5,-5,4,3,-4,3,1,1,-3,-4,-4
-1,-5,-5,4,3,-4,3,1,1,-3,-4,-4
-1,-5,-5,4,3,-4,4,2,2,-3,-4,-4
-1,-5,-5,4,3,-4,4,2,2,-3,-4,-4
-1,-5,-5,4,3,-5,4,2,2,-3,-4,-4
-1,-5,-5,4,3,-5,4,2,2,-3,-4,-4
-1,-5,-5,4,3,-5,4,2,2,-3,-3,-4
-1,-5,-5,4,3,-5,4,2,2,-3,-3,-4
-1,-5,-5,4,3,-5,4,2,2,-3,-3,-4
-1,-5,-5,4,3,-5,4,2,2,-3,-3,-4
-1,-5,-5,4,3,-5,4,2,2,-3,-3,-4
-1,-5,-5,4,3,-5,4,2,2,-3,-3,-4
-1,-5,-5,4,3,-5,4,2,2,-3,-3,-4
-1,-5,-5,4,3,-5,4,2,2,-3,-4,-4
-1,-5,-5,4,3,-5,4,2,2,-3,-4,-4
-1,-5,-5,4,3,-5,4,2,2,-3,-4,-4
-1,-5,-5,4,3,-5,4,2,2,-3,-4,-4
-1,-5,-5,4,3,-5,4,2,2,-3,-4,-4
