leadI,leadII,leadIII,leadaVR,leadaVL,leadaVF,leadV1,leadV2,leadV3,leadV4,leadV5,leadV6
0,0,0,0,0,0,0,0,-1,-1,-1,0
0,-1,-1,0,1,-1,-1,-1,-4,-3,-2,-1
0,-1,-2,1,1,-1,-2,-2,-5,-5,-2,-2
0,-2,-3,1,2,-3,-2,-2,-5,-5,-2,-1
1,-5,-7,2,5,-6,-1,-1,-4,-3,-1,0
2,-8,-11,2,7,-9,0,0,-2,-1,0,2
3,-10,-14,3,9,-12,0,0,-1,0,0,3
4,-10,-15,3,10,-13,0,0,-2,-1,0,3
4,-9,-14,2,10,-12,-1,0,-4,-3,-1,2
3,-8,-12,2,9,-10,-2,-1,-7,-6,-2,1
3,-7,-10,2,8,-9,-3,-1,-9,-8,-2,0
3,-7,-11,2,8,-9,-3,-1,-10,-8,-3,0
3,-9,-13,3,9,-11,-3,-1,-9,-8,-2,0
4,-12,-17,3,11,-14,-2,0,-8,-6,-2,1
4,-14,-19,3,13,-16,-2,0,-8,-5,-1,2
5,-14,-21,3,14,-18,-3,0,-8,-5,-1,3
5,-14,-21,3,14,-17,-3,0,-10,-7,-1,3
6,-12,-19,3,14,-16,-4,0,-12,-9,-1,3
7,-11,-18,2,14,-15,-4,0,-14,-11,-1,2
6,-12,-18,3,14,-15,-5,0,-16,-13,-2,2
6,-14,-20,4,14,-17,-5,0,-16,-13,-2,2
6,-16,-22,4,16,-19,-5,0,-16,-12,-1,3
7,-18,-25,4,17,-21,-5,0,-15,-12,-1,4
7,-19,-27,5,18,-23,-5,0,-16,-12,-1,5
7,-19,-28,5,19,-23,-6,-1,-17,-13,-1,5
8,-18,-27,5,18,-22,-6,-1,-20,-15,-1,4
8,-17,-26,5,18,-21,-7,-1,-22,-17,-1,3
8,-17,-26,5,18,-21,-7,-1,-23,-18,-1,3
8,-17,-26,5,19,-21,-7,-1,-24,-19,-1,3
9,-19,-28,5,20,-23,-7,-1,-24,-18,-1,4
9,-20,-31,5,21,-26,-7,-1,-24,-18,-1,5
10,-21,-32,4,22,-27,-8,-1,-24,-18,0,6
10,-22,-33,4,22,-28,-8,-1,-25,-18,0,6
10,-21,-32,5,21,-27,-9,-2,-27,-20,0,5
10,-21,-31,5,21,-26,-9,-2,-28,-21,0,5
10,-20,-30,5,21,-25,-10,-3,-30,-22,0,5
10,-19,-29,5,21,-24,-10,-3,-30,-23,0,5
10,-20,-29,5,21,-25,-10,-3,-30,-22,0,6
10,-20,-30,5,21,-26,-10,-3,-30,-21,0,7
9,-21,-31,5,21,-26,-10,-4,-30,-20,0,7
9,-21,-31,5,21,-26,-10,-4,-30,-20,1,8
9,-20,-29,5,20,-25,-10,-4,-31,-21,1,8
8,-19,-27,5,19,-23,-10,-4,-32,-22,2,8
7,-18,-25,5,18,-22,-10,-5,-32,-22,2,8
7,-17,-24,5,17,-20,-10,-5,-32,-22,2,8
6,-16,-23,5,16,-19,-10,-5,-32,-21,2,8
6,-16,-23,5,16,-19,-10,-5,-31,-20,2,8
6,-16,-23,5,16,-19,-10,-5,-30,-19,3,8
6,-16,-23,4,15,-19,-10,-5,-30,-18,3,9
5,-15,-22,4,15,-18,-9,-5,-29,-17,3,9
5,-14,-20,4,14,-17,-9,-5,-29,-17,3,9
4,-13,-18,4,13,-15,-8,-5,-28,-16,3,9
4,-12,-16,4,12,-14,-8,-5,-28,-16,3,9
3,-12,-15,4,11,-13,-7,-4,-27,-15,4,9
3,-11,-14,4,10,-12,-7,-4,-25,-13,4,9
3,-11,-14,3,9,-12,-7,-4,-24,-12,4,10
3,-10,-13,3,9,-12,-6,-3,-22,-11,4,9
2,-9,-12,3,8,-11,-6,-3,-21,-10,4,9
2,-8,-11,3,7,-9,-6,-2,-20,-9,4,8
2,-6,-9,2,6,-7,-5,-2,-19,-8,4,8
1,-5,-7,2,5,-6,-5,-1,-18,-7,4,8
1,-4,-5,2,4,-5,-4,-1,-16,-6,4,8
0,-3,-4,2,3,-4,-4,0,-14,-4,4,8
0,-3,-4,2,3,-4,-3,0,-12,-3,4,7
0,-3,-3,2,2,-3,-3,0,-11,-2,4,7
0,-2,-3,1,2,-3,-2,1,-9,-1,4,7
0,-1,-2,1,2,-2,-2,1,-7,0,4,7
-1,-1,0,1,1,-1,-1,2,-6,1,4,7
-1,0,1,1,0,0,-1,2,-5,1,4,6
-1,0,2,1,0,1,0,2,-4,2,4,6
-1,1,2,0,0,1,0,2,-3,2,4,5
-1,2,2,0,-1,2,0,2,-1,3,4,5
-2,2,3,0,-1,2,0,2,0,4,4,5
-2,2,3,0,-2,2,1,2,1,5,4,4
-2,3,4,0,-2,3,1,2,2,5,4,4
-2,4,4,0,-2,4,1,2,2,6,4,4
-3,4,5,0,-3,5,1,2,3,6,3,4
-3,4,6,0,-3,5,1,2,4,6,3,4
-4,4,7,0,-4,6,1,2,4,6,3,4
-4,4,7,0,-4,6,2,2,5,7,3,4
-4,4,7,0,-4,6,2,2,6,7,3,4
-4,4,7,0,-4,6,2,1,7,8,3,4
-4,4,7,0,-4,6,2,1,7,8,3,4
-4,4,7,0,-4,6,2,1,8,8,2,3
-4,4,8,0,-4,6,2,1,8,8,2,3
-4,5,8,0,-4,6,3,1,8,8,2,3
-3,5,8,0,-4,6,3,1,8,8,2,3
-3,6,8,-1,-4,7,3,0,8,8,2,3
-3,6,8,-1,-5,7,3,0,9,8,2,3
-3,6,8,-1,-5,7,3,0,9,8,1,2
-3,6,8,-1,-5,7,3,0,9,8,1,2
-3,6,9,-1,-5,7,3,0,9,8,1,2
-3,6,9,-1,-5,7,3,0,9,8,1,2
-3,6,9,-1,-5,8,3,0,9,8,1,2
-3,6,9,-1,-5,8,3,0,9,8,1,2
-4,5,9,0,-5,7,3,0,9,8,1,2
-4,5,9,0,-5,7,3,0,9,8,1,2
-4,6,9,0,-5,7,3,0,9,8,1,2
-4,6,9,0,-5,7,3,0,9,8,1,2
-4,6,9,0,-5,7,3,0,10,8,1,2
-4,6,9,0,-5,7,3,0,10,8,1,2
-4,6,9,0,-5,7,3,0,9,7,1,2
-4,6,9,0,-6,7,3,0,9,7,0,2
-5,6,9,0,-6,7,3,0,9,7,0,2
-5,5,9,0,-6,7,3,0,9,7,0,1
-5,5,9,0,-6,7,3,0,9,7,0,1
-5,5,9,0,-6,7,3,0,9,7,0,1
-5,5,9,0,-6,6,3,0,9,6,0,1
-5,5,9,0,-6,6,3,0,9,6,0,1
-5,4,9,0,-6,6,3,0,9,6,0,1
-5,4,9,0,-6,6,3,0,9,6,0,1
-5,4,8,0,-6,6,3,0,9,6,0,1
-5,4,8,0,-6,6,3,0,8,6,0,1
-4,4,7,0,-5,6,3,0,8,6,0,1
-4,4,7,0,-5,6,3,0,8,6,0,1
-4,4,7,0,-5,6,3,0,8,5,0,1
-4,4,7,0,-5,6,3,0,8,5,0,1
-4,4,7,0,-5,5,4,0,8,5,0,0
-4,4,7,0,-5,5,4,0,8,5,0,0
-4,4,7,0,-5,5,4,0,8,5,0,1
-5,4,6,0,-5,5,4,0,8,5,0,1
-5,4,6,0,-5,4,4,0,8,5,0,1
-5,4,6,0,-5,4,4,0,8,5,0,1
-5,4,6,0,-5,4,4,0,9,5,0,1
-5,4,6,0,-5,4,4,0,9,4,0,1
-5,3,6,0,-5,4,4,0,9,4,0,2
-5,3,6,1,-5,4,4,0,9,5,0,2
-5,3,6,1,-5,5,4,0,9,5,0,2
-5,3,6,0,-5,5,4,0,9,5,0,2
-5,3,6,0,-5,5,4,0,9,5,0,2
-4,3,6,0,-5,5,4,0,9,5,0,2
-4,3,6,0,-5,5,4,0,9,5,0,2
-4,3,6,0,-5,5,4,0,9,5,0,2
-4,3,6,0,-5,5,4,0,9,5,0,2
-3,4,6,0,-4,5,4,0,9,5,0,2
-3,4,6,0,-4,5,4,0,9,5,0,2
-3,4,6,0,-4,5,4,0,9,5,0,1
-3,4,6,0,-5,5,4,0,9,5,0,1
-3,5,6,0,-5,5,4,0,9,6,0,1
-3,5,6,0,-5,5,4,1,9,6,0,1
-3,5,7,0,-5,6,3,1,9,6,1,2
-4,5,7,0,-5,6,3,1,9,6,1,2
-4,5,7,0,-5,6,3,1,9,6,1,2
-4,5,7,0,-5,6,3,1,9,6,1,2
-4,5,7,0,-5,6,3,1,9,6,1,2
-4,5,7,0,-5,6,3,1,9,6,1,2
-4,5,7,0,-5,6,3,1,10,7,1,2
-4,5,7,0,-5,6,3,1,10,7,1,2
-3,5,6,0,-5,6,3,1,10,7,1,2
-3,5,6,0,-5,6,3,1,10,7,1,3
-3,6,7,0,-5,6,3,1,10,7,1,3
-3,6,7,-1,-5,7,3,1,10,7,2,3
-3,6,7,-1,-5,7,3,1,10,7,2,3
-3,6,7,-1,-5,7,3,2,11,8,3,4
-3,7,7,-1,-5,7,4,2,11,8,3,4
-3,7,8,-2,-5,8,4,3,12,9,4,5
-3,8,8,-2,-6,9,4,3,12,10,4,5
-3,9,9,-3,-6,10,5,4,13,10,5,5
-2,10,10,-3,-6,10,5,4,14,11,5,5
-2,11,11,-4,-6,11,5,5,14,11,6,5
-2,12,12,-4,-7,12,5,6,15,12,6,6
-2,13,13,-5,-8,13,6,6,16,13,7,7
-2,14,14,-5,-8,14,6,6,17,14,7,7
-2,15,15,-6,-9,15,6,6,18,14,7,8
-3,15,16,-6,-9,15,6,6,18,14,7,8
-3,15,16,-6,-9,15,5,6,18,15,7,7
-2,16,16,-7,-9,16,3,6,18,15,7,7
-2,16,16,-7,-9,16,2,5,17,15,7,8
-2,16,17,-7,-9,17,0,4,17,15,8,8
-2,16,17,-7,-9,17,0,3,16,15,8,8
-2,16,16,-6,-9,16,-1,2,15,14,8,9
-2,15,15,-6,-9,15,-1,2,14,14,8,9
-2,14,14,-5,-8,14,-1,1,13,13,8,8
-2,13,13,-5,-8,13,-1,1,12,13,8,8
-2,13,13,-5,-8,13,-1,1,11,13,7,7
-3,12,13,-5,-8,13,-1,1,11,13,7,7
-3,12,13,-5,-8,12,-1,0,10,12,6,6
-3,11,12,-5,-7,12,-1,0,10,12,6,6
-3,11,12,-4,-7,12,-1,0,10,12,5,5
-3,11,12,-4,-7,11,-1,0,9,12,5,5
-3,11,11,-4,-7,11,-1,0,9,12,5,5
-3,11,11,-4,-7,11,-1,0,8,11,5,6
-3,11,11,-4,-7,11,-1,0,8,11,5,6
-3,11,11,-4,-7,11,-1,0,8,11,5,6
-3,11,11,-4,-7,11,0,0,8,11,6,6
-3,11,11,-4,-7,11,0,0,8,11,6,6
-3,10,11,-4,-7,11,0,0,8,11,6,6
-3,10,11,-4,-7,11,0,0,7,11,6,6
-3,10,11,-4,-7,11,0,0,7,11,6,6
-3,10,11,-3,-7,11,0,0,6,11,6,6
-3,9,10,-3,-7,10,0,0,6,11,6,6
-3,8,9,-2,-6,9,1,0,6,10,5,6
-3,8,8,-2,-6,8,1,0,6,10,5,5
-2,8,8,-2,-5,8,1,0,6,9,4,5
-2,8,7,-2,-5,8,1,0,6,9,4,5
-2,8,7,-2,-5,8,1,0,6,9,4,5
-2,8,7,-2,-5,8,1,0,6,9,5,5
-2,8,8,-2,-5,8,1,0,6,10,5,5
-2,8,8,-2,-5,8,1,0,6,10,5,6
-3,8,8,-2,-5,8,1,0,6,10,5,6
-3,7,8,-2,-5,8,1,-1,5,9,5,5
-3,7,8,-2,-5,8,2,-1,5,9,5,5
-3,7,8,-2,-5,8,2,-1,5,9,5,4
-3,7,8,-1,-5,7,2,-1,5,8,4,4
-3,6,7,-1,-5,7,2,-1,5,8,4,3
-3,6,7,-1,-5,6,2,-1,5,7,3,3
-3,6,7,0,-6,6,2,-1,5,7,3,2
-3,5,7,0,-6,6,2,-1,5,7,2,2
-3,5,6,0,-5,6,3,-1,5,7,2,2
-3,5,6,0,-5,5,3,-1,5,6,2,2
-3,4,5,0,-5,5,3,-1,5,6,2,2
-3,4,5,0,-4,4,3,-1,5,6,2,2
-3,4,5,0,-4,4,3,-1,5,6,2,2
-3,3,5,0,-4,4,3,-1,5,6,2,1
-3,3,5,0,-4,4,3,-1,5,6,2,1
-3,3,5,0,-4,4,3,-1,5,6,2,1
-3,3,5,0,-4,4,3,-1,4,6,2,1
-3,3,5,0,-5,4,3,-1,4,6,2,1
-3,3,5,0,-5,5,3,-1,4,6,1,1
-3,3,5,0,-5,5,3,-1,4,6,1,1
-3,3,5,0,-5,5,3,-1,4,6,1,1
-3,3,5,0,-5,5,3,-1,4,6,1,1
-3,3,5,0,-5,5,3,-1,4,6,1,1
-3,3,5,0,-5,5,2,-1,4,6,1,1
-3,3,5,0,-5,4,2,-1,4,6,1,1
-3,3,5,0,-5,4,2,-1,4,6,1,1
-3,3,5,0,-5,4,2,-1,4,6,1,1
-3,3,5,0,-5,4,2,-1,4,5,1,0
-3,3,5,0,-4,4,2,-1,4,5,1,0
-3,3,5,0,-4,4,2,-1,4,5,1,0
-3,3,5,0,-4,4,2,-1,4,5,1,0
-3,3,5,0,-4,4,2,-1,4,5,1,1
-3,3,5,0,-4,4,2,-1,4,5,1,1
-3,2,4,0,-4,3,2,-1,4,5,1,1
-3,2,4,0,-4,3,2,-1,4,5,1,1
-3,3,4,0,-4,3,2,-1,4,6,1,1
-3,3,4,0,-4,4,2,-1,4,6,1,1
-3,3,4,0,-4,4,2,-1,4,6,1,0
-3,3,4,0,-4,4,2,-1,4,6,1,0
-3,3,5,0,-4,4,2,-1,4,6,1,0
-3,3,5,0,-4,4,2,-1,4,5,0,0
-3,3,5,0,-4,4,2,-1,4,5,0,0
-3,2,4,0,-4,3,2,-1,4,5,0,1
-3,2,4,0,-4,3,2,-1,4,5,0,1
-3,2,3,0,-4,3,2,-1,4,5,0,1
-3,2,3,0,-4,3,2,-1,4,5,0,1
-3,2,3,0,-4,3,2,-1,4,5,1,1
-3,2,4,0,-4,3,2,-1,4,5,1,1
-3,2,4,0,-4,3,2,-1,4,5,1,1
-3,2,3,0,-4,3,2,-1,4,5,1,1
-3,2,3,0,-4,3,2,-1,4,5,1,1
-3,2,3,0,-4,3,2,0,4,5,1,1
-3,2,3,0,-4,3,2,0,4,5,1,1
-3,2,4,0,-4,3,2,0,4,5,1,1
-3,2,4,0,-4,3,2,0,4,5,0,1
-3,2,4,0,-4,3,2,0,4,5,0,1
-3,2,4,0,-4,3,2,0,4,5,0,1
-3,2,4,0,-4,3,2,0,4,5,0,1
-3,2,4,0,-4,3,2,0,4,5,0,0
-3,2,4,0,-4,3,2,0,4,5,0,0
-3,2,4,0,-4,3,2,0,4,5,0,0
-3,2,4,0,-4,3,2,0,4,5,0,0
-3,2,4,0,-4,3,2,0,4,5,0,0
-3,2,4,0,-4,3,2,0,4,5,0,1
-3,2,4,0,-4,3,2,0,4,5,0,1
-3,2,4,0,-4,3,2,0,4,5,0,0
-3,2,4,0,-4,3,2,0,4,5,0,0
-3,2,4,0,-4,3,2,0,4,5,0,0
-3,2,4,0,-4,3,2,0,4,5,0,0
-3,2,4,0,-4,3,2,0,4,5,0,1
-3,2,4,0,-4,3,2,0,4,5,0,1
-3,2,4,0,-4,3,2,0,4,5,0,0
-3,2,4,0,-4,3,2,0,4,5,0,0
-3,2,4,0,-4,3,2,0,4,5,0,0
-3,3,4,0,-4,3,2,0,4,5,0,0
-3,3,4,0,-4,3,2,0,4,5,0,0
-3,3,4,0,-4,3,2,0,4,5,0,0
-3,3,4,0,-4,3,2,0,4,5,0,0
-3,3,4,0,-4,3,2,0,4,5,0,0
-3,3,4,0,-4,3,2,0,5,5,0,0
-3,3,5,0,-4,3,2,0,5,5,0,0
-3,3,5,0,-4,3,2,0,5,5,0,0
