leadI,leadII,leadIII,leadaVR,leadaVL,leadaVF,leadV1,leadV2,leadV3,leadV4,leadV5,leadV6
-5,-5,0,5,-2,-3,-1,0,-1,0,0,0
-13,-13,0,13,-6,-7,-3,0,-2,-1,0,-1
-18,-18,0,18,-9,-9,-4,0,-3,-2,0,-1
-21,-22,-1,22,-10,-11,-6,0,-3,-3,0,-1
-23,-24,-1,23,-11,-13,-7,-1,-4,-3,-1,-1
-23,-25,-2,24,-10,-14,-8,-2,-4,-3,-1,-1
-23,-26,-3,25,-10,-15,-9,-2,-4,-4,-1,-1
-24,-26,-2,25,-11,-14,-10,-2,-5,-4,-1,-1
-24,-24,0,24,-12,-13,-10,-2,-4,-3,0,-1
-22,-23,-1,23,-10,-12,-9,-1,-3,-2,0,0
-19,-23,-4,21,-7,-13,-8,0,-2,-1,1,0
-17,-22,-6,20,-5,-14,-9,0,-1,0,1,1
-15,-21,-5,18,-5,-13,-10,-1,-2,0,1,0
-16,-20,-4,18,-6,-13,-10,-2,-2,0,1,1
-18,-21,-3,19,-8,-12,-10,-2,-2,0,1,2
-18,-21,-2,20,-9,-11,-11,-3,-3,-1,1,1
-17,-19,-2,18,-8,-11,-12,-4,-4,-2,0,0
-15,-17,-3,16,-6,-10,-12,-4,-4,-2,0,0
-15,-16,-1,15,-7,-8,-12,-3,-4,-2,1,0
-15,-15,0,14,-7,-7,-11,-2,-4,-1,2,0
-13,-14,0,13,-6,-7,-10,-2,-3,0,2,1
-12,-12,0,12,-6,-6,-10,-2,-2,1,3,2
-11,-11,0,11,-6,-6,-11,-3,-3,1,4,2
-12,-12,0,12,-6,-6,-12,-3,-4,1,4,3
-13,-13,0,13,-6,-7,-12,-3,-4,1,4,4
-12,-13,-1,13,-5,-7,-13,-3,-4,1,4,4
-12,-13,-1,13,-5,-7,-13,-3,-3,2,5,5
-12,-13,0,13,-6,-7,-14,-4,-4,2,5,5
-11,-12,0,12,-5,-7,-14,-4,-4,1,5,4
-10,-11,0,11,-5,-6,-14,-4,-4,1,4,3
-11,-10,0,11,-6,-5,-12,-3,-3,2,5,3
-11,-10,0,11,-6,-5,-11,-3,-2,2,6,5
-7,-10,-3,9,-2,-6,-11,-4,-2,1,5,5
-3,-8,-5,6,1,-6,-11,-5,-3,0,4,5
-2,-6,-4,4,1,-5,-12,-5,-3,0,4,5
-2,-5,-2,4,0,-3,-12,-5,-4,0,4,4
-3,-4,0,3,-1,-2,-12,-4,-3,0,4,4
-4,-4,1,4,-2,-2,-11,-4,-2,1,4,5
-7,-5,2,6,-5,-2,-11,-3,-2,0,4,5
-11,-7,3,9,-8,-2,-11,-2,-2,1,5,6
-13,-9,3,11,-9,-3,-9,-1,-1,2,6,8
-12,-8,2,10,-7,-3,-8,-1,-1,2,6,8
-10,-7,2,9,-6,-2,-8,-2,-1,2,5,8
