leadI,leadII,leadIII,leadaVR,leadaVL,leadaVF,leadV1,leadV2,leadV3,leadV4,leadV5,leadV6
-1,-2,-1,2,0,-2,1,-2,-2,-4,-9,-5
-2,-5,-3,3,0,-4,3,-5,-5,-10,-25,-12
-1,-5,-4,3,1,-4,5,-6,-7,-13,-33,-17
-2,-6,-4,4,0,-5,6,-7,-7,-14,-38,-19
-3,-6,-3,4,0,-4,7,-7,-8,-15,-40,-20
-3,-6,-3,4,0,-4,7,-8,-8,-16,-41,-20
-2,-6,-4,4,0,-4,7,-8,-8,-16,-42,-21
0,-5,-5,2,2,-5,6,-8,-8,-17,-44,-22
4,-4,-8,0,6,-6,5,-10,-10,-19,-46,-23
5,-3,-8,0,6,-6,4,-12,-10,-19,-47,-24
4,-1,-5,-1,4,-3,6,-11,-8,-17,-46,-23
4,3,-2,-3,3,0,7,-10,-7,-16,-46,-23
4,5,0,-5,2,1,8,-10,-7,-16,-46,-24
2,4,0,-3,0,1,9,-10,-6,-16,-46,-24
0,3,2,-1,-1,2,11,-8,-4,-15,-45,-24
-4,2,6,1,-5,3,13,-7,-3,-14,-45,-23
-8,2,9,3,-9,5,13,-8,-3,-15,-46,-24
-9,1,10,4,-10,5,11,-9,-4,-16,-48,-26
-9,-1,9,5,-10,4,9,-9,-4,-17,-51,-28
-11,-4,8,7,-10,2,8,-9,-4,-18,-52,-29
-12,-4,7,8,-10,2,8,-8,-3,-18,-53,-30
-10,-4,6,7,-9,2,9,-7,-2,-18,-54,-32
-8,-3,5,5,-7,1,10,-6,-1,-18,-54,-33
-7,-1,5,3,-5,2,11,-4,0,-17,-53,-33
-7,0,7,3,-6,3,11,-1,3,-15,-53,-33
-10,0,10,4,-9,4,12,1,6,-12,-52,-32
-12,0,11,5,-11,5,12,2,8,-11,-52,-33
-13,-1,11,6,-12,4,11,3,9,-10,-53,-33
-15,-3,11,9,-13,3,10,5,11,-9,-53,-34
-17,-5,11,11,-15,3,10,7,13,-7,-52,-33
-20,-7,12,13,-17,2,10,10,16,-6,-52,-33
-19,-7,12,13,-16,2,10,12,18,-4,-51,-32
-14,-5,10,10,-12,2,10,15,22,-1,-50,-32
-11,-4,7,8,-9,1,10,18,25,1,-49,-32
-11,-6,6,9,-9,0,10,22,29,5,-47,-30
-13,-7,6,10,-10,-1,11,27,34,10,-43,-27
-15,-8,7,11,-11,0,12,32,39,15,-39,-24
-15,-7,7,11,-11,0,12,36,43,19,-35,-22
-14,-6,8,10,-11,1,11,40,47,23,-32,-20
-15,-5,10,10,-13,2,11,43,50,27,-29,-18
-16,-5,11,10,-14,3,10,46,53,30,-27,-16
-16,-4,11,10,-14,3,9,49,55,33,-25,-15
-14,-4,10,8,-12,3,7,52,57,35,-22,-14
-11,-3,8,6,-10,3,6,54,60,39,-19,-12
-10,-2,7,5,-8,2,5,58,63,43,-15,-9
-10,-2,7,5,-8,3,4,62,67,48,-9,-5
-9,-1,8,5,-9,4,4,66,71,53,-3,0
-7,1,8,2,-8,5,5,70,73,57,1,3
-4,3,8,0,-6,5,5,73,76,60,5,6
-5,2,8,1,-7,4,5,75,78,63,9,8
-7,0,8,3,-8,3,4,76,79,66,11,10
-8,0,8,4,-8,3,3,78,81,69,14,12
-7,1,8,3,-8,4,2,81,83,73,18,16
-7,2,9,3,-8,5,1,83,85,77,23,20
-7,2,8,3,-8,5,0,86,87,80,29,24
-5,1,5,2,-6,3,-1,87,88,82,33,26
-1,1,2,0,-2,1,-2,88,88,83,37,28
1,3,1,-2,0,1,-2,89,89,85,41,30
2,5,2,-4,0,3,-2,90,90,87,45,32
0,4,4,-2,-1,4,-3,91,91,90,48,35
-2,4,6,-1,-3,5,-4,92,91,92,52,37
-1,6,7,-3,-4,7,-4,93,92,94,56,40
2,10,7,-6,-2,8,-4,94,93,96,60,44
5,10,5,-7,0,7,-5,94,92,96,63,46
7,10,2,-8,2,5,-6,92,90,95,64,46
9,10,1,-9,3,4,-7,91,88,94,64,47
8,9,1,-9,4,4,-7,89,86,94,64,47
6,8,2,-7,2,5,-7,88,85,94,64,48
3,7,3,-5,0,5,-6,87,84,94,65,50
4,7,2,-5,0,5,-7,85,82,93,66,51
7,9,1,-8,2,5,-8,82,79,91,65,51
10,10,0,-10,4,5,-9,80,76,89,64,51
9,9,0,-9,4,4,-9,76,72,86,62,50
7,7,-1,-7,4,2,-10,72,68,83,61,49
6,5,-1,-6,4,1,-10,70,66,81,60,50
7,5,-1,-6,5,1,-10,67,63,79,59,49
8,5,-2,-7,6,1,-12,64,60,77,58,48
9,7,-2,-8,7,2,-13,62,58,75,57,49
11,10,-1,-10,7,4,-12,60,57,74,57,50
13,10,-3,-12,8,3,-12,59,55,72,56,50
14,8,-6,-12,9,1,-12,57,53,70,56,49
15,8,-6,-12,10,0,-11,56,51,69,55,49
15,11,-5,-13,10,3,-9,55,50,67,55,48
15,13,-3,-14,10,5,-8,53,49,66,54,48
14,12,-2,-13,9,4,-7,52,47,64,52,46
12,10,-2,-11,8,3,-6,50,46,62,50,45
11,8,-3,-9,7,2,-7,48,44,60,48,43
10,6,-4,-8,7,0,-7,46,42,57,46,41
11,6,-5,-8,8,0,-7,46,41,56,46,41
13,7,-5,-10,9,0,-5,46,41,56,47,42
16,10,-6,-13,11,2,-4,46,41,56,47,42
19,12,-7,-16,13,2,-5,44,39,55,47,41
19,11,-8,-15,14,2,-6,42,38,53,46,40
17,9,-8,-13,13,1,-7,41,37,53,45,39
16,8,-8,-12,12,0,-7,40,36,52,45,39
16,8,-7,-12,12,1,-7,38,35,51,45,39
15,9,-6,-12,11,2,-7,37,33,50,44,39
15,11,-5,-13,10,3,-7,35,31,49,44,38
17,12,-5,-14,11,3,-6,34,30,48,43,38
19,13,-6,-16,12,3,-6,32,28,47,42,37
19,13,-6,-16,13,3,-6,29,26,46,41,35
18,12,-6,-15,12,3,-7,28,25,45,40,34
17,11,-5,-14,11,3,-7,27,25,44,38,33
16,10,-5,-13,11,3,-8,26,24,43,37,31
16,10,-5,-13,11,3,-9,25,23,42,36,30
13,10,-2,-12,8,4,-9,25,23,42,36,31
10,10,0,-11,5,5,-9,26,23,42,37,32
9,9,0,-10,4,4,-8,26,23,43,37,32
9,8,-1,-8,4,3,-9,25,22,42,36,31
7,6,0,-6,3,2,-10,24,21,40,34,29
5,5,0,-5,3,1,-10,23,20,39,32,28
7,4,-3,-5,5,0,-9,22,19,39,31,27
10,4,-5,-7,8,0,-8,22,19,38,30,27
9,5,-4,-7,7,0,-8,22,19,38,30,27
7,4,-2,-6,5,0,-9,21,18,36,30,26
5,4,-1,-5,3,1,-10,21,17,35,29,26
4,4,0,-4,1,2,-10,21,17,35,28,26
5,6,2,-5,1,4,-10,21,17,36,28,26
7,8,0,-7,3,4,-9,22,18,36,29,26
8,6,-1,-7,5,2,-9,22,19,37,29,26
8,5,-1,-6,5,2,-9,22,19,37,29,26
8,5,-2,-6,5,1,-9,23,20,38,30,27
9,5,-4,-7,6,0,-9,24,21,39,30,27
11,5,-6,-9,8,-1,-8,25,21,39,31,27
12,7,-5,-10,9,0,-8,26,22,39,32,28
11,8,-3,-10,8,1,-8,27,23,40,33,28
11,8,-2,-9,7,2,-7,28,24,42,34,29
11,7,-3,-9,8,1,-7,29,25,43,35,30
11,6,-4,-9,9,0,-7,30,26,44,36,30
9,4,-4,-7,7,0,-8,30,25,43,36,29
7,3,-3,-5,5,0,-8,30,25,43,36,29
5,3,-1,-4,3,0,-8,31,26,44,37,29
4,2,-2,-3,3,0,-8,34,29,46,39,31
5,1,-3,-3,4,-1,-8,37,32,50,43,32
7,1,-6,-4,6,-2,-8,43,38,57,49,35
9,1,-7,-5,8,-2,-7,50,45,65,56,39
10,2,-7,-6,8,-2,-7,59,55,77,67,46
11,7,-4,-9,7,1,-8,70,69,94,82,57
13,15,2,-14,5,8,-8,83,83,115,102,72
16,25,7,-21,5,15,-9,93,95,137,126,90
23,34,10,-29,7,21,-11,100,104,159,152,111
31,43,11,-37,10,27,-15,104,109,180,181,135
38,50,12,-44,13,30,-20,104,109,197,208,158
44,54,10,-49,17,32,-26,102,105,210,235,180
50,56,6,-53,22,31,-33,96,95,218,261,201
56,56,0,-56,28,28,-41,86,77,216,282,218
62,53,-8,-58,35,23,-50,72,55,207,296,229
70,49,-21,-60,46,14,-58,58,31,195,306,236
80,42,-37,-61,59,2,-67,44,6,180,313,241
88,32,-56,-60,72,-12,-77,26,-22,160,314,243
94,21,-73,-58,84,-26,-87,6,-52,135,307,239
100,15,-85,-58,92,-35,-94,-16,-82,103,288,228
105,12,-92,-58,98,-40,-98,-42,-114,63,255,207
106,10,-95,-58,100,-42,-100,-74,-148,16,208,176
102,8,-93,-56,98,-42,-100,-108,-182,-34,151,140
90,4,-86,-47,89,-41,-98,-146,-216,-85,88,100
72,0,-72,-36,73,-36,-96,-187,-249,-137,21,59
53,0,-53,-27,53,-27,-93,-224,-276,-182,-41,19
35,0,-34,-18,35,-18,-88,-249,-292,-215,-92,-15
20,0,-20,-10,20,-11,-82,-261,-297,-235,-128,-44
10,-3,-13,-4,12,-8,-76,-262,-292,-242,-149,-64
6,-6,-11,0,9,-9,-72,-255,-279,-240,-159,-79
3,-11,-14,4,9,-12,-68,-241,-262,-230,-160,-87
1,-17,-18,8,10,-18,-64,-223,-242,-216,-155,-91
1,-20,-22,10,12,-22,-59,-203,-220,-199,-146,-90
0,-20,-22,10,11,-22,-52,-180,-196,-179,-133,-86
-5,-21,-17,14,6,-20,-43,-158,-171,-157,-119,-79
-12,-22,-10,17,0,-17,-35,-138,-148,-136,-104,-72
-17,-21,-3,19,-7,-12,-28,-120,-128,-118,-92,-65
-21,-19,2,20,-11,-8,-21,-106,-111,-103,-82,-59
-21,-17,4,19,-13,-6,-17,-94,-97,-91,-74,-55
-20,-15,4,17,-12,-5,-14,-84,-85,-82,-68,-52
-19,-14,4,17,-12,-4,-12,-75,-75,-74,-63,-50
-20,-14,4,17,-12,-5,-9,-68,-66,-67,-59,-48
-19,-15,3,17,-11,-6,-6,-60,-58,-60,-55,-45
-18,-16,1,17,-9,-8,-3,-54,-51,-54,-51,-43
-17,-15,1,16,-9,-7,-1,-49,-45,-49,-48,-41
-18,-14,3,16,-10,-6,0,-45,-41,-45,-46,-39
-16,-12,4,14,-10,-4,0,-42,-37,-41,-43,-36
-14,-8,5,11,-10,-2,1,-39,-33,-38,-41,-34
-13,-7,6,10,-10,-1,1,-37,-31,-35,-40,-33
-15,-10,4,13,-10,-3,1,-36,-29,-33,-38,-32
-16,-11,3,14,-10,-4,1,-34,-27,-32,-37,-31
-16,-11,4,13,-10,-4,3,-31,-25,-30,-35,-30
-17,-13,3,15,-10,-5,4,-30,-23,-29,-34,-30
-18,-15,2,16,-10,-7,4,-29,-23,-29,-34,-31
-17,-18,-1,17,-7,-10,3,-30,-24,-30,-35,-32
-16,-21,-5,18,-5,-13,1,-31,-25,-32,-36,-34
-16,-22,-5,19,-6,-13,1,-31,-24,-32,-37,-34
-17,-21,-3,19,-7,-12,2,-31,-24,-32,-38,-35
-18,-20,-2,19,-8,-11,2,-31,-24,-32,-40,-36
-20,-19,1,20,-10,-9,2,-30,-24,-32,-41,-36
-23,-20,3,21,-12,-8,3,-30,-23,-32,-41,-36
-22,-20,2,21,-12,-8,5,-29,-22,-32,-40,-36
-17,-17,0,17,-8,-8,5,-28,-21,-32,-41,-37
-13,-14,0,14,-6,-7,5,-28,-22,-33,-43,-38
-15,-16,0,16,-7,-7,5,-27,-21,-33,-44,-39
-19,-18,0,18,-9,-9,7,-26,-19,-32,-43,-38
-20,-18,1,19,-10,-9,7,-25,-18,-31,-43,-38
-20,-19,0,19,-10,-10,8,-25,-18,-32,-43,-39
-20,-20,0,19,-9,-11,8,-25,-18,-32,-44,-40
-20,-20,0,20,-10,-10,8,-25,-18,-33,-45,-41
-20,-20,1,20,-10,-9,8,-24,-17,-33,-46,-42
-20,-19,1,20,-10,-9,9,-23,-16,-32,-46,-42
-21,-20,1,21,-11,-9,10,-22,-15,-32,-46,-43
-23,-21,2,22,-12,-9,10,-22,-14,-32,-46,-44
-24,-23,1,23,-12,-11,10,-22,-14,-33,-48,-45
-26,-24,2,25,-13,-11,10,-22,-14,-34,-49,-47
-28,-23,4,25,-16,-10,11,-21,-13,-34,-50,-47
-30,-24,5,27,-17,-10,12,-20,-12,-33,-51,-48
-31,-27,4,29,-18,-12,13,-19,-10,-32,-51,-48
-31,-27,4,29,-18,-12,13,-18,-9,-32,-53,-49
-29,-25,4,27,-16,-11,13,-17,-8,-32,-54,-50
