leadI,leadII,leadIII,leadaVR,leadaVL,leadaVF,leadV1,leadV2,leadV3,leadV4,leadV5,leadV6
0,1,0,0,0,0,2,2,1,0,1,0
1,2,1,-1,0,1,6,6,3,0,4,2
1,3,1,-2,0,2,8,8,4,0,6,3
1,2,1,-1,0,1,9,9,4,-1,7,3
0,0,0,0,0,0,10,10,4,-1,7,3
-1,0,1,0,0,0,10,11,4,-2,7,4
-1,-1,1,1,-1,0,10,11,4,-2,7,4
0,0,1,0,0,0,10,11,4,-2,7,4
1,2,1,-2,0,1,11,11,4,-2,7,4
2,3,1,-3,1,2,11,11,4,-2,7,4
2,2,0,-2,1,0,10,10,4,-2,7,4
2,1,0,-1,1,0,10,10,3,-3,6,3
2,1,0,-1,1,0,9,9,3,-3,6,3
2,2,0,-2,1,1,9,9,3,-3,6,3
2,3,1,-2,1,1,9,9,3,-3,6,3
2,3,1,-2,1,2,9,9,3,-3,6,3
1,2,1,-2,0,1,9,9,3,-4,6,2
1,1,0,-1,1,0,9,9,3,-4,6,2
2,1,0,-2,1,0,10,9,3,-4,6,2
3,2,0,-3,1,1,10,9,3,-4,6,2
3,2,0,-3,1,1,10,9,4,-3,7,3
3,2,-1,-2,2,0,11,10,4,-3,7,3
3,1,-1,-2,2,0,10,9,4,-4,7,3
2,0,-1,-1,2,0,9,9,3,-4,6,3
2,0,-1,0,1,-1,9,9,3,-4,7,3
2,-1,-2,0,2,-2,9,9,3,-4,7,4
2,-1,-3,0,2,-2,9,8,3,-4,7,4
2,0,-2,0,2,-1,8,8,3,-4,7,3
1,0,-2,0,1,0,8,7,3,-4,7,3
1,0,-1,0,1,0,7,7,3,-4,7,3
1,1,0,-1,1,0,7,7,3,-4,7,3
2,3,0,-2,1,2,7,7,2,-4,6,2
2,4,1,-2,0,2,7,7,2,-4,6,2
2,2,0,-1,1,1,7,7,2,-4,6,2
1,-2,-3,0,2,-2,7,7,2,-3,7,2
1,-4,-5,2,2,-4,7,6,2,-3,7,2
0,-5,-4,2,1,-4,7,6,2,-3,7,2
1,-4,-4,1,1,-3,7,7,2,-3,7,2
2,-2,-3,0,2,-2,8,7,2,-3,7,2
2,-1,-3,0,2,-1,8,7,2,-3,7,2
2,-1,-3,0,2,-1,8,7,3,-3,7,2
2,0,-3,-1,2,-1,8,7,3,-3,7,2
3,0,-3,-1,3,-1,7,6,2,-4,6,1
4,-1,-4,-1,4,-2,6,6,2,-4,6,1
2,-2,-3,0,2,-2,6,5,2,-4,6,1
0,-3,-2,1,1,-2,5,5,2,-4,5,1
0,-3,-2,2,0,-2,5,5,1,-4,5,0
0,-3,-2,2,1,-2,5,5,1,-5,5,0
0,-3,-3,2,1,-2,4,5,1,-5,5,0
