leadI,leadII,leadIII,leadaVR,leadaVL,leadaVF,leadV1,leadV2,leadV3,leadV4,leadV5,leadV6
3,3,0,-3,1,1,0,1,1,1,0,3
9,8,0,-8,5,4,1,3,3,4,2,9
13,12,-1,-12,8,5,2,5,5,6,5,13
16,14,-2,-15,9,6,2,7,6,7,9,15
17,15,-2,-16,10,6,2,9,8,9,12,17
16,15,-1,-16,9,7,1,9,9,10,12,17
14,15,1,-15,6,8,0,8,11,11,11,18
11,16,5,-14,3,10,-2,7,12,12,10,18
11,17,6,-14,2,12,-3,5,12,11,8,18
13,18,5,-15,3,11,-4,4,12,11,7,17
15,18,3,-16,6,10,-4,5,12,11,8,16
17,18,1,-17,7,10,-4,7,13,12,10,16
17,19,1,-17,7,10,-4,9,14,14,12,17
18,20,2,-18,7,11,-4,11,15,15,14,18
18,20,2,-18,7,11,-5,11,15,15,13,18
17,20,2,-18,7,11,-5,10,15,15,11,17
16,20,4,-17,5,11,-5,9,15,16,10,17
14,19,5,-16,4,11,-6,9,16,16,9,17
13,18,4,-16,4,11,-6,9,16,16,9,17
14,17,3,-16,5,10,-5,11,16,16,11,17
16,17,1,-16,7,9,-5,12,16,17,12,17
16,15,-1,-15,9,7,-4,12,15,17,13,16
16,14,-2,-14,9,6,-4,12,15,18,13,16
13,13,0,-13,7,6,-4,11,15,20,12,15
10,12,1,-11,4,6,-4,10,14,20,11,15
9,12,3,-11,3,7,-4,10,14,20,10,15
10,13,3,-12,4,7,-4,10,14,20,9,15
12,14,2,-13,5,7,-4,10,14,20,9,15
12,13,0,-12,6,6,-4,11,14,19,10,15
13,12,-1,-12,7,5,-4,12,13,19,10,14
13,11,-3,-12,7,5,-3,12,13,19,10,13
12,11,-2,-11,6,5,-2,12,13,19,9,13
10,10,-1,-10,5,5,-1,12,13,19,9,13
9,10,0,-10,3,5,-1,11,12,19,8,13
8,9,1,-9,3,5,-1,11,12,19,8,13
9,9,0,-10,4,4,-1,11,11,19,9,12
11,9,-1,-10,6,4,-1,11,11,19,9,12
12,9,-3,-11,7,3,-1,11,10,19,9,12
13,9,-4,-11,9,3,-1,10,10,18,9,12
14,10,-5,-12,10,3,-1,10,10,17,8,11
14,10,-4,-12,9,3,0,10,10,17,8,11
12,10,-2,-11,7,3,0,9,9,16,8,10
11,10,-1,-10,6,3,0,9,9,16,8,9
10,9,-1,-10,6,4,0,8,8,17,8,9
10,9,-1,-9,5,4,0,8,8,18,9,9
10,8,-2,-9,6,4,0,8,7,18,10,8
11,8,-3,-9,7,3,-1,7,7,18,10,8
12,8,-4,-10,8,3,-1,7,6,17,10,7
11,8,-4,-10,7,3,-1,6,5,16,9,6
11,7,-4,-10,7,2,-1,6,4,14,8,5
11,7,-4,-9,7,2,-1,6,4,13,6,4
10,7,-3,-9,6,2,-1,6,3,13,6,3
11,7,-4,-9,7,2,0,6,4,12,6,3
11,7,-5,-9,8,1,0,6,4,12,6,2
11,6,-5,-8,8,1,0,6,5,12,6,2
9,5,-5,-7,7,0,1,6,5,12,6,2
8,4,-5,-6,7,0,1,6,5,12,7,2
9,5,-4,-7,7,0,1,6,5,12,7,2
10,5,-4,-7,7,1,0,5,4,11,7,2
10,5,-4,-7,7,0,0,4,3,10,7,0
9,5,-4,-7,7,0,-1,3,3,10,7,0
10,5,-5,-7,8,0,-2,3,3,10,7,-1
12,6,-6,-9,9,0,-2,2,3,9,6,-2
12,6,-6,-9,9,0,-2,2,3,7,4,-2
11,6,-5,-9,8,1,-1,2,3,5,3,-3
10,6,-5,-8,7,1,-1,2,3,4,2,-3
10,5,-5,-8,7,0,-1,2,3,3,1,-4
10,5,-5,-8,6,0,0,2,3,3,1,-4
8,5,-4,-7,5,0,0,2,4,3,2,-4
8,5,-3,-6,5,0,0,3,4,4,3,-4
9,4,-5,-6,7,0,0,2,4,4,3,-4
10,4,-7,-7,9,-1,0,2,3,2,3,-5
11,3,-8,-7,10,-2,0,1,2,1,3,-5
11,3,-8,-6,10,-2,0,1,1,1,3,-6
10,3,-8,-6,9,-2,0,1,1,0,2,-7
10,2,-8,-6,9,-2,0,1,1,-1,1,-8
11,2,-8,-6,9,-3,0,1,1,-2,0,-9
11,2,-8,-6,10,-3,0,1,1,-3,-1,-9
12,2,-9,-7,11,-4,0,1,0,-4,-2,-10
12,1,-10,-6,11,-4,0,1,0,-4,-2,-10
10,0,-10,-5,10,-5,0,1,0,-4,-2,-11
9,-1,-10,-4,9,-5,0,1,0,-4,-2,-11
8,-1,-10,-3,9,-5,0,1,-1,-4,-2,-12
7,-2,-10,-3,9,-6,0,1,-2,-4,-3,-13
7,-2,-11,-3,9,-7,0,0,-2,-4,-3,-15
7,-2,-10,-3,9,-6,0,1,-2,-4,-4,-16
6,-3,-9,-2,8,-6,0,1,-2,-5,-4,-17
3,-5,-8,0,6,-6,0,2,-2,-5,-5,-17
1,-6,-8,2,5,-7,1,2,-1,-5,-6,-18
1,-6,-8,2,6,-7,1,3,-1,-5,-6,-18
3,-6,-10,1,7,-8,1,3,-1,-4,-7,-18
5,-6,-11,0,8,-8,2,3,-1,-2,-7,-19
4,-7,-11,1,8,-8,2,4,0,-1,-6,-19
3,-7,-11,1,7,-9,3,5,0,0,-6,-19
3,-7,-11,2,6,-9,3,5,0,0,-6,-19
2,-7,-10,2,6,-8,3,5,0,1,-6,-20
3,-5,-10,1,7,-7,3,5,0,2,-6,-20
4,-4,-10,0,7,-6,3,5,0,3,-6,-20
3,-4,-9,0,6,-6,3,6,0,3,-6,-20
3,-5,-8,1,5,-6,3,6,0,3,-6,-20
4,-4,-9,0,6,-6,3,7,0,4,-6,-20
6,-4,-10,-1,8,-7,2,7,0,4,-6,-20
7,-4,-12,-1,9,-8,2,7,-1,5,-6,-20
8,-4,-12,-2,10,-8,2,8,-1,6,-6,-20
8,-3,-12,-2,9,-8,3,8,0,7,-5,-20
7,-3,-11,-2,8,-7,4,8,0,8,-5,-20
6,-3,-9,-1,7,-6,4,8,0,9,-5,-20
5,-2,-8,-2,6,-5,5,8,1,11,-5,-20
5,0,-6,-2,5,-3,6,8,1,12,-5,-19
4,1,-4,-3,3,-2,7,8,2,13,-4,-19
4,2,-2,-3,2,0,8,8,3,14,-4,-20
4,2,-1,-3,2,0,9,8,3,14,-4,-20
4,3,-2,-3,3,0,10,8,3,14,-4,-20
5,3,-2,-4,4,0,11,8,3,14,-4,-20
5,3,-2,-4,3,0,12,8,3,15,-4,-20
5,4,-1,-4,3,1,13,9,4,16,-3,-20
4,4,0,-4,2,1,14,9,4,16,-3,-20
3,4,0,-3,1,2,15,9,4,15,-4,-20
3,5,0,-4,1,3,15,9,4,15,-4,-20
4,7,2,-5,1,4,15,9,4,16,-3,-19
4,8,3,-6,0,6,14,9,5,16,-2,-18
4,9,4,-6,0,7,12,8,5,16,-1,-18
4,10,5,-7,0,8,10,6,5,16,-1,-18
4,11,7,-7,-1,9,7,5,6,16,0,-18
3,11,8,-7,-2,10,4,5,6,16,0,-18
3,12,9,-7,-2,10,1,4,6,16,0,-18
3,12,9,-7,-3,11,0,4,5,15,0,-18
3,12,9,-7,-3,11,-2,4,5,14,0,-18
2,12,9,-6,-4,11,-3,4,6,14,0,-17
2,11,9,-6,-4,11,-3,4,6,14,0,-17
1,11,9,-6,-4,10,-4,4,6,14,0,-17
1,11,9,-6,-4,10,-6,4,6,15,1,-17
2,11,8,-7,-3,10,-7,4,7,15,1,-17
3,10,7,-7,-2,9,-8,4,6,15,1,-17
4,10,6,-7,-1,8,-9,4,6,15,1,-17
4,10,6,-7,-1,8,-9,4,6,15,1,-17
5,10,5,-7,0,7,-9,5,6,14,1,-17
4,9,5,-6,0,7,-8,5,6,14,1,-17
3,7,5,-5,-1,6,-8,5,6,14,0,-17
2,5,3,-4,0,4,-8,5,6,13,-1,-17
1,4,2,-3,0,3,-8,5,6,13,-1,-17
1,3,1,-2,0,2,-7,5,5,13,-2,-16
0,2,1,-1,-1,2,-7,5,5,13,-2,-16
0,2,2,-1,-1,2,-6,6,5,15,-1,-15
0,3,3,-1,-2,3,-6,6,5,18,0,-15
1,4,3,-2,-1,4,-7,5,5,19,0,-15
2,4,2,-3,0,4,-7,5,4,19,-1,-15
2,5,2,-3,0,4,-6,5,4,19,-1,-15
2,5,3,-4,0,4,-6,6,4,20,-1,-14
3,5,2,-4,1,4,-5,6,4,20,-2,-14
3,4,1,-3,2,2,-6,5,3,20,-3,-15
3,3,0,-3,2,1,-6,4,1,19,-3,-15
3,2,0,-2,2,1,-6,3,0,20,-3,-15
3,2,0,-2,2,0,-6,3,0,21,-3,-15
2,2,0,-1,1,0,-5,3,0,22,-3,-14
0,1,0,0,0,0,-5,3,0,23,-2,-13
0,1,1,0,0,1,-5,3,0,24,-2,-13
0,2,1,0,0,1,-5,3,1,25,-1,-12
0,2,1,0,0,1,-5,4,0,26,-1,-12
0,1,1,0,-1,1,-5,4,0,26,-1,-11
-2,0,2,1,-2,1,-5,4,0,26,-1,-11
-4,0,3,2,-3,1,-4,4,-1,26,-1,-11
-4,-1,3,2,-3,1,-4,3,-1,27,-1,-11
