leadI,leadII,leadIII,leadaVR,leadaVL,leadaVF,leadV1,leadV2,leadV3,leadV4,leadV5,leadV6
0,0,0,0,0,0,0,0,1,1,0,0
0,0,-1,0,0,-1,1,-1,2,2,1,0
0,-1,-2,0,1,-1,1,-1,3,3,2,0
0,-1,-2,0,1,-1,1,-2,4,3,2,1
0,-1,-2,0,1,-1,1,-2,4,4,3,1
0,0,-2,0,1,-1,1,-2,5,4,3,2
1,0,-2,0,1,-1,1,-2,5,4,4,2
1,0,-2,-1,1,-1,1,-2,5,4,4,2
1,1,-1,-1,1,0,0,-2,5,4,4,2
1,1,-1,-1,1,0,0,-1,6,5,4,2
2,1,-1,-2,1,0,0,-1,6,5,4,2
2,2,-1,-2,2,0,0,-1,6,6,4,2
2,2,-1,-2,2,0,0,0,7,6,5,2
1,2,0,-2,1,1,0,1,7,7,5,3
1,2,0,-2,0,1,-1,1,7,7,6,3
2,3,0,-3,1,1,-1,2,7,8,6,4
3,3,-1,-4,2,1,-2,2,8,8,7,4
4,4,-1,-4,2,2,-2,1,8,8,7,5
4,5,0,-5,2,3,-1,1,9,9,8,6
4,5,1,-5,1,3,-1,1,9,10,9,6
4,5,1,-5,1,3,-2,0,9,10,9,6
4,6,1,-5,1,3,-2,0,9,10,9,7
5,6,1,-6,1,4,-2,0,9,10,10,7
5,7,0,-7,2,4,-2,1,9,11,10,8
6,7,0,-7,2,4,-2,1,9,11,11,8
6,7,0,-7,2,4,-3,1,9,11,11,7
6,7,0,-6,2,4,-3,1,9,11,11,7
6,7,0,-6,2,4,-4,2,9,11,11,7
6,7,1,-7,2,4,-5,2,10,12,11,7
5,8,1,-7,1,4,-5,3,10,12,12,7
5,8,2,-7,1,5,-5,3,11,12,12,7
6,9,2,-8,2,5,-5,3,11,12,12,8
7,10,2,-9,2,5,-5,3,11,12,13,8
7,10,2,-9,2,5,-5,3,11,13,13,8
7,10,2,-9,2,5,-5,3,11,13,14,9
8,11,2,-9,2,6,-5,2,11,14,14,9
8,11,2,-10,2,6,-5,2,11,15,15,10
9,11,2,-10,3,6,-5,2,10,15,15,10
8,10,1,-9,3,6,-5,1,10,15,15,9
7,10,1,-9,2,6,-5,0,9,14,14,9
6,10,2,-8,1,7,-5,0,10,14,14,9
6,10,2,-8,1,7,-5,0,10,14,14,9
6,10,2,-8,1,6,-5,-1,10,14,14,8
6,10,2,-8,1,6,-5,-1,11,14,14,8
6,10,2,-8,1,6,-4,-2,11,14,13,8
6,10,2,-8,1,6,-4,-2,11,14,13,8
6,10,2,-8,1,6,-3,-3,10,14,13,7
5,9,3,-7,0,6,-2,-3,9,14,12,7
3,9,4,-6,-1,6,-1,-3,9,14,12,6
2,9,5,-6,-2,7,-1,-3,8,14,12,6
1,9,6,-5,-2,7,0,-3,7,14,12,5
0,8,6,-4,-3,7,0,-3,7,13,11,4
0,7,6,-4,-2,6,0,-2,6,12,10,3
1,6,4,-3,-1,5,1,-2,6,11,9,3
0,4,3,-2,-1,4,1,-2,5,10,8,2
0,3,3,-1,-1,3,1,-2,4,10,7,2
-1,2,2,-1,-1,3,2,-3,3,9,7,1
-1,1,1,0,-2,2,2,-3,3,8,6,0
-2,0,1,1,-2,1,3,-4,2,7,5,0
-2,0,1,1,-2,1,3,-5,1,6,5,-1
-2,0,1,1,-2,1,4,-5,1,6,4,-1
-2,0,1,1,-2,1,4,-6,1,5,3,-2
-4,-1,2,2,-3,1,5,-6,1,5,3,-2
-5,-2,2,3,-4,0,5,-7,1,5,2,-3
-6,-3,2,4,-4,0,5,-7,0,4,1,-4
-5,-3,0,4,-3,-1,5,-8,0,3,1,-5
-3,-3,-1,3,-2,-1,5,-9,-1,2,0,-5
-3,-4,-2,3,-1,-2,5,-10,-2,1,0,-6
-4,-5,-2,5,-1,-2,5,-11,-3,0,-1,-6
-5,-6,-2,6,-2,-3,5,-11,-3,0,-2,-7
-5,-6,-1,6,-2,-3,5,-11,-4,0,-2,-7
-5,-6,-1,6,-2,-4,5,-11,-4,0,-3,-8
-5,-6,-1,6,-2,-4,5,-10,-4,0,-3,-8
-5,-6,-1,5,-2,-4,6,-10,-4,0,-4,-8
-5,-6,-1,5,-2,-4,6,-10,-4,-1,-4,-8
-5,-6,-1,5,-2,-4,6,-10,-5,-1,-4,-8
-5,-6,-1,5,-2,-4,6,-10,-5,-1,-4,-9
-5,-6,-2,5,-2,-4,6,-10,-5,-1,-4,-9
-5,-7,-2,6,-2,-4,6,-10,-5,-1,-4,-10
-5,-7,-2,6,-2,-4,5,-10,-5,-2,-4,-10
-5,-7,-2,6,-2,-5,5,-10,-4,-2,-4,-10
-5,-7,-3,6,-1,-6,5,-10,-4,-2,-4,-10
-5,-8,-3,6,-1,-6,5,-10,-4,-2,-4,-10
-5,-8,-3,6,-1,-6,5,-10,-3,-2,-4,-10
-5,-8,-3,6,-1,-6,5,-10,-3,-1,-4,-10
-5,-8,-3,6,-1,-6,6,-10,-3,-1,-4,-10
-5,-8,-3,6,-1,-5,6,-10,-3,-1,-4,-10
-6,-8,-3,6,-2,-5,6,-10,-4,-1,-4,-9
-7,-8,-2,7,-3,-5,6,-11,-4,-1,-4,-9
-7,-9,-3,7,-3,-6,6,-12,-5,-2,-5,-9
-6,-8,-4,6,-2,-6,6,-12,-5,-2,-5,-10
-5,-7,-4,5,-1,-6,6,-13,-5,-2,-5,-10
-4,-7,-4,5,-1,-5,6,-13,-5,-2,-5,-10
-5,-7,-4,6,-1,-5,6,-13,-4,-2,-5,-10
-5,-8,-3,6,-1,-5,6,-12,-4,-2,-5,-10
-5,-8,-3,6,-1,-5,6,-12,-3,-2,-4,-10
-5,-7,-3,6,-1,-5,6,-12,-3,-2,-4,-10
-5,-7,-3,6,-1,-5,6,-11,-3,-2,-4,-10
