leadI,leadII,leadIII,leadaVR,leadaVL,leadaVF,leadV1,leadV2,leadV3,leadV4,leadV5,leadV6
-1,-1,0,1,0,0,0,1,0,0,1,0
-3,-4,0,3,-1,-2,0,2,0,0,3,0
-5,-6,-1,6,-2,-3,0,2,-1,0,3,0
-7,-8,-1,7,-3,-4,-1,1,-2,0,3,-1
-9,-11,-1,10,-4,-6,-2,0,-3,0,3,-2
-12,-12,0,12,-6,-6,-2,1,-4,0,3,-2
-12,-11,0,11,-6,-5,-2,3,-2,0,4,-1
-13,-10,2,11,-7,-4,-2,5,-1,1,6,0
-14,-10,3,12,-9,-4,-3,6,0,1,6,0
-14,-10,3,12,-9,-4,-4,7,0,1,6,0
-10,-9,1,10,-6,-4,-3,8,1,2,6,0
-7,-8,0,8,-4,-4,-2,9,3,2,6,0
-6,-9,-2,7,-2,-5,-2,9,3,2,5,-1
-1,-9,-6,5,2,-7,-2,8,2,1,4,-1
1,-8,-8,3,4,-7,-2,7,1,0,4,-1
-1,-7,-5,4,2,-6,-1,7,1,0,5,-1
-4,-8,-4,6,0,-7,-1,8,1,0,5,-1
-4,-10,-6,8,1,-8,-2,8,0,0,4,-1
-4,-10,-6,8,1,-9,-2,8,1,0,4,-2
-5,-9,-3,8,-1,-6,0,11,3,2,6,0
-8,-8,1,8,-4,-3,2,14,5,4,7,1
-9,-7,3,8,-5,-2,2,15,6,4,8,1
-9,-7,3,8,-5,-2,2,16,7,3,8,1
-7,-6,1,6,-4,-2,3,18,8,3,8,1
-5,-5,0,5,-2,-2,3,18,8,3,8,2
-3,-4,-1,4,-1,-3,3,18,8,4,9,2
-3,-4,-1,4,-1,-2,4,19,9,5,9,2
-2,-2,0,3,0,-1,4,19,10,6,10,3
-3,-3,0,3,-1,-1,4,19,10,6,9,3
-5,-5,1,5,-3,-1,3,19,10,6,9,2
-6,-5,1,6,-4,-2,2,19,10,6,8,1
-6,-8,-1,7,-3,-5,0,19,9,5,7,0
-7,-10,-3,8,-2,-7,-1,19,9,4,6,-1
-3,-7,-3,5,0,-5,0,20,10,5,7,0
1,-2,-3,0,2,-3,1,21,11,6,8,0
0,-3,-2,2,1,-3,2,22,11,7,8,0
-4,-6,-1,5,-1,-4,3,22,12,7,9,1
-5,-6,0,5,-2,-3,4,22,12,8,9,2
-2,-4,-1,3,0,-3,3,22,13,8,9,2
3,-2,-4,-1,3,-3,3,23,13,8,9,1
5,0,-4,-3,4,-2,4,24,14,9,10,2
3,0,-3,-2,3,-1,5,26,15,10,11,3
