leadI,leadII,leadIII,leadaVR,leadaVL,leadaVF,leadV1,leadV2,leadV3,leadV4,leadV5,leadV6
0,0,0,0,0,0,0,1,1,-4,0,0
0,0,0,0,0,0,1,4,3,-11,-1,-1
1,0,0,-1,0,0,2,6,6,-13,0,-1
1,2,1,-2,0,1,4,10,10,-13,1,0
1,4,3,-3,0,3,6,13,13,-12,3,2
1,5,4,-3,-1,4,7,17,17,-10,6,4
2,6,5,-4,-1,5,8,21,20,-7,10,6
2,8,6,-5,-2,6,7,25,24,-3,14,9
3,10,7,-7,-2,9,5,29,29,2,20,14
5,14,8,-10,-1,11,3,33,34,9,28,22
9,17,8,-13,0,13,1,33,37,14,37,31
14,19,5,-17,4,13,-2,31,36,17,45,42
19,21,3,-20,8,12,-4,26,31,17,53,54
23,23,0,-23,12,12,-8,16,23,14,59,67
27,24,-1,-25,14,11,-13,1,9,6,64,78
29,25,-2,-26,15,11,-18,-16,-7,-4,68,89
30,26,-2,-27,16,12,-24,-35,-25,-16,70,99
32,28,-3,-30,18,12,-29,-52,-41,-26,73,109
38,29,-8,-34,23,10,-34,-66,-56,-36,74,117
44,29,-14,-37,30,7,-39,-78,-69,-47,74,122
46,27,-19,-37,33,4,-42,-88,-83,-59,69,121
45,22,-22,-33,34,0,-43,-99,-98,-74,57,112
44,16,-27,-30,36,-5,-46,-112,-115,-92,38,94
44,11,-31,-27,37,-10,-49,-126,-132,-110,15,71
38,6,-30,-22,34,-12,-50,-135,-142,-124,-6,45
30,2,-27,-16,29,-13,-48,-139,-146,-131,-25,21
24,-2,-26,-11,25,-14,-46,-139,-146,-136,-42,0
19,-6,-25,-6,23,-16,-44,-137,-144,-138,-55,-17
16,-9,-25,-3,21,-16,-41,-132,-138,-138,-65,-28
13,-11,-24,-1,19,-16,-39,-123,-129,-134,-70,-35
11,-12,-23,0,18,-17,-36,-113,-119,-128,-71,-38
10,-14,-23,1,17,-18,-33,-101,-108,-120,-69,-40
8,-15,-22,3,15,-18,-30,-89,-96,-111,-66,-40
6,-15,-20,4,13,-18,-27,-78,-85,-102,-61,-40
4,-15,-19,5,11,-18,-24,-68,-75,-93,-56,-39
3,-14,-18,5,10,-17,-21,-59,-65,-84,-51,-36
2,-13,-16,5,9,-14,-17,-49,-55,-75,-44,-32
2,-11,-13,4,7,-11,-13,-40,-46,-66,-38,-27
1,-9,-11,4,6,-9,-10,-32,-37,-58,-32,-22
0,-8,-8,4,4,-7,-7,-25,-30,-52,-27,-19
0,-7,-6,3,2,-6,-5,-20,-25,-47,-24,-18
-1,-6,-5,3,1,-6,-4,-16,-20,-43,-22,-17
-2,-6,-4,3,0,-5,-2,-13,-16,-40,-19,-16
-2,-5,-3,3,0,-5,-1,-10,-12,-37,-17,-14
-1,-5,-4,3,1,-5,0,-8,-9,-34,-15,-13
0,-4,-4,2,2,-5,1,-5,-6,-31,-13,-11
0,-3,-3,2,2,-4,2,-2,-3,-28,-10,-9
0,-2,-2,1,2,-3,3,0,-1,-26,-8,-7
1,-2,-3,1,2,-3,3,1,0,-25,-8,-7
1,-2,-3,0,2,-3,2,1,0,-25,-8,-7
1,-2,-3,0,2,-3,2,1,0,-24,-8,-8
0,-2,-3,0,2,-3,3,1,0,-23,-8,-8
0,-2,-3,1,1,-3,3,1,0,-23,-8,-7
0,-2,-3,1,1,-3,3,2,0,-22,-7,-7
1,-2,-4,0,3,-3,3,2,1,-22,-7,-6
2,-2,-4,0,3,-3,3,3,1,-22,-6,-6
1,-2,-3,1,2,-3,4,3,2,-21,-6,-5
0,-2,-1,1,1,-2,4,4,3,-21,-6,-5
-1,-2,0,2,0,-2,3,3,2,-21,-6,-5
-3,-2,1,2,-2,-2,3,3,3,-20,-6,-5
-4,-2,2,3,-3,-1,4,4,3,-19,-5,-5
-4,-3,2,3,-3,-1,4,4,3,-19,-5,-5
-4,-3,2,3,-3,-1,5,5,4,-18,-4,-4
-5,-3,3,4,-4,0,6,6,4,-17,-2,-3
-6,-3,3,4,-5,0,6,6,4,-17,-2,-2
-5,-3,3,3,-5,0,6,6,4,-17,-2,-2
-4,-3,2,2,-4,0,6,6,4,-17,-2,-2
-3,-3,1,2,-3,-1,5,6,4,-17,-2,-2
-2,-2,0,1,-1,-1,5,5,3,-17,-3,-3
0,-2,-1,0,0,-1,4,4,3,-17,-3,-3
0,-2,-1,0,0,-1,4,4,3,-17,-3,-4
-1,-2,0,1,0,-1,4,4,3,-17,-3,-4
0,-2,0,0,0,-1,4,4,3,-17,-3,-4
0,-1,-1,0,1,-1,4,4,3,-18,-4,-4
1,-1,-1,0,1,-1,4,4,3,-17,-4,-4
1,-1,-1,0,1,-2,4,4,3,-17,-4,-4
1,-1,-2,-1,1,-2,4,4,3,-16,-4,-4
2,-1,-2,-1,2,-2,4,4,3,-16,-5,-4
2,-1,-3,-1,3,-2,4,4,3,-16,-5,-4
3,-1,-3,-1,3,-2,4,4,3,-16,-5,-4
3,0,-3,-2,3,-2,4,4,2,-16,-5,-4
3,0,-3,-2,3,-2,4,4,2,-16,-5,-4
3,-1,-3,-2,3,-2,5,4,2,-16,-5,-4
3,-1,-3,-2,3,-2,5,5,3,-15,-4,-3
3,-1,-3,-2,3,-2,5,5,3,-15,-4,-3
3,-1,-3,-2,3,-2,5,5,3,-15,-4,-3
2,-1,-3,-1,3,-2,5,5,3,-14,-4,-3
2,-1,-3,-1,2,-2,5,5,3,-14,-4,-3
2,-1,-3,-1,2,-2,5,5,3,-14,-4,-3
1,-1,-3,-1,2,-2,4,5,3,-14,-4,-3
1,-2,-3,0,2,-2,5,5,3,-14,-4,-3
1,-2,-2,0,1,-2,5,5,3,-13,-4,-3
1,-1,-2,0,1,-1,5,5,3,-13,-4,-3
1,-1,-1,-1,1,-1,5,5,3,-13,-4,-3
1,-1,-2,-1,1,-1,5,4,3,-13,-4,-3
1,-1,-2,-1,1,-2,4,4,2,-14,-4,-3
1,-1,-2,-1,1,-2,4,4,2,-14,-4,-3
1,-1,-2,-1,1,-2,4,4,1,-14,-4,-3
1,-1,-2,-1,1,-1,4,4,1,-14,-3,-3
2,0,-2,-1,2,-1,3,3,1,-14,-3,-3
3,1,-2,-3,3,-1,3,3,1,-14,-4,-3
4,1,-3,-3,4,-1,3,3,1,-14,-3,-3
4,1,-2,-3,3,-1,3,4,2,-14,-2,-3
2,1,0,-2,1,0,4,5,3,-12,-1,-2
-1,1,2,0,-2,1,5,6,3,-11,0,-1
-2,0,3,0,-3,1,5,6,3,-11,0,0
0,0,0,0,-1,0,4,5,2,-12,-1,-1
2,0,-2,-1,2,-1,3,3,1,-13,-2,-2
3,0,-3,-1,2,-2,2,3,1,-14,-2,-3
2,0,-2,-1,1,-1,2,3,1,-14,-2,-3
1,0,-1,-1,1,-1,2,3,1,-14,-2,-3
3,0,-2,-2,2,-1,2,2,1,-14,-2,-3
5,0,-3,-4,4,-1,1,2,0,-14,-3,-3
4,0,-3,-3,3,-1,1,2,0,-14,-3,-3
3,0,-2,-3,2,-1,2,2,0,-14,-3,-3
4,0,-3,-3,3,-1,2,2,0,-14,-3,-3
4,0,-3,-3,3,-1,2,2,0,-14,-3,-3
4,0,-2,-3,2,0,2,2,0,-14,-3,-3
3,1,-1,-3,2,0,1,2,0,-15,-3,-4
3,1,-1,-3,2,0,1,1,0,-15,-3,-4
3,1,-2,-3,2,0,1,1,0,-15,-3,-4
3,1,-2,-3,2,0,1,1,0,-15,-3,-4
3,1,-1,-3,2,0,1,1,0,-15,-3,-4
3,1,-1,-2,2,0,1,1,0,-15,-3,-4
3,1,-1,-2,2,0,1,1,0,-15,-3,-4
3,1,-1,-2,2,0,1,1,-1,-15,-3,-4
3,0,-2,-2,2,-1,1,0,-1,-15,-3,-4
3,0,-3,-2,3,-2,1,0,-1,-15,-3,-4
3,-1,-4,-2,3,-2,1,0,-1,-15,-3,-4
3,-1,-4,-2,3,-2,1,0,-1,-15,-4,-4
4,0,-4,-2,3,-2,1,0,-1,-15,-4,-4
4,0,-3,-3,3,-2,1,0,-1,-15,-4,-4
4,1,-2,-3,2,-1,2,0,-1,-14,-3,-3
4,1,-1,-3,2,0,2,0,0,-14,-3,-3
5,2,-1,-3,3,0,2,0,0,-14,-3,-3
4,2,-1,-4,2,0,1,0,0,-13,-2,-3
4,2,-1,-4,3,0,1,0,0,-13,-2,-3
5,2,-3,-5,4,0,0,0,-1,-13,-2,-3
4,2,-2,-4,3,0,1,0,0,-13,-1,-2
3,2,-1,-3,1,1,1,0,0,-12,0,-1
3,2,-1,-3,1,1,1,0,0,-12,0,-1
4,2,-1,-4,2,0,1,-1,0,-12,-1,-1
4,2,-1,-4,2,0,0,-1,0,-12,-1,-1
4,1,-2,-4,3,0,0,-1,-1,-12,0,0
5,1,-3,-4,3,-1,0,-1,-1,-12,0,0
6,1,-4,-5,4,-1,0,-2,-2,-13,0,-1
7,2,-5,-6,5,-1,-1,-3,-3,-13,-1,-1
8,2,-6,-6,6,-1,-1,-4,-3,-14,-1,-1
9,2,-6,-6,7,-2,-2,-4,-4,-14,-1,-1
9,2,-6,-6,7,-2,-2,-4,-4,-14,-1,-1
9,3,-5,-6,7,-1,-3,-4,-4,-14,-1,-1
9,3,-5,-6,7,-1,-3,-4,-4,-13,-1,-1
8,3,-5,-6,6,0,-3,-4,-4,-13,0,0
8,3,-4,-6,6,0,-3,-4,-4,-13,0,0
8,4,-4,-6,5,0,-3,-4,-4,-13,0,0
8,4,-4,-6,5,0,-3,-4,-3,-12,1,1
8,4,-4,-6,5,0,-3,-4,-3,-12,1,1
8,4,-4,-7,5,0,-3,-4,-3,-12,1,2
8,4,-4,-7,5,0,-4,-5,-4,-12,2,2
9,4,-4,-7,6,0,-4,-4,-3,-12,2,2
9,4,-5,-7,6,0,-4,-4,-3,-11,3,3
9,4,-5,-8,6,0,-4,-4,-2,-11,3,3
9,4,-5,-8,6,0,-4,-4,-2,-10,3,3
8,4,-4,-7,6,0,-4,-3,-2,-10,3,4
7,4,-4,-7,5,0,-4,-3,-2,-9,3,4
7,3,-3,-6,5,0,-4,-3,-2,-9,3,4
7,4,-3,-6,5,0,-4,-3,-2,-9,3,4
8,5,-3,-7,6,1,-4,-3,-2,-10,3,4
10,6,-4,-8,6,1,-5,-4,-3,-10,3,4
10,5,-4,-8,7,1,-5,-4,-3,-10,3,4
9,5,-4,-7,7,1,-4,-3,-2,-9,4,5
9,4,-4,-7,7,0,-4,-3,-2,-9,4,5
10,4,-5,-7,8,0,-5,-3,-2,-9,3,5
10,5,-5,-8,8,0,-5,-3,-2,-9,3,4
10,5,-4,-8,7,1,-5,-2,-1,-8,4,5
9,5,-3,-8,6,1,-4,-1,0,-7,5,5
9,5,-2,-8,5,1,-3,-1,0,-6,6,6
9,5,-3,-8,5,1,-3,-1,1,-6,7,6
9,5,-3,-8,5,1,-4,-1,1,-5,7,6
8,6,-2,-8,5,2,-4,-1,1,-5,7,6
8,6,-2,-8,5,2,-4,0,1,-5,7,6
8,6,-2,-8,6,2,-4,0,1,-4,7,6
9,6,-2,-8,6,2,-4,0,1,-4,7,5
9,6,-3,-8,7,1,-5,0,1,-4,7,5
9,6,-3,-8,7,1,-5,1,2,-3,7,5
9,6,-3,-8,6,1,-4,1,2,-3,8,5
9,6,-3,-8,6,1,-4,1,3,-2,8,4
11,7,-4,-9,8,1,-4,2,3,-2,8,4
12,7,-4,-10,8,2,-4,2,3,-1,8,4
12,8,-4,-10,8,2,-4,3,4,-1,8,4
11,7,-4,-10,8,2,-4,3,4,-1,8,4
11,7,-4,-10,7,2,-4,4,5,0,8,4
11,6,-5,-10,7,1,-4,5,5,0,8,4
11,6,-5,-9,7,1,-4,5,6,1,8,4
10,6,-4,-9,6,1,-4,5,6,1,8,4
10,6,-4,-9,6,1,-4,6,7,2,9,4
10,5,-4,-8,6,1,-4,7,8,3,9,4
9,5,-4,-8,6,1,-4,8,8,4,9,4
9,5,-4,-8,6,1,-4,8,9,4,9,4
9,5,-4,-7,6,1,-4,9,9,4,9,4
9,5,-4,-7,7,0,-4,9,10,4,9,3
10,5,-5,-7,7,0,-4,10,10,4,9,3
10,5,-5,-7,7,0,-3,10,11,5,9,3
10,5,-5,-7,7,0,-3,11,11,5,9,3
10,5,-5,-8,7,0,-3,11,11,5,9,3
10,5,-5,-8,8,0,-3,12,11,5,9,3
9,4,-5,-7,8,0,-2,12,11,5,8,2
9,4,-5,-7,7,0,-2,12,11,5,8,2
8,4,-4,-7,7,0,-1,12,11,5,8,1
8,4,-5,-7,7,0,-1,12,11,5,7,1
8,3,-5,-6,7,-1,-1,12,11,4,7,1
7,2,-5,-5,6,-1,-1,12,10,4,6,0
7,2,-5,-5,6,-1,0,12,10,4,6,0
8,3,-5,-6,6,-1,0,12,10,4,5,0
8,4,-5,-7,7,0,0,12,10,4,5,0
8,4,-4,-7,6,0,0,12,10,4,5,0
7,4,-4,-6,6,0,1,13,11,4,5,0
5,3,-3,-5,4,0,2,14,11,5,6,0
4,2,-3,-4,3,0,3,14,12,5,6,0
5,2,-3,-4,4,0,3,14,12,4,6,0
6,2,-5,-4,6,-1,2,13,11,3,4,-1
7,2,-6,-5,7,-2,1,12,10,2,3,-2
7,2,-6,-5,7,-2,1,11,9,2,3,-2
7,1,-6,-5,7,-2,1,11,9,2,3,-2
7,0,-7,-4,7,-3,1,11,9,1,2,-2
7,0,-8,-4,7,-4,1,11,8,1,2,-3
8,0,-9,-5,8,-4,1,10,8,0,1,-3
9,0,-9,-5,9,-4,1,10,8,0,1,-3
8,0,-8,-5,8,-4,1,10,8,0,1,-3
8,0,-8,-4,8,-4,1,10,8,0,1,-3
9,0,-9,-4,9,-5,1,10,8,0,1,-3
9,-1,-10,-4,9,-5,1,10,8,0,0,-3
8,-1,-9,-4,8,-5,1,10,8,0,0,-3
8,-1,-9,-4,8,-5,1,9,7,-1,0,-3
8,-1,-9,-4,8,-5,0,9,7,-2,0,-4
7,-1,-9,-3,8,-5,0,9,6,-2,-1,-4
6,-2,-8,-2,7,-4,1,9,6,-2,-1,-4
5,-1,-7,-2,6,-3,0,8,6,-3,-1,-5
5,-1,-7,-2,6,-3,0,7,5,-3,-2,-5
4,-1,-7,-2,6,-3,0,7,5,-3,-2,-5
4,-1,-6,-2,5,-3,0,7,5,-3,-2,-5
4,-2,-6,-2,5,-4,1,8,5,-3,-2,-4
5,-2,-7,-2,6,-5,1,8,5,-3,-2,-4
5,-3,-8,-2,6,-5,1,8,5,-3,-2,-4
4,-3,-8,-1,6,-6,1,8,5,-3,-2,-4
3,-4,-8,0,5,-6,2,9,5,-2,-2,-4
2,-4,-7,0,4,-5,2,9,5,-2,-1,-4
3,-3,-7,0,5,-5,2,9,6,-2,-1,-4
6,-2,-9,-2,7,-6,2,9,6,-2,-2,-4
6,-2,-10,-2,8,-6,2,9,6,-2,-1,-4
4,-3,-8,-1,6,-5,3,10,7,-1,0,-3
3,-3,-7,0,5,-4,3,10,8,0,0,-2
2,-4,-6,0,4,-4,3,10,8,0,0,-2
0,-5,-5,2,3,-4,3,11,8,0,0,-1
0,-6,-6,3,3,-5,2,11,7,0,0,-1
0,-6,-8,3,4,-7,1,10,6,-1,0,-2
1,-7,-10,3,5,-8,0,10,6,-1,-1,-3
4,-9,-13,2,9,-11,0,10,5,-2,-1,-3
7,-9,-17,0,12,-12,0,9,5,-2,-2,-4
7,-9,-17,0,12,-12,-1,9,5,-2,-2,-4
7,-9,-17,0,12,-12,-1,9,5,-2,-2,-4
9,-9,-18,0,13,-13,0,9,5,-2,-2,-4
10,-8,-20,-1,15,-14,0,9,4,-2,-2,-4
11,-8,-20,-1,15,-14,-1,8,4,-3,-3,-5
10,-7,-19,-1,14,-13,0,9,5,-2,-2,-5
10,-7,-18,-2,14,-12,1,10,6,-1,-1,-4
10,-6,-17,-3,13,-11,2,11,7,0,-1,-4
10,-4,-16,-4,13,-10,4,12,8,0,0,-3
10,-3,-14,-4,12,-8,5,13,9,0,0,-2
10,-1,-13,-5,12,-7,5,13,9,1,0,-2
10,0,-11,-5,11,-5,6,14,10,2,1,-2
10,1,-10,-6,10,-4,7,14,10,3,1,-1
10,3,-8,-7,9,-3,7,15,11,3,2,-1
10,4,-7,-7,8,-2,8,15,11,3,2,-1
8,3,-6,-7,7,-1,8,14,11,3,2,-1
7,2,-5,-6,7,-1,8,13,10,3,2,-1
5,2,-4,-5,5,-1,8,11,9,2,1,-2
4,1,-3,-4,4,-1,8,10,8,1,1,-2
3,1,-3,-3,4,-1,8,9,7,1,0,-3
3,0,-4,-3,4,-2,7,7,6,0,0,-3
3,0,-4,-3,4,-2,7,6,5,0,-1,-4
3,0,-4,-2,4,-2,6,6,5,-1,-2,-4
2,0,-4,-2,3,-2,6,6,5,-1,-2,-4
2,0,-3,-2,3,-2,6,6,5,-2,-2,-4
3,0,-4,-3,3,-2,6,5,5,-2,-2,-4
3,0,-4,-3,4,-2,6,5,5,-1,-2,-4
3,0,-4,-2,3,-2,6,5,5,-1,-1,-3
2,0,-3,-2,3,-2,5,5,5,-1,-1,-3
2,0,-3,-1,3,-2,5,6,5,-1,-1,-3
1,0,-3,-1,3,-2,4,7,6,-1,-1,-3
1,0,-3,-1,2,-2,4,7,6,-1,-1,-3
1,-1,-3,-1,2,-2,4,8,6,0,-1,-3
0,-1,-2,0,1,-1,4,8,6,0,0,-3
-1,-2,-1,0,0,-1,4,9,7,0,0,-3
0,-2,-3,0,2,-2,3,8,6,0,0,-3
3,-2,-6,-2,5,-4,2,7,5,-1,-1,-4
4,-2,-7,-2,5,-4,2,7,5,0,-1,-3
2,-2,-4,0,3,-3,3,8,5,0,-1,-2
0,-1,-2,0,1,-2,4,8,5,0,-1,-2
1,-1,-2,0,1,-2,3,8,5,0,-1,-3
1,-1,-3,-1,1,-2,3,8,5,0,-1,-3
1,-1,-3,-1,1,-2,3,8,6,0,0,-3
1,-1,-3,-1,2,-1,3,8,6,0,0,-3
2,0,-3,-2,3,-1,3,7,5,0,-1,-4
3,0,-3,-2,3,-1,3,7,5,0,0,-3
2,0,-2,-2,1,0,4,8,6,1,0,-2
1,1,0,-2,0,0,4,9,7,2,1,-2
0,1,0,-2,0,1,4,9,8,3,1,-2
0,1,0,-2,0,1,4,11,10,4,2,-2
0,2,1,-2,-1,2,4,13,12,7,4,-1
0,3,3,-3,-1,3,5,15,14,9,6,0
0,4,4,-3,-2,5,5,18,18,13,9,2
0,6,4,-4,-2,6,5,23,23,19,14,6
1,8,5,-5,-1,7,4,29,29,25,21,13
4,11,6,-8,0,9,3,33,34,32,30,23
8,14,5,-11,1,10,2,34,37,37,39,34
12,16,3,-14,4,10,-1,31,35,39,46,44
17,17,0,-17,8,9,-5,24,30,38,53,54
21,19,-1,-20,11,9,-9,14,22,34,59,66
25,20,-4,-23,15,9,-14,-1,8,26,63,76
28,20,-8,-24,18,7,-22,-21,-10,15,64,84
31,21,-11,-26,21,5,-28,-40,-28,3,66,93
35,22,-14,-28,24,4,-32,-55,-44,-7,68,104
39,23,-17,-31,28,3,-35,-67,-56,-17,71,113
42,22,-21,-32,32,0,-38,-77,-69,-27,70,118
44,20,-25,-32,34,-2,-42,-88,-83,-40,63,114
45,16,-28,-31,36,-5,-45,-101,-99,-57,48,101
43,12,-30,-28,36,-9,-48,-116,-117,-75,28,82
38,6,-32,-23,35,-12,-50,-129,-132,-91,7,59
33,0,-33,-17,33,-16,-49,-137,-142,-104,-13,35
27,-5,-32,-11,29,-18,-47,-140,-146,-111,-31,13
20,-8,-29,-6,24,-18,-45,-140,-146,-116,-46,-6
15,-11,-26,-2,20,-18,-42,-137,-143,-118,-58,-20
11,-13,-26,0,18,-19,-40,-132,-137,-117,-67,-31
9,-16,-25,2,16,-20,-38,-124,-129,-114,-72,-37
5,-17,-23,5,13,-20,-35,-113,-118,-106,-72,-40
3,-18,-22,6,12,-19,-32,-101,-106,-97,-69,-41
4,-19,-22,7,13,-20,-29,-89,-94,-88,-65,-41
3,-18,-21,7,12,-19,-26,-77,-82,-79,-60,-39
2,-17,-19,7,11,-18,-23,-66,-72,-69,-54,-37
1,-16,-18,7,10,-16,-19,-57,-62,-61,-48,-33
0,-15,-16,6,8,-15,-16,-48,-53,-52,-42,-29
-1,-13,-13,6,6,-12,-13,-39,-44,-44,-36,-26
-2,-11,-9,6,3,-10,-10,-32,-36,-37,-31,-22
-3,-10,-6,6,1,-7,-7,-25,-29,-30,-26,-19
