leadI,leadII,leadIII,leadaVR,leadaVL,leadaVF,leadV1,leadV2,leadV3,leadV4,leadV5,leadV6
0,0,0,0,0,0,0,1,0,0,0,0
1,0,-1,0,1,0,1,3,-1,-1,1,1
1,0,-1,0,1,0,1,5,-2,-1,1,1
2,-1,-2,0,2,-1,2,6,-2,-1,2,2
1,-2,-2,0,2,-2,2,7,-2,-1,2,2
1,-2,-2,0,2,-2,2,8,-2,-1,2,2
2,-1,-2,0,3,-1,3,9,-1,0,2,3
3,0,-2,-1,3,0,3,10,-1,0,2,3
3,0,-1,-1,2,0,4,10,0,0,3,3
2,1,0,-1,2,0,4,11,0,1,3,3
2,2,0,-2,1,1,4,11,0,1,3,3
2,2,0,-2,1,1,5,11,1,2,4,4
2,3,1,-3,1,2,6,12,2,3,4,4
2,4,1,-3,1,3,6,13,3,3,5,5
2,3,1,-3,1,3,7,14,3,3,5,5
2,2,1,-2,1,2,7,14,3,4,5,5
2,2,0,-2,1,1,7,14,4,4,5,6
2,1,0,-1,0,1,7,14,4,5,5,6
1,1,1,-1,0,1,6,14,4,5,4,5
1,1,1,-1,0,1,6,14,4,5,4,5
0,1,1,-1,0,1,6,14,4,5,5,6
0,2,2,-1,0,2,6,14,5,5,5,6
1,3,2,-2,0,2,6,15,5,5,6,6
1,3,3,-2,-1,3,7,15,5,5,6,7
0,3,3,-1,-1,3,7,15,5,5,6,7
0,2,3,-1,-2,3,7,15,6,5,6,7
0,3,3,-1,-1,3,7,16,6,6,6,7
1,4,3,-2,-1,4,7,16,7,6,6,7
2,4,3,-3,0,4,7,16,7,6,6,7
0,4,3,-2,-1,3,7,16,7,6,6,6
0,3,3,-2,-1,3,7,16,7,6,6,6
1,4,3,-3,-1,3,8,17,7,7,7,7
3,5,3,-4,0,4,8,18,8,8,8,7
3,5,2,-4,0,4,8,19,8,8,8,7
3,5,2,-4,0,3,8,19,8,8,7,7
2,4,2,-3,0,3,8,19,8,8,7,7
2,4,2,-3,0,3,8,19,8,8,7,8
2,3,2,-3,0,3,8,19,8,9,8,8
2,3,2,-2,0,2,8,19,8,9,8,8
1,2,2,-1,0,2,8,19,8,8,8,8
0,0,2,0,-1,1,7,19,7,7,7,8
-1,0,2,1,-2,1,7,18,7,7,7,7
0,1,2,0,-1,2,7,18,7,7,6,7
2,4,2,-3,0,3,7,18,7,7,7,8
3,6,3,-4,0,4,8,18,8,8,7,8
2,5,3,-4,0,4,7,18,7,7,6,8
1,3,2,-3,0,3,7,17,7,7,6,8
2,3,2,-3,0,3,7,17,7,7,7,8
3,4,2,-4,0,3,8,18,7,8,7,8
3,5,2,-4,0,4,8,18,7,8,7,8
3,4,1,-3,0,3,7,18,7,9,7,8
3,5,1,-4,1,3,7,18,7,9,8,9
4,6,1,-5,1,3,7,18,7,10,8,9
4,5,1,-4,1,3,6,17,7,9,8,9
3,4,1,-3,0,2,6,17,7,9,8,8
2,3,1,-2,0,2,6,16,7,8,8,8
1,3,2,-2,0,2,6,16,6,8,8,8
1,3,2,-2,0,2,6,16,6,8,8,8
2,3,1,-2,0,2,6,16,6,8,8,8
1,2,1,-1,0,1,5,15,5,8,8,8
0,0,0,0,0,0,4,14,4,7,7,7
0,0,0,0,0,0,4,13,4,6,6,7
2,3,1,-2,0,1,4,13,4,6,6,8
2,4,1,-3,1,2,5,13,4,6,6,8
2,3,0,-3,1,1,5,13,4,6,6,8
3,3,0,-3,1,2,5,14,4,7,7,8
4,4,0,-4,2,2,6,14,4,7,7,8
4,3,0,-3,2,2,6,14,4,7,7,8
3,3,0,-3,1,2,6,14,4,7,7,8
3,2,0,-3,1,2,5,14,4,7,7,8
3,2,0,-2,1,1,5,13,4,7,7,8
2,2,0,-2,0,1,4,13,3,6,6,7
2,2,0,-2,0,1,4,12,3,6,6,7
2,3,1,-2,0,2,4,12,2,6,6,7
1,3,1,-2,0,2,3,11,2,5,5,7
1,2,1,-2,0,1,3,11,1,5,5,7
1,2,1,-2,0,1,4,11,1,5,5,7
0,1,1,-1,0,1,4,11,1,5,5,7
0,0,0,0,0,0,3,10,1,5,5,7
0,0,0,0,0,0,3,10,1,5,5,7
0,0,0,0,0,0,3,10,1,6,5,7
0,0,0,0,0,0,3,10,1,6,5,7
0,0,0,0,0,0,3,10,1,6,5,7
0,0,0,0,0,0,2,10,1,6,5,7
0,0,0,0,0,0,2,10,1,6,5,7
0,1,0,-1,0,1,2,10,1,5,5,7
1,1,1,-1,0,1,3,10,1,5,5,7
2,2,1,-2,0,2,3,10,1,5,5,8
3,3,0,-3,1,2,3,10,1,5,5,8
2,1,0,-1,0,1,3,9,0,5,5,8
1,0,0,0,0,0,2,9,0,4,5,7
1,1,0,-1,0,0,2,9,0,4,5,7
2,1,0,-1,0,1,2,9,0,4,5,7
1,1,0,-1,0,0,2,9,0,3,4,7
0,0,0,0,0,0,2,9,0,3,4,7
-1,0,0,0,0,0,2,9,0,3,4,7
-1,0,0,0,0,0,3,9,0,3,4,8
0,0,0,0,0,0,3,9,0,4,4,8
0,0,0,0,0,0,3,9,0,4,4,7
1,0,0,-1,0,0,3,9,0,4,4,7
0,0,0,0,0,0,3,9,0,4,4,7
0,0,0,0,0,0,2,8,0,4,4,7
0,0,0,0,0,0,2,8,0,4,4,7
0,1,0,0,0,0,3,8,0,4,4,7
0,1,0,0,0,1,3,8,0,4,4,7
0,1,0,0,0,0,3,8,0,4,4,7
0,1,0,0,0,0,3,8,0,4,4,7
1,1,0,-1,0,1,3,8,0,5,4,8
1,2,1,-1,0,1,4,9,1,5,4,8
1,2,1,-1,0,1,4,9,1,5,4,8
1,2,1,-1,0,1,4,9,1,5,4,8
1,2,1,-1,0,1,4,9,1,5,5,8
0,2,1,-1,-1,1,4,9,1,5,5,8
0,3,2,-1,-1,2,4,9,2,5,5,8
0,4,3,-2,-1,3,5,10,2,6,6,9
0,4,4,-2,-2,4,5,10,2,6,6,9
0,4,5,-2,-2,4,5,10,2,6,6,9
0,5,5,-2,-2,5,6,10,2,7,6,10
1,5,4,-3,-1,4,6,10,3,8,7,10
2,5,3,-3,0,4,7,11,4,8,7,10
2,6,3,-4,0,4,7,11,4,8,7,10
4,7,3,-5,0,5,8,11,4,8,7,11
4,7,3,-5,0,5,8,11,4,8,7,11
4,7,4,-5,0,5,7,11,3,7,6,10
