leadI,leadII,leadIII,leadaVR,leadaVL,leadaVF,leadV1,leadV2,leadV3,leadV4,leadV5,leadV6
-1,-1,0,1,0,-1,1,0,-1,-2,-1,-1
-2,-3,-1,2,0,-2,3,1,-3,-6,-4,-4
-3,-3,0,3,-1,-2,4,1,-4,-8,-5,-5
-4,-4,0,4,-2,-2,5,1,-5,-9,-6,-6
-6,-5,1,5,-3,-2,6,2,-5,-9,-6,-7
-8,-6,2,7,-5,-2,7,3,-4,-10,-7,-7
-8,-6,2,7,-5,-2,8,3,-4,-10,-7,-6
-9,-6,2,7,-5,-2,8,4,-4,-10,-6,-6
-9,-6,2,8,-6,-2,8,4,-4,-10,-7,-6
-10,-6,3,8,-6,-2,9,4,-4,-10,-7,-6
-10,-6,4,7,-7,-1,9,4,-3,-10,-7,-6
-10,-6,3,7,-6,-1,9,4,-4,-10,-7,-6
-10,-6,4,8,-7,-1,9,4,-4,-10,-7,-6
-13,-6,6,10,-9,-1,10,5,-3,-9,-6,-5
-15,-7,7,11,-11,0,11,5,-3,-9,-6,-4
-15,-7,8,11,-12,0,11,5,-3,-9,-6,-4
-15,-7,8,11,-12,0,12,5,-3,-9,-6,-4
-16,-8,8,12,-12,0,12,5,-3,-10,-6,-5
-16,-8,7,12,-11,-1,12,5,-4,-10,-6,-6
-15,-8,7,12,-10,-1,13,6,-4,-10,-6,-5
-15,-9,7,12,-11,-1,14,6,-5,-10,-7,-5
-17,-10,7,13,-11,-2,14,7,-5,-11,-8,-6
-17,-10,6,14,-11,-2,14,7,-4,-11,-9,-6
-16,-11,4,13,-10,-3,14,7,-4,-11,-9,-7
-15,-12,3,14,-9,-5,14,7,-4,-12,-10,-7
-16,-14,3,15,-9,-6,15,7,-5,-12,-10,-8
-17,-15,2,16,-10,-6,15,8,-5,-13,-10,-8
-17,-16,2,16,-10,-7,15,8,-5,-13,-10,-9
-17,-16,1,16,-9,-8,15,8,-5,-14,-10,-9
-16,-16,0,16,-8,-8,15,8,-5,-14,-10,-9
-17,-16,0,17,-8,-9,16,8,-5,-14,-11,-9
-17,-16,0,17,-9,-9,16,9,-5,-14,-11,-9
-17,-16,0,17,-9,-9,16,9,-5,-14,-12,-9
-16,-16,0,17,-8,-9,16,8,-5,-14,-12,-8
-15,-16,0,16,-8,-9,16,8,-5,-14,-12,-8
-15,-15,0,15,-8,-8,16,9,-5,-14,-12,-8
-14,-14,1,14,-8,-7,15,9,-4,-13,-12,-8
-15,-13,2,14,-8,-6,15,9,-3,-11,-11,-8
-16,-12,3,14,-10,-5,14,10,-2,-10,-10,-7
-16,-11,4,14,-10,-4,14,10,0,-9,-9,-7
-15,-11,4,13,-10,-4,13,10,0,-9,-9,-7
-14,-10,3,12,-9,-4,11,10,1,-8,-8,-7
-13,-9,4,11,-9,-3,11,10,3,-7,-7,-6
-13,-8,5,10,-9,-1,10,11,4,-5,-6,-5
-13,-8,6,10,-10,-1,10,11,5,-4,-6,-4
-14,-8,6,11,-10,-1,9,11,6,-3,-5,-3
-14,-8,6,11,-9,-2,8,10,6,-2,-4,-3
-12,-6,6,9,-9,-1,8,11,8,0,-3,-2
-11,-4,7,8,-9,0,8,11,9,1,-1,-1
-11,-3,7,7,-9,1,7,12,10,3,0,0
-9,-2,6,6,-7,1,6,11,10,4,0,1
-7,-2,5,5,-6,1,5,11,11,5,1,2
-6,-1,6,4,-6,1,5,11,12,7,2,3
-6,0,6,3,-6,2,5,11,14,8,3,3
-5,1,7,2,-6,3,5,11,15,9,4,4
-5,2,8,2,-7,4,5,11,16,9,5,5
-5,2,7,2,-7,4,4,11,16,10,6,5
-5,2,7,2,-7,4,4,11,16,12,7,6
-4,3,8,1,-7,5,4,11,16,13,8,7
-3,4,8,0,-6,6,3,11,16,13,9,8
-2,5,8,0,-6,6,2,10,15,14,9,8
-2,6,8,-1,-5,6,1,10,15,14,10,9
-3,6,8,-1,-5,7,0,10,16,15,11,9
-2,6,8,-1,-5,7,0,9,16,14,11,9
-2,5,7,-1,-5,6,-1,8,15,14,10,8
-3,5,7,-1,-5,5,-2,7,14,13,10,8
-2,5,7,-1,-5,5,-2,7,13,13,9,8
-2,5,7,-1,-5,5,-1,7,13,12,9,7
-3,4,8,0,-6,5,-1,7,13,12,10,8
-4,4,8,0,-6,5,-1,7,12,12,10,8
-4,3,7,0,-6,5,-1,6,11,12,9,8
-3,3,7,0,-5,5,0,7,11,11,9,8
-3,4,7,0,-5,5,0,7,11,11,9,8
-4,4,8,0,-6,5,0,7,11,11,9,8
-5,3,9,1,-7,5,1,7,11,11,9,7
-5,3,9,1,-7,5,1,7,10,11,9,7
-5,3,8,1,-7,5,1,7,10,11,9,7
-4,3,8,1,-7,5,0,6,9,10,8,7
-5,3,8,1,-7,5,0,6,9,10,8,7
-6,2,8,2,-7,5,1,6,9,10,9,7
-6,2,9,2,-8,5,1,5,9,10,9,7
-6,2,9,2,-8,5,1,5,8,10,8,7
-6,3,9,2,-8,5,1,5,8,10,8,6
-6,3,9,2,-8,6,1,5,8,9,8,6
-6,3,10,2,-8,7,1,5,9,9,8,7
-7,4,12,2,-9,8,1,5,9,10,9,8
-8,4,13,2,-10,9,1,5,10,10,9,8
-9,5,14,2,-12,10,1,5,11,11,10,9
-9,5,15,2,-12,10,0,4,11,10,9,8
-9,5,14,2,-12,9,0,4,11,10,8,7
-8,6,14,1,-12,10,0,4,11,10,9,7
-8,7,14,0,-11,11,0,4,11,10,10,8
-7,8,14,0,-10,11,0,3,11,11,10,8
-6,8,13,0,-10,11,-1,3,11,11,10,8
-5,8,13,-1,-9,11,-1,3,11,11,10,8
