leadI,leadII,leadIII,leadaVR,leadaVL,leadaVF,leadV1,leadV2,leadV3,leadV4,leadV5,leadV6
-1,0,0,1,0,0,1,1,-4,1,0,0
-2,-1,0,2,-1,-1,3,3,-11,2,-1,-1
-3,-2,0,2,-1,-1,4,5,-15,2,-1,-1
-3,-2,0,3,-1,-1,4,5,-17,3,-1,-1
-3,-3,0,3,-1,-1,5,6,-19,3,-1,-1
-3,-3,-1,3,-1,-2,5,6,-20,3,-1,-1
-4,-4,-1,3,-1,-2,5,6,-20,4,-1,-1
-4,-4,-1,4,-1,-2,5,6,-21,4,-1,-1
-4,-4,-1,4,-1,-2,5,6,-21,4,-1,-1
-4,-4,-1,4,-1,-2,5,6,-21,4,-2,-1
-4,-4,-1,4,-1,-2,5,6,-20,4,-2,-1
-4,-4,-1,4,-1,-2,5,6,-20,4,-2,-1
-4,-4,-1,4,0,-2,5,6,-20,4,-2,-1
-4,-4,-1,4,0,-2,5,6,-20,4,-2,-1
-4,-4,-2,4,0,-3,5,6,-20,4,-2,-1
-4,-4,-2,4,0,-3,5,5,-20,4,-2,-1
-4,-4,-2,4,0,-3,5,5,-20,4,-2,-2
-4,-4,-2,4,0,-3,5,4,-19,4,-2,-2
-4,-4,-2,4,0,-3,5,4,-19,4,-2,-2
-4,-4,-2,4,0,-3,5,4,-19,4,-2,-2
-4,-4,-2,4,0,-3,6,4,-19,4,-2,-2
-4,-4,-2,4,0,-3,6,4,-19,4,-2,-2
-4,-5,-2,4,0,-3,6,4,-19,4,-2,-2
-4,-5,-2,4,0,-3,6,4,-19,4,-2,-2
-4,-5,-2,4,0,-3,7,4,-19,4,-2,-2
-4,-5,-2,4,0,-3,7,3,-19,4,-2,-2
-4,-5,-2,4,0,-3,7,3,-19,4,-2,-2
-4,-5,-2,4,0,-3,7,2,-19,4,-2,-2
-4,-5,-2,4,0,-3,7,2,-19,4,-2,-2
-4,-5,-2,4,0,-3,7,2,-18,4,-2,-2
-4,-5,-2,4,0,-3,7,2,-18,4,-2,-2
-3,-5,-2,4,0,-3,7,2,-17,4,-2,-2
-3,-5,-2,4,0,-3,7,2,-17,4,-2,-2
-3,-5,-3,4,0,-3,7,2,-17,4,-2,-2
-3,-5,-3,4,1,-4,7,3,-17,4,-2,-2
-3,-5,-3,4,1,-4,7,3,-17,4,-2,-2
-3,-5,-3,4,1,-4,7,4,-17,4,-2,-3
-3,-5,-3,4,1,-4,7,4,-17,4,-2,-3
-3,-5,-3,4,1,-4,6,4,-17,4,-2,-3
-3,-5,-3,4,1,-4,6,4,-17,4,-3,-3
-3,-5,-3,4,1,-4,5,4,-17,3,-3,-3
-3,-5,-3,4,1,-4,4,5,-17,3,-3,-3
-3,-5,-3,4,1,-4,4,5,-17,3,-3,-3
-3,-5,-4,4,1,-4,3,5,-17,3,-3,-3
-3,-5,-4,4,1,-4,2,5,-18,3,-3,-3
-3,-5,-4,4,1,-4,2,5,-18,3,-3,-3
-3,-6,-4,4,1,-4,2,5,-18,3,-3,-3
-3,-6,-4,4,1,-4,2,5,-19,2,-3,-3
-3,-6,-4,5,1,-4,2,5,-19,2,-3,-3
-3,-6,-4,5,1,-4,2,4,-19,2,-3,-3
-3,-6,-4,5,1,-4,2,4,-19,2,-4,-3
-3,-6,-4,5,1,-4,2,4,-19,2,-4,-3
-3,-6,-4,5,1,-4,2,3,-19,2,-4,-3
-3,-6,-3,5,1,-4,2,3,-18,2,-4,-3
